Q000001	Kadrovski menedžer
Q002197	Izdelovalec, sestavljalec kovinskih senčil
Q002198	Kompletirec keramičnih izdelkov
Q002199	Inženir elektroavtomatike
Q002200	Sestavljalec izdelkov iz kartona
Q002201	Sestavljalec stolov
Q002202	Pomočnik strojevodje
Q002203	Strojevodja za premik
Q002204	Voznik lokomotive v kamnolomu
Q002205	Voznik lokomotive v rudniku
Q002206	Voznik progovnih vozil
Q002207	Kretničar
Q002208	Preglednik vagonov
Q002209	Sekretar delovnega telesa državnega zbora
Q002210	Premikač
Q002211	Voznik cisterne za prevoz nevarnih snovi
Q002212	Voznik cisterne za prevoz tekočih snovi
Q002213	Voznik prekucnika
Q002214	Voznik težkega tovornjaka
Q002215	Voznik tovornjaka za prevoz kamenja
Q002216	Voznik tovornjaka za prevoz lesa
Q002217	Voznik tovornjaka za prevoz nevarnih snovi
Q002218	Inženir mehatronik
Q002219	Voznik tovornjaka za prevoz rude in premoga
Q002220	Voznik tovornjaka za vleko avtomobilov
Q002221	Gozdar traktorist
Q002222	Skupinovodja strojnega parka v kmetijstvu
Q002223	Upravljavec kombajna
Q002224	Upravljavec mlatilnice
Q002225	Upravljavec bagra
Q002226	Upravljavec buldožerja
Q002227	Upravljavec nakladalca
Q002228	Upravljavec naprav za zasneževanje
Q002229	Upravljavec strojev za zemeljska dela
Q002230	Upravljavec valjarja
Q002231	Voznik, serviser WC-kabin
Q002232	Voznik teptalca na smučišču
Q002233	Zasneževalec
Q002234	Upravljavec gozdarske žičnice
Q002235	Upravljavec gradbenega dvigala
Q002236	Upravljavec kabelskega žerjava
Q002237	Upravljavec metalurškega žerjava
Q002238	Inženir telekomunikacij
Q002239	Upravljavec mostnega žerjava
Q002240	Upravljavec premičnega žerjava
Q002241	Upravljavec pristaniškega žerjava
Q002242	Upravljavec rudniškega dvigala
Q002243	Upravljavec smučarske žičnice
Q002244	Upravljavec traktorskega žerjava
Q002245	Upravljavec železniškega žerjava
Q002246	Mornar - motorist
Q002247	Čistilec notranjosti avtobusa
Q002248	Čistilec notranjosti letal
Q002249	Inženir telekomunikacij za govorne storitve (telefonija)
Q002250	Čistilec notranjosti vlakov
Q002251	Delavec v javnih sanitarijah
Q002252	Strežnik v socialnovarstvenem zavodu
Q002253	Strežnik v zdravstvenem zavodu
Q002254	Razvrščevalec izdelkov za kemično čiščenje in pranje
Q002255	Sortirec perila za čiščenje in pranje
Q002256	Pralec vozil v ročni avtopralnici
Q002257	Obiralec hmelja
Q002258	Obiralec sadja
Q002259	Delavec za preprosta perutninarska dela
Q002260	Inženir telekomunikacij za negovorne storitve (prenos podatkov)
Q002261	Hlevar
Q002262	Pastir
Q002263	Spravljač lesa
Q002264	Kopač v kamnolomu
Q002265	Kopač v rudniku
Q002266	Delavec za preprosta dela pri gradnji cest
Q002267	Delavec za preprosta dela pri gradnji in vzdrževanju vodovodnih cevovodov
Q002268	Delavec za preprosta dela pri gradnji jezov
Q002269	Delavec za preprosta dela pri vzdrževanju cest
Q002270	Inženir telekomunikacij za radio in televizijo
Q002271	Delavec za preprosta dela pri gradnji stavb
Q002272	Delavec za preprosta dela pri podiranju stavb
Q002273	Delavec za preprosta tesarska dela
Q002274	Delavec za preprosta zidarska dela
Q002275	Delavec za preprosta dela v proizvodnji feritov
Q002276	Delavec za preprosta dela v proizvodnji predelave usnja in krzna
Q002277	Delavec za preprosta dela v proizvodnji usnja in krzna
Q002278	Delavec za preprosta konfekcijska dela
Q002279	Oskrbovalec proizvodne linije z materialom
Q002280	Tehnolog telekomunikacij
Q002281	Ročni delavec za letvičenje lesa
Q002282	Ročni delavec za zlaganje in prekladanje izdelkov
Q002283	Ročni delavec za zlaganje in prekladanje lesa
Q002284	Ročni pomivalec embalaže
Q002285	Ročni sestavljalec komponent
Q002286	Ročni sortirec opeke
Q002287	Ročni sortirec steklenic
Q002288	Ročni zlagalec opeke
Q002289	Manipulant vagončkov tunelske peči za žganje opeke
Q002290	Voznik akumulatorskih vozičkov
Q002291	Inženir v proizvodnji telematike
Q002292	Fijaker
Q002293	Kočijaž
Q002294	Nakladalec
Q002295	Prenašalec izdelkov
Q002296	Razkladalec
Q002297	Skladiščni delavec
Q002298	Sortirec prtljage
Q002299	Pripravljalec kebaba
Q002300	Raznašalec brezplačnikov
Q002301	Raznašalec letakov
Q002302	Kolporter
Q002303	Krošnjar
Q002304	Poulični prodajalec časopisov
Q002305	Dostavljevec časopisov
Q002306	Raznašalec sporočil
Q002307	Chiper
Q002308	Oskrbovalec avtomatov toplih napitkov
Q002309	Biljeter
Q002310	Delavec za preprosta gledališka, odrska dela
Q002311	Generalni sekretar vlade
Q002312	Gledališki vrviščar
Q002313	Strežnik na žičniški napravi
Q002314	Receptor v zdravstveni ustanovi
Q002315	Receptor v podjetju
Q002316	Receptor v wellness centru
Q002317	Poulični prodajalec kokic
Q002318	Poulični prodajalec palačink
Q002319	Pomočnik v kuhinji
Q002320	Učitelj slovenščine v osnovni šoli
Q002321	Učitelj matematike v osnovni šoli
Q002322	Arhitekt
Q002323	Učitelj športne vzgoje v osnovni šoli
Q002324	Učitelj angleščine v osnovni šoli
Q002325	Učitelj nemščine v osnovni šoli
Q002326	Učitelj naravoslovja v osnovni šoli
Q002327	Učitelj državljanske in domovinske vzgoje ter etike
Q002328	Učitelj italijanščine v osnovni šoli
Q002329	Učitelj madžarščine v osnovni šoli
Q002330	Učitelj slovenščine v srednji šoli
Q002331	Učitelj angleščine v srednji šoli
Q002332	Učitelj nemščine v srednji šoli
Q002333	Učitelj francoščine v srednji šoli
Q002334	Učitelj italijanščine v srednji šoli
Q002335	Učitelj španščine v srednji šoli
Q002336	Učitelj ruščine v srednji šoli
Q002337	Učitelj latinščine v srednji šoli
Q002338	Učitelj grščine v srednji šoli
Q002339	Učitelj madžarščine v srednji šoli
Q002340	Učitelj športne vzgoje v srednji šoli
Q002341	Učitelj glasbe v srednji šoli
Q002342	Učitelj likovne umetnosti v srednji šoli
Q002343	Krajinski arhitekt
Q002344	Učitelj informatike v srednji šoli
Q002345	Učitelj likovnega snovanja v srednji šoli
Q002346	Učitelj študij okolja v srednji šoli
Q002347	Učitelj umetnosti v srednji šoli
Q002348	Učitelj družboslovja v srednji šoli
Q002349	Učitelj naravoslovja v srednji šoli
Q002350	Poulični prodajalec popcorna
Q002351	Športnik, rokometaš
Q002352	Športnik, nogometaš
Q002353	Športnik, alpski smučar
Q002354	Športnik, atlet
Q002355	Športnik, hokejist
Q002356	Športnik, kolesar
Q002357	Športnik, plavalec
Q002358	Športnik, teniški igralec
Q002359	Športnik, košarkaš
Q002360	Športnik, odbojkar
Q002361	Športnik, plezalec
Q002362	Športnik, boksar
Q002363	Športnik, voznik dirkač
Q002364	Industrijski oblikovalec
Q002365	Športnik, šahist
Q002366	Športnik, smučarski skoki
Q002367	Športnik, smučarski teki
Q002368	Športnik, judoist
Q002369	Športnik, alpinist
Q002370	Ravnatelj organizacijske enote vzgojno-izobraževalnega zavoda
Q002371	Modni oblikovalec
Q002372	Učitelj ekonomskih strokovnih modulov v srednji šoli
Q002373	Učitelj elektrotehniških strokovnih modulov v srednji šoli
Q002374	Učitelj gastronomsko-turističnih strokovnih modulov v srednji šoli
Q002375	Učitelj geodetskih strokovnih modulov v srednji šoli
Q002376	Učitelj gozdarskih strokovnih modulov v srednji šoli
Q002377	Učitelj gradbenih strokovnih modulov v srednji šoli
Q002378	Učitelj grafičnih strokovnih modulov v srednji šoli
Q002379	Učitelj kmetijsko-hortikulturnih strokovnih modulov v srednji šoli
Q002380	Učitelj lesarskih strokovnih modulov v srednji šoli
Q002381	Učitelj storitvenih strokovnih modulov v srednji šoli
Q002382	Modni stilist
Q002383	Učitelj strojniških strokovnih modulov v srednji šoli
Q002384	Učitelj tekstilnih strokovnih modulov v srednji šoli
Q002385	Učitelj veterinarskih strokovnih modulov v srednji šoli
Q002386	Učitelj zdravstvenih strokovnih modulov v srednji šoli
Q002387	Učitelj živilskih strokovnih modulov v srednji šoli
Q002388	Učitelj ekonomskih strokovnoteoretičnih predmetov v srednji šoli
Q002389	Učitelj praktičnega pouka ekonomskih strokovnih modulov
Q002390	Učitelj praktičnega pouka elektrotehniških strokovnih modulov
Q002391	Učitelj praktičnega pouka geodetskih strokovnih modulov
Q002392	Učitelj praktičnega pouka geotehniških strokovnih modulov
Q002393	Učitelj praktičnega pouka gozdarskih strokovnih modulov
Q002394	Učitelj praktičnega pouka gradbenih strokovnih modulov
Q002395	Učitelj praktičnega pouka grafičnih strokovnih modulov
Q002396	Učitelj praktičnega pouka kemijskih strokovnih modulov
Q002397	Učitelj praktičnega pouka kmetijsko-hortikulturnih strokovnih modulov
Q002398	Učitelj praktičnega pouka lesarskih strokovnih modulov
Q002399	Učitelj praktičnega pouka logističnih strokovnih modulov
Q002400	Učitelj praktičnega pouka oblikovnih strokovnih modulov
Q002401	Prostorski načrtovalec
Q002402	Učitelj praktičnega pouka okoljevarstvenih strokovnih modulov
Q002403	Učitelj praktičnega pouka pomorskih strokovnih modulov
Q002404	Učitelj praktičnega pouka računalniških strokovnih modulov
Q002405	Učitelj praktičnega pouka storitvenih strokovnih modulov
Q002406	Učitelj praktičnega pouka strojniških strokovnih modulov
Q002407	Učitelj praktičnega pouka tekstilnih strokovnih modulov
Q002408	Učitelj praktičnega pouka veterinarskih strokovnih modulov
Q002409	Učitelj praktičnega pouka zdravstvenih strokovnih modulov
Q002410	Učitelj praktičnega pouka živilskih strokovnih modulov
Q002411	Ravnatelj zavoda za otroke in mladostnike s posebnimi potrebami
Q002412	Predstojnik vladne službe
Q002413	Prometni načrtovalec
Q002414	Direktor zavoda za otroke in mladostnike s posebnimi potrebami
Q002415	Učitelj matematike v srednji šoli
Q002416	Učitelj fizike v srednji šoli
Q002417	Učitelj kemije v srednji šoli
Q002418	Učitelj biologije v srednji šoli
Q002419	Učitelj geografije v srednji šoli
Q002420	Učitelj zgodovine v srednji šoli
Q002421	Učitelj psihologije v srednji šoli
Q002422	Učitelj sociologije v srednji šoli
Q002423	Učitelj filozofije v srednji šoli
Q002424	Urbanist
Q002425	Učitelj umetnostne zgodovine v srednji šoli
Q002426	Učitelj pedagogike v srednji šoli
Q002427	Gostujoči učitelj tujega jezika v srednji šoli
Q002428	Srednješolski učitelj za računalniške predmete
Q002429	Učitelj francoščine v osnovni šoli
Q002430	Učitelj hrvaščine v osnovni šoli
Q002431	Učitelj latinščine v osnovni šoli
Q002432	Učitelj likovne vzgoje v osnovni šoli
Q002433	Učitelj glasbene vzgoje v osnovni šoli
Q002434	Učitelj zgodovine v osnovni šoli
Q002435	Urbanistični inšpektor
Q002436	Učitelj geografije v osnovni šoli
Q002437	Učitelj fizike v osnovni šoli
Q002438	Učitelj kemije v osnovni šoli
Q002439	Učitelj biologije v osnovni šoli
Q002440	Učitelj gospodinjstva v osnovni šoli
Q002441	Učitelj tehnike in tehnologije v osnovni šoli
Q002442	Gostujoči učitelj tujega jezika v osnovni šoli
Q002443	Svetovalec za poklicno izobraževanje
Q002444	Razvojni svetovalec za poklicno izobraževanje
Q002445	Nacionalni svetovalec za poklicno izobraževanje
Q002446	Učitelj predšolske glasbene vzgoje
Q002447	Učitelj glasbene pripravnice
Q002448	Učitelj solfeggia
Q002449	Učitelj orgel
Q002450	Učitelj viole
Q002451	Učitelj violončela
Q002452	Učitelj harfe
Q002453	Učitelj kljunaste flavte
Q002454	Kartograf
Q002455	Učitelj oboe
Q002456	Učitelj klarineta
Q002457	Učitelj fagota
Q002458	Učitelj roga
Q002459	Učitelj pozavne
Q002460	Učitelj tube
Q002461	Učitelj koničnih trobil
Q002462	Učitelj tolkal
Q002463	Učitelj petja
Q002464	Učitelj diatonične harmonike
Q002465	Geodet
Q002466	Učitelj citer
Q002467	Učitelj tamburic
Q002468	Učitelj sodobnega plesa v glasbeni šoli
Q002469	Učitelj baleta v glasbeni šoli
Q002470	Računalnikar-organizator informacijskih dejavnosti v vzgoji in izobraževanju
Q002471	Organizator praktičnega usposabljanja z delom v vzgoji in izobraževanju
Q002472	Organizator izobraževanja odraslih v vzgoji in izobraževanju
Q002473	Organizator šolske prehrane
Q002474	Geoinformacijski tehnolog
Q002475	Trener športnega plesa
Q002476	Trener smučanja (tekmovalni šport)
Q002477	Trener hokeja
Q002478	Trener košarke
Q002479	Trener plavanja
Q002480	Vodnik kanuja
Q002481	Agent v kontaktnem centru, prodaja
Q002482	Animator otrok
Q002483	Arhitekt informacijskih sistemov
Q002484	Fotogrametrik
Q002485	Arhitekt podatkovnih baz
Q002486	Arhitekt spletnih strani
Q002487	Asistent za komunikacijo v slovenskem znakovnem jeziku
Q002488	Blagajnik v igralnici
Q002489	Bolnišnični farmacevt
Q002490	Dostavljavec hitre hrane
Q002491	Družinski pomočnik
Q002492	Farmacevtski inšpektor
Q002493	Finančni kontroler
Q002494	Fizioterapevt hipoterapevt
Q002495	Inštruktor za španščino
Q002496	Inštruktor jahanja
Q002497	Inštruktor psov
Q002498	Inštruktor za angleščino
Q002499	Inštruktor za arabščino
Q002500	Inštruktor za biologijo
Q002501	Inštruktor za ekonomijo in poslovne predmete
Q002502	Grafični oblikovalec
Q002503	Inštruktor za elektrotehniko
Q002504	Inštruktor za fiziko
Q002505	Inštruktor za francoščino
Q002506	Inštruktor za italijanščino
Q002507	Inštruktor za izobraževalne predmete (zasebni)
Q002508	Inštruktor za kemijo
Q002509	Inštruktor za kitajščino
Q002510	Inštruktor za matematiko
Q002511	Inštruktor za nemščino
Q002512	Inštruktor za portugalščino
Q002513	Inštruktor za računalništvo in informatiko
Q002514	Inštruktor za ruščino
Q002515	Inštruktor za slovenščino
Q002516	Inštruktor za statistiko
Q002517	Inštruktor za tuje jezike
Q002518	Izdelovalec izdelkov iz filca
Q002519	Izdelovalec izdelkov iz polsti
Q002520	Izdelovalec spletnih strani
Q002521	Izvajalec strojnih estrihov
Q002522	Izvajalec strojnih ometov
Q002523	Klinični logoped
Q002524	Komercialni zastopnik
Q002525	Kondicijski trener (rekreacija)
Q002526	Kondicijski trener (tekmovalni šport)
Q002527	Kontroler poslovanja
Q002528	Kontrolor tehničnih pregledov motornih vozil
Q002529	Laminator pri izdelavi letal
Q002530	Laminator v navtiki
Q002531	Lekarniški farmacevt
Q002532	Menedžer turistične agencije
Q002533	Mentor inštruktor v klicnem centru, prodaja
Q002534	Monter cevi
Q002535	Nadzornik linije za proizvodnjo izdelkov iz plastičnih mas
Q002536	Nadzornik v klicnem centru, anketiranje
Q002537	Nadzornik v klicnem centru, posredovanje informacij
Q002538	Natakarski pomočnik
Q002539	Oblikovalec spletnih strani
Q002540	Odvetniški pripravnik
Q002541	Operater na CNC-stroju
Q002542	Operater na CNC-stroju, lesarstvo
Q002543	Operater na igralnih avtomatih
Q002544	Operater v klicnem centru, javnomnenjsko anketiranje
Q002545	Operater v klicnem centru, trženjsko anketiranje
Q002546	Organizator velneške dejavnosti
Q002547	Oskrbnik konj
Q002548	Pomivalec posode
Q002549	Poslovodja poslovne enote
Q002550	Poslovodja prodajne enote
Q002551	Pospeševalec prodaje
Q002552	Poulični prodajalec cvetja
Q002553	Pripravljavec jedi pred gosti
Q002554	Pripravljavec sladic po naročilu
Q002555	Prodajalec avtomobilskih rezervnih delov
Q002556	Prodajalec cvetja na stojnici
Q002557	Prodajalec fotografske opreme
Q002558	Prodajalec malih živali
Q002559	Prodajalec obutve
Q002560	Prodajalec pekovskih izdelkov
Q002561	Prodajalec računalniške opreme v trgovini na drobno
Q002562	Prodajalec sveč na stojnici
Q002563	Prodajni svetovalec v klicnem centru
Q002564	Prometni inženir
Q002565	Referent za homologacijo
Q002566	Referent za registracijo motornih vozil
Q002567	Referent za tehnične preglede motornih vozil
Q002568	Savnar
Q002569	Serviser motornih žag, kosilnic, parkovnih traktorjev
Q002570	Sestavljavec elektronskih komponent
Q002571	Socialni gerontolog
Q002572	Sommelier za sire
Q002573	Specialist za razvoj in strateško upravljanje človeških virov
Q002574	Sprejemalec odpadkov
Q002575	Strokovni sodelavec za oglaševanje zdravil
Q002576	Svetovalec sirov
Q002577	Taksist
Q002578	Tehnolog lesarstva
Q002579	Telefonski agent
Q002580	Telefonski agent, prodaja
Q002581	Teletržnik
Q002582	Trener konj
Q002583	Učitelj vožnje
Q002584	Upravljavec strojev za proizvodnjo mineralnih plošč
Q002585	Upravljavec strojev za razrez in obdelavo mineralnih plošč
Q002586	Vaditelj psov
Q002587	Varnostnik intervent
Q002588	Vodja evropskega projekta
Q002589	Vodja klicnega centra, prodaja
Q002590	Vodja operaterjev v klicnem centru, anketiranje
Q002591	Zdravnik, specializant splošne medicine
Q002592	Vodja telefonskih operaterjev, posredovanje informacij
Q002593	Vodja tehničnih pregledov motornih vozil
Q002594	Vodja telefonske prodaje
Q002595	Vodja telefonskih operaterjev, prodaja
Q002596	Vodnik psov
Q002597	Vodnik terapevtskega konja
Q002598	Voznik tovornjaka v domačem prometu
Q002599	Voznik tovornjaka v mednarodnem prometu
Q002600	Vzdrževalec električnih naprav
Q002601	Predstojnik upravnega organa v sestavi ministrstva
Q002602	Zdravnik, sekundarij
Q002603	Zdravstveni administrator
Q002604	Psihosocialni svetovalec
Q002605	Biopsiholog
Q002606	Ergonom
Q002607	Inženir energetike, električna energija
Q002608	Inženir energetike, jedrska energija
Q002609	Inženir energetike, plinovodni sistemi
Q002610	Inženir energetike, toplovodni sistemi
Q002611	Zdravnik specialist splošne medicine
Q002612	Energetski svetovalec
Q002613	Tehnični vodja energetskega objekta
Q002614	Vodja obratovanja energetskega objekta
Q002615	Vodja energetike
Q002616	Dispečer v plinovodnem sistemu
Q002617	Dispečer v daljinskem ogrevanju
Q002618	Zdravnik specialist družinske medicine
Q002619	Tekstopisec
Q002620	Lobist
Q002621	Mladinski delavec
Q002622	Voznik električnega minibusa
Q002623	Voznik Kavalirja
Q002624	Voznik cestnega turističnega vlakca
Q002625	Čistilec bazena
Q002626	Inštalater bazenske tehnike
Q002627	Serviser bazenske tehnike
Q002628	Vzdrževalec bazena
Q002629	Vodovarstveni nadzornik
Q002630	Hidrotehnični delavec
Q002631	Upravljavec vodne infrastrukture (hidromehanska oprema)
Q002632	Operater strojev za produkcijski tisk
Q002633	Skrbnik spletne prodaje
Q002634	Pravljičar, pripovedovalec
Q002635	Pisec pravljic
Q002636	Učitelj glasbenega inštrumenta (zasebni)
Q002637	Porodničar
Q002638	Izvajalec učne in druge pomoči
Q002639	Pomočnik slaščičarja
Q002640	Postavljavec odrov, podestov, tribun
Q002641	Postavljavec prireditvenih šotorov in paviljonov
Q002642	Varnostnik za prevoz in varovanje denarja
Q002643	Voznik avtotransporterja
Q002644	Socialni pedagog, svetovalni delavec v vzgoji in izobraževanju
Q002645	Socialni pedagog v socialnem varstvu
Q002646	Pediater
Q002647	Preoblikovalec rabljenih lesenih izdelkov
Q002648	Preoblikovalec rabljenih tekstilnih izdelkov
Q002649	Delavec za preprosta dela v reciklažni industriji
Q002650	Zdravnik, pripravnik
Q002651	Zdravnik z opravljenim pripravništvom
Q002652	Serviser smuči
Q002653	Broker
Q002654	Broker za investicije
Q002655	Urolog
Q002656	Vodja fundacije
Q002657	Koordinator programov v fundaciji
Q002658	Strokovni sodelavec za koordinacijo programov v fundaciji
Q002659	Predsednik društva
Q002660	Voznik tovornjaka z dvigalom
Q002661	Voznik hiaba
Q002662	Skrbnik blagovne znamke
Q002663	Bioinformatik
Q002664	Delavec za razrez hlodovine
Q002665	Dizajner notranje opreme
Q002666	Transfuziolog
Q002667	Zdravnik, pripravniški kandidat
Q002668	Procesničar v kemijski industriji
Q002669	Polnilec kartuš
Q002670	Lanser v proizvodnji
Q002671	Delavec za peskanje kovinskih površin
Q002672	Brizgalec kovinskih izdelkov
Q002673	Lakirec kovinskih izdelkov
Q002674	Delavec za selitvena dela
Q002675	Reševalec z višin (v industriji in gradbeništvu)
Q002676	Kardiolog
Q002677	Reševalec iz globin (v rudarstvu, industriji in gradbeništvu)
Q002678	Defektolog, svetovalni delavec v vzgoji in izobraževanju
Q002679	Kontrolor voznikov avtobusov
Q002680	Kontrolor v javnem cestnem prometu
Q002681	Kontrolor vozovnic
Q002682	Kontrolor zračnega prometa
Q002683	Erotični maser
Q002684	Erotični plesalec
Q002685	Psihiater
Q002686	Sprejemalec v avtoservisu
Q002687	Oblikovalec osvetljave
Q002688	Umetnostni zgodovinar
Q002689	Upravljavec krematorija
Q002690	Podatkovni analitik
Q002691	Strokovni sodelavec na sodišču
Q002692	Strokovni sodelavec na državnem tožilstvu
Q002693	Strokovni sodelavec na državnem pravobranilstvu
Q002694	Predstojnik upravne organizacije v sestavi ministrstva
Q002695	Otorinolaringolog
Q002696	Sodniški pomočnik (samostojni, višji)
Q002697	Business coach
Q002698	Poslovni trener
Q002699	Upravljavec zbirnega centra za odpadke
Q002700	CAD/CAM-tehnolog
Q002701	CAD/CAM-programer
Q002702	CAM-operater (tiskana vezja)
Q002703	Ortoped
Q002704	Operater fototiskarskih operacij (tiskana vezja)
Q002705	Vizualni kontrolor kakovosti v proizvodnji
Q002706	Tehnik za kontrolo kakovosti (fizikalno kemijske preiskave)
Q002707	Tehnik za kontrolo kakovosti (mehanske preiskave)
Q002708	Upravitelj tveganj
Q002709	Svetovalec - izvajalec namestitve avdio-, video- in multimedijskih sistemov
Q002710	Strokovnjak za akustično svetovanje, projektiranje in meritve
Q002711	Ozvočevalec
Q002712	Oftalmolog
Q002713	Strokovnjak za masovne podatke (big data)
Q002714	Podatkovni rudar
Q002715	Čitalec tiskanih in elektronskih medijev (kliping)
Q002716	Medijski analitik
Q002717	Svetovalec za oglaševanje
Q002718	Administrator odprtokodnih sistemov
Q002719	Administrator MS strežniških sistemov
Q002720	Anestezist
Q002721	Vodja projektov v digitalnem marketingu
Q002722	Skriti kupec
Q002723	Koordinator v večgeneracijskem centru
Q002724	Koordinator za preprečevanje nasilja
Q002725	Koordinator za izvajanje nadomestne kazni
Q002726	Koordinator za obravnavo v skupnosti
Q002727	Kreditni analitik
Q002728	Nabavnik
Q002729	Prodajnik
Q002730	Šankist
Q002731	Nevrolog
Q002732	Poslovni analitik v IT-projektih
Q002733	Poslovni analitik
Q002734	Žerjavist
Q002735	Viličarist
Q002736	Lučkar
Q002737	Upepeljevalec
Q002738	Socialni aktivator
Q002739	Vzdrževalec perila
Q002740	Doula
Q002741	Porodni spremljevalec nosečnic in porodnic
Q002742	Nevrokirurg
Q002743	Andragoški svetovalec
Q002744	Ustni higienik
Q002745	Blagajnik v menjalnici
Q002746	Organizator - izvajalec humanitarne pomoči
Q002747	Spremljevalec otrok s posebnimi potrebami v VIZ
Q002748	Monter ALU-fasad
Q002749	Monter steklenih fasad
Q002750	Prodajalec sadja in zelenjave na stojnici
Q002751	Prodajalec sladoleda
Q002752	Kirurg
Q002753	Pomočnik trgovskega poslovodja
Q002754	Socialni oskrbovalec na domu
Q002755	Pravosodni policist
Q002756	Projektni sodelavec
Q002757	Oskrbnik - vzdrževalec športnih objektov
Q002758	Pomočnik pleskarja
Q002759	Pomočnik krovca
Q002760	Pomožni ključavničar
Q002761	Igralec spletnih iger (e-športnik)
Q002762	Ginekolog
Q002763	Oblikovalec spletnih iger
Q002764	Razvijalec spletnih iger
Q002765	Učitelj za delovno vzgojo (posebni program VIZ)
Q002766	Zbiralec starega železa
Q002767	Zbiralec odpadnih surovin
Q002768	Multiplikator POŠ
Q002769	Operater solne sobe (nega in higiena dihal in kože)
Q002770	Haloterapevt (nega in higiena dihal in kože)
Q002771	Kuhar za nacionalne kuhinje
Q002772	Kuhar za balkansko kuhinjo
Q002773	Fiziater
Q002774	Kuhar za kitajsko kuhinjo
Q002775	Kuhar za albansko kuhinjo
Q002776	Kuhar za indijsko kuhinjo
Q002777	Kuhar za turško kuhinjo
Q002778	Kuhar za mehiško kuhinjo
Q002779	Kuhar za libanonsko kuhinjo
Q002780	Kuhar za egiptovsko kuhinjo
Q002781	Kuhar za tajsko kuhinjo
Q002782	Kuhar za azijsko kuhinjo
Q002783	Kuhar za argentinsko kuhinjo
Q002784	Dermatolog
Q002785	Kuhar za italijansko kuhinjo
Q002786	Monter strojnih inštalacij (razen klimatskih in hladilnih sistemov)
Q002787	Mehanik koles
Q002788	Gozdarski žičničar
Q002789	Upravljavec strojev za strojno sečnjo in izvoz lesa z zgibnim polprikoličarjem
Q002790	Generalni sekretar ministrstva
Q002791	Okulist
Q002792	Suhozidar
Q002793	Izdelovalec plastičnih kompozitnih izdelkov
Q002794	Papirničar
Q002795	Tetover
Q002796	Konjar
Q002797	Realizator AV-del
Q002798	Videooblikovalec (TV)
Q002799	Asistent zvoka
Q002800	Onkolog
Q002801	Asistent snemalca
Q002802	Tehnični realizator medijskih vsebin
Q002803	AV-montažer
Q002804	Zdravstveno-socialni asistent
Q002805	Asistent režije
Q002806	Zdravnik specialist patologije
Q002807	Kuharski mojster
Q002808	Mojster strežbe
Q002809	Frizerski mojster
Q002810	Zdravnik specialist nuklearne medicine
Q002811	Mojster očesne optike
Q002812	Slaščičarski mojster
Q002813	Zdravnik specialist urgentne medicine
Q002814	Mojster kozmetične nege
Q002815	Črkoslikarski mojster
Q002816	Zdravnik specialist pnevmologije
Q002817	Zdravnik specialist radiologije
Q002818	Slikopleskarski mojster
Q002819	Fotografski mojster
Q002820	Zdravnik specialist revmatologije
Q002821	Zdravnik specialist splošne kirurgije
Q002822	Zdravnik specialist torakalne kirurgije
Q002823	Veleposlanik
Q002824	Zdravnik specialist interne medicine
Q002825	Zdravnik specialist transfuzijske medicine
Q002826	Zdravnik specialist fizikalne in rehabilitacijske medicine
Q002827	Zdravnik specialist gastroenterologije
Q002828	Zdravnik specialist klinične genetike
Q002829	Zdravnik specialist klinične mikrobiologije
Q002830	Zdravnik specialist medicine dela, prometa in športa
Q002831	Zdravnik specialist plastične, rekonstrukcijske in estetske kirurgije
Q002832	Zdravnik specialist (razen splošne medicine)
Q002833	Zdravnik specialist hematologije
Q002834	Pooblaščeni minister veleposlaništva
Q002835	Zdravnik specialist intenzivne medicine
Q002836	Zdravnik specialist epidemiologije
Q002837	Zdravnik specialist higiene
Q002838	Zdravnik specialist socialne medicine
Q002839	Zdravnik specialist šolske medicine
Q002840	Zdravnik, specializant (razen splošne medicine)
Q002841	Organizator zdravstvene nege
Q002842	Organizator zdravstvene vzgoje
Q002843	Zdravstvenik (visoko zahtevna dela)
Q002844	Babičar (visoko zahtevna dela)
Q002845	Veterinar
Q002846	Generalni konzul
Q002847	Veterinarski inšpektor
Q002848	Patolog za živali
Q002849	Svetovalec za veterinarstvo
Q002850	Zobozdravnik
Q002851	Zobozdravnik specialist
Q002852	Farmacevt
Q002853	Konzul
Q002854	Kemik v farmaciji
Q002855	Farmacevt v industriji
Q002856	Klinični farmacevt
Q002857	Lekarnar
Q002858	Vodja indikacijskega področja, farmacija
Q002859	Farmakoinformator
Q002860	Pripravljalec registracijske dokumentacije v farmacevtski industriji
Q002861	Častnik
Q002862	Vicekonzul
Q002863	Organizator zdravstveno-higienskega režima
Q002864	Fizioterapevt
Q002865	Svetovalec za dietno prehrano
Q002866	Organizator prehrane
Q002867	Logoped za individualno govorno terapijo
Q002868	Sekretar diplomatsko konzularnega predstavništva
Q002869	Optometrist
Q002870	Svetovalec za zdravstvo
Q002871	Delovni terapevt
Q002872	Zdravstveni inšpektor
Q002873	Zdravnik, svetovalec za zdravstveno zavarovanje
Q002874	Nadzorni zdravnik
Q002875	Umetnostni terapevt
Q002876	Ambasador
Q002877	Izvedenec medicinske stroke, invalidsko in pokojninsko zavarovanje
Q002878	Visokošolski učitelj
Q002879	Docent
Q002880	Visokošolski sodelavec
Q002881	Načelnik upravne enote
Q002882	Predavatelj višje strokovne šole
Q002883	Inštruktor višje strokovne šole
