C000001_hr_000	Vojna zanimanja
C003225_hr_005	direktorica naftnorudarskih radova
C003225_hr_006	direktorica proizvodnje nafte i plina
C003225_hr_007	direktorica proizvodnje u rudarstvu
C003225_hr_008	direktorica proizvodnje u rudnicima
C003226_hr_000	računovodstveni stručnjak/računovodstvena stručnjakinja za dividende
C003226_hr_001	računovodstvena stručnjakinja za dividende
C003226_hr_002	računovodstveni stručnjak za dividende
C003226_hr_003	specijalist za računovodstvo dividendi
C003226_hr_004	specijalistica za računovodstvo dividendi
C003227_hr_000	nadzornik/nadzornica praonice rublja
C003227_hr_001	nadzornica praonice rublja
C003227_hr_002	nadzornik praonice rublja
C003227_hr_003	poslovotkinja u praonici rublja
C003227_hr_004	poslovođa u praonici rublja
C003228_hr_000	slastičar/slastičarka
C003228_hr_001	proizvođač slastica
C003228_hr_002	proizvođačica slastica
C003228_hr_003	slastičar
C003228_hr_004	slastičarka
C003229_hr_000	službenik /službenica za krajobraz
C003229_hr_001	krajobrazna službenica
C003229_hr_002	krajobrazni službenik
C003229_hr_003	službenica za krajobraz
C003229_hr_004	službenica za krajolik
C003229_hr_005	službenik za krajobraz
C003229_hr_006	službenik za krajolik
C003230_hr_000	stručnjak/stručnjakinja za oglašivanje
C003230_hr_001	specijalist za promidžbu i marketing
C003230_hr_002	specijalistica za promidžbu i marketing
C003230_hr_003	stručnjak za oglašavanje
C003230_hr_004	stručnjak za oglašivanje
C003230_hr_005	stručnjakinja za oglašavanje
C003230_hr_006	stručnjakinja za oglašivanje
C003231_hr_000	kemičar/kemičarka u proizvodnji mirisa
C003231_hr_001	kemičar u proizvodnji mirisa
C003231_hr_002	kemičar u proizvodnji parfema
C003231_hr_003	kemičarka u proizvodnji mirisa
C003231_hr_004	kemičarka u proizvodnji parfema
C003232_hr_000	prodavač/prodavačica u multimedijskoj trgovini
C003232_hr_001	prodavač u multimedijskoj trgovini
C003232_hr_002	prodavačica u multimedijskoj trgovini
C003233_hr_000	direktor/direktorica distribucije pića
C003233_hr_001	direktor distribucije pića
C003233_hr_002	direktorica distribucije pića
C003234_hr_000	savjetnik/savjetnica za patente
C003234_hr_001	savjetnica za patente
C003234_hr_002	savjetnik za patente
C003235_hr_000	direktor/direktorica distribucije strojeva i opreme za poljoprivredu
C003235_hr_001	direktor distribucije strojeva i opreme za poljoprivredu
C003235_hr_002	direktorica distribucije strojeva i opreme za poljoprivredu
C003236_hr_000	tehnolog/tehnologinja za uzgoj u akvakulturi
C003236_hr_001	tehnolog za uzgoj u akvakulturi
C003236_hr_002	tehnologinja za uzgoj u akvakulturi
C003236_hr_003	uzgajivač riba i školjki
C003236_hr_004	uzgajivač u mrjestilištu
C003236_hr_005	uzgajivačica riba i školjki
C003236_hr_006	uzgajivačica u mrjestilištu
C003237_hr_000	veletrgovac/veletrgovkinja pićima
C003237_hr_001	komercijalist veleprodaje za pića
C003237_hr_002	komercijalistica veleprodaje za pića
C003237_hr_003	prodajna predstavnica za pića
C003237_hr_004	prodajna zastupnica za pića
C003237_hr_005	prodajni predstavnik za pića
C003237_hr_006	prodajni zastupnik za pića
C003237_hr_007	trgovac pićima na veliko
C003237_hr_008	trgovkinja pićima na veliko
C003237_hr_009	veleprodajna komercijalistica za pića
C003237_hr_010	veleprodajna trgovkinja pićima
C003237_hr_011	veleprodajni komercijalist za pića
C003237_hr_012	veleprodajni trgovac pićima
C003237_hr_013	veletrgovac pićima
C003237_hr_014	veletrgovkinja pićima
C003238_hr_000	rukovatelj mlinom za kakao/rukovateljica mlinom za kakao
C003238_hr_001	djelatnica na mlinu za kakao
C003238_hr_002	djelatnik na mlinu za kakao
C003238_hr_003	radnica mlina za kakao
C003238_hr_004	radnik mlina za kakao
C003238_hr_005	rukovatelj mlinom za kakao
C003238_hr_006	rukovatelj mlinovima za kakao
C003238_hr_007	rukovateljica mlinom za kakao
C003238_hr_008	rukovateljica mlinovima za kakao
C003239_hr_000	arhitekt IKT mreža/arhitektica IKT mreža
C003239_hr_001	arhitekt mreža
C003239_hr_002	arhitekt za mreže
C003239_hr_003	arhitektica mreža
C003239_hr_004	arhitektica za mreže
C003239_hr_005	mrežna arhitektica
C003239_hr_006	mrežna inženjerka
C003239_hr_007	mrežni arhitekt
C003239_hr_008	mrežni inženjer
C003240_hr_000	rukovatelj mlinom za mljevenje alkohola/rukovateljica mlinom za mljevenje alkohola
C003240_hr_001	rukovatelj mlinom za mljevenje alkohola
C003240_hr_002	rukovatelj mlinom za mljevenje pića
C003240_hr_003	rukovateljica mlinom za mljevenje alkohola
C003240_hr_004	rukovateljica mlinom za mljevenje pića
C003241_hr_000	pomoćnik/pomoćnica direktora scene
C003241_hr_001	asistent direktora scene
C003241_hr_002	asistentica direktora scene
C003241_hr_003	pomoćnica direktora scene
C003241_hr_004	pomoćnik direktora scene
C003242_hr_000	prodavač/prodavačica slatkih i slanih delicija
C003242_hr_001	prodavač slatkih i slanih delicija
C003242_hr_002	prodavač u prodavaonici delikatesa
C003242_hr_003	prodavač u trgovini delikatesa
C003242_hr_004	prodavačica slatkih i slanih delicija
C003242_hr_005	prodavačica u prodavaonici delikatesa
C003242_hr_006	prodavačica u trgovini delikatesa
C003243_hr_000	građevinski projektant hidroelektrana/građevinska projektantica hidroelektrana
C003243_hr_001	građevinska projektantica hidroelektrana
C003243_hr_002	građevinski projektant hidroelektrana
C003244_hr_000	izrađivač/izrađivačica namještaja
C003244_hr_001	izrađivač namještaja
C003244_hr_002	izrađivačica namještaja
C003245_hr_000	gradski planer/gradska planerica
C003245_hr_001	gradska planerica
C003245_hr_002	gradski planer
C003245_hr_003	urbana planerica
C003245_hr_004	urbani planer
C003246_hr_000	izrađivač/izrađivačica svijeća
C003246_hr_001	izrađivač svijeća
C003246_hr_002	izrađivačica svijeća
C003247_hr_000	ravnatelj/ravnateljica škole
C003247_hr_001	ravnatelj škole
C003247_hr_002	ravnateljica škole
C003248_hr_000	stručnjak/stručnjakinja za određivanje cijena
C003248_hr_001	specijalist za utvrđivanje cijena
C003248_hr_002	specijalistica za utvrđivanje cijena
C003248_hr_003	stručnjak za određivanje cijena
C003248_hr_004	stručnjakinja za određivanje cijena
C003249_hr_000	radnik/radnica u samoposlužnoj praonici rublja
C003249_hr_001	radnica u samoposlužnoj praonici rublja
C003249_hr_002	radnik u samoposlužnoj praonici rublja
C003250_hr_000	rukovatelj/rukovateljica uređajem za oblikovanje staklenih proizvoda
C003250_hr_001	rukovatelj pećima za otpuštanje stakla
C003250_hr_002	rukovatelj prešom za staklo
C003250_hr_003	rukovatelj strojem za kruške žarulja
C003250_hr_004	rukovatelj strojem za puhanje stakla
C003250_hr_005	rukovatelj strojem za staklene cijevi
C003250_hr_006	rukovatelj strojem za valjano staklo
C003250_hr_007	rukovatelj strojem za šuplje staklo
C003250_hr_008	rukovatelj uređajem za ravno staklo
C003250_hr_009	rukovatelj uređajem za staklene proizvode
C003250_hr_010	rukovateljica pećima za otpuštanje stakla
C003250_hr_011	rukovateljica prešom za staklo
C003250_hr_012	rukovateljica strojem za kruške žarulja
C003250_hr_013	rukovateljica strojem za puhanje stakla
C003250_hr_014	rukovateljica strojem za staklene cijevi
C003250_hr_015	rukovateljica strojem za valjano staklo
C003250_hr_016	rukovateljica strojem za šuplje staklo
C003250_hr_017	rukovateljica uređajem za ravno staklo
C003250_hr_018	rukovateljica uređajem za staklene proizvode
C003251_hr_000	savjetnik/savjetnica za useljenike
C003251_hr_001	savjetnica za useljenike
C003251_hr_002	savjetnik za useljenike
C003252_hr_000	IKT sistem arhitekt/ arhitektica
C003252_hr_001	IKT sistem arhitekt
C003252_hr_002	IKT sistemska arhitektica
C003252_hr_003	IKT sistemski arhitekt
C003252_hr_004	arhitekt IT sustava
C003252_hr_005	arhitektica IT sustava
C003252_hr_006	sistem arhitekt
C003252_hr_007	sistem arhitektica
C003253_hr_000	voditelj/voditeljica prodavaonice bombona
C003253_hr_001	voditelj prodavaonice bombona
C003253_hr_002	voditeljica prodavaonice bombona
C003254_hr_000	pomoćnik/pomoćnica u kuhinji
C003254_hr_001	asistent u kuhinji
C003254_hr_002	asistentica u kuhinji
C003254_hr_003	pomoćnica u kuhinji
C003254_hr_004	pomoćnik u kuhinji
C003255_hr_000	savjetnik /savjetnica za stoku
C003255_hr_001	poslovna savjetnica za stoku
C003255_hr_002	poslovni savjetnik za stoku
C003255_hr_003	savjetnica za pitanja stoke
C003255_hr_004	savjetnica za poljoprivredu
C003255_hr_005	savjetnica za stoku
C003255_hr_006	savjetnik za pitanja stoke
C003255_hr_007	savjetnik za poljoprivredu
C003255_hr_008	savjetnik za stoku
C003256_hr_000	špediterski službenik/špediterska službenica za uvoz i izvoz tekstila i tekstilnih poluproizvoda
C003256_hr_001	službenica uvoza i izvoza tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_002	službenik uvoza i izvoza tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_003	tehničar za logistiku i špediciju za uvoz i izvoz tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_004	tehničarka za logistiku i špediciju za uvoz i izvoz tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_005	špediterska službenica uvoza/izvoza tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_006	špediterska tehničarka za uvoz i izvoz tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_007	špediterski službenik uvoza/izvoza tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_008	špediterski službenik za uvoz i izvoz tekstila i tekstilnih poluproizvoda i sirovina
C003256_hr_009	špediterski tehničar za uvoz i izvoz tekstila i tekstilnih poluproizvoda i sirovina
C003257_hr_000	koktel majstor/koktel majstorica
C003257_hr_001	koktel majstor
C003257_hr_002	koktel majstorica
C003257_hr_003	priprematelj koktela
C003257_hr_004	pripremateljica koktela
C003258_hr_000	upravitelj/upraviteljica imovine
C003258_hr_001	upravitelj imovine
C003258_hr_002	upravitelj imovinom
C003258_hr_003	upraviteljica imovine
C003258_hr_004	upraviteljica imovinom
C003259_hr_000	direktor/direktorica turističke zajednice
C003259_hr_001	direktor turističke zajednice
C003259_hr_002	direktorica turističke zajednice
C003260_hr_000	glavni direktor /glavna direktorica za analizu podataka
C003260_hr_001	glavna direktorica analize podataka
C003260_hr_002	glavna direktorica za analitiku
C003260_hr_003	glavni direktor analize podataka
C003260_hr_004	glavni direktor za analitiku
C003260_hr_005	glavni direktor za analizu podataka
C003261_hr_000	tehnolog/tehnologinja kemijskog farmaceutskog inženjerstva
C003261_hr_001	tehnolog farmaceutskih proizvoda
C003261_hr_002	tehnolog kemijskog farmaceutskog inženjerstva
C003261_hr_003	tehnologinja farmaceutskih proizvoda
C003261_hr_004	tehnologinja kemijskog farmaceutskog inženjerstva
C003262_hr_000	direktor/direktorica poslovanja nakladničkog društva
C003262_hr_001	direktor poslovanja nakladničkog društva
C003262_hr_002	direktorica poslovanja nakladničkog društva
C003262_hr_003	nakladnica
C003262_hr_004	nakladnik
C003263_hr_000	predradnik/predradnica montaže motornih vozila
C003263_hr_001	poslovotkinja montaže motornih vozila
C003263_hr_002	poslovođa montaže motornih vozila
C003263_hr_003	predradnica montaže motornih vozila
C003263_hr_004	predradnik montaže motornih vozila
C003263_hr_005	voditelj montaže u autoindustriji
C003263_hr_006	voditeljica montaže u autoindustriji
C003264_hr_000	sastavljač/sastavljačica bicikla
C003264_hr_001	sastavljač bicikla
C003264_hr_002	sastavljačica bicikla
C003265_hr_000	poslužitelj/poslužiteljica zabavnog parka
C003265_hr_001	poslužitelj zabavnog parka
C003265_hr_002	poslužiteljica zabavnog parka
C003265_hr_003	radnica u lunaparku
C003265_hr_004	radnica u zabavnom parku
C003265_hr_005	radnik u lunaparku
C003265_hr_006	radnik u zabavnom parku
C003266_hr_000	kompjuterski znanstvenik/kompjuterska znanstvenica
C003266_hr_001	IKT istraživač
C003266_hr_002	IKT istraživačica
C003266_hr_003	IKT znanstvenica
C003266_hr_004	IKT znanstvenik
C003266_hr_005	istraživač IKT-a
C003266_hr_006	istraživač u IKT-u
C003266_hr_007	istraživačica IKT-a
C003266_hr_008	istraživačica u IKT-u
C003267_hr_000	predradnik/predradnica montaže u drvnoj industriji
C003267_hr_001	poslovotkinja montaže u drvnoj industriji
C003267_hr_002	poslovođa montaže u drvnoj industriji
C003267_hr_003	predradnica montaže u drvnoj industriji
C003267_hr_004	predradnik montaže u drvnoj industriji
C003267_hr_005	voditelj odjela drvne finalne obrade i montaže
C003267_hr_006	voditelj poslova strojne obrade, masiva i montaže
C003267_hr_007	voditeljica odjela drvne finalne obrade i montaže
C003267_hr_008	voditeljica poslova strojne obrade, masiva i montaže
C003268_hr_000	djelatnik na fermentaciji jabukovače/djelatnica na fermentaciji jabukovače
C003268_hr_001	djelatnica na fermentaciji jabukovače
C003268_hr_002	djelatnik na fermentaciji jabukovače
C003268_hr_003	radnica koja fermentira jabukovaču
C003268_hr_004	radnik koji fermentira jabukovaču
C003269_hr_000	arhivar/arhivarka
C003269_hr_001	arhivar
C003269_hr_002	arhivarka
C003269_hr_003	arhivist
C003269_hr_004	arhivistica
C003269_hr_005	voditelj arhive
C003269_hr_006	voditeljica arhive
C003270_hr_000	specijalist/specijalistica očuvanja prirodnih dobara
C003270_hr_001	specijalist očuvanja prirodnih dobara
C003270_hr_002	specijalistica očuvanja prirodnih dobara
C003270_hr_003	stručnjak za očuvanje prirode
C003270_hr_004	stručnjakinja za očuvanje prirode
C003271_hr_000	djelatnik /djelatnica u proizvodnji hrane
C003271_hr_001	djelatnica u proizvodnji hrane
C003271_hr_002	djelatnik u proizvodnji hrane
C003271_hr_003	radnica u proizvodnji hrane
C003271_hr_004	radnik u proizvodnji hrane
C003272_hr_000	časnik / časnica palube
C003272_hr_001	prva časnica palube
C003272_hr_002	prvi časnik palube
C003272_hr_003	časnica palube
C003272_hr_004	časnik palube
C003273_hr_000	posrednik/posrednica u gospodarenju otpadom
C003273_hr_001	posrednica u gospodarenju otpadom
C003273_hr_002	posrednik u gospodarenju otpadom
C003274_hr_000	savjetnik/savjetnica za zapošljavanje
C003274_hr_001	savjetnica za zapošljavanje
C003274_hr_002	savjetnik za zapošljavanje
C003274_hr_003	stručnjak za pronalaženje posla
C003274_hr_004	stručnjakinja za pronalaženje posla
C003275_hr_000	postavljač/postavljačica tepiha
C003275_hr_001	postavljač tepiha
C003275_hr_002	postavljačica tepiha
C003276_hr_000	bojnik/bojnica
C003276_hr_001	bojnica
C003276_hr_002	bojnica u ratnom zrakoplovstvu
C003276_hr_003	bojnica vojna specijalistica
C003276_hr_004	bojnik
C003276_hr_005	bojnik u ratnom zrakoplovstvu
C003276_hr_006	bojnik vojni specijalist
C003276_hr_007	zapovjednica eskadrile
C003276_hr_008	zapovjednik eskadrile
C003276_hr_009	časnica
C003276_hr_010	časnik
C003277_hr_000	polirač/poliračica nakita
C003277_hr_001	polirač nakita
C003277_hr_002	poliračica nakita
C003278_hr_000	dekan/dekanica fakulteta
C003278_hr_001	dekan
C003278_hr_002	dekan fakulteta
C003278_hr_003	dekanica
C003278_hr_004	dekanica fakulteta
C003279_hr_000	bojnik/bojnica kopnene vojske/n
C003279_hr_001	bojnica kopnene vojske
C003279_hr_002	bojnica vojna specijalistica
C003279_hr_003	bojnik kopnene vojske
C003279_hr_004	bojnik vojni specijalist
C003279_hr_005	potpukovnica
C003279_hr_006	potpukovnik
C003280_hr_000	trgovac/trgovkinja sirovinama
C003280_hr_001	trader (m/ž)
C003280_hr_002	trgovac sirovinama
C003280_hr_003	trgovkinja sirovinama
C003281_hr_000	dispečer/dispečerica u glavnom skladištu
C003281_hr_001	dispečer u centralnom skladištu
C003281_hr_002	dispečer u glavnom skladištu
C003281_hr_003	dispečer u skladištu
C003281_hr_004	dispečerica u centralnom skladištu
C003281_hr_005	dispečerica u glavnom skladištu
C003281_hr_006	dispečerica u skladištu
C003282_hr_000	statist/statistica
C003282_hr_001	filmska statistica
C003282_hr_002	filmski statist
C003282_hr_003	statist
C003282_hr_004	statist / glumac amater
C003282_hr_005	statistica
C003282_hr_006	statistica / glumica amaterka
C003283_hr_000	direktor/direktorica proizvodnje kožne galanterije
C003283_hr_001	direktor proizvodnje kožne galanterije
C003283_hr_002	direktorica proizvodnje kožne galanterije
C003284_hr_000	stomatolog/stomatologinja
C003284_hr_001	doktor dentalne medicine
C003284_hr_002	doktorica dentalne medicine
C003284_hr_003	stomatolog
C003284_hr_004	stomatologinja
C003284_hr_005	zubar
C003284_hr_006	zubarica
C003285_hr_000	dispečer/dispečerka leta
C003285_hr_001	dispečer leta
C003285_hr_002	dispečerka leta
C003285_hr_003	operativna kontrolorka prometa
C003285_hr_004	operativni kontrolor prometa
C003286_hr_000	smetlar/smetlarica
C003286_hr_001	komunalna radnica
C003286_hr_002	komunalni radnik
C003286_hr_003	radnica na odvozu otpada
C003286_hr_004	radnica na odvoženju otpada
C003286_hr_005	radnik na odvozu otpada
C003286_hr_006	radnik na odvoženju otpada
C003286_hr_007	smetlar
C003286_hr_008	smetlarica
C003286_hr_009	smetljar
C003286_hr_010	smetljarka
C003286_hr_011	utovarivač otpada
C003286_hr_012	utovarivačica otpada
C003286_hr_013	škovacin
C003286_hr_014	škovacinka
C003287_hr_000	pisac/spisateljica tekstova za pjesme
C003287_hr_001	autor stihova
C003287_hr_002	autorica stihova
C003287_hr_003	pisac tekstova za pjesme
C003287_hr_004	spisateljica tekstova za pjesme
C003288_hr_000	voditelj/voditeljica podvodnih radova
C003288_hr_001	voditelj podvodnih radova
C003288_hr_002	voditeljica podvodnih radova
C003289_hr_000	ispitivač/ispitivačica motora u morskim plovilima
C003289_hr_001	ispitivač motora u morskim plovilima
C003289_hr_002	ispitivačica motora u morskim plovilima
C003290_hr_000	menadžer/menadžerica proizvoda i usluga
C003290_hr_001	menadžer proizvoda i usluga
C003290_hr_002	menadžerica proizvoda i usluga
C003291_hr_000	vinogradarski radnik/vinogradarska radnica
C003291_hr_001	pomoćna radnica u vinogradu
C003291_hr_002	pomoćna vinogradarka
C003291_hr_003	pomoćni radnik u vinogradu
C003291_hr_004	pomoćni vinogradar
C003291_hr_005	radnica u vinogradu
C003291_hr_006	radnik u vinogradu
C003291_hr_007	vinogradarska radnica
C003291_hr_008	vinogradarski radnik
C003292_hr_000	terapeut/terapeutkinja uz pomoć životinja
C003292_hr_001	edukacijska rehabilitatorica
C003292_hr_002	edukacijski rehabilitator
C003292_hr_003	hipoterapeut
C003292_hr_004	hipoterapeutkinja
C003292_hr_005	terapeut uz pomoć životinja
C003292_hr_006	terapeutkinja uz pomoć životinja
C003293_hr_000	mehaničar/mehaničarka strojeva za obućarstvo
C003293_hr_001	mehaničar strojeva za obućarstvo
C003293_hr_002	mehaničarka strojeva za obućarstvo
C003294_hr_000	hotelski batler/hotelska batlerica
C003294_hr_001	batler
C003294_hr_002	batlerica
C003294_hr_003	glavna služavka
C003294_hr_004	glavni sluga
C003294_hr_005	hotelska batlerica
C003294_hr_006	hotelski batler
C003294_hr_007	upravitelj kućom
C003294_hr_008	upraviteljica kućom
C003295_hr_000	ručni šivač kožne galanterije
C003295_hr_001	ručna šivačica kožne galanterije
C003296_hr_000	elektroinženjer/elektroinženjerka za mjerenja i instrumentaciju
C003296_hr_001	elektroinženjer za automatsko upravljanje tehničkim sustavima
C003296_hr_002	elektroinženjer za mjerenja i instrumentaciju
C003296_hr_003	elektroinženjerka za automatsko upravljanje tehničkim sustavima
C003296_hr_004	elektroinženjerka za mjerenja i instrumentaciju
C003296_hr_005	inženjer za instrumente
C003296_hr_006	inženjerka za instrumente
C003297_hr_000	elektroinženjer/elektroinženjerka u rudarstvu
C003297_hr_001	elektroinženjer u rudarstvu
C003297_hr_002	elektroinženjerka u rudarstvu
C003298_hr_000	tehničar/tehničarka baždarenja mjernih instrumenata
C003298_hr_001	fizikalna tehničarka
C003298_hr_002	fizikalni tehničar
C003298_hr_003	tehničar baždarenja mjernih instrumenata
C003298_hr_004	tehničarka baždarenja mjernih instrumenata
C003299_hr_000	tehnički zastupnik/tehnička zastupnica trgovine uredskim strojevima i opremom
C003299_hr_001	tehnička zastupnica trgovine uredskim strojevima i opremom
C003299_hr_002	tehnički zastupnik trgovine uredskim strojevima i opremom
C003300_hr_000	ocjenjivač/ocjenjivačica koža
C003300_hr_001	ocjenjivač koža
C003300_hr_002	ocjenjivačica koža
C003301_hr_000	špediterski službenik/špediterska službenica za uvoz i izvoz metala i metalnih ruda
C003301_hr_001	službenica uvoza i izvoza metala i metalnih ruda
C003301_hr_002	službenik uvoza i izvoza metala i metalnih ruda
C003301_hr_003	tehničar za logistiku i špediciju za uvoz i izvoz metala i metalnih ruda
C003301_hr_004	tehničarka za logistiku i špediciju za uvoz i izvoz metala i metalnih ruda
C003301_hr_005	špediterska službenica uvoza/izvoza metala i metalnih ruda
C003301_hr_006	špediterska službenica za uvoz i izvoz metala i metalnih ruda
C003301_hr_007	špediterska tehničarka za uvoz i izvoz metala i metalnih ruda
C003301_hr_008	špediterski službenik uvoza/izvoza metala i metalnih ruda
C003301_hr_009	špediterski službenik za uvoz i izvoz metala i metalnih ruda
C003301_hr_010	špediterski tehničar za uvoz i izvoz metala i metalnih ruda
C003302_hr_000	voditelj/voditeljica zbirke zoološkog vrta
C003302_hr_001	voditelj zbirke zoološkog vrta
C003302_hr_002	voditeljica zbirke zoološkog vrta
C003303_hr_000	predavač/predavačica kemije
C003303_hr_001	predavač kemije
C003303_hr_002	predavačica kemije
C003303_hr_003	sveučilišna profesorica kemije
C003303_hr_004	sveučilišni profesor kemije
C003304_hr_000	osobni vozač/osobna vozačica
C003304_hr_001	osobna vozačica
C003304_hr_002	osobni vozač
C003305_hr_000	špediterski službenik/špediterska službenica za uvoz i izvoz kućanskih aparata
C003305_hr_001	službenica uvoza i izvoza kućanskih aparata
C003305_hr_002	službenik uvoza i izvoza kućanskih aparata
C003305_hr_003	tehničar za logistiku i špediciju za uvoz i izvoz kućanskih aparata
C003305_hr_004	tehničarka za logistiku i špediciju za uvoz i izvoz kućanskih aparata
C003305_hr_005	špediterska službenica uvoza/izvoza kućanskih aparata
C003305_hr_006	špediterska službenica za uvoz i izvoz kućanskih aparata
C003305_hr_007	špediterska tehničarka za uvoz i izvoz kućanskih aparata
C003305_hr_008	špediterski službenik uvoza/izvoza kućanskih aparata
C003305_hr_009	špediterski službenik za uvoz i izvoz kućanskih aparata
C003305_hr_010	špediterski tehničar za uvoz i izvoz kućanskih aparata
C003306_hr_000	strukovni učitelj/strukovna učiteljica tjelesne i zdravstvene kulture
C003306_hr_001	strukovna učiteljica tjelesne i zdravstvene kulture
C003306_hr_002	strukovna učiteljica tjelesnog i zdravstvenog odgoja
C003306_hr_003	strukovni učitelj tjelesne i zdravstvene kulture
C003306_hr_004	strukovni učitelj tjelesnog i zdravstvenog odgoja
C003307_hr_000	vrtlar/vrtlarka krajobraza
C003307_hr_001	vrtlar krajobraza
C003307_hr_002	vrtlar krajolika
C003307_hr_003	vrtlar za krajobraz
C003307_hr_004	vrtlar za krajolik
C003307_hr_005	vrtlarica krajobraza
C003307_hr_006	vrtlarka krajolika
C003307_hr_007	vrtlarka za krajobraz
C003307_hr_008	vrtlarka za krajolik
C003308_hr_000	mješatelj/mješateljica pjenaste gume
C003308_hr_001	mješatelj pjenaste gume
C003308_hr_002	mješateljica pjenaste gume
C003308_hr_003	mješač pjenaste gume
C003308_hr_004	mješačica pjenaste gume
C003309_hr_000	voditelj/voditeljica prodavaonice opreme za vrt i okućnicu
C003309_hr_001	voditelj prodavaonice opreme za vrt i okućnicu
C003309_hr_002	voditeljica prodavaonice opreme za vrt i okućnicu
C003310_hr_000	rukovatelj/rukovateljica opremom za oblaganje klinastih remena
C003310_hr_001	rukovatelj opremom za oblaganje klinastih remena
C003310_hr_002	rukovateljica opremom za oblaganje klinastih remena
C003311_hr_000	osteopat/osteopatkinja za životinje
C003311_hr_001	fizikalna terapeutkinja za životinje
C003311_hr_002	fizikalni terapeut za životinje
C003311_hr_003	osteopat za životinje
C003311_hr_004	osteopat životinja
C003311_hr_005	osteopatkinja za životinje
C003311_hr_006	osteopatkinja životinja
C003311_hr_007	terapeut za životinje
C003311_hr_008	terapeutkinja za životinje
C003312_hr_000	direktor/direktorica distribucije šećera, čokolade i bombona
C003312_hr_001	direktor distribucije šećera, čokolade i bombona
C003312_hr_002	direktorica distribucije šećera, čokolade i bombona
C003313_hr_000	tehničar/tehničarka zaštite okoliša
C003313_hr_001	ekološka tehničarka
C003313_hr_002	ekološki tehničar
C003313_hr_003	tehničar zaštite okoliša
C003313_hr_004	tehničarka zaštite okoliša
C003314_hr_000	električar/električar za događanja
C003314_hr_001	električar za događanja
C003314_hr_002	električarka za događanja
C003315_hr_000	pripovjedač/pripovjedačica
C003315_hr_001	narator
C003315_hr_002	pripovjedač
C003315_hr_003	pripovjedačica
C003316_hr_000	profesor/profesorica filozofije, srednja škola
C003316_hr_001	profesor filozofije, srednja škola
C003316_hr_002	profesorica filozofije, srednja škola
C003317_hr_000	direktor /direktorica za odnose u IKT prodaji
C003317_hr_001	direktor odnosa u IKT prodaji
C003317_hr_002	direktor za odnose u IKT prodaji
C003317_hr_003	direktor za odnose u IT prodaji
C003317_hr_004	direktorica za odnose u IKT prodaji
C003317_hr_005	direktorica za odnose u IT prodaji
C003318_hr_000	procjenjitelj/procjenjiteljica šteta
C003318_hr_001	procjenjitelj šteta
C003318_hr_002	procjenjitelj šteta imovine
C003318_hr_003	procjenjitelj šteta motornih vozila
C003318_hr_004	procjenjitelj šteta na motornim vozilima
C003318_hr_005	procjenjitelj štete
C003318_hr_006	procjenjiteljica šteta
C003318_hr_007	procjenjiteljica šteta imovine
C003318_hr_008	procjenjiteljica šteta motornih vozila
C003318_hr_009	procjenjiteljica šteta na motornim vozilima
C003318_hr_010	procjenjiteljica štete
C003319_hr_000	preuzimatelj/preuzimateljica rizika
C003319_hr_001	preuzimatelj rizika
C003319_hr_002	preuzimateljica rizika
C003319_hr_003	preuzimač rizika
C003319_hr_004	preuzimačica rizika
C003319_hr_005	samostalna preuzimateljica rizika
C003319_hr_006	samostalni preuzimatelj rizika
C003320_hr_000	procjenjitelj/procjenjiteljica imovine
C003320_hr_001	procjenitelj
C003320_hr_002	procjeniteljica
C003320_hr_003	procjenjitelj imovine
C003320_hr_004	procjenjitelj za imovinu
C003320_hr_005	procjenjiteljica imovine
C003320_hr_006	procjenjiteljica za imovinu
C003321_hr_000	tehnolog/tehnologinja u mrijestilištu u akvakulturi
C003321_hr_001	tehnolog u mrijestilištu u akvakulturi
C003321_hr_002	tehnologinja u mrijestilištu u akvakulturi
C003322_hr_000	voditelj/voditeljica službe za osiguranje
C003322_hr_001	voditelj službe za osiguranje
C003322_hr_002	voditelj tehničke zaštite
C003322_hr_003	voditelj zaštitara
C003322_hr_004	voditeljica službe za osiguranje
C003322_hr_005	voditeljica tehničke zaštite
C003322_hr_006	voditeljica zaštitara
C003323_hr_000	špediterski službenik/špediterska službenica za uvoz i izvoz kemijskih proizvoda
C003323_hr_001	službenica uvoza i izvoza kemijskih proizvoda
C003323_hr_002	službenik uvoza i izvoza kemijskih proizvoda
C003323_hr_003	tehničar za logistiku i špediciju za uvoz i izvoz kemijskih proizvoda
C003323_hr_004	tehničarka za logistiku i špediciju za uvoz i izvoz kemijskih proizvoda
C003323_hr_005	špediterska službenica uvoza/izvoza kemijskih proizvoda
C003323_hr_006	špediterska službenica za uvoz i izvoz kemijskih proizvoda
C003323_hr_007	špediterska tehničarka za uvoz i izvoz kemijskih proizvoda
C003323_hr_008	špediterski službenik uvoza/izvoza kemijskih proizvoda
C003323_hr_009	špediterski službenik za uvoz i izvoz kemijskih proizvoda
