C000001_sl_000	Vojaški poklici
C003066_sl_000	vodja upravljanja zračnega prostora
C003066_sl_001	menedžer za upravljanje zračnega prostora
C003066_sl_002	menedžerka za upravljanje zračnega prostora
C003067_sl_000	vodja socialno-varstvene ustanove
C003067_sl_001	direktor centra za socialno delo
C003067_sl_002	direktor na področju socialnega varstva
C003067_sl_003	direktor socialno-varstvene ustanove
C003067_sl_004	direktorica centra za socialno delo
C003067_sl_005	direktorica na področju socialnega varstva
C003067_sl_006	direktorica socialno-varstvene ustanove
C003068_sl_000	umetniški model
C003069_sl_000	monter/monterka žerjavov
C003069_sl_001	monter žerjavov
C003069_sl_002	monterka žerjavov
C003069_sl_003	serviser žerjavov
C003069_sl_004	serviserka žerjavov
C003070_sl_000	polirec/polirka kovin
C003070_sl_001	polirec kovin
C003070_sl_002	polirka kovin
C003071_sl_000	vzdrževalec/vzdrževalka telekomunikacijske opreme
C003071_sl_001	tehnik za TK
C003071_sl_002	tehnik za telekomunikacije
C003071_sl_003	tehnik za vzdrževanje telekomunikacijske opreme
C003071_sl_004	tehničarka za TK
C003071_sl_005	tehničarka za telekomunikacije
C003071_sl_006	tehničarka za vzdrževanje telekomunikacijske opreme
C003071_sl_007	vzdrževalec opreme za TK
C003071_sl_008	vzdrževalec opreme za telekomunikacije
C003071_sl_009	vzdrževalec telekomunikacijske opreme
C003071_sl_010	vzdrževalka opreme za TK
C003071_sl_011	vzdrževalka opreme za telekomunikacije
C003071_sl_012	vzdrževalka telekomunikacijske opreme
C003072_sl_000	načrtovalec/načrtovalka programske opreme
C003072_sl_001	načrtovalec
C003072_sl_002	načrtovalec PO
C003072_sl_003	načrtovalec programske opreme
C003072_sl_004	načrtovalka PO
C003072_sl_005	načrtovalka programja
C003072_sl_006	načrtovalka programske opreme
C003072_sl_007	programska arhitektka
C003072_sl_008	programska načrtovalka
C003072_sl_009	programski arhitekt
C003072_sl_010	programski načrtovalec
C003073_sl_000	izdelovalec/izdelovalka violin
C003073_sl_001	izdelovalec violin
C003073_sl_002	izdelovalka violin
C003074_sl_000	upravljavec/upravljavka naprav za proizvodnjo papirjevine
C003074_sl_001	upravljavec naprav za proizvodnjo papirjevine
C003074_sl_002	upravljavec strojev za pripravo papirjevine
C003074_sl_003	upravljavka naprav za proizvodnjo papirjevine
C003074_sl_004	upravljavka strojev za pripravo papirjevine
C003075_sl_000	direktor/direktorica borznoposredniške družbe
C003075_sl_001	direktor borzno posredniške družbe
C003075_sl_002	direktorica borzno posredniške družbe
C003075_sl_003	vodja borzno posredniške hiše
C003076_sl_000	laboratorijski tehnik/laboratorijska tehnica za citologijo
C003076_sl_001	laboratorijska tehnica citopatologije
C003076_sl_002	laboratorijska tehnica za citologijo
C003076_sl_003	laboratorijski tehnik citopatologije
C003076_sl_004	laboratorijski tehnik za citologijo
C003077_sl_000	instruktor/instruktorica kabinskega osebja
C003077_sl_001	instruktor kabinskega osebja
C003077_sl_002	instruktorica kabinskega osebja
C003077_sl_003	inštruktor kabinskega osebja
C003077_sl_004	inštruktorica kabinskega osebja
C003078_sl_000	loterijski operater/loterijska operaterka
C003078_sl_001	loterijska operaterka
C003078_sl_002	loterijski operater
C003078_sl_003	loterist
C003078_sl_004	loteristka
C003079_sl_000	ustni higienik/ustna higieničarka
C003079_sl_001	higienik v zobozdravstvu
C003079_sl_002	higieničarka v zobozdravstvu
C003079_sl_003	ustna higieničarka
C003079_sl_004	ustni higienik
C003079_sl_005	zobozdravstvena higieničarka
C003079_sl_006	zobozdravstveni higienik
C003080_sl_000	finomehanik/finomehaničarka
C003080_sl_001	finomehanik
C003080_sl_002	finomehaničarka
C003081_sl_000	tehnični zastopnik/tehnična zastopnica za prodajo strojev za tekstilno industrijo
C003081_sl_001	tehnična zastopnica za prodajo strojev za tekstilno industrijo
C003081_sl_002	tehnični zastopnik za prodajo strojev za tekstilno industrijo
C003082_sl_000	modni stilist/modna stilistka
C003082_sl_001	modna stilistka
C003082_sl_002	modni stilist
C003082_sl_003	ustvarjalec modnih oblačil
C003082_sl_004	ustvarjalka modnih oblačil
C003083_sl_000	kostumograf/kostumografinja
C003083_sl_001	kostumograf
C003083_sl_002	kostumografinja
C003083_sl_003	kostumografka
C003083_sl_004	oblikovalec kostumov
C003083_sl_005	oblikovalka kostumov
C003084_sl_000	asistent/asistentka v klinični psihologiji
C003084_sl_001	asistent v klinični psihologiji
C003084_sl_002	asistentka v klinični psihologiji
C003085_sl_000	hostesnik/hostesa v klubu
C003085_sl_001	hostesa v klubu
C003085_sl_002	hostesnik v klubu
C003086_sl_000	sortirec/sortirka
C003086_sl_001	sortirec
C003086_sl_002	sortirka
C003087_sl_000	perutninar/perutninarka
C003087_sl_001	perutninar
C003087_sl_002	perutninarka
C003087_sl_003	rejec gosi
C003087_sl_004	rejec kokoši
C003087_sl_005	rejec perutnine
C003087_sl_006	rejec piščancev
C003087_sl_007	rejec puranov
C003087_sl_008	rejka gosi
C003087_sl_009	rejka kokoši
C003087_sl_010	rejka perutnine
C003087_sl_011	rejka piščancev
C003087_sl_012	rejka puranov
C003088_sl_000	notar/notarka
C003088_sl_001	notar
C003088_sl_002	notarka
C003088_sl_003	notarska kandidatka
C003088_sl_004	notarski kandidat
C003089_sl_000	vodja izobraževalnih programov
C003089_sl_001	koordinator izobraževalnih programov
C003089_sl_002	koordinator študijskih programov
C003089_sl_003	koordinatorka izobraževalnih programov
C003089_sl_004	koordinatorka študijskih programov
C003089_sl_005	sestavljavec učnih načrtov
C003089_sl_006	sestavljavka učnih načrtov
C003089_sl_007	svetovalec za izobraževalne programe
C003089_sl_008	svetovalka za izobraževalne programe
C003090_sl_000	korepetitor/korepetitorka
C003090_sl_001	korepetitor
C003090_sl_002	korepetitor pri petju
C003090_sl_003	korepetitorka
C003090_sl_004	korepetitorka pri petju
C003091_sl_000	posrednik/posrednica pri oddaji nepremičnin
C003091_sl_001	posrednica pri oddaji nepremičnin
C003091_sl_002	posrednik pri oddaji nepremičnin
C003092_sl_000	upravljavec/upravljavka obrata za predelavo plina
C003092_sl_001	upravljavec obrata za predelavo plina
C003092_sl_002	upravljavka obrata za predelavo plina
C003093_sl_000	tehnik/tehnica za optomehaniko
C003093_sl_001	tehnica za optomehaniko
C003093_sl_002	tehnik za optomehaniko
C003094_sl_000	finančni svetovalec/finančna svetovalka za poslovanje s podjetji
C003094_sl_001	finančna svetovalka za poslovanje s podjetji
C003094_sl_002	finančni svetovalec za poslovanje s podjetji
C003095_sl_000	kreativni direktor/kreativna direktorica
C003095_sl_001	kreativna direktorica
C003095_sl_002	kreativni direktor
C003096_sl_000	mojster/mojstrica izdelave jabolčnika
C003096_sl_001	mojster izdelave jabolčnega mošta
C003096_sl_002	mojster izdelave jabolčnika
C003096_sl_003	mojster izdelave mošta
C003096_sl_004	mojstrica izdelave jabolčnega mošta
C003096_sl_005	mojstrica izdelave jabolčnika
C003096_sl_006	mojstrica izdelave mošta
C003097_sl_000	sodelavec/sodelavka za statistične izračune in prikaze
C003097_sl_001	sodelavec za statistične izračune in prikaze
C003097_sl_002	sodelavka za statistične izračune in prikaze
C003098_sl_000	vodja pravne službe
C003098_sl_001	direktor službe za pravne zadeve
C003098_sl_002	direktorica službe za pravne zadeve
C003098_sl_003	vodja službe za pravne zadeve
C003099_sl_000	upravljavec/upravljavka fermentorja
C003099_sl_001	upravljavec fermentorja
C003099_sl_002	upravljavka fermentorja
C003100_sl_000	novinar/novinarka za kulturno-umetniški in razvedrilni program
C003100_sl_001	novinar za družabno kroniko
C003100_sl_002	novinar za film in gledališče
C003100_sl_003	novinar za kulturo
C003100_sl_004	novinar za kulturo in zabavo
C003100_sl_005	novinarka za družabno kroniko
C003100_sl_006	novinarka za film in gledališče
C003100_sl_007	novinarka za kulturo
C003100_sl_008	novinarka za kulturo in zabavo
C003101_sl_000	polnilec/polnilka polic
C003101_sl_001	polnilec polic
C003101_sl_002	polnilka polic
C003102_sl_000	vodja vrtnarske pridelave
C003102_sl_001	pridelovalec vrtnin
C003102_sl_002	pridelovalka vrtnin
C003102_sl_003	vodja hortikulture
C003102_sl_004	vodja hortikulturne pridelave
C003102_sl_005	vrtnarska pridelovalka
C003102_sl_006	vrtnarski pridelovalec
C003103_sl_000	novinar/novinarka za črno kroniko
C003103_sl_001	novinar za črno kroniko
C003103_sl_002	novinar črne kronike
C003103_sl_003	novinarka za črno kroniko
C003103_sl_004	novinarka črne kronike
C003103_sl_005	preiskovalna novinarka
C003103_sl_006	preiskovalni novinar
C003104_sl_000	trgovec/trgovka na debelo z lesom in gradbenim materialom
C003104_sl_001	trgovec na debelo z lesom in gradbenim materialom
C003104_sl_002	trgovka na debelo z lesom in gradbenim materialom
C003105_sl_000	vodja oddelka v sekundarnem izobraževanju
C003105_sl_001	vodja aktiva v srednji šoli
C003105_sl_002	vodja oddelka v višji šoli
C003105_sl_003	vodja oddelka višje šole
C003106_sl_000	bolničar/bolničarka
C003106_sl_001	bolničar
C003106_sl_002	bolničarka
C003107_sl_000	strokovni sodelavec za uvoz in izvoz odpadkov in ostankov/strokovna sodelavka za uvoz in izvoz odpadkov in ostankov
C003107_sl_001	referent za uvoz in izvoz odpadkov in ostankov
C003107_sl_002	referentka za uvoz in izvoz odpadkov in ostankov
C003107_sl_003	strokovna sodelavka za uvoz in izvoz odpadkov in ostankov
C003107_sl_004	strokovni sodelavec za uvoz in izvoz odpadkov in ostankov
C003108_sl_000	strojnik/strojnica na naftni vrtini
C003108_sl_001	strojnica na naftni vrtini
C003108_sl_002	strojnica na plinski vrtini
C003108_sl_003	strojnik na naftni vrtini
C003108_sl_004	strojnik na plinski vrtini
C003108_sl_005	upravljavec naftne vrtine
C003108_sl_006	upravljavec vrtalne garniture
C003108_sl_007	upravljavka naftne vrtine
C003108_sl_008	upravljavka vrtalne garniture
C003109_sl_000	kontrolor/kontrolorka cigar
C003109_sl_001	kontrolor cigar
C003109_sl_002	kontrolor kakovosti cigar
C003109_sl_003	kontrolorka cigar
C003109_sl_004	kontrolorka kakovosti cigar
C003110_sl_000	svetovalec/svetovalka za človeške vire
C003110_sl_001	svetovalec za kadrovanje
C003110_sl_002	svetovalec za človeške vire
C003110_sl_003	svetovalka za kadrovanje
C003110_sl_004	svetovalka za človeške vire
C003111_sl_000	podatkovni analitik/podatkovna analitičarka
C003111_sl_001	analitik podatkov
C003111_sl_002	analitičarka podatkov
C003111_sl_003	podatkovna analitičarka
C003111_sl_004	podatkovni analitik
C003111_sl_005	strokovnjak za analizo podatkov
C003111_sl_006	strokovnjakinja za analizo podatkov
C003112_sl_000	delavec/delavka v lepotilnem salonu
C003112_sl_001	delavec v kozmetičnem salonu
C003112_sl_002	delavec v lepotilnem salonu
C003112_sl_003	delavka v kozmetičnem salonu
C003112_sl_004	delavka v lepotilnem salonu
C003113_sl_000	oblikovalec/oblikovalka čokolade
C003113_sl_001	izdelovalec čokoladnih dekoracij
C003113_sl_002	izdelovalec čokoladnih pralin
C003113_sl_003	izdelovalka čokoladnih dekoracij
C003113_sl_004	izdelovalka čokoladnih pralin
C003113_sl_005	izvajalec postopka modeliranja čokolade
C003113_sl_006	izvajalka postopka modeliranja čokolade
C003113_sl_007	oblikovalec čokolade
C003113_sl_008	oblikovalka čokolade
C003114_sl_000	operater/operaterka naprav za predelavo odpadnih voda
C003114_sl_001	operater naprav za predelavo odpadnih voda
C003114_sl_002	operaterka naprav za predelavo odpadnih voda
C003115_sl_000	sestavljavec/sestavljavka elektromehanske opreme
C003115_sl_001	sestavljavec elektromehanske opreme
C003115_sl_002	sestavljavka elektromehanske opreme
C003116_sl_000	vodja distribucije kovinskih proizvodov, inštalacijskega materiala in naprav za ogrevanje
C003116_sl_001	koordinator logistike in distribucije kovinskih izdelkov, inštalacijskega materiala, ročnega orodja in naprav za ogrevanje
C003116_sl_002	vodja distribucijske verige za kovinske izdelke, inštalacijski material, ročno orodje in naprave za ogrevanje
C003116_sl_003	vodja dobavne verige za kovinske izdelke, inštalacijski material, ročno orodje in naprave za ogrevanje
C003116_sl_004	vodja oskrbovalne verige s kovinskimi izdelki, inštalacijskim materialom, ročnim orodjem in napravami za ogrevanje
C003116_sl_005	vodja prodaje in distribucije kovinskih izdelkov, inštalacijskega materiala, ročnega orodja in naprav za ogrevanje
C003117_sl_000	vodja ribogojnega priveza
C003118_sl_000	klavec/klavka za obredno klanje košer
C003118_sl_001	klavec za obredno klanje košer
C003118_sl_002	klavka za obredno klanje košer
C003119_sl_000	drugi kopilot/druga kopilotka
C003119_sl_001	druga kopilotka
C003119_sl_002	drugi kopilot
C003120_sl_000	mesar/mesarka za obredno klanje košer
C003120_sl_001	košer mesar
C003120_sl_002	košer mesarka
C003120_sl_003	mesar za obredno klanje košer
C003121_sl_000	reševalec/reševalka iz globin
C003121_sl_001	reševalec iz globin
C003121_sl_002	reševalka iz globin
C003122_sl_000	strokovnjak/strokovnjakinja za politiko javnega zdravja
C003122_sl_001	strokovnjak za politiko javnega zdravja
C003122_sl_002	strokovnjakinja za politiko javnega zdravja
C003123_sl_000	vodja trgovine s kozmetiko in parfumi
C003123_sl_001	menedžer drogerije
C003123_sl_002	menedžerka drogerije
C003123_sl_003	vodja drogerije
C003124_sl_000	astronavt/astronavtka
C003124_sl_001	astronavt
C003124_sl_002	astronavtka
C003125_sl_000	upravljavec/upravljavka stiskalnice za glino
C003125_sl_001	upravljavec stiskalnice za glino
C003125_sl_002	upravljavka stiskalnice za glino
C003126_sl_000	tehnolog/tehnologinja za usnjarstvo in krznarstvo
C003126_sl_001	tehnolog za usnjarstvo
C003126_sl_002	tehnologinja za usnjarstvo
C003127_sl_000	odrski delavec/odrska delavka
C003127_sl_001	odrska asistentka
C003127_sl_002	odrska delavka
C003127_sl_003	odrski asistent
C003127_sl_004	odrski delavec
C003128_sl_000	družabnik/družabnica
C003128_sl_001	družabnica
C003128_sl_002	družabnik
C003128_sl_003	pomoč na domu
C003128_sl_004	spremljevalec
C003128_sl_005	spremljevalka
C003129_sl_000	oblikovalec/oblikovalka digitalnih medijev
C003129_sl_001	digitalna dizajnerka
C003129_sl_002	digitalni dizajner
C003129_sl_003	oblikovalec digitalnega medija
C003129_sl_004	oblikovalec digitalnih medijev
C003129_sl_005	oblikovalka digitalnega medija
C003129_sl_006	oblikovalka digitalnih medijev
C003130_sl_000	upravljavec/upravljavka stroja za izdelavo parfumov
C003130_sl_001	upravljavec stroja za izdelavo parfumov
C003130_sl_002	upravljavka stroja za izdelavo parfumov
C003131_sl_000	digitalni umetnik/digitalna umetnica
C003131_sl_001	digitalna umetnica
C003131_sl_002	digitalni umetnik
C003132_sl_000	osebni stilist/osebna stilistka
C003132_sl_001	osebna stilistka
C003132_sl_002	osebni stilist
C003133_sl_000	natakar/natakarica
C003133_sl_001	natakar
C003133_sl_002	natakarica
C003133_sl_003	natakarka
C003133_sl_004	servirec
C003133_sl_005	servirka
C003134_sl_000	vodja restavracije
C003134_sl_001	nadzornica priprave hrane in pijače
C003134_sl_002	nadzornik priprave hrane in pijače
C003134_sl_003	organizator priprave hrane in pijače
C003134_sl_004	organizatorka priprave hrane in pijače
C003134_sl_005	vodja pripravljanja hrane in pijače
C003134_sl_006	vodja restarvacije
C003135_sl_000	guverner/guvernerka
C003135_sl_001	governer
C003135_sl_002	guverner
C003135_sl_003	guverner države
C003135_sl_004	guverner province
C003135_sl_005	guvernerka
C003135_sl_006	guvernerka države
C003135_sl_007	guvernerka province
C003135_sl_008	prefekt
C003135_sl_009	prefektinja
C003136_sl_000	upravljavec/upravljavka rezkalnika za les
C003136_sl_001	upravljavec rezkalnika za les
C003136_sl_002	upravljavka rezkalnika za les
C003137_sl_000	oblikovalec/oblikovalka digitalnih iger
C003137_sl_001	oblikovalec digitalnih iger
C003137_sl_002	oblikovalec digitalnih igric
C003137_sl_003	oblikovalec računalniških iger
C003137_sl_004	oblikovalka digitalnih iger
C003137_sl_005	oblikovalka digitalnih igric
C003137_sl_006	oblikovalka računalniških iger
C003138_sl_000	strokovni sodelavec za uvoz in izvoz elektronske in telekomunikacijske opreme/strokovna sodelavka za uvoz in izvoz elektronske in telekomunikacijske opreme
C003138_sl_001	referent za uvoz in izvoz elektronske in telekomunikacijske opreme
C003138_sl_002	referentka za uvoz in izvoz elektronske in telekomunikacijske opreme
C003138_sl_003	strokovna sodelavka za uvoz in izvoz elektronske in telekomunikacijske opreme
C003138_sl_004	strokovni sodelavec za uvoz in izvoz elektronske in telekomunikacijske opreme
C003139_sl_000	svetovalec/svetovalka za akcijske prizore
C003139_sl_001	svetovalec za akcijske prizore
C003139_sl_002	svetovalec za bojne prizore
C003139_sl_003	svetovalka za akcijske prizore
C003139_sl_004	svetovalka za bojne prizore
C003140_sl_000	izposojevalec/izposojevalka v videoteki
C003140_sl_001	izposojevalec v videoteki
C003140_sl_002	izposojevalka v videoteki
C003141_sl_000	socialni delavec/socialna delavka za delo z odvisniki
C003141_sl_001	socialna delavka za delo z odvisniki
C003141_sl_002	socialna delavka za droge in alkohol
C003141_sl_003	socialni delavec za delo z odvisniki
C003141_sl_004	socialni delavec za droge in alkohol
C003141_sl_005	svetovalec za odvisnot od drog in alkohola
C003141_sl_006	svetovalka za odvisnost od drog in alkohola
C003142_sl_000	inženir/inženirka rudarstva za varnost in zdravje pri delu
C003142_sl_001	inženir rudarstva za varnost in zdravje pri delu
C003142_sl_002	inženirka rudarstva za varnost in zdravje pri delu
C003143_sl_000	strokovnjak/strokovnjakinja za politiko socialnega varstva
C003143_sl_001	strokovnjak za politiko socialnega varstva
C003143_sl_002	strokovnjakinja za politiko socialnega varstva
C003144_sl_000	upravljavec/upravljavka spremljevalnega reflektorja
C003144_sl_001	kulisnšibar
C003144_sl_002	odrska delavka za spremljevalni reflektor
C003144_sl_003	odrski delavec za spremljevalni reflektor
C003144_sl_004	osvetljevalec
C003144_sl_005	osvetljevalka
C003144_sl_006	upravljavec spremljevalnega reflektorja
C003144_sl_007	upravljavec svetlobnega topa
C003144_sl_008	upravljavka spremljevalnega reflektorja
C003145_sl_000	inženir/inženirka proizvodnje
C003145_sl_001	inženir proizvodnje
C003145_sl_002	inženirka proizvodnje
C003146_sl_000	pogrebnik/pogrebnica
C003146_sl_001	pogrebec
C003146_sl_002	pogrebka
C003146_sl_003	pogrebnica
C003146_sl_004	pogrebnik
C003147_sl_000	upravljavec/upravljavka stroja za rotacijsko kovanje
C003147_sl_001	upravljavec stroja za rotacijsko kovanje
C003147_sl_002	upravljavka stroja za rotacijsko kovanje
C003148_sl_000	vodja izvoza in uvoza kož in usnjenih izdelkov
C003148_sl_001	področna vodja izvoza kož in usnjenih izdelkov
C003148_sl_002	področni vodja izvoza kož in usnjenih izdelkov
C003148_sl_003	vodja izvoza kož in usnjenih izdelkov
C003148_sl_004	vodja uvoza kož in usnjenih izdelkov
C003149_sl_000	skladiščni evidentičar/skladiščna evidentičarka
C003149_sl_001	kontrolor sprejema in oddaje blaga
C003149_sl_002	kontrolorka sprejema in oddaje blaga
C003149_sl_003	skladiščna evidentičarka
C003149_sl_004	skladiščni evidentičar
C003149_sl_005	skladiščnica
C003149_sl_006	skladiščnik
C003149_sl_007	vodja skladišča
C003150_sl_000	inženir/inženirka gradbeništva
C003150_sl_001	inženir gradbeništva
C003150_sl_002	inženirka gradbeništva
C003151_sl_000	inženir/inženirka strojništva za aeronavtiko in astronavtiko
C003151_sl_001	inženir strojništva za aeronavtiko in astronavtiko
C003151_sl_002	inženirka strojništva za aeronavtiko in astronavtiko
C003152_sl_000	sestavljavec/sestavljavka pohištva
C003152_sl_001	sestavljavec pohištva
C003152_sl_002	sestavljavka pohištva
C003153_sl_000	koordinator/koordinatorka prtljažne službe
C003153_sl_001	koordinator prtljažne službe
C003153_sl_002	koordinatorka prtljažne službe
C003153_sl_003	nadzornica prevoza prtljage
C003153_sl_004	nadzornik prevoza prtljage
C003153_sl_005	vodja nadzora oskrbe prtljage
C003154_sl_000	tehnični risar/tehnična risarka za elektroniko
C003154_sl_001	tehnična risarka za elektroniko
C003154_sl_002	tehnični risar za elektroniko
C003155_sl_000	tehnik/tehnica telekomunikacij
C003155_sl_001	skrbnica telekomunikacij
C003155_sl_002	skrbnica za TK
C003155_sl_003	skrbnik telekomunikacij
C003155_sl_004	skrbnik za TK
C003155_sl_005	tehnica telekomunikacij
C003155_sl_006	tehnik telekomunikacij
C003155_sl_007	telekomunikacijska administratorka
C003155_sl_008	telekomunikacijska skrbnica
C003155_sl_009	telekomunikacijski administrator
C003155_sl_010	telekomunikacijski skrbnik
C003156_sl_000	tehnik/tehnica nabiranja v akvakulturi
C003156_sl_001	tehnica nabiranja v akvakulturi
C003156_sl_002	tehnica za odlov v akvakulturi
C003156_sl_003	tehnik nabiranja v akvakulturi
C003156_sl_004	tehnik za odlov v akvakulturi
C003157_sl_000	vodja drogerije
C003157_sl_001	menedžer drogerije
C003157_sl_002	menedžerka drogerije
C003158_sl_000	upravljavec/upravljavka luščilnika bombaža
C003158_sl_001	upravljavec luščilnika bombaža
C003158_sl_002	upravljavka luščilnika bombaža
C003159_sl_000	pripravljavec/pripravljavka učnega načrta
C003159_sl_001	pripravljavec učnega načrta
C003159_sl_002	pripravljavka učnega načrta
C003160_sl_000	geodet/geodetinja
C003160_sl_001	geodet
C003160_sl_002	geodetinja
C003160_sl_003	geodetka
C003160_sl_004	geometer
C003160_sl_005	geometrinja
C003161_sl_000	vodja trgovine z računalniško opremo
C003161_sl_001	vodja računalniške trgovine
C003161_sl_002	vodja trgovine z računalniško strojno opremo
C003162_sl_000	asistent/asistentka v kadrovski službi
C003162_sl_001	asistent v kadrovski službi
C003162_sl_002	asistent za človeške vire
C003162_sl_003	asistentka v kadrovski službi
C003162_sl_004	asistentka za človeške vire
C003162_sl_005	kadrovska referentka
C003162_sl_006	kadrovski referent
C003162_sl_007	referent za evidenco delovnega časa
C003162_sl_008	referentka za evidenco delovnega časa
C003162_sl_009	uradnica za kadrovske evidence
C003162_sl_010	uradnik za kadrovske evidence
C003163_sl_000	analitik/analitičarka vrtalnih izplak
C003163_sl_001	analitik vrtalnih izplak
C003163_sl_002	analitičarka vrtalnih izplak
C003164_sl_000	pomočnik/pomočnica poslanca
C003164_sl_001	asistent poslanca
C003164_sl_002	asistentka poslanca
C003164_sl_003	parlamentarna pomočnica
C003164_sl_004	parlamentarni pomočnik
C003164_sl_005	pomočnica poslanca
C003164_sl_006	pomočnik poslanca
C003164_sl_007	poslanska asistentka
C003164_sl_008	poslanski asistent
C003165_sl_000	strokovni sodelavec za uvoz in izvoz tobačnih izdelkov/strokovna sodelavka za uvoz in izvoz tobačnih izdelkov
C003165_sl_001	referent za uvoz in izvoz tobačnih izdelkov
C003165_sl_002	referentka za uvoz in izvoz tobačnih izdelkov
C003165_sl_003	strokovna sodelavka za uvoz in izvoz tobačnih izdelkov
C003165_sl_004	strokovni sodelavec za uvoz in izvoz tobačnih izdelkov
C003166_sl_000	vodja promocije
C003166_sl_001	promocijska direktorica
C003166_sl_002	promocijski direktor
C003166_sl_003	vodja oglaševanja in promocije
C003166_sl_004	vodja pospeševanja prodaje
C003166_sl_005	vodja promocij
C003166_sl_006	vodja promocijskih projektov
C003167_sl_000	poslovni trener/poslovna trenerka
C003167_sl_001	poslovna trenerka
C003167_sl_002	poslovni coach
C003167_sl_003	poslovni trener
C003168_sl_000	vodja izvoza in uvoza farmacevtskih izdelkov
C003168_sl_001	področna vodja izvoza farmacevtskih izdelkov
C003168_sl_002	področni vodja izvoza farmacevtskih izdelkov
C003168_sl_003	vodja izvoza farmacevtskih izdelkov
C003168_sl_004	vodja uvoza farmacevtskih izdelkov
C003169_sl_000	uslužbenec/uslužbenka za poslovanje s strankami
C003169_sl_001	uslužbenec za poslovanje s strankami
C003169_sl_002	uslužbenka za poslovanje s strankami
C003170_sl_000	stečajni upravitelj/stečajna upraviteljica
C003170_sl_001	stečajna upraviteljica
C003170_sl_002	stečajni upravitelj
C003170_sl_003	upravitelj
C003170_sl_004	upravitelj v stečajnem postopku
C003170_sl_005	upraviteljica
C003170_sl_006	upraviteljica v stečajnem postopku
C003171_sl_000	polagalec/polagalka tirov
C003171_sl_001	polagalec tirov
C003171_sl_002	polagalka tirov
C003172_sl_000	upravljavec/upravljavka komunalnih čistilnih naprav
C003172_sl_001	upravljavec komunalnih čistilnih naprav
C003172_sl_002	upravljavka komunalnih čistilnih naprav
C003173_sl_000	elektromehanik/elektromehaničarka za letala
C003173_sl_001	elektromehanik za letala
C003173_sl_002	elektromehaničarka za letala
C003173_sl_003	mehanik letalskih elektronskih naprav
C003173_sl_004	mehaničarka letalskih elektronskih naprav
C003174_sl_000	upravljavec/upravljavka opreme za zaključno obdelavo in pakiranje obutve
C003174_sl_001	upravljavec opreme za zaključno obdelavo in pakiranje obutve
C003174_sl_002	upravljavka opreme za zaključno obdelavo in pakiranje obutve
C003175_sl_000	inšpektor/inšpektorica za uteži in mere
C003175_sl_001	inšpektor za uteži in mere
C003175_sl_002	inšpektorica za uteži in mere
C003176_sl_000	prodajalec/prodajalka stenskih in talnih oblog
C003176_sl_001	prodajalec preprog
C003176_sl_002	prodajalec stenskih in talnih oblog
C003176_sl_003	prodajalec tapet
C003176_sl_004	prodajalec tapet in preprog
C003176_sl_005	prodajalka preprog
C003176_sl_006	prodajalka stenskih in talnih oblog
C003176_sl_007	prodajalka tapet
C003176_sl_008	prodajalka tapet in preprog
C003177_sl_000	sestavljavec/sestavljavka plošč tiskanega vezja
C003177_sl_001	sestavljavec plošč tiskanega vezja
C003177_sl_002	sestavljavec tiskanih vezij
C003177_sl_003	sestavljavka plošč tiskanega vezja
C003177_sl_004	sestavljavka tiskanih vezij
C003178_sl_000	lokalizator/lokalizatorka
C003178_sl_001	lokalizator
C003178_sl_002	lokalizatorka
C003178_sl_003	prevajalec za lokalizacijo
C003178_sl_004	prevajalka za lokalizacijo
C003178_sl_005	strokovnjak za lokalizacijo
C003178_sl_006	strokovnjakinja za lokalizacijo
C003179_sl_000	kontrolor/kontrolorka motorjev plovil
C003179_sl_001	kontrolor motorjev plovil
C003179_sl_002	kontrolorka motorjev plovil
C003180_sl_000	upravljavec/upravljavka opreme za beljenje voska
C003180_sl_001	belilec voska
C003180_sl_002	belilka voska
C003180_sl_003	upravljavec opreme za beljenje naravnega voska
C003180_sl_004	upravljavec opreme za beljenje voska
C003180_sl_005	upravljavec opreme za beljenje čebeljega voska
C003180_sl_006	upravljavka opreme za beljenje naravnega voska
C003180_sl_007	upravljavka opreme za beljenje voska
C003180_sl_008	upravljavka opreme za beljenje čebeljega voska
C003181_sl_000	vodja blagovne skupine
C003181_sl_001	področna vodja blagovnih skupin
C003181_sl_002	področni vodja blagovnih skupin
C003181_sl_003	prodajna vodja blagovne skupine
C003181_sl_004	prodajni vodja blagovne skupine
C003181_sl_005	vodja blagovnih skupin
C003182_sl_000	predavatelj/predavateljica matematike
C003182_sl_001	predavatelj matematike
C003182_sl_002	predavateljica matematike
C003183_sl_000	tehnik/tehnica za kakovost kemične proizvodnje
C003183_sl_001	tehnica za kakovost kemične proizvodnje
C003183_sl_002	tehnik za kakovost kemične proizvodnje
C003184_sl_000	spremljevalec/spremljevalka
C003184_sl_001	spremljevalec
C003184_sl_002	spremljevalka
C003185_sl_000	mlinar/mlinarica
C003185_sl_001	izvajalec mlinarskih storitev
C003185_sl_002	izvajalka mlinarskih storitev
C003185_sl_003	mlinar
C003185_sl_004	mlinarica
C003185_sl_005	mlinarska delavka
C003185_sl_006	mlinarski delavec
C003185_sl_007	pridelovalec moke
C003185_sl_008	pridelovalka moke
C003186_sl_000	dekorater/dekoraterka porcelana
C003186_sl_001	dekorater porcelana
C003186_sl_002	dekoraterka porcelana
C003187_sl_000	novinar/novinarka za gospodarstvo
