C000001_lv_000	Armijas profesijas
C003196_lv_000	balzamētājs
C003196_lv_001	balzamētāja
C003196_lv_002	iezārkotājs
C003197_lv_000	iesala meistars
C003197_lv_001	iesala meistare
C003197_lv_002	viskija iesala meistars
C003198_lv_000	juvelierizstrādājumu labotājs
C003198_lv_001	juvelierizstrādājumu labotāja
C003198_lv_002	juvelierizstrādājumu remontētājs
C003199_lv_000	ritošā sastāva montāžas uzraugs
C003199_lv_001	ritošā sastāva montāžas uzraudze
C003200_lv_000	rehabilitācijas atbalsta sociālais darbinieks
C003200_lv_001	rehabilitācijas atbalsta konsultants
C003200_lv_002	rehabilitācijas atbalsta sociālā darbiniece
C003200_lv_003	rehabilitācijas atbalsta speciālists
C003201_lv_000	porcelāna un citu stikla izstrādājumu importa un eksporta speciālists
C003201_lv_001	porcelāna un citu stikla izstrādājumu importa un eksporta speciāliste
C003202_lv_000	tīmekļa pārzinis
C003202_lv_001	tīmekļa pārzine
C003202_lv_002	tīmekļa vietņu administratore
C003202_lv_003	tīmekļa vietņu administrators
C003203_lv_000	portālceltņa operators
C003203_lv_001	kuģa celtņa operators
C003203_lv_002	portālceltņa operatore
C003204_lv_000	apavu labotājs
C003204_lv_001	apavu labotāja
C003205_lv_000	virsmas apstrādes tehnoloģiju inženieris
C003205_lv_001	virsmas apstrādes tehnoloģiju inženiere
C003206_lv_000	kinomehāniķis
C003206_lv_001	kinomehāniķe
C003206_lv_002	kinoprojicētājs
C003207_lv_000	optoelektronikas tehniķis
C003207_lv_001	optoelektronikas tehniķe
C003208_lv_000	zvanu centra vadītājs
C003208_lv_001	zvanu centra direktors
C003208_lv_002	zvanu centra vadītāja
C003209_lv_000	ēku nojaucējs
C003209_lv_001	nojaukšanas darbinieks
C003209_lv_002	ēku nojaucēja
C003210_lv_000	mājas pārvaldnieks
C003210_lv_001	mājas pārvaldniece
C003211_lv_000	smaržu un kosmētikas līdzekļu importa un eksporta speciālists
C003211_lv_001	smaržu un kosmētikas līdzekļu importa un eksporta speciāliste
C003212_lv_000	junga
C003213_lv_000	stividors
C003213_lv_001	kraušanas darbu vadītājs
C003214_lv_000	elektrisko mājsaimniecības ierīču izplatīšanas vadītājs
C003214_lv_001	elektrisko mājsaimniecības ierīču sadales vadītāja
C003214_lv_002	elektrisko mājsaimniecības ierīču sadales vadītājs
C003215_lv_000	bīstamo atkritumu kontroles inspektors
C003215_lv_001	bīstamo atkritumu kontroles inspektore
C003216_lv_000	nomas punkta vadītājs
C003216_lv_001	nomas administrators
C003216_lv_002	nomas punkta vadītāja
C003217_lv_000	dzīvu lopu vairumtirgotājs
C003217_lv_001	dzīvu lopu vairumtirgotāja
C003218_lv_000	enerģētikas pakalpojumu konsultants
C003218_lv_001	enerģētikas pakalpojumu konsultante
C003219_lv_000	zīmola vadītājs
C003219_lv_001	zīmola vadītāja
C003219_lv_002	zīmolvedības speciālists
C003220_lv_000	programmu finansēšanas vadītājs
C003220_lv_001	programmu finansēšanas vadītāja
C003221_lv_000	precīzijas instrumentu montētājs
C003221_lv_001	precīzijas instrumentu kalibrētājs
C003221_lv_002	precīzijas instrumentu montētāja
C003222_lv_000	apkures, ventilācijas, gaisa kondicionēšanas (un aukstumiekārtu) sistēmu rasētājs
C003222_lv_001	apkures, ventilācijas, kondicionēšanas un aukstumiekārtu sistēmu rasētāja
C003222_lv_002	apkures, ventilācijas, kondicionēšanas un aukstumiekārtu sistēmu rasētājs
C003223_lv_000	augļu un dārzeņu konservētājs
C003223_lv_001	augļu un dārzeņu pārstrādātājs
C003223_lv_002	strādnieks (augļu un dārzeņu pārstrādē)
C003224_lv_000	gumijas izstrādājumu gremdformas operators
C003224_lv_001	gumijas izstrādājumu gremdformas operatore
C003225_lv_000	ražošanas vadītājs ieguves rūpniecībā
C003225_lv_001	ražošanas vadītāja ieguves rūpniecībā
C003226_lv_000	dividenžu analītiķis
C003226_lv_001	dividenžu analītiķe
C003227_lv_000	veļas mazgātavas operatoru vadītājs
C003227_lv_001	veļas mazgātavas operatoru vadītāja
C003228_lv_000	konfekšu gatavošanas meistars
C003228_lv_001	konditors
C003228_lv_002	konfekšu gatavošanas meistare
C003229_lv_000	vides inspektors
C003229_lv_001	dabas teritoriju uzturēšanas komandas vadītāja
C003229_lv_002	dabas teritoriju uzturēšanas komandas vadītājs
C003229_lv_003	parka reindžere
C003229_lv_004	parka reindžers
C003229_lv_005	reindžere
C003229_lv_006	reindžers
C003229_lv_007	vides inspektore
C003230_lv_000	reklāmas speciālists
C003230_lv_001	reklāmas speciāliste
C003230_lv_002	reklāmas vadītājs
C003231_lv_000	parfimērs
C003231_lv_001	kosmētisko līdzekļu ķīmiķis
C003231_lv_002	organisko vielu ķīmiķis
C003231_lv_003	parfimēre
C003232_lv_000	mūzikas un video ierakstu veikala pārdevējs
C003232_lv_001	pārdevēja mūzikas ierakstu un video ierakstu veikalā
C003232_lv_002	pārdevējs mūzikas ierakstu un video ierakstu veikalā
C003232_lv_003	pārdevējs mūzikas veikalā
C003233_lv_000	dzērienu izplatīšanas vadītājs
C003233_lv_001	dzērienu sadales vadītāja
C003233_lv_002	dzērienu sadales vadītājs
C003234_lv_000	patentu un izgudrojumu inženieris
C003234_lv_001	patentu inženieris
C003234_lv_002	patentu un izgudrojumu inženiere
C003235_lv_000	lauksaimniecības iekārtu un aprīkojuma izplatīšanas vadītājs
C003235_lv_001	lauksaimniecības mašīnu un iekārtu sadales vadītāja
C003235_lv_002	lauksaimniecības mašīnu un iekārtu sadales vadītājs
C003236_lv_000	akvakultūras saimniecības tehniķis
C003236_lv_001	akvakultūras dzīvnieku turēšanas tehniķis
C003236_lv_002	akvakultūras saimniecības tehniķe
C003236_lv_003	akvakultūras zivkopis
C003236_lv_004	zivsaimniecības zivkopis
C003237_lv_000	dzērienu vairumtirgotājs
C003237_lv_001	dzērienu vairumtirgotāja
C003238_lv_000	kakao dzirnavu operators
C003238_lv_001	kakao dzirnavu operatore
C003238_lv_002	strādnieks (kakao pārstrādē)
C003239_lv_000	IKT tīklu arhitekts
C003239_lv_001	IKT tīklu arhitekte
C003239_lv_002	tīklu arhitekte
C003239_lv_003	tīklu arhitekts
C003239_lv_004	tīklu inženiere
C003239_lv_005	tīklu inženieris
C003240_lv_000	kakao smalcināšanas iekārtu operators
C003240_lv_001	kakao apstrādes iekārtu operators
C003240_lv_002	kakao smalcināšanas iekārtu operatore
C003241_lv_000	uzveduma režisora asistents
C003241_lv_001	svētku režisora asistents
C003241_lv_002	uzveduma režisora asistente
C003242_lv_000	delikatešu pārdevējs
C003242_lv_001	delikatešu pārdevēja
C003243_lv_000	hidrotehnisko būvju būvinženieris
C003243_lv_001	hidrotehnisko būvju būvinženiere
C003244_lv_000	mēbeļu galdnieks
C003244_lv_001	mēbeļu galdniece
C003245_lv_000	pilsētplānotājs
C003245_lv_001	pilsētplānotāja
C003246_lv_000	sveču lējējs
C003246_lv_001	sveču izgatavotājs
C003246_lv_002	sveču lējēja
C003247_lv_000	skolas direktors
C003247_lv_001	izglītības iestādes direktors
C003247_lv_002	izglītības iestādes pārvaldnieks
C003247_lv_003	izglītības iestādes vadītāja
C003247_lv_004	izglītības iestādes vadītājs
C003248_lv_000	cenu noteikšanas speciālists
C003248_lv_001	cenu veidošanas speciāliste
C003248_lv_002	cenu veidošanas speciālists
C003248_lv_003	tirgzinības un tirdzniecības speciālists
C003249_lv_000	pašapkalpošanās veļas mazgātavas uzraugs
C003249_lv_001	pašapkalpes veļas mazgātavas uzraudze
C003249_lv_002	pašapkalpes veļas mazgātavas uzraugs
C003250_lv_000	stikla veidošanas iekārtas operators
C003250_lv_001	stikla veidošanas mašīnas operatore
C003250_lv_002	stikla veidošanas mašīnas operators
C003251_lv_000	imigrācijas konsultants
C003251_lv_001	imigrācijas inspektors
C003251_lv_002	imigrācijas konsultante
C003252_lv_000	IKT sistēmu arhitekts
C003252_lv_001	IKT sistēmu arhitekte
C003252_lv_002	IT sistēmu arhitekte
C003252_lv_003	IT sistēmu arhitekts
C003252_lv_004	informācijas sistēmu arhitekte
C003252_lv_005	informācijas sistēmu arhitekts
C003252_lv_006	risinājumu arhitekte
C003252_lv_007	risinājumu arhitekts
C003253_lv_000	konditorejas vadītājs
C003253_lv_001	konditorejas vadītāja
C003254_lv_000	pavāra palīgs
C003254_lv_001	pavāra asistente
C003254_lv_002	pavāra asistents
C003254_lv_003	pavāra palīdze
C003255_lv_000	lopkopības konsultants
C003255_lv_001	lopkopības konsultante
C003255_lv_002	mājlopu audzēšanas konsultante
C003255_lv_003	mājlopu audzēšanas konsultants
C003256_lv_000	tekstilizejvielu un pusfabrikātu importa un eksporta speciālists
C003256_lv_001	tekstilizejvielu un pusfabrikātu importa un eksporta speciāliste
C003257_lv_000	kokteiļu bārmenis
C003257_lv_001	bārmenis-miksologs
C003257_lv_002	kokteiļu bārmene
C003257_lv_003	miksologs
C003258_lv_000	aktīvu pārvaldnieks
C003258_lv_001	aktīvu pārvaldniece
C003258_lv_002	fondu pārvaldnieks
C003259_lv_000	tūrisma politikas struktūrvienības vadītājs
C003259_lv_001	tūrisma politikas struktūrvienības direktore
C003259_lv_002	tūrisma politikas struktūrvienības direktors
C003260_lv_000	datu nodaļas vadītājs
C003260_lv_001	datu bāzes vadītāja
C003260_lv_002	datu bāzes vadītājs
C003260_lv_003	datu nodaļas vadītāja
C003260_lv_004	galvenais datu speciālists
C003260_lv_005	galvenā datu speciāliste
C003261_lv_000	farmācijas inženieris
C003261_lv_001	farmācijas inženiere
C003261_lv_002	farmācijas tehnologs
C003262_lv_000	izdevniecības vadītājs
C003262_lv_001	izdevniecības direktors
C003262_lv_002	izdevniecības vadītāja
C003263_lv_000	mehānisko transportlīdzekļu montāžas uzraugs
C003263_lv_001	mehānisko transportlīdzekļu montāžas uzraudze
C003264_lv_000	velosipēdu montieris
C003264_lv_001	velosipēdu montiere
C003265_lv_000	atrakciju un atpūtas parku uzraugs
C003265_lv_001	atrakciju un atpūtas parku uzraudze
C003266_lv_000	datorzinātnieks
C003266_lv_001	IKT pētniece
C003266_lv_002	IKT pētnieks
C003266_lv_003	IT pētniece
C003266_lv_004	IT pētnieks
C003266_lv_005	datorzinātniece
C003266_lv_006	datu mācības praktiķe
C003266_lv_007	datu mācības praktiķis
C003267_lv_000	koka izstrādājumu montāžas uzraugs
C003267_lv_001	koka produktu montāžas uzraudze
C003267_lv_002	koka produktu montāžas uzraugs
C003268_lv_000	sidra raudzēšanas operators
C003268_lv_001	sidra gatavošanas speciālists
C003268_lv_002	sidra raudzēšanas operatore
C003269_lv_000	arhīvists
C003269_lv_001	arhīviste
C003270_lv_000	dabas aizsardzības pētnieks
C003270_lv_001	dabas aizsardzības pētniece
C003271_lv_000	pārtikas produktu ražošanas operators
C003271_lv_001	pārtikas produktu ražošanas operatore
C003271_lv_002	ražošanas iekārtu operators (pārtikas rūpniecībā)
C003272_lv_000	stūrmanis
C003272_lv_001	iekšējo ūdeņu kuģa stūrmanis
C003272_lv_002	kuģa kapteiņa palīgs
C003272_lv_003	kuģa klāja virsnieks
C003272_lv_004	sardzes stūrmanis
C003272_lv_005	stūrmane
C003272_lv_006	stūrmanis uz zvejas kuģiem
C003272_lv_007	vecākais stūrmanis
C003273_lv_000	atkritumu savākšanas starpnieks
C003273_lv_001	atkritumu apsaimniekošanas starpnieks
C003273_lv_002	atkritumu savākšanas starpniece
C003274_lv_000	nodarbinātības un profesionālās izglītības konsultants
C003274_lv_001	nodarbinātības un arodizglītības konsultante
C003274_lv_002	nodarbinātības un arodizglītības konsultants
C003275_lv_000	paklāju klājējs
C003275_lv_001	mīksto grīdas segumu klājējs
C003275_lv_002	paklāja klājēja
C003275_lv_003	paklāja klājējs
C003276_lv_000	eskadriļas komandieris
C003276_lv_001	eskadras komandieris
C003276_lv_002	eskadriļas komandiere
C003276_lv_003	eskadrona komandieris
C003277_lv_000	juvelierizstrādājumu spodrinātājs
C003277_lv_001	juvelierizstrādājumu pulētājs
C003277_lv_002	juvelierizstrādājumu spodrinātāja
C003278_lv_000	dekāns
C003278_lv_001	dekāne
C003279_lv_000	sauszemes spēku majors
C003279_lv_001	sauszemes spēku majore
C003280_lv_000	preču starpnieks
C003280_lv_001	preču starpniece
C003281_lv_000	ekspedīcijas centra dispečers
C003281_lv_001	ekspedīcijas centra dispečere
C003282_lv_000	statists
C003282_lv_001	statiste
C003283_lv_000	ādas izstrādājumu ražošanas vadītājs
C003283_lv_001	ādas izstrādājumu ražošanas vadītāja
C003284_lv_000	zobārsts
C003284_lv_001	bērnu zobārsts
C003284_lv_002	zobārste
C003285_lv_000	lidojumu dispečers
C003285_lv_001	lidojumu dispečere
C003285_lv_002	lidojumu nodrošināšanas speciālists
C003286_lv_000	atkritumu savācējs
C003286_lv_001	atkritumu savācēja
C003287_lv_000	dziesmu tekstu autors
C003287_lv_001	dziesmu teksta autors
C003287_lv_002	dziesmu tekstu autore
C003287_lv_003	libretists
C003288_lv_000	zemūdens darbu būvuzraugs
C003288_lv_001	zemūdens darbu būvuzraudze
C003289_lv_000	kuģu dzinēju testētājs
C003289_lv_001	kuģu dzinēju testētāja
C003290_lv_000	preču un pakalpojumu vadītājs
C003290_lv_001	produktu un pakalpojumu pārdošanas vadītāja
C003290_lv_002	produktu un pakalpojumu pārdošanas vadītājs
C003291_lv_000	vīnogu audzētavas strādnieks
C003291_lv_001	vīnogu audzētavas strādniece
C003292_lv_000	dzīvniekterapeits
C003292_lv_001	dzīvniekterapeite
C003292_lv_002	dzīvnieku terapijas speciālists
C003292_lv_003	kanisterapeits
C003292_lv_004	petterapeits
C003292_lv_005	reitterapeits
C003293_lv_000	apavu ražošanas iekārtu ekspluatācijas tehniķis
C003293_lv_001	apavu ražošanas iekārtu ekspluatācijas tehniķe
C003294_lv_000	viesnīcas sulainis
C003294_lv_001	viesnīcas virssulainis
C003294_lv_002	viesu uzņemšanas speciāliste
C003294_lv_003	viesu uzņemšanas speciālists
C003295_lv_000	ādas izstrādājumu šuvējs
C003295_lv_001	ādas izstrādājumu šuvēja
C003296_lv_000	elektronikas tehnologs
C003296_lv_001	elektronikas tehnoloģe
C003296_lv_002	mērinstrumentu elektronikas inženieris
C003297_lv_000	raktuvju elektroinženieris
C003297_lv_001	raktuvju elektroinženiere
C003298_lv_000	metroloģijas tehniķis
C003298_lv_001	metroloģijas tehniķe
C003299_lv_000	biroja iekārtu un aprīkojuma tirdzniecības tehniskais pārstāvis
C003299_lv_001	biroja ierīču un iekārtu tirdzniecības vadītāja
C003299_lv_002	biroja ierīču un iekārtu tirdzniecības vadītājs
C003300_lv_000	ādu šķirotājs
C003300_lv_001	ādu šķirotāja
C003301_lv_000	metālu un metāla rūdu importa un eksporta speciālists
C003301_lv_001	metālu un metala rūdu importa un eksporta speciāliste
C003301_lv_002	metālu un metala rūdu importa un eksporta speciālists
C003302_lv_000	dzīvnieku kolekcijas uzskaitvedis
C003302_lv_001	dzīvnieku kolekcijas uzskaitvede
C003303_lv_000	ķīmijas lektors
C003303_lv_001	ķīmijas lektore
C003303_lv_002	ķīmijas pasniedzējs
C003304_lv_000	automobiļa vadītājs
C003304_lv_001	automobiļa vadītāja
C003304_lv_002	personīgais šoferis
C003304_lv_003	privātais šoferis
C003305_lv_000	elektrisko mājsaimniecības ierīču importa un eksporta speciālists
C003305_lv_001	elektrisko mājsaimniecības ierīču importa un eksporta speciāliste
C003306_lv_000	sporta izglītības pasniedzējs
C003306_lv_001	sporta izglītības pasniedzēja
C003307_lv_000	ainavu dārznieks
C003307_lv_001	ainavu dārzniece
C003307_lv_002	parka dārzniece
C003307_lv_003	parku dārznieks
C003308_lv_000	porainās gumijas jaucējiekārtas operators
C003308_lv_001	porainās gumijas jaucējiekārtas operatore
C003309_lv_000	ziedu un dārza preču veikala vadītājs
C003309_lv_001	ziedu un dārza preču veikala vadītāja
C003309_lv_002	ziedu un stādu veikala vadītājs
C003310_lv_000	ķīļsiksnu pārklājējs
C003310_lv_001	gumijotās ķīļsiksnas izgatavotājs
C003310_lv_002	ķīļsiksnu pārklājēja
C003311_lv_000	dzīvnieku osteopāts
C003311_lv_001	dzīvnieku fizioterapeite
C003311_lv_002	dzīvnieku fizioterapeits
C003311_lv_003	dzīvnieku osteopāte
C003312_lv_000	cukura, šokolādes un cukuroto konditorejas izstrādājumu izplatīšanas vadītājs
C003312_lv_001	cukura, šokolādes un cukuroto konditorejas izstrādājumu sadales vadītāja
C003312_lv_002	cukura, šokolādes un cukuroto konditorejas izstrādājumu sadales vadītājs
C003313_lv_000	vides tehniķis
C003313_lv_001	vides iekārtu tehniķis
C003313_lv_002	vides tehniķe
C003314_lv_000	elektriķis gaismotājs
C003314_lv_001	elektriķe gaismotāja
C003315_lv_000	dublieris
C003315_lv_001	dublētāja
C003315_lv_002	dublētājs
C003316_lv_000	vidusskolas filozofijas skolotājs
C003316_lv_001	filozofijas skolotāja vidusskolā
C003316_lv_002	filozofijas skolotājs vidusskolā
C003317_lv_000	IKT pakalpojumu sniedzēju pārvaldnieks
C003317_lv_001	pārvaldniece darbā ar IKT pakalpojumu sniedzējiem
C003317_lv_002	pārvaldnieks darbā ar IKT pakalpojumu sniedzējiem
C003317_lv_003	vadītājs darbā ar informācijas tehnoloģiju pakalpojumu sniedzējiem
C003317_lv_004	vadītājs darbā ar informācijas un komunikācijas tehnoloģiju pakalpojumu sniedzējiem
C003318_lv_000	zaudējumu vērtētājs
C003318_lv_001	zaudējumu novērtētāja
C003318_lv_002	zaudējumu novērtētājs
C003319_lv_000	apdrošināšanas riska vērtētājs
C003319_lv_001	apdrošināšanas riska parakstītāja
C003319_lv_002	apdrošināšanas riska parakstītājs
C003319_lv_003	apdrošināšanas risku parakstītājs
C003320_lv_000	kustamās mantas vērtētājs
C003320_lv_001	kustamās mantas novērtētājs
C003320_lv_002	kustamās mantas vērtētāja
C003321_lv_000	akvakultūras inkubatora tehniķis
C003321_lv_001	akvakultūras dzīvnieku audzētavas tehniķis
C003321_lv_002	akvakultūras inkubatora tehniķe
C003321_lv_003	zivjaudzētavas tehniķis
C003322_lv_000	drošības vadītājs
C003322_lv_001	drošības dienesta vadītājs
C003322_lv_002	drošības vadītāja
C003323_lv_000	ķīmisko vielu importa un eksporta speciālists
C003323_lv_001	ķīmisko vielu importa un eksporta speciāliste
C003324_lv_000	tramvaju dispečers
C003324_lv_001	tramvaju dispečere
C003325_lv_000	ģeotehniķis
C003325_lv_001	ģeotehnikas inženieris
C003325_lv_002	ģeotehnikas speciālists
C003325_lv_003	ģeotehniķe
C003326_lv_000	totalizatora darbinieks
C003326_lv_001	totalizatora darbiniece
C003327_lv_000	dzīvnieku barības uztura speciālists
C003327_lv_001	dzīvnieku barības tehnologs
C003327_lv_002	dzīvnieku barības uztura speciāliste
C003328_lv_000	pārtikas preču ielas pārdevējs
C003328_lv_001	bufetes pārdevējs
C003328_lv_002	pārtikas preču ielas pārdevēja
C003329_lv_000	elektrisko mājsaimniecības ierīču importa un eksporta vadītājs
C003329_lv_001	elektrisko mājsaimniecības ierīču importa un eksporta vadītāja
C003329_lv_002	sadzīves tehnikas importa un eksporta vadītājs
C003330_lv_000	elektronstaru metinātājs
C003330_lv_001	elektronstaru metinātāja
C003330_lv_002	elektronstaru metināšanas speciālists
C003330_lv_003	metinātājs
C003331_lv_000	interešu grupas vadītājs
C003331_lv_001	interešu grupas vadītāja
C003332_lv_000	anodētājs
C003332_lv_001	anodētāja
C003333_lv_000	inženierzinātņu lektors
C003333_lv_001	inženierzinātņu lektore
C003333_lv_002	inženierzinātņu pasniedzējs
C003334_lv_000	pasažieru vilciena konduktors
C003334_lv_001	pasažieru vilciena konduktore
C003334_lv_002	pasažieru vilciena kontrolieris
C003335_lv_000	cūkkopis
C003335_lv_001	cūkkope
C003335_lv_002	cūku audzētāja
C003335_lv_003	cūku audzētājs
C003336_lv_000	ofseta iespiedējs
C003336_lv_001	ofseta iespiedēja
C003337_lv_000	palīdzības sniedzējs ārkārtas situācijās
C003337_lv_001	palīdzības sniedzēja ārkārtas situācijās
C003338_lv_000	demontāžas strādnieks
C003338_lv_001	demontāžas strādniece
C003339_lv_000	akvakultūras recirkulācijas tehniķis
C003339_lv_001	akvakultūras recirkulācijas tehniķe
C003340_lv_000	materiālu testēšanas tehniķis
C003340_lv_001	materiālu testēšanas tehniķe
C003341_lv_000	kazino vadītājs
C003341_lv_001	kazino vadītāja
C003342_lv_000	mākslas terapeits
C003342_lv_001	mākslas terapeite
C003342_lv_002	mākslas terapijas speciālists
C003343_lv_000	gofrētā kartona ražošanas iekārtas operators
C003343_lv_001	gofrētā kartona ražošanas operatore
C003343_lv_002	gofrētā kartona ražošanas operators
C003344_lv_000	sudrabkalis
C003344_lv_001	dārgmetālu kalējs
C003344_lv_002	rotkalis
C003344_lv_003	sudrabkale
C003345_lv_000	lauksaimniecības iekārtu un aprīkojuma vairumtirgotājs
C003345_lv_001	lauksaimniecības mašīnu un iekārtu vairumtirgotāja
C003345_lv_002	lauksaimniecības mašīnu un iekārtu vairumtirgotājs
C003346_lv_000	vispārēji praktizējošs veterinārārsts
C003346_lv_001	lauksaimniecības dzīvnieku veterinārārste
C003346_lv_002	lauksaimniecības dzīvnieku veterinārārsts
C003346_lv_003	mājdzīvnieku veterinārārste
C003346_lv_004	mājdzīvnieku veterinārārsts
C003346_lv_005	putnu veterinārārste
C003346_lv_006	putnu veterinārārsts
C003346_lv_007	veterinārārste ķirurģe
C003346_lv_008	veterinārārsts ķirurgs
C003346_lv_009	vispārēji praktizējoša veterinārārste
C003346_lv_010	zirgu veterinārārste
C003346_lv_011	zirgu veterinārārsts
C003347_lv_000	politiskais žurnālists
C003347_lv_001	politiskā žurnāliste
C003348_lv_000	rūpnieciskās ražošanas vadītājs
C003348_lv_001	rūpnieciskās ražošanas vadītāja
C003349_lv_000	viesmīlības iestādes drošības speciālists
C003349_lv_001	viesnīcas apsardzes dienesta vadītāja
C003349_lv_002	viesnīcas apsardzes dienesta vadītājs
C003349_lv_003	viesnīcas drošības dienesta vadītāja
C003349_lv_004	viesnīcas drošības dienesta vadītājs
C003349_lv_005	viesnīcas drošības speciāliste
C003349_lv_006	viesnīcas drošības speciālists
C003350_lv_000	urbmašīnas operators
C003350_lv_001	urbmašīnas operatore
C003350_lv_002	urbējs
C003351_lv_000	scenārists
C003351_lv_001	scenāriste
C003352_lv_000	zvejas rīku izgatavotājs
C003352_lv_001	zvejas rīku izgatavotāja
C003353_lv_000	mākslas keramiķis
C003353_lv_001	keramiķis
C003353_lv_002	mākslas keramiķe
C003354_lv_000	ķīmijas inženieris
C003354_lv_001	ķīmijas inženiere
C003355_lv_000	veidņu preses operators
C003356_lv_000	subtitrētājs
C003356_lv_001	subtitrētāja
C003357_lv_000	e-mācību izstrādātājs
C003357_lv_001	e-mācību izstrādātāja
C003357_lv_002	e-mācību veidotāja
C003357_lv_003	e-mācību veidotājs
C003358_lv_000	instrumentu un presformu izgatavotājs
C003358_lv_001	instrumentu un presformu izgatavotāja
C003359_lv_000	karikatūrists
C003359_lv_001	karikatūriste
C003360_lv_000	automobiļu elektroiekārtu montieris
C003360_lv_001	auto elektronikas montieris
C003360_lv_002	automobiļu elektroiekārtu montiere
C003361_lv_000	cigarešu ražošanas iekārtas operators
C003361_lv_001	cigarešu ražošanas iekārtas operatore
C003361_lv_002	cigarešu ražošanas operatore
C003361_lv_003	cigarešu ražošanas operators
C003362_lv_000	izšūšanas iekārtu operators
C003362_lv_001	izšūšanas iekārtu operatore
C003363_lv_000	reliģiskās kopienas vadītājs
C003363_lv_001	reliģiskās kopienas vadītāja
C003363_lv_002	reliģiskās organizācijas vadītājs
C003364_lv_000	santehniķis
C003364_lv_001	sanitārtehniķis
C003364_lv_002	santehniķe
C003365_lv_000	pārstrādes iekārtas operators
C003365_lv_001	pārstrādes iekārtas operatore
C003365_lv_002	rafinēšanas iekārtas operators
C003366_lv_000	apavu kvalitātes kontroles laboratorijas tehniķis
C003366_lv_001	apavu kvalitātes inspektors
C003366_lv_002	apavu kvalitātes kontroles laboratorijas tehniķe
C003366_lv_003	apavu kvalitātes kontrolieris
C003367_lv_000	grāmatvedis
C003367_lv_001	galvenais grāmatvedis
C003367_lv_002	grāmatvede
C003367_lv_003	vecākais grāmatvedis
C003368_lv_000	velosipēdu veikala vadītājs
C003368_lv_001	velosipēdu veikala vadītāja
C003368_lv_002	veloveikala vadītājs
C003369_lv_000	mehatroniķis
C003369_lv_001	mehatronisku sistēmu tehniķis
C003369_lv_002	mehatroniķe
C003370_lv_000	trasējošās munīcijas pulvera ražošanas operators
C003370_lv_001	trasējošās munīcijas pulvera ražošanas operatore
C003371_lv_000	gaļas un gaļas produktu izplatīšanas vadītājs
C003371_lv_001	gaļas un gaļas produktu sadales vadītāja
C003371_lv_002	gaļas un gaļas produktu sadales vadītājs
C003372_lv_000	kapteinis uz iekšējo ūdeņu kuģiem
C003372_lv_001	iekšējo ūdeņu kuģa kapteinis
C003372_lv_002	kapteine uz iekšējo ūdeņu kuģiem
C003373_lv_000	veco ļaužu aprūpes centra vadītājs
C003373_lv_001	sociālās aprūpes centra vadītājs
C003373_lv_002	veco ļaužu aprūpes centra vadītāja
C003373_lv_003	veco ļaužu pansionāta vadītājs
C003374_lv_000	autokrāvēja vadītājs
C003374_lv_001	autokrāvēja vadītāja
C003375_lv_000	ekskavatora vadītājs
C003375_lv_001	ekskavatora vadītāja
C003376_lv_000	biologs
C003376_lv_001	bioloģe
C003376_lv_002	ihtiologs
C003376_lv_003	jūras biologs
C003376_lv_004	saldūdens biologs
C003377_lv_000	apūdeņošanas sistēmu montētājs
C003377_lv_001	apūdeņošanas sistēmu montētāja
C003377_lv_002	apūdeņošanas sistēmu speciālists
C003378_lv_000	apavu izstrādes vadītājs
C003378_lv_001	apavu izstrādes vadītāja
C003379_lv_000	klīniskās informācijas vadītājs
C003379_lv_001	klīniskās informācijas vadītāja
C003380_lv_000	darbgaldu importa un eksporta speciālists
C003380_lv_001	darbgaldu importa un eksporta speciāliste
C003381_lv_000	aviācijas dzinēju inspektors
C003381_lv_001	aviācijas dzinēju pārbaudes inspektore
C003381_lv_002	aviācijas dzinēju pārbaudes inspektors
C003382_lv_000	interjera arhitekts
C003382_lv_001	interjera arhitekte
C003383_lv_000	ģeotehnikas inženieris ieguves rūpniecībā
C003383_lv_001	ģeotehnikas inženiere ieguves rūpniecībā
C003384_lv_000	ieguves rūpniecības palīgstrādnieks
C003384_lv_001	ieguves rūpniecības palīgstrādniece
C003385_lv_000	veterinārās klīnikas reģistrators
C003385_lv_001	veterinārās klīnikas asistente
C003385_lv_002	veterinārās klīnikas asistents
C003385_lv_003	veterinārās klīnikas reģistratore
C003386_lv_000	mežzinis
C003386_lv_001	mežsaimniece
C003386_lv_002	mežsaimnieks
C003386_lv_003	mežzine
C003387_lv_000	degvielas uzpildes stacijas vadītājs
C003387_lv_001	degvielas uzpildes stacijas vadītāja
C003388_lv_000	būvniecības kvalitātes inspektors
C003388_lv_001	būvinspektors
C003388_lv_002	būvniecības kvalitātes inspektore
C003388_lv_003	būvniecības kvalitātes kontroles inspektors
C003389_lv_000	teātra tehniķis
C003389_lv_001	teātra tehniķe
C003390_lv_000	IKT operāciju vadītājs
C003390_lv_001	IKT operāciju vadītāja
C003390_lv_002	IT operāciju vadītāja
C003390_lv_003	IT operāciju vadītājs
C003390_lv_004	IT procesu vadītāja
C003390_lv_005	IT procesu vadītājs
C003390_lv_006	datu apstrādes vadītāja
C003390_lv_007	datu apstrādes vadītājs
C003390_lv_008	sistēmu un tīklu vadītāja
C003390_lv_009	sistēmu un tīklu vadītājs
C003391_lv_000	vidusskolas matemātikas skolotājs
C003391_lv_001	matemātikas skolotāja vidusskolā
