C000001_lt_000	Ginkluotųjų pajėgų profesijos
C002821_lt_004	statybų rangovas
C002821_lt_005	statybų vadovas
C002822_lt_000	jūrų vandenų transporto generalinis direktorius
C002822_lt_001	jūrų transporto vykdomasis direktorius
C002822_lt_002	jūrų vandenų transporto generalinė direktorė
C002823_lt_000	trimačių objektų modeliuotojas
C002823_lt_001	3D modeliuotojas
C002823_lt_002	trimačių objektų modeliuotoja
C002823_lt_003	trimačių objektų projektuotojas
C002823_lt_004	tūrinių objektų modeliuotojas
C002824_lt_000	bylų administratorius
C002824_lt_001	baudžiamųjų bylų koordinatorius
C002824_lt_002	bylų administratorė
C002824_lt_003	šeimos bylų administratorius
C002825_lt_000	geografas
C002825_lt_001	geografė
C002826_lt_000	sąskaitininkas
C002826_lt_001	apskaitininkas
C002826_lt_002	finansininkas
C002826_lt_003	finansų administratorius
C002826_lt_004	sąskaitininkė
C002827_lt_000	plaušienos technikas
C002827_lt_001	plaušienos ir popieriaus technikas
C002827_lt_002	plaušienos technikė
C002827_lt_003	popieriaus gamybos įrenginių technikas
C002828_lt_000	elektrolitinio dengimo mašinų operatorius
C002828_lt_001	auksavimo įrenginių operatorius
C002828_lt_002	elektrolitinio dengimo mašinų operatorė
C002828_lt_003	elektrolitinio nusodinimo įrenginių operatorius
C002828_lt_004	galvanizavimo mašinų operatorius
C002828_lt_005	galvanizuotojas
C002829_lt_000	dotacijų administratorius
C002829_lt_001	dotacijų administratorė
C002829_lt_002	dotacijų ir dotacijų susitarimų vadybininkas
C002829_lt_003	dotacijų ir dotacijų sutarčių vadybininkas
C002829_lt_004	dotacijų moksliniams tyrimams administratorius
C002829_lt_005	dotacijų pasiūlymų administratorius
C002829_lt_006	dotacijų skyrimo administratorius
C002829_lt_007	finansavimo administratorius
C002830_lt_000	automatikos inžinierius
C002830_lt_001	automatikos inžinierė
C002831_lt_000	pramonės mobiliųjų įrenginių programinės įrangos plėtros specialistas
C002831_lt_001	pramonės mobiliųjų įrenginių programinės įrangos kūrėjas
C002831_lt_002	pramonės mobiliųjų įrenginių programinės įrangos plėtros specialistė
C002831_lt_003	pramonės mobiliųjų įrenginių programinės įrangos plėtros vykdytojas
C002831_lt_004	pramonės mobiliųjų įrenginių programinės įrangos programuotojas
C002832_lt_000	informacinių ir ryšių technologijų pirkėjas
C002832_lt_001	IRT pirkėjas
C002832_lt_002	informacinių ir ryšių technologijų pirkimo specialistas
C002832_lt_003	informacinių ir ryšių technologijų pirkėja
C002832_lt_004	informacinių technologijų pirkėjas
C002833_lt_000	grilio virėjas
C002833_lt_001	grilio virėja
C002834_lt_000	staklių importo ir eksporto vadovas
C002834_lt_001	staklių eksporto vadovas
C002834_lt_002	staklių importo ir eksporto vadovė
C002834_lt_003	staklių importo vadovas
C002834_lt_004	staklių tarptautinės prekybos vadovas
C002835_lt_000	brigados vadas
C002835_lt_001	armijos generolas
C002835_lt_002	brigados generolas
C002835_lt_003	brigados vadė
C002836_lt_000	nekilnojamojo turto vertintojas
C002836_lt_001	nekilnojamojo turto analitikas
C002836_lt_002	nekilnojamojo turto vertintoja
C002836_lt_003	turto vertinimo specialistas
C002837_lt_000	šunų veisyklos prižiūrėtojas
C002837_lt_001	gyvūnų priežiūros specialistas
C002837_lt_002	gyvūnų prižiūrėtojas
C002837_lt_003	šunidės prižiūrėtojas
C002837_lt_004	šunų veisyklos prižiūrėtoja
C002837_lt_005	šunų veisyklos vadovas
C002838_lt_000	oro uostų planavimo inžinierius
C002838_lt_001	oro uostų planavimo inžinierė
C002838_lt_002	oro uostų planavimo specialistas
C002838_lt_003	oro uostų vystymo inžinierius
C002839_lt_000	baldų dizaineris
C002839_lt_001	baldininkas
C002839_lt_002	baldų dizainerė
C002839_lt_003	baldų dizaino konsultantas
C002839_lt_004	baldų kūrėjas
C002839_lt_005	baldų projektuotojas
C002839_lt_006	baldų specialistas
C002839_lt_007	baldų technikas
C002840_lt_000	virtuvės įrengėjas
C002840_lt_001	virtuvės baldų gamintojas
C002840_lt_002	virtuvės baldų meistras
C002840_lt_003	virtuvės baldų projektuotojas
C002840_lt_004	virtuvės įrengimo meistras
C002840_lt_005	virtuvės įrengėja
C002841_lt_000	mechaninio kalimo preso operatorius
C002841_lt_001	automatinės kalimo mašinos operatorius
C002841_lt_002	automatinės liejimo ir kalimo mašinos operatorius
C002841_lt_003	automatinės liejimo mašinos operatorius
C002841_lt_004	automatinės liejimo-kalimo mašinos operatorius
C002841_lt_005	kalimo mašinos operatorius
C002841_lt_006	kalimo preso meistras
C002841_lt_007	kalimo preso operatorius
C002841_lt_008	kalimo staklių meistras
C002841_lt_009	kalvis
C002841_lt_010	mechaninio kalimo preso operatorė
C002841_lt_011	metalo kalimo mašinos operatorius
C002841_lt_012	štampuotojo kaltinio operatorius
C002842_lt_000	kosmologas
C002842_lt_001	kosmologijos ekspertas
C002842_lt_002	kosmologijos specialistas
C002842_lt_003	kosmologė
C002843_lt_000	lazerinio pjovimo mašinos operatorius
C002843_lt_001	kompiuterizuoto skaitmeninio valdymo lazerinio pjovimo mašinos meistras
C002843_lt_002	kompiuterizuoto skaitmeninio valdymo lazerinio pjovimo mašinų meistras
C002843_lt_003	kompiuterizuoto skaitmeninio valdymo lazerinio pjovimo mašinų specialistas
C002843_lt_004	kompiuterizuoto skaitmeninio valdymo lazerinio pjovimo staklių meistras
C002843_lt_005	lazerinio frezavimo meistras
C002843_lt_006	lazerinio frezavimo operatorius
C002843_lt_007	lazerinio frezavimo specialistas
C002843_lt_008	lazerinio frezavimo technikas
C002843_lt_009	lazerinio gręžimo operatorius
C002843_lt_010	lazerinio gręžimo specialistas
C002843_lt_011	lazerinio gręžimo technikas
C002843_lt_012	lazerinio pjovimo mašinos meistras
C002843_lt_013	lazerinio pjovimo mašinos operatorė
C002843_lt_014	lazerinio pjovimo staklių meistras
C002843_lt_015	lazerinio pjovimo staklių operatorius
C002843_lt_016	lazerinių mašinų specialistas
C002843_lt_017	lazerinės mašinos meistras
C002843_lt_018	lazerių technologijų specialistas
C002843_lt_019	pjovimo lazeriu technikas
C002844_lt_000	medicininių instrumentų gamintojas
C002844_lt_001	medicininių instrumentų gamintoja
C002844_lt_002	ortopedinių gaminių gamintojas
C002845_lt_000	vairavimo instruktorius
C002845_lt_001	vairavimo instruktorė
C002845_lt_002	vairavimo mokytojas
C002846_lt_000	akmens skaldymo mašinų operatorius
C002846_lt_001	akmens skaldymo mašinų operatorė
C002847_lt_000	redaktoriaus padėjėjas
C002847_lt_001	redaktoriaus padėjėja
C002848_lt_000	naras gelbėtojas
C002848_lt_001	naras gelbėtoja
C002849_lt_000	pramonės inžinerijos technikas
C002849_lt_001	pramonės inžinerijos technikė
C002849_lt_002	pramonės inžinerijos technologas
C002849_lt_003	technologinių įrenginių inspektorius
C002849_lt_004	technologinių įrenginių projektavimo inspektorius
C002849_lt_005	technologinių įrenginių projektavimo technologas
C002849_lt_006	technologinių įrenginių technologas
C002850_lt_000	aptarnavimo paslaugų vadovas
C002850_lt_001	aptarnavimo paslaugų vadovė
C002851_lt_000	žvejybos laivo vadovas
C002851_lt_001	kapitonas
C002851_lt_002	škiperis
C002851_lt_003	žuvininkystės laivo vadovas
C002851_lt_004	žvejybos laivo vadovė
C002852_lt_000	manikiūrininkas
C002852_lt_001	grožio salono darbuotojas
C002852_lt_002	manikiūrininkė
C002852_lt_003	nagų salono darbuotojas
C002853_lt_000	metalurgas
C002853_lt_001	metalurgė
C002853_lt_002	metalų gavybos inžinierius
C002854_lt_000	arklių kaustytojas
C002854_lt_001	arklių kaustytoja
C002854_lt_002	kalvis
C002855_lt_000	pakrantės apsaugos pareigūnas
C002855_lt_001	kranto apsaugos pareigūnas
C002855_lt_002	pakrantės apsaugos pareigūnė
C002855_lt_003	pakrantės sargybinis
C002856_lt_000	perukų ir šinjonų meistras
C002856_lt_001	perukų gamintojas
C002856_lt_002	perukų ir šinjonų gamintojas
C002856_lt_003	perukų ir šinjonų meistrė
C002856_lt_004	perukų meistras
C002856_lt_005	šinjonų meistras
C002857_lt_000	upeivis
C002857_lt_001	upeivė
C002858_lt_000	informacinių ir ryšių technologijų taikomosios programinės įrangos kūrėjas
C002858_lt_001	informacinių ir ryšių technologijų taikomosios programinės įrangos kūrėja
C002858_lt_002	programinės įrangos kūrėjas
C002858_lt_003	programinės įrangos programuotojas
C002858_lt_004	taikomosios programinės įrangos kūrėjas
C002858_lt_005	taikomosios programinės įrangos programuotojas
C002859_lt_000	estrados komikas
C002859_lt_001	estrados komikė
C002859_lt_002	humoristas
C002859_lt_003	kabaretistas
C002859_lt_004	komedijos artistas
C002859_lt_005	komikas
C002860_lt_000	skersinio pjovimo staklių operatorius
C002860_lt_001	skersinio pjovimo pjūklo operatoriaus
C002860_lt_002	skersinio pjovimo staklių operatorė
C002860_lt_003	skersinio pjovimo staklių specialistas
C002860_lt_004	skersinio pjovimo staklių technikas
C002861_lt_000	arfų gamintojas
C002861_lt_001	arfų dirbėjas
C002861_lt_002	arfų gamintoja
C002861_lt_003	arfų meistras
C002861_lt_004	arfų technikas
C002861_lt_005	daugiastygių arfų gamintojas
C002861_lt_006	daugiastygių arfų meistras
C002862_lt_000	pėstininkas
C002862_lt_001	kareivis
C002862_lt_002	karys
C002862_lt_003	pėstininkė
C002862_lt_004	snaiperis
C002862_lt_005	šaulys
C002863_lt_000	baldų, kilimų ir apšvietimo įrangos platinimo vadovas
C002863_lt_001	baldų, kilimų ir apšvietimo įrangos logistikos vadovas
C002863_lt_002	baldų, kilimų ir apšvietimo įrangos platinimo vadovė
C002864_lt_000	rekvizito meistras
C002864_lt_001	rekvizito meistrė
C002864_lt_002	rekvizito technikas
C002865_lt_000	informacinių ir ryšių technologijų sistemų integravimo konsultantas
C002865_lt_001	informacinių ir ryšių technologijų sistemų integravimo konsultantė
C002865_lt_002	sistemų integravimo konsultantas
C002865_lt_003	taikomųjų programų integravimo konsultantas
C002866_lt_000	drabužių modelių pavyzdžių siuvėjas
C002866_lt_001	drabužių modelių pavyzdžių siuvimo technikas
C002866_lt_002	drabužių modelių pavyzdžių siuvėja
C002866_lt_003	drabužių pavyzdžių siuvėjas
C002866_lt_004	pavyzdžių siuvėjas
C002866_lt_005	siuvimo mašinų operatorius
C002867_lt_000	gydytojo odontologo padėjėjas
C002867_lt_001	dantų gydytojo padėjėjas
C002867_lt_002	gydytojo odontologo padėjėja
C002867_lt_003	gydytojo ortodonto padėjėjas
C002867_lt_004	gydytojo stomatologo padėjėjas
C002867_lt_005	odontologijos kabineto pagalbinis darbuotojas
C002868_lt_000	bilietų pardavimo agentas
C002868_lt_001	bilietų agentas
C002868_lt_002	bilietų pardavimo agentė
C002868_lt_003	bilietų pardavėjas
C002868_lt_004	rezervacijų agentas
C002869_lt_000	parduotuvės vedėjas
C002869_lt_001	parduotuvės vedėja
C002870_lt_000	medienos gamybos meistras technologas
C002870_lt_001	medienos gamybos kontrolierius
C002870_lt_002	medienos gamybos meistrė technologė
C002870_lt_003	medienos gamybos procesų priežiūros vadybininkas
C002870_lt_004	medienos gamybos technologas vadybininkas
C002870_lt_005	medienos ruošos kontrolierius
C002870_lt_006	medienos ruošos prižiūrėtojas
C002870_lt_007	medienos ruošos procesų priežiūros vadybininkas
C002871_lt_000	pramonės mašinų surinkėjas
C002871_lt_001	elektrinės įrangos surinkėjas
C002871_lt_002	mašinų surinkimo darbininkas
C002871_lt_003	mašinų surinkėjas
C002871_lt_004	mechaninių mašinų surinkėjas
C002871_lt_005	pramonės mašinų montuotojas
C002871_lt_006	pramonės mašinų surinkėja
C002871_lt_007	surinkimo darbininkas
C002871_lt_008	surinkimo linijos darbininkas
C002871_lt_009	surinkimo linijos inspektorius
C002871_lt_010	surinkimo linijos operatorius
C002871_lt_011	surinkimo linijos įrenginių meistras derintojas
C002872_lt_000	chiropraktikas specialistas
C002872_lt_001	chiropraktikė specialistė
C002872_lt_002	specializuotasis osteopatas
C002873_lt_000	gyvūnų chiropraktikas
C002873_lt_001	gyvūnų chiropraktikė
C002873_lt_002	gyvūnų manualinio gydymo praktikas
C002873_lt_003	gyvūnų terapeutas
C002873_lt_004	veterinaras terapeutas
C002873_lt_005	veterinarijos gydytojas terapeutas
C002874_lt_000	soliariumo konsultantas
C002874_lt_001	soliariumo konsultantė
C002875_lt_000	šiuolaikinių kalbų dėstytojas
C002875_lt_001	dabartinių kalbų docentas
C002875_lt_002	dabartinių kalbų dėstytojas
C002875_lt_003	dabartinių kalbų lektorius
C002875_lt_004	šiuolaikinių kalbų docentas
C002875_lt_005	šiuolaikinių kalbų dėstytoja
C002875_lt_006	šiuolaikinių kalbų lektorius
C002875_lt_007	šiuolaikinės filologijos dėstytojas
C002876_lt_000	renginių vadovas
C002876_lt_001	banketų vadovas
C002876_lt_002	konferencijų ir banketų vadovas
C002876_lt_003	konferencijų vadovas
C002876_lt_004	renginių organizatorius
C002876_lt_005	renginių planuotojas
C002876_lt_006	renginių vadovė
C002877_lt_000	palaikomosios slaugos socialinis darbuotojas
C002877_lt_001	palaikomosios slaugos socialinė darbuotoja
C002877_lt_002	palaikomosios slaugos specialistas
C002877_lt_003	paliatyvinės slaugos socialinis darbuotojas
C002877_lt_004	paliatyviosios slaugos socialinis darbuotojas
C002877_lt_005	slaugos ligoninės darbuotojas
C002877_lt_006	slaugymo specialistas
C002878_lt_000	sandėlio darbininkas
C002878_lt_001	pakuotojas
C002878_lt_002	pakuotojas (rankomis)
C002878_lt_003	sandėlininkas
C002878_lt_004	sandėlio darbininkė
C002878_lt_005	sandėlio darbuotojas
C002878_lt_006	sandėlio prižiūrėtojas
C002878_lt_007	užsakymų priėmėjas
C002878_lt_008	užsakymų rengėjas
C002878_lt_009	užsakymų surinkėjas
C002879_lt_000	projekto vadovas
C002879_lt_001	projekto direktorius
C002879_lt_002	projekto koordinatorius
C002879_lt_003	projekto vadovė
C002880_lt_000	raugo distiliuotojas
C002880_lt_001	distiliuotojas
C002880_lt_002	raugalo distiliuotojas
C002880_lt_003	raugo distiliuotoja
C002881_lt_000	kompiuterių testavimo technikas
C002881_lt_001	aparatinės įrangos kontrolierius
C002881_lt_002	aparatinės įrangos testavimo technikas
C002881_lt_003	kompiuterinės įrangos inspektorius
C002881_lt_004	kompiuterinės įrangos testavimo technikas
C002881_lt_005	kompiuterių testavimo technikė
C002881_lt_006	kompiuterių testuotojas
C002881_lt_007	testavimo technikas
C002882_lt_000	arklininkas
C002882_lt_001	arklininkė
C002882_lt_002	arklių prižiūrėtojas dresuotojas
C002883_lt_000	chemijos pramonės produktų pardavimo atstovas technikos klausimams
C002883_lt_001	chemijos pramonės produktų pardavimo atstovė technikos klausimams
C002883_lt_002	chemijos pramonės produktų pardavimo inžinierius technikos klausimams
C002883_lt_003	chemijos pramonės produktų pardavėjas
C002883_lt_004	chemijos pramonės produktų pardavėjas technikas
C002883_lt_005	chemijos pramonės produktų pardavėjas technikos klausimams
C002883_lt_006	chemijos produktų pardavėjas
C002884_lt_000	odos gaminių pakavimo operatorius
C002884_lt_001	odos gaminių pakavimo operatorė
C002884_lt_002	odos gaminių pakuotojas
C002884_lt_003	pakavimo operatorius
C002884_lt_004	pakavimo įrangos operatorius
C002884_lt_005	pakuotojas
C002885_lt_000	barista
C002885_lt_001	baristos (plural)
C002885_lt_002	kavos ruošimo meistras
C002885_lt_003	kavos ruošimo meistrė
C002886_lt_000	apsaugos nuo spinduliuotės specialistas
C002886_lt_001	apsaugos nuo radiacijos specialistas
C002886_lt_002	apsaugos nuo spinduliuotės specialistė
C002887_lt_000	mažmeninis prekybininkas
C002887_lt_001	mažmeninė prekybininkė
C002887_lt_002	pardavėjas
C002888_lt_000	skraidymo scenų režisierius
C002888_lt_001	skraidymo scenų režisierė
C002888_lt_002	veiksmo scenų danguje choreografas
C002889_lt_000	filosofas
C002889_lt_001	filosofijos ekspertas
C002889_lt_002	filosofijos specialistas
C002889_lt_003	filosofė
C002890_lt_000	nitroglicerino neutralizuotojas
C002890_lt_001	neutralizuotojas
C002890_lt_002	nitroglicerino gamybos darbininkas
C002890_lt_003	nitroglicerino gamybos įrenginių operatorius
C002890_lt_004	nitroglicerino neutralizuotoja
C002891_lt_000	buhalterio padėjėjas
C002891_lt_001	apskaitininko asistentas
C002891_lt_002	buhalterio asistentas
C002891_lt_003	buhalterio padėjėja
C002891_lt_004	finansų skyriaus asistentas
C002891_lt_005	jaunesnysis apskaitininkas
C002892_lt_000	akvakultūros aplinkos analitikas
C002892_lt_001	akvakultūros aplinkos analitikė
C002892_lt_002	akvakultūros aplinkos specialistas
C002892_lt_003	akvakultūros aplinkosaugos specialistas
C002893_lt_000	archeologijos dėstytojas
C002893_lt_001	archeologijos docentas
C002893_lt_002	archeologijos dėstytoja
C002893_lt_003	archeologijos lektorius
C002893_lt_004	universiteto archeologijos dėstytojas
C002893_lt_005	universiteto archeologijos lektorius
C002894_lt_000	optometrijos specialistas
C002894_lt_001	optikos specialistas
C002894_lt_002	optometrijos ekspertas
C002894_lt_003	optometrijos specialistė
C002894_lt_004	optometristas
C002895_lt_000	vidurinės mokyklos literatūros mokytojas
C002895_lt_001	literatūros mokytojas
C002895_lt_002	vidurinės mokyklos literatūros mokytoja
C002896_lt_000	finansų brokeris
C002896_lt_001	brokeris
C002896_lt_002	finansinių paslaugų brokeris
C002896_lt_003	finansinių paslaugų konsultantas
C002896_lt_004	finansinių paslaugų vadybininkas
C002896_lt_005	finansų brokerė
C002896_lt_006	finansų konsultantas
C002896_lt_007	finansų patarėjas
C002896_lt_008	finansų tarpininkas
C002896_lt_009	hipotekos paskolų brokeris
C002896_lt_010	hipotekos įstaigos patarėjas
C002896_lt_011	prekiautojas finansiniais produktais
C002897_lt_000	mokslinių tyrimų vadovas
C002897_lt_001	laboratorijos analitikas
C002897_lt_002	laboratorijos vadovas
C002897_lt_003	mokslinių tyrimų vadovė
C002897_lt_004	mokslo reikalų direktorius
C002898_lt_000	žuvies išpjovų ruošėjas
C002898_lt_001	žuvies ir jūros gėrybių pardavėjas
C002898_lt_002	žuvies išpjovų ruošėja
C002899_lt_000	vertybinių popierių brokeris
C002899_lt_001	finansinių paslaugų pardavimo agentas
C002899_lt_002	investicijų brokeris
C002899_lt_003	vertybinių popierių biržos brokeris
C002899_lt_004	vertybinių popierių brokerė
C002900_lt_000	viešųjų ryšių specialistas
C002900_lt_001	atstovas spaudai
C002900_lt_002	atstovas viešiesiems ryšiams
C002900_lt_003	atstovas žiniasklaidai
C002900_lt_004	konsultantas žiniasklaidos klausimais
C002900_lt_005	spaudos sekretorius
C002900_lt_006	viešųjų ryšių specialistė
C002900_lt_007	visuomeninės informacijos specialistas
C002901_lt_000	kaukių kūrėjas
C002901_lt_001	kaukių gamintojas
C002901_lt_002	kaukių kūrėja
C002901_lt_003	kaukių menininkas
C002902_lt_000	techninės pagalbos kelyje meistras
C002902_lt_001	techninės pagalbos kelyje meistrė
C002903_lt_000	specializuotasis gėlių ir sodo reikmenų pardavėjas
C002903_lt_001	augalų parduotuvės pardavėjas
C002903_lt_002	daigų pardavėjas
C002903_lt_003	floristas
C002903_lt_004	gėlių ir sodo reikmenų pardavėjas
C002903_lt_005	gėlių pardavėjas
C002903_lt_006	gėlių parduotuvės pardavėjas
C002903_lt_007	sodininkystės reikmenų pardavėjas
C002903_lt_008	sodo reikmenų pardavėjas
C002903_lt_009	sodo reikmenų parduotuvės pardavėjas
C002903_lt_010	specializuotasis floristikos parduotuvės pardavėjas
C002903_lt_011	specializuotoji gėlių ir sodo reikmenų pardavėja
C002904_lt_000	kasyklų elektrikas
C002904_lt_001	elektrikas
C002904_lt_002	elektrikas mechanikas
C002904_lt_003	elektromonteris
C002904_lt_004	elektros inžinierius
C002904_lt_005	kasyklų elektrikė
C002905_lt_000	akvakultūros gyvūnų auginimo darbininkas
C002905_lt_001	akvakultūros auginimo darbininkas
C002905_lt_002	akvakultūros gyvūnų auginimo darbininkė
C002905_lt_003	gyvūnų auginimo darbininkas
C002905_lt_004	vandens gyvūnų auginimo darbininkas
C002905_lt_005	žuvivaisos darbininkas
C002905_lt_006	žuvų auginimo darbininkas
C002906_lt_000	metalo gaminių kokybės inspektorius
C002906_lt_001	metalo gaminių kokybės inspektorė
C002906_lt_002	metalo gaminių testavimo technikas
C002906_lt_003	metalo testavimo specialistas
C002906_lt_004	metalo testavimo technikas
C002906_lt_005	metalo testuotojas
C002907_lt_000	apsaugos signalizacijos technikas
C002907_lt_001	apsaugos signalizacijos montuotojas
C002907_lt_002	apsaugos signalizacijos technikė
C002907_lt_003	elektroninių apsaugos sistemų montuotojas
C002907_lt_004	gaisro signalizacijos montuotojas
C002907_lt_005	gaisro signalizacijos technikas
C002907_lt_006	įsibrovimo pavojaus signalizacijos technikas
C002907_lt_007	įsibrovimo signalizacijos montuotojas
C002907_lt_008	įsibrovimo signalizacijos technikas
C002908_lt_000	kompozitinės medienos plokščių gamybos mašinų operatorius
C002908_lt_001	kompozitinės medienos gamybos mašinų operatorius
C002908_lt_002	kompozitinės medienos gamybos mašinų specialistas
C002908_lt_003	kompozitinės medienos gamybos mašinų technikas
C002908_lt_004	kompozitinės medienos plokščių gamybos mašinų operatorė
C002908_lt_005	kompozitinės medienos plokščių gamybos mašinų specialistas
C002908_lt_006	kompozitinės medienos plokščių gamybos mašinų technikas
C002908_lt_007	kompozitinės medienos plokščių klijavimo specialistas
C002908_lt_008	kompozitinės medienos plokščių klijavimo technikas
C002908_lt_009	kompozitinės medienos plokščių klijavimo įrenginių operatorius
C002908_lt_010	kompozitinės medienos preso operatorius
C002908_lt_011	kompozitinės medienos preso specialistas
C002908_lt_012	kompozitinės medienos preso technikas
C002908_lt_013	medžio drožlių plokščių gamybos įrenginių operatorius
C002908_lt_014	plaušų plokščių gamybos mašinų operatorius
C002908_lt_015	plaušų plokščių gamybos mašinų specialistas
C002908_lt_016	plaušų plokščių gamybos mašinų technikas
C002908_lt_017	plaušų plokščių gamybos įrenginių operatorius
C002908_lt_018	smulkinių plokščių gamybos mašinų operatorius
C002908_lt_019	smulkinių plokščių gamybos mašinų specialistas
C002908_lt_020	smulkinių plokščių gamybos mašinų technikas
C002908_lt_021	smulkinių plokščių gamybos įrenginių operatorius
C002909_lt_000	teršalų išvalymo specialistas
C002909_lt_001	aplinkos teršalų išvalymo technikas
C002909_lt_002	aplinkos teršalų valymo sistemų specialistas
C002909_lt_003	aplinkos teršalų valymo sistemų technikas
C002909_lt_004	aplinkos teršalų valymo technikas
C002909_lt_005	teršalų išvalymo specialistė
C002909_lt_006	teršalų išvalymo technikas
C002910_lt_000	spaudinių lankstytuvo operatorius
C002910_lt_001	lankstymo mašinos operatorius
C002910_lt_002	lankstymo technikas
C002910_lt_003	popieriaus lankstymo darbininkas
C002910_lt_004	popieriaus lankstymo mašinos operatorius
C002910_lt_005	spaudinių lankstytuvo operatorė
C002911_lt_000	biuro įrangos importo eksporto specialistas
C002911_lt_001	biuro įrangos eksporto specialisto padėjėjas
C002911_lt_002	biuro įrangos importo eksporto specialisto padėjėjas
C002911_lt_003	biuro įrangos importo eksporto specialistė
C002911_lt_004	biuro įrangos importo specialisto padėjėjas
C002911_lt_005	tarptautinės prekybos biuro įranga specialistas
C002911_lt_006	vyresnysis biuro įrangos eksporto specialistas
C002911_lt_007	vyresnysis biuro įrangos importo eksporto specialistas
C002911_lt_008	vyresnysis biuro įrangos importo specialistas
C002912_lt_000	socialinių paslaugų vadovas
C002912_lt_001	bendruomeninių paslaugų vadovas
C002912_lt_002	slaugos namų vadovas
C002912_lt_003	socialinių paslaugų vadovė
C002913_lt_000	vaistininko padėjėjas
C002913_lt_001	vaistininko padėjėja
C002913_lt_002	vaistininko pagalbininkas
C002913_lt_003	vaistinės asistentas
C002914_lt_000	pieno produktų ir valgomųjų aliejų platinimo vadovas
C002914_lt_001	pieno produktų ir valgomųjų aliejų logistikos vadovas
C002914_lt_002	pieno produktų ir valgomųjų aliejų platinimo vadovvė
C002915_lt_000	pultruzijos mašinų operatorius
C002915_lt_001	pultruzijos mašinų operatorė
C002915_lt_002	stiklo pluošto gamybos mašinų operatorius
C002915_lt_003	stiklo pluošto pratraukėjas
C002915_lt_004	stiklo pluošto profilių gamintojas
C002915_lt_005	sustiprinto stiklo pluošto gamintojas
C002915_lt_006	tempiamosios ekstruzijos įrenginių operatorius
C002916_lt_000	finansinės paramos teikimo studentams koordinatorius
C002916_lt_001	finansinės pagalbos koordinatorius
C002916_lt_002	finansinės paramos koordinatorius
C002916_lt_003	finansinės paramos teikimo studentams koordinatorė
C002916_lt_004	studentų finansavimo koordinatorius
C002917_lt_000	žemės ūkio srities mokslininkas
C002917_lt_001	žemės ūkio srities mokslininkė
C002918_lt_000	dėstytojo padėjėjas
C002918_lt_001	dėstytojo padėjėja
C002918_lt_002	lektoriaus padėjėjas
C002918_lt_003	universiteto dėstytojo padėjėjas
C002918_lt_004	universiteto lektoriaus padėjėjas
C002919_lt_000	vaikų darželio direktorius
C002919_lt_001	ikimokyklinio ugdymo įstaigos vyriausiasis auklėtojas
C002919_lt_002	vaikų darželio direktorė
C002919_lt_003	vaikų darželio vadovas
C002919_lt_004	vaikų darželio viršininkas
C002920_lt_000	reklamos montuotojas
C002920_lt_001	reklaminių iškabų kabintojas
C002920_lt_002	reklamos montuotoja
C002920_lt_003	reklamos skydų montuotojas
C002920_lt_004	reklamos stendų montuotojas
C002920_lt_005	reklamos įrenginių montuotojas
C002921_lt_000	sunkvežimių vairavimo instruktorius
C002921_lt_001	sunkvežimių vairavimo instruktorė
C002922_lt_000	netradicinės medicinos specialistas
C002922_lt_001	ajurvedos specialistas
C002922_lt_002	alternatyvios medicinos specialistas
C002922_lt_003	alternatyviosios medicinos specialistas
C002922_lt_004	natūropatas
C002922_lt_005	netradicinės medicinos specialistė
C002922_lt_006	papildomos medicinos specialistas
C002922_lt_007	papildomosios medicinos specialistas
C002923_lt_000	spyruoklių gamintojas
C002923_lt_001	laikrodinių spyruoklių gamintojas
C002923_lt_002	lakštinių spyruoklių gamintojas
C002923_lt_003	spaudžiamųjų spyruoklių gamintojas
C002923_lt_004	spyruoklių derintojas
C002923_lt_005	spyruoklių gamintoja
C002923_lt_006	spyruoklių gamybos mašinų derintojas
C002923_lt_007	spyruoklių gamybos mašinų meistras derintojas
C002923_lt_008	spyruoklių gamybos mašinų operatorius
C002923_lt_009	spyruoklių meistras
C002923_lt_010	spyruoklių surinkėjas
C002923_lt_011	spyruoklių vijimo įrangos derintojas
C002923_lt_012	spyruoklių vijimo įrangos operatorius
C002923_lt_013	sraigtinių spyruoklių gamintojas
C002923_lt_014	sukamųjų spyruoklių gamintojas
C002923_lt_015	tempiamųjų spyruoklių gamintojas
C002924_lt_000	lėšų rinkimo kampanijos vadybininkas
C002924_lt_001	lėšų rinkimo kampanijos vadybininkė
C002924_lt_002	lėšų rinkimo organizatorius
C002924_lt_003	lėšų rinkimo organizavimo specialistas
C002924_lt_004	lėšų rinkimo renginių specialistas
C002925_lt_000	meninio ugdymo specialistas
C002925_lt_001	meninio ugdymo specialistė
C002925_lt_002	muziejaus edukologas
C002925_lt_003	muziejaus gidas
C002925_lt_004	muziejaus pedagogas
C002925_lt_005	teatro edukologas
C002926_lt_000	priešgaisrinės priežiūros inspektorius
C002926_lt_001	gaisrinės saugos inspektorius
C002926_lt_002	priešgaisrinės apsaugos inspektorius
C002926_lt_003	priešgaisrinės priežiūros inspektorė
C002926_lt_004	sveikatos ir saugos inspektorius
C002926_lt_005	sveikatos ir saugos konsultantas
C002927_lt_000	autoklavo operatorius
C002927_lt_001	autoklavo operatorė
C002927_lt_002	plaušienos malimo mašinų operatorius
C002927_lt_003	plaušienos malimo mašinų specialistas
C002927_lt_004	plaušienos malimo mašinų technikas
