C000001_da_000	Militært arbejde
C002991_da_002	engroshandelsassistent inden for tobaksprodukter
C002991_da_003	engroshandler inden for tobaksprodukter
C002991_da_004	engroskøber inden for tobaksprodukter
C002991_da_005	grossist inden for tobaksprodukter
C002992_da_000	ekspert i levnedsmiddellovgivning
C002992_da_001	ekspert i fødevareteknologi
C002992_da_002	levnedsmiddelrådgiver
C002992_da_003	levnedsmiddeltekniker
C002992_da_004	procesteknolog med speciale i fødevarer
C002993_da_000	elinstallationstekniker
C002993_da_001	elektriker
C002994_da_000	supply chain assistent
C002994_da_001	produktionsassistent
C002995_da_000	geokemiker
C002996_da_000	jæger
C002997_da_000	flyvesikkerhedskoordinator
C002997_da_001	flyvesikkerhedsansvarlig
C002997_da_002	flyvesikkerhedsinspektør
C002997_da_003	flyvesikkerhedsmedarbejder
C002998_da_000	testingeniør
C002998_da_001	kvalitetsingeniør
C002998_da_002	kvalitetstekniker
C002999_da_000	lektor i religionsvidenskab
C002999_da_001	lektor i teologi
C003000_da_000	chef for IKT-miljø
C003000_da_001	chef for IKT miljø
C003000_da_002	chef for IT-miljø
C003001_da_000	landbrugsassistent - afgrøder
C003001_da_001	landbrugsmedarbejder
C003001_da_002	medarbejder ved fremstilling af afgrøder
C003001_da_003	medarbejder ved fremstilling af landgrugsafgrøder
C003001_da_004	medarbejder ved planteavl
C003001_da_005	medarbejder ved produktion af planter
C003002_da_000	trafikkontrollør
C003003_da_000	tekniker inden for flyinteriør
C003003_da_001	flyinstrumentmekaniker
C003003_da_002	flyinstrumenttekniker
C003003_da_003	montør inden for flyinteriør
C003004_da_000	maskinoperatør - pillefremstilling
C003004_da_001	maskinoperatør - tabletfremstilling
C003004_da_002	operatør af pillemaskine
C003004_da_003	procesoperatør
C003005_da_000	pilot i flyvevåbnet
C003005_da_001	flådepilot
C003005_da_002	marinepilot
C003005_da_003	militærpilot
C003005_da_004	pilot
C003006_da_000	programchef
C003007_da_000	tekniker inden for behandling af farligt affald
C003007_da_001	affaldsbehandler
C003007_da_002	behandler af farligt affald
C003007_da_003	medarbejder inden for affaldssortering
C003007_da_004	medarbejder inden for bortskaffelse af farligt affald
C003008_da_000	teknisk sælger
C003009_da_000	finansiel rådgiver
C003010_da_000	autosadelmager
C003010_da_001	autopolstrer
C003010_da_002	polstrer
C003010_da_003	sadelmager
C003011_da_000	videodesigner
C003011_da_001	filmkunstner
C003011_da_002	grafisk designer
C003011_da_003	projektionstegner
C003012_da_000	tekniker inden for vejdrift og vejvedligeholdelse
C003013_da_000	grundskoleleder
C003013_da_001	skoleinspektør
C003014_da_000	glarmester
C003015_da_000	vermutproducent
C003015_da_001	medarbejder til fremstilling af vermouth
C003015_da_002	produktionsassistent til fremstilling af vermouth
C003016_da_000	koordinator inden for høst og bearbejdning af grønne kaffebønner
C003016_da_001	grøn kaffe-koordinator
C003016_da_002	grøn kaffe-specialist
C003016_da_003	koordinator af grøn kaffe
C003016_da_004	koordinator af grøn kaffe ekstrakt
C003017_da_000	regnskabsanalytiker
C003017_da_001	finansanalytiker
C003018_da_000	rigger på gulv eller landjord
C003018_da_001	erhvervsklatrer
C003018_da_002	rigger
C003018_da_003	stilladsarbejder
C003018_da_004	stilladsopstiller
C003019_da_000	operatør af bulldozer
C003019_da_001	anlægsoperatør
C003019_da_002	bulldozerchauffør
C003020_da_000	politisk medarbejder
C003021_da_000	medarbejder til metalgenvinding
C003022_da_000	sergent
C003022_da_001	adjudant
C003022_da_002	oversergent
C003022_da_003	politisergent
C003022_da_004	seniorsergent
C003022_da_005	stabssergent
C003022_da_006	underofficer
C003023_da_000	operatør af scraper
C003024_da_000	kraftværkschef
C003024_da_001	elværkschef
C003025_da_000	rådgiver inden for forbrugerret
C003025_da_001	forbrugerrådgiver
C003026_da_000	ledningsmontør
C003027_da_000	rengøringsassistent i tog
C003027_da_001	togrengøringsassistent
C003027_da_002	togsanitør
C003028_da_000	artdirector
C003028_da_001	AD'er
C003028_da_002	art director
C003028_da_003	kreativ leder
C003029_da_000	rengøringshjælp
C003029_da_001	hushjælp
C003029_da_002	husholder
C003029_da_003	husholderske
C003029_da_004	husholdningshjælp
C003029_da_005	rengøringsassistent
C003029_da_006	rengøringsdame
C003029_da_007	rengøringskone
C003029_da_008	rengøringsmedhjælper
C003029_da_009	rengøringspersonale
C003029_da_010	sanitør
C003029_da_011	stuepige
C003029_da_012	ung pige i huset
C003030_da_000	chefredaktør
C003030_da_001	hovedredaktør
C003030_da_002	redaktionschef
C003031_da_000	driftsleder på gasbehandlingsanlæg
C003031_da_001	kontrollør af gasbehandling
C003031_da_002	operatør på gasbehandlingsanlæg
C003031_da_003	tilsynsførende på gasbehandlingsanlæg
C003032_da_000	energianalytiker
C003032_da_001	energikonsulent
C003032_da_002	energirådgiver
C003033_da_000	Dramalærer
C003033_da_001	underviser i scenekunst
C003033_da_002	underviser i skuespillerkunst
C003034_da_000	kostumeindkøber
C003034_da_001	indkøber af kostumer
C003034_da_002	kostumeassistent
C003035_da_000	kvalitetsbedømmer
C003035_da_001	produktionsteknolog
C003036_da_000	museumsdirektør
C003037_da_000	grøn anlægsgartner
C003037_da_001	anlægsgartner
C003037_da_002	drivhusgartner
C003037_da_003	gartner
C003037_da_004	gartnerikonsulent
C003037_da_005	konsulent inden for havebrug
C003037_da_006	væksthusgartner
C003038_da_000	import- og eksportchef inden for beklædning og fodtøj
C003038_da_001	assistent for eksportchef inden for beklædning og fodtøj
C003038_da_002	assistent for importchef inden for beklædning og fodtøj
C003038_da_003	international handelschef inden for beklædning og fodtøj
C003039_da_000	sælger af aviser og kontorartikler
C003039_da_001	avishandler
C003039_da_002	avissælger
C003039_da_003	ekspedient i en aviskiosk
C003039_da_004	ekspedient i en bladkiosk
C003039_da_005	kioskassistent
C003039_da_006	kioskekspedient
C003040_da_000	maskinchef
C003040_da_001	maskinmester
C003040_da_002	skibsmaskinist af 1. grad
C003040_da_003	skibsmaskinmester
C003041_da_000	møbelpolstrer
C003041_da_001	polstrer
C003042_da_000	chefrevisor
C003042_da_001	auditor
C003042_da_002	tilsynsførende revisor
C003043_da_000	kommunikationschef
C003043_da_001	PR-chef
C003044_da_000	lagerekspedient
C003044_da_001	ordreplukker
C003045_da_000	IT-revisor
C003046_da_000	svejsekoordinator
C003046_da_001	svejseingeniør
C003046_da_002	svejser
C003047_da_000	politiinspektør
C003047_da_001	chefpolitiinspektør
C003047_da_002	politimester
C003047_da_003	vicepolitikommissær
C003048_da_000	lokal socialarbejder
C003049_da_000	håndskomager
C003049_da_001	skomager
C003049_da_002	syer
C003049_da_003	syerske
C003050_da_000	operatør af dyppetank
C003050_da_001	maskinarbejder - coating
C003050_da_002	maskinarbejder - plettering
C003050_da_003	operatør til pletteringstank
C003050_da_004	pladesmed - varmedypning
C003050_da_005	specialist - dyppetank
C003050_da_006	varmedypningsgalvanisør
C003051_da_000	leder af kulturhus
C003051_da_001	kulturcenterleder
C003052_da_000	radioproducer
C003053_da_000	lydkunstner
C003053_da_001	lyddesigner
C003053_da_002	lyddesigner og -artist
C003053_da_003	lydinstallationskunstner
C003053_da_004	lydkunstner og -designer
C003054_da_000	scannerfører
C003054_da_001	grafisk tekniker
C003054_da_002	prepressmedarbejder
C003054_da_003	prepresstekniker
C003054_da_004	scanneroperatør
C003055_da_000	engrosforhandler inden for beklædning og fodtøj
C003056_da_000	sømmaskineoperatør
C003056_da_001	industrioperatør
C003056_da_002	maskinoperatør
C003057_da_000	arbejdsleder inden for glasmontering
C003058_da_000	leder af pensionskasse
C003059_da_000	terapeut inden for sofrologi
C003059_da_001	ekspert i sofrologi
C003059_da_002	specialist i sofrologi
C003059_da_003	terapeut inden for dynamisk afslapning
C003060_da_000	udlejningschef
C003060_da_001	ejendomsleasingchef
C003060_da_002	ejendomsleasingkoordinator
C003060_da_003	leasingadministrator
C003060_da_004	leasingchef
C003060_da_005	leasingoperatør
C003061_da_000	IKT-netværksingeniør
C003061_da_001	ingeniør inden for netværksteknologi
C003061_da_002	konfigurator af netværk
C003061_da_003	netværksudvikler
C003062_da_000	prepressmedarbejder
C003062_da_001	prepress-medarbejder
C003062_da_002	prepress-tekniker
C003062_da_003	prepresstekniker
C003062_da_004	repro- og prepressmedarbejder
C003063_da_000	maskinoperatør - fremstilling af madrasser
C003064_da_000	korleder
C003064_da_001	kormester
C003065_da_000	fodterapeut
C003065_da_001	fodplejer
C003065_da_002	ortopæd
C003066_da_000	ansvarlig for styring af luftrum
C003066_da_001	luftrumsstyringschef
C003067_da_000	chefkonsulent inden for socialsikringsområdet
C003067_da_001	administrator
C003067_da_002	embedsmand
C003067_da_003	socialsikringsmedarbejder
C003067_da_004	tjenestemand
C003068_da_000	kunstnermodel
C003069_da_000	kranmontør
C003069_da_001	kranreparatør
C003069_da_002	krantekniker
C003070_da_000	metalsliber
C003070_da_001	jern- og metalsliber
C003071_da_000	teletekniker
C003071_da_001	person der vedligeholder telekommunikationsudstyr
C003071_da_002	reparatør af tekekommunikationsudstyr
C003072_da_000	softwarearkitekt
C003072_da_001	softwaredesigner
C003073_da_000	violinbygger
C003073_da_001	instrumentbygger
C003073_da_002	instrumentmager
C003073_da_003	musikinstrumentbygger
C003073_da_004	musikinstrumentmager
C003074_da_000	operatør af papirmasseanlæg
C003075_da_000	direktør i børsmæglervirksomhed
C003075_da_001	mæglerchef
C003076_da_000	tekniker inden for cytologiscreening
C003077_da_000	instruktør for kabinebesætning
C003077_da_001	stewardesseinstruktør
C003078_da_000	lottomedarbejder
C003078_da_001	lotterioperatør
C003079_da_000	tandplejer
C003079_da_001	specialist i tand- og mundsundhed
C003079_da_002	tandterapeut
C003079_da_003	terapeut inden for tand- og mundsundhed
C003080_da_000	finmekaniker
C003080_da_001	instrumentmekaniker
C003081_da_000	teknisk sælger af tekstilproduktionsmaskiner
C003082_da_000	modetøjdesigner
C003082_da_001	beklædningskunstner
C003082_da_002	tøjdesigner
C003083_da_000	kostumedesigner
C003083_da_001	dekoratør
C003083_da_002	kostumemager
C003083_da_003	kostumetegner
C003083_da_004	kostumier
C003084_da_000	assisterende psykolog
C003084_da_001	assistent for klinisk psykolog
C003085_da_000	klubvært
C003085_da_001	klubværtinde
C003086_da_000	skindsorterer
C003086_da_001	pelssorterer
C003087_da_000	fjerkræproducent
C003087_da_001	fjerkræavler
C003087_da_002	person der producerer fjerkræ
C003088_da_000	notar
C003088_da_001	notarius publicus
C003089_da_000	uddannelseskoordinator
C003089_da_001	uddannelseskonsulent
C003090_da_000	repetitør
C003091_da_000	udlejningsagent
C003091_da_001	leasingkonsulent
C003091_da_002	udlejningskonsulent
C003092_da_000	operatør af gasbehandlingsanlæg
C003092_da_001	forsyningsoperatør
C003092_da_002	operatør af gasdistributionsanlæg
C003092_da_003	operatør af gasforsyningsanlæg
C003093_da_000	optomekanisk tekniker
C003094_da_000	finansrådgiver
C003095_da_000	kreativ chef
C003095_da_001	AD'er
C003095_da_002	art director
C003095_da_003	artdirector
C003096_da_000	ciderbrygger
C003096_da_001	ciderproducent
C003096_da_002	producent af cider
C003096_da_003	producent af frugtcider
C003097_da_000	statistikassistent
C003097_da_001	statistisk medarbejder
C003098_da_000	juridisk chef
C003099_da_000	industrioperatør - fermentor
C003099_da_001	operatør inden for kemisk fremstilling
C003099_da_002	produktionsarbejder - kemisk fremstilling
C003100_da_000	kulturjournalist
C003101_da_000	vareopfylder
C003101_da_001	butikshyldeopfylder
C003101_da_002	butiksmedarbejder
C003101_da_003	butiksmedhjælper
C003102_da_000	chef for gartneriproduktion
C003102_da_001	chef for gartneri
C003102_da_002	chef for planteskoleproduktion
C003102_da_003	chef for produktion i gartneri
C003102_da_004	chef for væksthusproduktion
C003103_da_000	kriminalreporter
C003104_da_000	engrosforhandler inden for træ- og byggematerialer
C003104_da_001	B2B-salgskonsulent inden for træ- og byggematerialer
C003104_da_002	engroshandelsassistent inden for træ- og byggematerialer
C003104_da_003	engroshandler inden for træ- og byggematerialer
C003104_da_004	grossist inden for træ- og byggematerialer
C003105_da_000	skoleleder på gymnasialt niveau
C003106_da_000	social- og sundhedsassistent
C003106_da_001	omsorgsmedhjælper
C003106_da_002	plejehjemsassistent
C003106_da_003	sosu-assistent
C003106_da_004	sygehjælper
C003107_da_000	import- og eksportmedarbejder inden for affald og skrot
C003107_da_001	ekspert i international handel
C003107_da_002	eksportassistent
C003107_da_003	importassistent
C003108_da_000	Boretekniker - olie
C003108_da_001	borearbejder - gasplatform
C003108_da_002	borearbejder - oliefelt
C003108_da_003	ingeniør - boreudstyr
C003108_da_004	ingeniør - olieplatform
C003108_da_005	medarbejder på en borerig
C003108_da_006	operatør af boreudstyr
C003108_da_007	procesoperatør - olieplatform
C003108_da_008	vedligeholdelsesingeniør
C003109_da_000	cigarkontrollør
C003109_da_001	cigarinspektør
C003109_da_002	kontrollør af cigarer
C003109_da_003	kvalitetskontrollør af cigarer
C003110_da_000	personalekonsulent
C003110_da_001	HR-konsulent
C003110_da_002	personaleudviklingskonsulent
C003111_da_000	dataanalytiker
C003111_da_001	analytiker data warehouse
C003111_da_002	data analytiker
C003111_da_003	data-analytiker
C003112_da_000	medarbejder i en skønhedssalon
C003112_da_001	kosmetiker
C003112_da_002	kosmetolog
C003112_da_003	medarbejder i en skønhedsklinik
C003113_da_000	maskinoperatør - chokoladestøbemaskine
C003113_da_001	chokoladestøber
C003113_da_002	tekniker specialiseret i chokoladeforme
C003113_da_003	tekniker specialiseret i forme til chokoladesmeltning
C003113_da_004	tekniker specialiseret i støbeforme
C003114_da_000	spildevandsoperatør
C003114_da_001	operatør af spildevandsanlæg
C003114_da_002	spildevandstekniker
C003115_da_000	montør af elektromekanisk udstyr
C003116_da_000	distributionschef inden for isenkram, varmeanlæg og tilbehør
C003116_da_001	assistent for distributionschef inden for isenkram, varmeanlæg og tilbehør
C003116_da_002	logistikchef inden for isenkram, varmeanlæg og tilbehør
C003116_da_003	nyuddannet distributionschef inden for isenkram, varmeanlæg og tilbehør
C003116_da_004	supply chain manager inden for isenkram, varmeanlæg og tilbehør
C003117_da_000	ansvarlig for forankring på et akvakulturbrug
C003117_da_001	medarbejder på et akvakulturbrug
C003118_da_000	kosherslagteriarbejder
C003118_da_001	slagteriarbejder
C003119_da_000	flyvemaskinist
C003119_da_001	flyingeniør
C003120_da_000	kosherslagter
C003121_da_000	mineredningsarbejder
C003121_da_001	redder
C003121_da_002	redningsarbejder
C003122_da_000	sundhedspolitisk medarbejder
C003123_da_000	butikschef inden for kosmetik og parfume
C003123_da_001	butiksbestyrer inden for kosmetik og parfume
C003123_da_002	parfumeribestyrer
C003123_da_003	parfumerichef
C003123_da_004	skønhedsbutikschef
C003124_da_000	astronaut
C003124_da_001	besætningsmedlem på rumfartøj
C003124_da_002	kosmonaut
C003125_da_000	operatør af tørpresser
C003125_da_001	industrioperatør
C003125_da_002	teglpresser
C003126_da_000	produktudvikler inden for lædervarer
C003126_da_001	lædertekniker
C003126_da_002	produktdesigner og produktudvikler inden for lædervarer
C003126_da_003	produktingeniør inden for lædervarer
C003126_da_004	produktudvikler
C003127_da_000	stagehand
C003127_da_001	scenearbejder
C003127_da_002	sceneassistent
C003127_da_003	scenetekniker
C003128_da_000	ledsager
C003128_da_001	butler
C003128_da_002	hjælper
C003128_da_003	hushjælp
C003128_da_004	husholder
C003128_da_005	hushovmester
C003128_da_006	selskabsdame
C003129_da_000	designer af digitale medie
C003129_da_001	designer af digitale multimedier
C003130_da_000	maskinoperatør - parfumeproduktion
C003130_da_001	procesoperatør
C003131_da_000	digitalkunstner
C003131_da_001	computerkunstner
C003131_da_002	grafiker
C003131_da_003	multimediekunstner
C003132_da_000	personlig stylist
C003132_da_001	personlig stilrådgiver
C003132_da_002	stylist
C003133_da_000	tjener
C003133_da_001	serveringsdame
C003133_da_002	serveringsmedarbejder
C003133_da_003	servitrice
C003133_da_004	steward
C003133_da_005	stewardesse
C003134_da_000	restaurantleder
C003134_da_001	F & B-manager
C003134_da_002	F & B-supervisor
C003134_da_003	ansvarlig for drikkevarer
C003134_da_004	ansvarlig for mad- og drikkevarer
C003134_da_005	chef for food and beverages
C003135_da_000	regionsrådsformand
C003135_da_001	provinsguvernør
C003136_da_000	operatør af planhøvl
C003136_da_001	industrioperatør
C003136_da_002	maskinoperatør - træbearbejdning
C003136_da_003	operatør af træskæremaskine
C003137_da_000	designer af digitale spil
C003137_da_001	designer af computerspil
C003137_da_002	designer af virtuelle spil
C003137_da_003	udvikler af digitale spil
C003138_da_000	import- og eksportmedarbejder inden for elektronik og telekommunikationsudstyr
C003138_da_001	eksportassistent inden for elektronik og telekommunikationsudstyr
C003138_da_002	importassistent inden for elektronik og telekommunikationsudstyr
C003139_da_000	kampinstruktør
C003139_da_001	instruktør af fægtekamp
C003139_da_002	instruktør af kampscener
C003139_da_003	instruktør i kampsport
C003139_da_004	kampkoreograf
C003139_da_005	koordinator af kampscener
C003139_da_006	stagefightinstruktør
C003139_da_007	stagefightkoordinator
C003140_da_000	medarbejder inden for udlejning af videobånd og videodisks
C003140_da_001	medarbejder, udlejning af videobånd og videodisks
C003140_da_002	udlejningsmedarbejder, videobånd og videodisks
C003141_da_000	misbrugsrådgiver
C003141_da_001	rusmiddelrådgiver
C003142_da_000	sikkerhedsingeniør inden for minedrift
C003142_da_001	arbejdsmiljøingeniør inden for minedrift
C003143_da_000	socialpolitisk medarbejder
C003144_da_000	følgespotsoperatør
C003144_da_001	belysningsoperatør inden for følgespots
C003144_da_002	operatør af spotlights
C003145_da_000	produktionsingeniør
C003145_da_001	produktionstekniker
C003146_da_000	medarbejder i en bedemandsforretning
C003146_da_001	bedemandsassistent
C003146_da_002	medarbejder i en begravelsesforretning
C003147_da_000	operatør af en sikke-bertlemaskine
C003147_da_001	industrioperatør
C003147_da_002	maskinoperatør
C003147_da_003	operatør, bertlemaskine
C003147_da_004	operatør, sikke- og bertlemaskine
C003147_da_005	operatør, sikke-bertlemaskine
C003147_da_006	operatør, sikkemaskine
C003148_da_000	import- og eksportchef inden for huder, skind og lædervarer
C003148_da_001	assistent for eksportchef inden for huder, skind og lædervarer
C003148_da_002	assistent for importchef inden for huder, skind og lædervarer
C003148_da_003	international handelschef inden for huder, skind og lædervarer
C003149_da_000	lagerkoordinator
C003149_da_001	lageradministrator
C003149_da_002	lagermedarbejder
C003150_da_000	civilingeniør
C003150_da_001	diplomingeniør
C003150_da_002	havneingeniør
C003150_da_003	ingeniør
C003150_da_004	strukturingeniør
C003150_da_005	teknisk konsulent
C003150_da_006	teknisk rådgiver
C003151_da_000	luftfartsingeniør
C003151_da_001	flyingeniør
C003152_da_000	møbelbygger
C003152_da_001	produktionsarbejder - møbler
C003153_da_000	bagagehåndteringschef
C003153_da_001	bagagechef
C003153_da_002	bagagehåndteringskoordinator
C003153_da_003	bagagehåndteringssupervisor
C003153_da_004	bagagekoordinator
C003153_da_005	chef for ground operations
C003154_da_000	elektronisk tegner
C003154_da_001	teknisk designer inden for elektronik
C003155_da_000	tekniker inden for telekommunikation
C003155_da_001	administrator af telekommunikation
C003155_da_002	leder af telekommunikation
C003155_da_003	telekommunikationsadministratorer
C003156_da_000	akvakulturtekniker med speciale i høst af akvatiske organismer
C003156_da_001	akvakulturtekniker
C003157_da_000	materialhandelsbestyrer
C003158_da_000	maskinoperatør - bomuldsrensning
C003158_da_001	procesoperatør
C003159_da_000	studieplansadministrator
C003159_da_001	kursussekretær
C003159_da_002	læseplansadministrator
C003159_da_003	pensumsekretær
C003160_da_000	landmåler
C003160_da_001	geodæt
C003160_da_002	geomatiker
C003160_da_003	geotekniker
C003161_da_000	bestyrer af computerforretning
C003161_da_001	bestyrer af computerbutik
C003161_da_002	bestyrer af databutik
C003161_da_003	butiksbestyrer indenfor it-udstyr
C003162_da_000	HR-assistent
C003162_da_001	HR-medarbejder
C003162_da_002	HR-sekretær
C003163_da_000	mudderingeniør
C003163_da_001	geofysiker inden for offshorevirksomhed
C003163_da_002	geolog indenfor offshorevirksomhed
C003163_da_003	geotekniker inden for offshorevirksomhed
C003163_da_004	mud logger
C003163_da_005	mudlogger
C003163_da_006	offshoregeotekniker
C003163_da_007	offshoretekniker
C003164_da_000	politisk assistent
C003164_da_001	folketingsassistent
C003164_da_002	parlamentarisk assistent
C003165_da_000	import- og eksportmedarbejder inden for tobaksprodukter
C003165_da_001	ekspert i international handel
C003165_da_002	eksportassistent
C003165_da_003	importassistent
C003166_da_000	marketingchef
C003166_da_001	marketing- og reklamechef
C003166_da_002	reklamechef
C003166_da_003	reklamedirektør
C003166_da_004	reklamekoordinator
C003167_da_000	virksomhedscoach
C003168_da_000	import- og eksportchef inden for farmaceutiske produkter
C003168_da_001	assistent for eksportchef inden for farmaceutiske produkter
C003168_da_002	assistent for importchef inden for farmaceutiske produkter
C003168_da_003	international handelschef inden for farmaceutiske produkter
C003169_da_000	relationship manager
C003170_da_000	konkursforvalter
C003170_da_001	bobestyrer
C003170_da_002	konkursadministrator
C003170_da_003	konkursbestyrer
C003170_da_004	konkurskurator
C003170_da_005	kurator
C003171_da_000	sporvejslægger
C003171_da_001	banearbejder
C003171_da_002	banemontør
C003171_da_003	bybanebygger
C003171_da_004	jernbanearbejder
C003171_da_005	jernbanelægger
C003172_da_000	tekniker inden for spildevandsbehandling
C003172_da_001	spildevandstekniker
C003172_da_002	tekniker inden for spildevandsrensning
C003173_da_000	flymekaniker med speciale i flyelektronik
C003173_da_001	elektriker
C003173_da_002	flyelektriker
C003173_da_003	flyelektronikmekaniker
C003173_da_004	flyelektroniktekniker
C003173_da_005	flyinstrumentmekaniker
C003173_da_006	flymekaniker
C003173_da_007	flytekniker
C003174_da_000	industrioperatør - skoproduktion
C003174_da_001	pakkeoperatør
C003175_da_000	inspektør af vægt og mål
C003176_da_000	farvehandler
C003176_da_001	ekspedient i en boligindretningsbutik
C003176_da_002	ekspedient i en farvehandel
C003176_da_003	farvehandlerekspedient
C003176_da_004	salgsassistent, farvehandel
C003176_da_005	tapet- og farvehandler
C003176_da_006	tapethandler
C003177_da_000	montør af trykte printkort
C003177_da_001	PCB-montør
C003177_da_002	THT-opertør
C003177_da_003	fabrikant af trykte printkort
C003178_da_000	lokaliseringsekspert
C003178_da_001	localiser
C003179_da_000	ansvarlig for kontrol af skibsmotorer
C003179_da_001	inspektør af fartøjsmotorer
C003179_da_002	tester af fartøjsmotorer
C003180_da_000	procesoperatør - blegning af voks
C003180_da_001	procesoperatør - kemisk blegning af voks
C003181_da_000	produktchef
C003181_da_001	assistent for kategorichef
C003181_da_002	kategorichef
C003181_da_003	produktspecialist
C003182_da_000	lektor i matematik
C003183_da_000	kvalitetstekniker inden for kemisk produktion
C003183_da_001	kvalitetsinspektør inden for kemi
C003183_da_002	kvalitetsinspektør inden for kemisk produktion
C003183_da_003	kvalitetskontroltekniker inden for kemi
C003183_da_004	kvalitetstekniker inden for produktion
C003184_da_000	escort
C003184_da_001	call girl
C003184_da_002	escortfyr
C003184_da_003	escortmand
C003184_da_004	escortpige
C003184_da_005	gigolo
C003184_da_006	ledsager
C003184_da_007	mandlig escort
C003184_da_008	prostitueret
C003184_da_009	sexarbejder
C003184_da_010	telefonpige
C003185_da_000	møller
C003185_da_001	medarbejder i en mølle
C003185_da_002	møllersvend
C003186_da_000	porcelænsmaler
C003187_da_000	erhvervsjournalist
C003188_da_000	publikumschef
C003188_da_001	FOH Manager
C003188_da_002	eventmanager
C003188_da_003	front of house manager
C003188_da_004	leder af front of house
C003189_da_000	kunstnerisk leder
C003189_da_001	artdirector
C003189_da_002	kunstdirektør
C003190_da_000	maskinoperatør - omsyning af beklædningsgenstande
C003190_da_001	omsyningsskrædder
C003190_da_002	procesoperatør
C003191_da_000	maskinkonstruktør
C003192_da_000	indkøbsplanlægger
C003192_da_001	indkøbsadministrator
C003192_da_002	indkøbskoordinator
C003193_da_000	støberitekniker
C003193_da_001	metalformer
C003193_da_002	metalstøber
C003194_da_000	import- og eksportchef inden for frugt og grøntsager
C003194_da_001	assistent for eksportchef inden for frugt og grøntsager
C003194_da_002	assistent for importchef inden for frugt og grøntsager
C003194_da_003	international handelschef inden for frugt og grøntsager
C003195_da_000	import- og eksportchef inden for landbrugsråvarer, såsæd og foderstoffer
C003195_da_001	assistent for importchef inden for landbrugsråvarer, såsæd og foderstoffer
C003195_da_002	international handelschef inden for landbrugsråvarer, såsæd og foderstoffer
C003196_da_000	balsamør
C003196_da_001	bedemand
C003196_da_002	gravpladsarbejder
C003196_da_003	kirkegårdsmedhjælper
C003197_da_000	maltmester
C003197_da_001	kontrollant af malt til whisky
C003197_da_002	maltkontrollant
C003197_da_003	maltsupervisor
C003198_da_000	smykkereparatør
C003198_da_001	guldsmed
C003198_da_002	juveler
C003198_da_003	sølvsmed
C003199_da_000	ansvarlig inden for montage af rullende materiel
C003199_da_001	ansvarlig inden for godsvognsproduktion
C003199_da_002	ansvarlig inden for lokomotivproduktion
C003199_da_003	ansvarlig inden for montage af jernbanekøretøjer
C003199_da_004	ansvarlig inden for produktion af jernbanekøretøjer
C003199_da_005	ansvarlig inden for produktion af rullende materiel
C003199_da_006	ansvarlig inden for skinnekøretøjsproduktion
C003199_da_007	kvalitetsansvarlig inden for montage af rullende materiel
C003200_da_000	rehabiliteringskonsulent
C003201_da_000	import- og eksportmedarbejder inden for porcelæn og glasvarer
C003201_da_001	ekspert i international handel inden for porcelæn og glasvarer
C003201_da_002	eksportassistent inden for porcelæn og glasvarer
C003201_da_003	importassistent inden for porcelæn og glasvarer
C003202_da_000	webmaster
C003202_da_001	hjemmesideadministrator
C003202_da_002	webadministrator
C003202_da_003	webmanager
C003202_da_004	webredaktør
C003203_da_000	containerkranfører
C003203_da_001	havnekranfører
C003203_da_002	kranfører
C003204_da_000	skoreparatør
C003204_da_001	skomager
C003204_da_002	skopudser
C003205_da_000	overfladetekniker
C003205_da_001	korrosionsingeniør
C003206_da_000	filmoperatør
C003206_da_001	biografoperatør
C003206_da_002	projektoroperatør
C003207_da_000	tekniker inden for optoelektronik
C003208_da_000	callcenterleder
C003208_da_001	callcenterkoordinator
C003208_da_002	kontaktcenterkoordinator
C003208_da_003	kontaktcenterleder
C003209_da_000	nedriver
C003210_da_000	ejendomsleder
C003210_da_001	boligadministrator
C003210_da_002	boligkoordinator
C003211_da_000	import- og eksportmedarbejder inden for parfumerivarer og kosmetik
C003211_da_001	ekspert i international handel
C003211_da_002	importassistent inden for parfumerivarer og kosmetik
C003212_da_000	dæksdreng
C003212_da_001	besætningsmedlem
C003212_da_002	motormand
C003212_da_003	skibsassistent
C003212_da_004	skibsdreng
C003213_da_000	formand for havnearbejdere
C003213_da_001	dokarbejderinspektør
C003213_da_002	havnearbejder
C003213_da_003	havnearbejderinspektør
C003213_da_004	skibslæsserinspektør
C003214_da_000	distributionschef inden for elektriske husholdningsapparater
C003214_da_001	assistent for distributionschef inden for elektriske husholdningsapparater
C003214_da_002	logistikchef inden for elektriske husholdningsapparater
C003214_da_003	supply chain manager inden for elektriske husholdningsapparater
C003215_da_000	inspektør inden for farligt affald
C003215_da_001	analytiker inden for industriaffald
C003215_da_002	inspektør af industrielt affald
C003215_da_003	inspektør inden for deponering af farligt affald
C003215_da_004	tekniker inden for farligt affald
C003216_da_000	leder af udlejningskontor
C003216_da_001	rental manager
C003216_da_002	station manager
C003216_da_003	udlejningsansvarlig
C003216_da_004	udlejningschef
C003216_da_005	udlejningskoordinator
C003216_da_006	udlejningsleder
C003217_da_000	engrosforhandler inden for levende dyr
C003218_da_000	energikonsulent
C003218_da_001	energirådgiver
C003218_da_002	energisparekonsulent
C003219_da_000	varemærkechef
C003219_da_001	brand manager
C003219_da_002	marketingschef
C003219_da_003	produktchef
C003220_da_000	finansieringschef
C003220_da_001	finansieringskoordinator
C003220_da_002	projektleder
