Q000001	Klottersanerare
Q002608	Pressoperatör, tryckmedier
Q002609	Borrtekniker
Q002610	Projekteringsingenjör, gruv och metallurgi
Q002611	Ventilationsingenjör
Q002612	Riskingenjör, risk management
Q002613	Försäljningschef
Q002614	Forskare, immunologi
Q002615	Rampagent
Q002616	Jaktkonsulent/Viltkonsulent
Q002617	Lackerare
Q002618	Lärling, bandlastarförare
Q002619	Rättssociolog
Q002620	Mätartekniker VA
Q002621	Emaljerare, lackering
Q002622	Linjemontör, elkraft
Q002623	Kustbevakningstjänsteman
Q002624	Cirkelledare/Studiecirkelledare
Q002625	Penselmakare
Q002626	Forskningsassistent, medicin
Q002627	Bingofunktionär/Bingovärd/Bingovärdinna
Q002628	Antagningschef, utbildning
Q002629	Jungman
Q002630	Metallsågare
Q002631	Civilingenjör, forskning och utveckling, kemi
Q002632	Drejare
Q002633	Driftledare, skogsbruk
Q002634	Konferenstolk
Q002635	Civilingenjör, VVS
Q002636	Kammarrättsråd
Q002637	Ciselör
Q002638	Tolk
Q002639	Dirigent
Q002640	Museitekniker
Q002641	Stallchef/Stallförman
Q002642	Skolpsykolog
Q002643	Stenmontör
Q002644	Perfusionist
Q002645	Maskinkärnmakare
Q002646	Däcksbyggare
Q002647	Offsettryckare
Q002648	Vindkraftsprojektör
Q002649	Smältare, glas
Q002650	Webmaster
Q002651	Databasanalytiker
Q002652	Stränggjutare, stålverk
Q002653	Flygspeditör
Q002654	Servicetekniker, elektronik
Q002655	Maskinsäljare, entreprenad
Q002656	Ungdomsinstruktör/Ungdomstränare
Q002657	Destinationsutvecklare
Q002658	Auktionsutropare
Q002659	Ljusbordsoperatör
Q002660	Barntimmeledare
Q002661	Soliditetsupplysare
Q002662	Annonskonsulent
Q002663	Besöksbokare/Kundbokare
Q002664	Uppläggare
Q002665	Präst, romersk-katolsk kyrka
Q002666	Tappmaskinskötare
Q002667	Företagsguide
Q002668	Bandvävare
Q002669	Kontrolloperatör, metallprodukter
Q002670	Kontorschef, bank
Q002671	Gjutare, keramik
Q002672	Helikoptertekniker
Q002673	Samplingspersonal
Q002674	Mimare
Q002675	Hydraulreparatör
Q002676	Kontraktsadjunkt
Q002677	Tillskärare, möbeltillverkning
Q002678	Räddningsledare, statlig räddningstjänst
Q002679	Grundlärare, fritidshem
Q002680	Djurskyddsinspektör
Q002681	Butikskock
Q002682	Redaktionsassistent
Q002683	Nationalparkschef
Q002684	Glasslipare
Q002685	Borrförman, berg
Q002686	Systemansvarig
Q002687	IT-forensiker
Q002688	Logistikchef
Q002689	Informatiker
Q002690	Lunchkock
Q002691	Trafikinspektör
Q002692	Yrkeshygieniker
Q002693	Fastighetschef/Fastighetsdirektör
Q002694	Asbestsanerare
Q002695	Byggnadskalkylator/Anbudsingenjör
Q002696	Frivårdsinspektör
Q002697	Kakelformare
Q002698	Cytodiagnostiker
Q002699	Turistsekreterare
Q002700	Kioskbiträde
Q002701	Utbildningskonsulent, skola
Q002702	Fiskerikontrollant
Q002703	Teleskoptruckförare
Q002704	Glasmålare
Q002705	Klinisk farmakolog
Q002706	Krigsarkivarie
Q002707	Skattehandläggare
Q002708	Expeditionschef, departement
Q002709	Miljöarbetare/Renhållningsarbetare
Q002710	Mopedmekaniker
Q002711	Kundtjänstchef
Q002712	Trapetskonstnär
Q002713	Hemsjukvårdare
Q002714	Tapetvalsgravör
Q002715	Lärling, betonghåltagare
Q002716	Industrilackerare
Q002717	Hemtextilsömmerska
Q002718	Evangelist/Resepastor
Q002719	Pantlånare
Q002720	Viltmästare
Q002721	Ekonomikonsult
Q002722	Barnsjuksköterska, vårdavdelning
Q002723	Platschef, bilprovning
Q002724	PR-chef
Q002725	Maskinmästare
Q002726	Floormanager
Q002727	Psykolog
Q002728	Systemoperatör, tryckeri
Q002729	Utredningsassistent
Q002730	Bygg- och anläggningsförare
Q002731	Klockare
Q002732	Agil coach/Agile coach
Q002733	Stentekniker/Stenhuggare
Q002734	Lärling, sprinklermontör
Q002735	Plåtbearbetare
Q002736	Kategorichef/Kategoriansvarig
Q002737	Konsthantverkare
Q002738	Forensiker, biologi
Q002739	Slipskiveformare
Q002740	Planeringsingenjör, kemiteknik
Q002741	Sminkör
Q002742	Gitarrbyggare
Q002743	Skumplastarbetare
Q002744	Betongblandare
Q002745	Färgkonsulent
Q002746	Konstnär
Q002747	Bioinformatiker
Q002748	Specialistarbetsterapeut
Q002749	Kammarrättspresident
Q002750	Båtinredare
Q002751	Layoutchef
Q002752	Experimentingenjör, el-tele
Q002753	Stuntman
Q002754	Besiktningsingenjör
Q002755	Eldare
Q002756	Laboratorieassistent
Q002757	Turistchef
Q002758	Registrator
Q002759	Generalsekreterare
Q002760	2:e Styrman
Q002761	Departementschef
Q002762	Hälsoinformatör
Q002763	Fastighetsstädare
Q002764	Miljöcontroller
Q002765	Dörrvakt
Q002766	Ortodontiassistent
Q002767	Hotellvaktmästare/Piccolo
Q002768	Inredningsarkitekt
Q002769	Lantbruksinspektor
Q002770	Åklagare
Q002771	Mimpedagog
Q002772	Arbetsledare, terminal
Q002773	Kontrollingenjör, textil, trä, glas, förpackningar
Q002774	Barnterapeut
Q002775	Onkologisjuksköterska
Q002776	Äldreomsorgschef
Q002777	HR-chef
Q002778	Trikåstickare
Q002779	Maskinkonstruktör
Q002780	Trailerreparatör
Q002781	Beläggningsarbetare
Q002782	Screentryckare
Q002783	Databasadministratör
Q002784	Snickerimaskinskötare
Q002785	Skinnfärgare
Q002786	Depåman/Depåtekniker
Q002787	Sändningstekniker
Q002788	Depåförare, spårburen trafik
Q002789	Glassmältare
Q002790	Garvarmästare
Q002791	Larminstallatör/Larmtekniker
Q002792	Tarmförädlingsarbetare
Q002793	Automatskötare
Q002794	Stenograf
Q002795	Maskinoperatör, tobaksindustri
Q002796	Restaurangbiträde
Q002797	Mattvättare
Q002798	Modellör, keramik
Q002799	Naturgeograf
Q002800	Beläggningsmaskinförare
Q002801	Företagskonsult
Q002802	Nätverkskonstruktör
Q002803	Fiolbyggare
Q002804	Elektronikreparatör
Q002805	Undervisningsråd
Q002806	Arbetsterapibiträde
Q002807	Forskningschef, museum
Q002808	Ammoniakkokare
Q002809	Förbundstränare
Q002810	Game designer/Speldesigner
Q002811	Resebyråassistent
Q002812	Länsbostadsdirektör
Q002813	Lastbilssäljare
Q002814	Glaspolerare
Q002815	Foajépersonal
Q002816	Försäkringsjurist
Q002817	Featurechef
Q002818	Fotografassistent
Q002819	Tornkranförare
Q002820	Omprövningshandläggare, arbetslöshetskassa
Q002821	Helikoptermekaniker
Q002822	Annonschef
Q002823	Reklamdistributör/Reklamutdelare
Q002824	Projektledare, IT
Q002825	Kartritare
Q002826	Fysiker
Q002827	Kronoinspektör
Q002828	Hattmakare
Q002829	Tvistemålsadvokat
Q002830	Sekreterare
Q002831	Skidinstruktör/Skidlärare
Q002832	Förlagschef, bokförlag
Q002833	Dekormålare
Q002834	Eventtekniker
Q002835	Expeditionsvakt
Q002836	Grundlärare, förskoleklass och 1-3
Q002837	Plantskolearbetare, skog
Q002838	Näringsterapeut
Q002839	Punktsvetsare
Q002840	Botaniker
Q002841	Trycksvarvare
Q002842	Kilare, stenbrott
Q002843	Hovrättsassessor
Q002844	Fritidsassistent
Q002845	Marknadsundersökare
Q002846	Projektledare, gruva
Q002847	Teknisk redaktör
Q002848	Karusellsvarvare
Q002849	Psykologiskt ledningsansvarig psykolog/PLA
Q002850	Konsertarrangör
Q002851	Träsnidare
Q002852	Obduktionsbiträde
Q002853	Lokreparatör
Q002854	Ställningsbyggare, utan yrkesbevis
Q002855	Leveranschef
Q002856	Fordonsingenjör, Trafikverket
Q002857	Driftchef, fastighet
Q002858	Uppräkningspersonal, bevakningsföretag
Q002859	Köttmästare
Q002860	Läromedelsintendent
Q002861	Kärnborrare
Q002862	Audiometris
Q002863	Data scientist
Q002864	Brandingenjör
Q002865	Tarifferare
Q002866	Rulloffsettryckare
Q002867	Slipverktygstillverkare
Q002868	Produktionsplanerare, tillverkningsindustri
Q002869	Valutamäklare
Q002870	Djurhälsoveterinär
Q002871	Hudterapeut
Q002872	Laboratorieingenjör, fysik
Q002873	Kassaledare, butik
Q002874	Notskrivare
Q002875	Mediachef
Q002876	Energideklarerare/Energiexpert
Q002877	Linjeagent/Rederiagent
Q002878	Skylttillverkare
Q002879	Ugnsoperatör
Q002880	Kylmaskinist, kyl- och frysanläggning
Q002881	Specialtransportförare
Q002882	Lagman
