C000001_es_000	Ocupaciones militares
C003280_es_003	intermediario comercial
C003280_es_004	operador en materias primas
C003280_es_005	operadora en materias primas
C003281_es_000	gerente de distribución
C003281_es_001	gerente de centro de distribución
C003282_es_000	extra
C003282_es_001	comparsa
C003283_es_000	director de producción de artículos de cuero/directora de producción de artículos de cuero
C003283_es_001	director de producción de marroquinería
C003283_es_002	directora de producción de marroquinería
C003284_es_000	odontólogo/odontóloga
C003284_es_001	dentista
C003284_es_002	odontóloga
C003284_es_003	odontólogo
C003285_es_000	técnico superior en operaciones aeroportuarias/técnica superior en operaciones aeroportuarias
C003285_es_001	director de operaciones aeroportuarias
C003285_es_002	directora de operaciones aeroportuarias
C003285_es_003	supervisor de operaciones aeroportuarias
C003285_es_004	supervisora de operaciones aeroportuarias
C003285_es_005	técnica de gestión aeroportuaria y despacho de vuelo
C003285_es_006	técnica superior en operaciones aeroportuarias
C003285_es_007	técnico de gestión aeroportuaria y despacho de vuelo
C003285_es_008	técnico superior en operaciones aeroportuarias
C003286_es_000	basurero/basurera
C003286_es_001	basurera
C003286_es_002	basurero
C003286_es_003	empleada de recogida de basuras
C003286_es_004	empleado de recogida de basuras
C003287_es_000	letrista
C003288_es_000	supervisor de construcción subacuática/supervisora de construcción subacuática
C003288_es_001	inspector de obra subacuática
C003288_es_002	inspectora de obra subacuática
C003288_es_003	jefa de equipo de buzos de construcción
C003288_es_004	jefa de equipo de buzos soldadores-oxicortadores
C003288_es_005	jefe de equipo de buzos de construcción
C003288_es_006	jefe de equipo de buzos soldadores-oxicortadores
C003288_es_007	supervisor de construcción subacuática
C003288_es_008	supervisor de obras de construcción bajo el agua
C003288_es_009	supervisora de construcción subacuática
C003288_es_010	supervisora de obras de construcción bajo el agua
C003289_es_000	especialista en ensayos y control de calidad de motores de buques y embarcaciones de recreo/especialista en ensayos y control de calidad de motores de buques y embarcaciones de recreo
C003289_es_001	especialista en ensayos y control de calidad de motores de buques y embarcaciones de recreo
C003290_es_000	responsable de productos y servicios de la empresa
C003290_es_001	gestor de catálogo de productos y servicios
C003290_es_002	gestora de catálogo de productos y servicios
C003291_es_000	operario de viñedos/operaria de viñedos
C003291_es_001	operaria de viñedos
C003291_es_002	operario de viñedos
C003291_es_003	trabajador del sector vítícola
C003291_es_004	trabajadora del sector vítícola
C003291_es_005	vendimiador
C003291_es_006	vendimiadora
C003292_es_000	experto en terapia asistida con animales/experta en terapia asistida con animales
C003292_es_001	experta en terapia asistida con animales
C003292_es_002	experto en terapia asistida con animales
C003293_es_000	técnico de mantenimiento de maquinaria para fabricar calzado/técnica de mantenimiento de maquinaria para fabricar calzado
C003293_es_001	supervisor de mantenimiento de maquinaria para fabricar calzado
C003293_es_002	supervisora de mantenimiento de maquinaria para fabricar calzado
C003293_es_003	técnica de mantenimiento de maquinaria para fabricar calzado
C003293_es_004	técnico de mantenimiento de maquinaria para fabricar calzado
C003294_es_000	mayordomo de hostelería/gobernanta de hostelería
C003294_es_001	encargada de asistir a los huéspedes en hoteles
C003294_es_002	encargada de hoteles
C003294_es_003	encargado de asistir a los huéspedes en hoteles
C003294_es_004	gobernanta de hostelería
C003294_es_005	maestresala
C003294_es_006	mayordomo de hostelería
C003294_es_007	responsable de asistencia a huéspedes en hoteles
C003295_es_000	cosedor de artículos de cuero/cosedora de artículos de cuero
C003295_es_001	aparador
C003295_es_002	aparadora
C003295_es_003	cosedor de artículos de cuero
C003295_es_004	cosedora de artículos de cuero
C003295_es_005	costurera de artículos de cuero
C003295_es_006	costurero de artículos de cuero
C003296_es_000	ingeniero de instrumentación/ingeniera de instrumentación
C003296_es_001	ingeniera de instrumentación
C003296_es_002	ingeniera de instrumentación y control
C003296_es_003	ingeniero de instrumentación
C003296_es_004	ingeniero de instrumentación y control
C003297_es_000	ingeniero eléctrico de minas/ingeniera eléctrica de minas
C003297_es_001	ingeniera eléctrica de minas
C003297_es_002	ingeniero eléctrico de minas
C003298_es_000	técnico de metrología/técnica de metrología
C003298_es_001	técnica de metrología
C003298_es_002	técnico de metrología
C003299_es_000	representante técnico de ventas de maquinaria y equipo de oficina/representante técnica de ventas de maquinaria y equipo de oficina
C003299_es_001	representante técnica de ventas de maquinaria y equipo agrícolas
C003299_es_002	representante técnico de ventas de maquinaria y equipo agrícolas
C003300_es_000	seleccionador de pieles y cuero/seleccionadora de pieles y cuero
C003300_es_001	seleccionador de pieles y cuero
C003300_es_002	seleccionadora de pieles y cuero
C003301_es_000	especialista en importación y exportación de metales y minerales metálicos
C003301_es_001	administrador de importación y exportación
C003301_es_002	administradora de importación y exportación
C003301_es_003	especialista en logística de metales y minerales metálicos
C003301_es_004	técnica en comercio exterior
C003301_es_005	técnica superior en comercio internacional
C003301_es_006	técnico en comercio exterior
C003301_es_007	técnico superior en comercio internacional
C003302_es_000	conservador de zoológico/conservadora de zoológico
C003302_es_001	conservador de zoológico
C003302_es_002	conservadora de zoológico
C003302_es_003	responsable del registro de animales en parque zoológico
C003303_es_000	profesor universitario de química/profesora universitaria de química
C003303_es_001	profesor universitario de química
C003303_es_002	profesora universitaria de química
C003304_es_000	chófer privado/choferesa privada
C003304_es_001	choferesa particular
C003304_es_002	choferesa privada
C003304_es_003	chófer particular
C003304_es_004	chófer privado
C003304_es_005	conductor profesional de automóviles
C003304_es_006	conductora profesional de automóviles
C003305_es_000	especialista en importación y exportación de aparatos electrodomésticos
C003305_es_001	administrador de importación y exportación
C003305_es_002	administradora de importación y exportación
C003305_es_003	especialista en logística de aparatos electrodomésticos
C003305_es_004	técnica superior en comercio internacional
C003305_es_005	técnico superior en comercio internacional
C003306_es_000	profesor de formación profesional en educación física/profesora de formación profesional en educación física
C003306_es_001	profesor de formación profesional en educación física
C003306_es_002	profesora de formación profesional en educación física
C003307_es_000	jardinero paisajista/jardinera paisajista
C003307_es_001	creador de paisajes
C003307_es_002	creadora de paisajes
C003307_es_003	diseñador de paisajes
C003307_es_004	diseñadora de paisajes
C003307_es_005	jardinera paisajista
C003307_es_006	jardinero paisajista
C003308_es_000	operador de máquina mezcladora de espuma de caucho/operadora de máquina mezcladora de espuma de caucho
C003308_es_001	moldeador de espuma de caucho
C003308_es_002	moldeadora de espuma de caucho
C003308_es_003	operador de máquina mezcladora de caucho
C003308_es_004	operador de máquina mezcladora de espuma de caucho
C003308_es_005	operador de máquina mezcladora de espuma de poliuretano
C003308_es_006	operadora de máquina mezcladora de caucho
C003308_es_007	operadora de máquina mezcladora de espuma de caucho
C003308_es_008	operadora de máquina mezcladora de espuma de poliuretano
C003308_es_009	operaria de máquina mezcladora de espuma de caucho
C003308_es_010	operario de máquina mezcladora de espuma de caucho
C003309_es_000	gerente de floristería y tienda de jardinería
C003309_es_001	gerente de tienda de foristería y jardinería
C003310_es_000	operador de recubrimiento de correas trapezoidales/operadora de recubrimiento de correas trapezoidales
C003310_es_001	operador de recubrimiento de correas trapezoidales
C003310_es_002	operadora de recubrimiento de correas trapezoidales
C003311_es_000	osteópata de animales
C003311_es_001	osteópata animal
C003311_es_002	osteópatas de animales
C003311_es_003	terapeuta de animales
C003312_es_000	director de distribución de azúcar, chocolate y productos de confitería/directora de distribución de azúcar, chocolate y productos de confitería
C003312_es_001	director de distribución de azúcar, chocolate y productos de confitería
C003312_es_002	directora de distribución de azúcar, chocolate y productos de confitería
C003312_es_003	responsable de distribución de azúcar, chocolate y productos de confitería
C003313_es_000	técnico en protección ambiental/técnica en protección ambiental
C003313_es_001	técnica de enseñanza ambiental
C003313_es_002	técnica de gestión ambiental
C003313_es_003	técnica de medio ambiente
C003313_es_004	técnica en protección ambiental
C003313_es_005	técnico de enseñanza ambiental
C003313_es_006	técnico de gestión ambiental
C003313_es_007	técnico de medio ambiente
C003313_es_008	técnico en protección ambiental
C003314_es_000	electricista de eventos
C003314_es_001	electricista de escenarios
C003314_es_002	electricista de estudio
C003315_es_000	actor de voz en off/actriz de voz en off
C003315_es_001	actor de voz en off
C003315_es_002	actriz de voz en off
C003316_es_000	profesor de filosofía en educación secundaria/profesora de filosofía en educación secundaria
C003316_es_001	profesor de filosofía en educación secundaria
C003316_es_002	profesora de filosofía en educación secundaria
C003317_es_000	gestor de relaciones con los proveedores de TIC/gestora de relaciones con los proveedores de TIC
C003317_es_001	encargada de relaciones con los proveedores de TIC
C003317_es_002	encargado de relaciones con los proveedores de TIC
C003317_es_003	gestor de relaciones con los proveedores de TIC
C003317_es_004	gestor de relaciones con los proveedores de TICs
C003317_es_005	gestora de relaciones con los proveedores de TIC
C003317_es_006	gestora de relaciones con los proveedores de TICs
C003317_es_007	responsable de la gestión de relaciones con los proveedores de TIC
C003317_es_008	responsable de las relaciones con los proveedores de TIC
C003318_es_000	técnico en seguros especializado en tramitación y gestión de reclamaciones/técnica en seguros especializada en tramitación y gestión de reclamaciones
C003318_es_001	perita ajustadora de seguros
C003318_es_002	perito ajustador de seguros
C003318_es_003	técnica en seguros especializada en tramitación y gestión de reclamaciones
C003318_es_004	técnico en seguros especializado en tramitación y gestión de reclamaciones
C003319_es_000	analista de riesgos en aseguradoras
C003319_es_001	analista de riesgos de caución
C003319_es_002	especialista en gestión global de riesgos en entidades aseguradoras
C003320_es_000	tasador de bienes personales/tasadora de bienes personales
C003320_es_001	perita tasadora (seguros)
C003320_es_002	perito tasador (seguros)
C003320_es_003	tasador de artículos de segunda mano
C003320_es_004	tasador de bienes personales
C003320_es_005	tasador de objetos heredados
C003320_es_006	tasador de obras de arte y antigüedades
C003320_es_007	tasadora de artículos de segunda mano
C003320_es_008	tasadora de bienes personales
C003320_es_009	tasadora de objetos heredados
C003320_es_010	tasadora de obras de arte y antigüedades
C003321_es_000	técnico de criadero acuícola/técnica de criadero acuícola
C003321_es_001	técnica en cultivos acuícolas
C003321_es_002	técnico de criadero acuícola
C003322_es_000	director de seguridad/directora de seguridad
C003322_es_001	director de seguridad
C003322_es_002	directora de seguridad
C003323_es_000	especialista en importación y exportación de productos químicos
C003323_es_001	administrador de importación y exportación
C003323_es_002	administradora de importación y exportación
C003323_es_003	especialista en logística de productos químicos
C003323_es_004	técnica superior en comercio internacional
C003323_es_005	técnico superior en comercio internacional
C003324_es_000	coordinador de vehículos de tranvía/coordinadora de vehículos de tranvía
C003324_es_001	controlador de tráfico tranviario
C003324_es_002	controladora de tráfico tranviario
C003324_es_003	coordinador de vehículos de tranvía
C003324_es_004	coordinadora de vehículos de tranvía
C003325_es_000	técnico en geotecnia/técnica en geotecnia
C003325_es_001	geotécnico
C003325_es_002	técnica en geotecnia
C003325_es_003	técnica en geotecnia minera
C003325_es_004	técnico en geotecnia
C003325_es_005	técnico en geotecnia minera
C003326_es_000	operador de panel de apuestas hípicas/operadora de panel de apuestas hípicas
C003326_es_001	encargada de marcador de hipódromo
C003326_es_002	encargado de marcador de hipódromo
C003326_es_003	operador de panel de apuestas hípicas
C003326_es_004	operadora de panel de apuestas hípicas
C003327_es_000	nutricionista animal
C003327_es_001	entendida en nutrición de piensos
C003327_es_002	entendido en nutrición de piensos
C003327_es_003	experta en nutrición animal
C003327_es_004	experto en nutrición animal
C003327_es_005	técnica en nutrición de piensos
C003327_es_006	técnico en nutrición de piensos
C003328_es_000	vendedor de comida callejera/vendedora de comida callejera
C003328_es_001	vendedor ambulante de comida
C003328_es_002	vendedor de comida callejera
C003328_es_003	vendedora ambulante de comida
C003328_es_004	vendedora de comida callejera
C003329_es_000	director de importación y exportación de electrodomésticos/directora de importación y exportación de electrodomésticos
C003329_es_001	director de importación y exportación de electrodomésticos
C003329_es_002	directora de importación y exportación de electrodomésticos
C003329_es_003	responsable de importación y exportación de electrodomésticos
C003330_es_000	operador de soldadura de haz de electrones/operadora de soldadura de haz de electrones
C003330_es_001	operador de soldadura de haz de electrones
C003330_es_002	operadora de soldadura de haz de electrones
C003331_es_000	responsable de grupos de interés especial
C003331_es_001	responsable de organizaciones que representan intereses específicos
C003332_es_000	operador de máquinas de anodización/operadora de máquinas de anodización
C003332_es_001	anodizador
C003332_es_002	anodizadora
C003332_es_003	operador de máquinas de anodización
C003332_es_004	operadora de máquina de anodización
C003332_es_005	técnica de máquina de anodización
C003332_es_006	técnico de máquina de anodización
C003333_es_000	profesor universitario de ingeniería/profesora universitaria de ingeniería
C003333_es_001	profesor universitario de ingeniería
C003333_es_002	profesora universitaria de ingeniería
C003334_es_000	interventor de ferrocarril/interventora de ferrocarril
C003334_es_001	interventor de ferrocarril
C003334_es_002	interventora de ferrocarril
C003334_es_003	revisor de ferrocarril
C003334_es_004	revisor de tren
C003334_es_005	revisora de ferrocarril
C003334_es_006	revisora de tren
C003335_es_000	criador de cerdos/criadora de cerdos
C003335_es_001	criador de cerdos
C003335_es_002	criadora de cerdos
C003335_es_003	porcicultor
C003335_es_004	porcicultora
C003335_es_005	responsable de explotación porcina
C003336_es_000	impresor offset/impresora offset
C003336_es_001	impresor offset
C003336_es_002	impresora offset
C003336_es_003	maquinista offset
C003337_es_000	agente de protección civil
C003338_es_000	operario de desguace o demolición/operaria de desguace o demolición
C003338_es_001	demoledor de edificios
C003338_es_002	demoledora de edificios
C003338_es_003	desguazador
C003338_es_004	desguazadora
C003338_es_005	operaria de desguace
C003338_es_006	operaria de desguace o demolición
C003338_es_007	operario de desguace
C003338_es_008	operario de desguace o demolición
C003339_es_000	técnico de circuitos de fluidos en instalaciones acuícolas/técnica de circuitos de fluidos en instalaciones acuícolas
C003339_es_001	técnica de circuitos de fluidos en instalaciones acuícolas
C003339_es_002	técnica en sistemas de recirculación acuícola
C003339_es_003	técnico de circuitos de fluidos en instalaciones acuícolas
C003339_es_004	técnico en sistemas de recirculación acuícola
C003340_es_000	técnico en ensayo de materiales/técnica en ensayo de materiales
C003340_es_001	técnica en ensayo de materiales
C003340_es_002	técnico en ensayo de materiales
C003341_es_000	jefe de sala de casino/jefa de sala de casino
C003341_es_001	jefa de sala de casino
C003341_es_002	jefe de sala de casino
C003342_es_000	terapeuta artístico/terapeuta artística
C003342_es_001	terapeuta artística
C003342_es_002	terapeuta artístico
C003343_es_000	operador de corrugadora (de cartón)/operadora de corrugadora (de cartón)
C003343_es_001	operador de corrugadora (de cartón)
C003343_es_002	operador de máquinas para fabricar cartón
C003343_es_003	operador de máquinas para fabricar cartón ondulado
C003343_es_004	operador de onduladora de cartón
C003343_es_005	operadora de corrugadora (de cartón)
C003343_es_006	operadora de máquinas para fabricar cartón
C003343_es_007	operadora de máquinas para fabricar cartón ondulado
C003343_es_008	operadora de onduladora de cartón
C003344_es_000	platero/platera
C003344_es_001	platera
C003344_es_002	platero
C003345_es_000	mayorista de maquinaria y equipo agrícola
C003345_es_001	comerciante al por mayor de maquinaria y equipo agrícola
C003345_es_002	consultor de ventas al por mayor de maquinaria y equipo agrícola
C003345_es_003	consultora de ventas al por mayor de maquinaria y equipo agrícola
C003346_es_000	veterinario general/veterinaria general
C003346_es_001	veterinaria de medicina general
C003346_es_002	veterinaria general
C003346_es_003	veterinaria no especializada
C003346_es_004	veterinario de medicina general
C003346_es_005	veterinario general
C003346_es_006	veterinario no especializado
C003347_es_000	periodista político
C003347_es_001	periodista política
C003348_es_000	director de producción industrial/directora de producción industrial
C003348_es_001	director de producción industrial
C003348_es_002	directora de producción industrial
C003349_es_000	responsable de seguridad en establecimiento de hostelería
C003349_es_001	director de seguridad en hoteles
C003349_es_002	directora de seguridad en hoteles
C003349_es_003	encargada de la seguridad en hoteles
C003349_es_004	encargado de la seguridad en hoteles
C003349_es_005	gerenta de seguridad en hoteles
C003349_es_006	gerente de seguridad en hoteles
C003349_es_007	responsable de seguridad en hoteles
C003349_es_008	responsable de seguridad hotelera
C003350_es_000	operador de perforadora/operadora de perforadora
C003350_es_001	operador de perforadora
C003350_es_002	operadora de perforadora
C003351_es_000	guionista
C003352_es_000	redero de redes de pesca/redera de redes de pesca
C003352_es_001	fabricante de redes de pesca
C003352_es_002	redera
C003352_es_003	redera de redes de pesca
C003352_es_004	redero
C003353_es_000	ceramista
C003354_es_000	ingeniero químico/ingeniera química
C003354_es_001	ingeniera química
C003354_es_002	ingeniero químico
C003355_es_000	operador de máquinas de moldear plástico por compresión/operadora de máquinas de moldear plástico por compresión
C003355_es_001	operador de máquinas de moldear plástico por compresión
C003355_es_002	operadora de máquinas de moldear plástico por compresión
C003356_es_000	subtitulador/subtituladora
C003356_es_001	subtitulador
C003356_es_002	subtituladora
C003357_es_000	diseñador y desarrollador de aprendizaje electrónico/diseñadora y desarrolladora de aprendizaje electrónico
C003357_es_001	creador de aprendizaje electrónico
C003357_es_002	creadora de aprendizaje electrónico
C003357_es_003	desarrollador de aprendizaje electrónico
C003357_es_004	desarrollador de e-learning
C003357_es_005	desarrolladora de aprendizaje electrónico
C003357_es_006	desarrolladora de e-learning
C003357_es_007	diseñador y desarrollador de la enseñanza en línea
C003357_es_008	diseñadora y desarrolladora de la enseñanza en línea
C003357_es_009	especialista en aprendizaje electrónico
C003358_es_000	herramentista-troquelador/herramentista-troqueladora
C003358_es_001	ajustador y operador de máquinas-herramienta
C003358_es_002	ajustadora y operadora de máquinas-herramienta
C003358_es_003	herramentista
C003358_es_004	herramentista-troquelador
C003358_es_005	herramentista-troqueladora
C003358_es_006	troquelador
C003358_es_007	troqueladora
C003359_es_000	dibujante de viñetas
C003359_es_001	caricaturista
C003359_es_002	dibujante de historietas gráficas
C003359_es_003	historietista
C003360_es_000	instalador de equipos electrónicos en vehículos/instaladora de equipos electrónicos en vehículos
C003360_es_001	instalador de equipos electrónicos en vehículos
C003360_es_002	instaladora de equipos electrónicos en vehículos
C003361_es_000	operario de la máquina de fabricación de cigarrillos/operaria de la máquina de fabricación de cigarrillos
C003361_es_001	encargada del funcionamiento de la máquina de fabricación de cigarrillos
C003361_es_002	encargado del funcionamiento de la máquina de fabricación de cigarrillos
C003361_es_003	operaria de la máquina de fabricación de cigarrillos
C003361_es_004	operario de la máquina de fabricación de cigarrillos
C003361_es_005	responsable del funcionamiento de la máquina de fabricación de cigarrillos
C003362_es_000	operador de máquinas de bordar/operadora de máquinas de bordar
C003362_es_001	operador de máquinas de bordado
C003362_es_002	operador de máquinas de bordar
C003362_es_003	operador de máquinas de bordar informatizadas
C003362_es_004	operadora de máquinas de bordado
C003362_es_005	operadora de máquinas de bordar
C003362_es_006	operadora de máquinas de bordar informatizadas
C003363_es_000	ministro de la iglesia/ministra de la iglesia
C003363_es_001	ministra de la iglesia
C003363_es_002	ministro de la iglesia
C003364_es_000	fontanero/fontanera
C003364_es_001	fontanera
C003364_es_002	fontanero
C003365_es_000	operario de la máquina de fabricación de cigarrillos/operaria de la máquina de fabricación de cigarrillos
C003365_es_001	encargada de la refinación
C003365_es_002	encargado de la refinación
C003365_es_003	operador de refinadora
C003365_es_004	operadora de refinadora
C003365_es_005	responsable de la refinación
C003366_es_000	técnico de laboratorio para el control de calidad del calzado/técnica de laboratorio para el control de calidad del calzado
C003366_es_001	analista de laboratorio para el control de calidad del calzado
C003366_es_002	ingeniera del calzado
C003366_es_003	ingeniera industrial (control de calidad del calzado)
C003366_es_004	ingeniero del calzado
C003366_es_005	ingeniero industrial (control de calidad del calzado)
C003366_es_006	técnica de laboratorio de calidad del calzado
C003366_es_007	técnica de laboratorio para el control de calidad del calzado
C003366_es_008	técnico de laboratorio de calidad del calzado
C003366_es_009	técnico de laboratorio para el control de calidad del calzado
C003367_es_000	contable
C003368_es_000	gerente de tienda de bicicletas
C003368_es_001	responsable de tienda de bicicletas
C003369_es_000	ingeniero técnico de mecatrónica/ingeniera técnica de mecatrónica
C003369_es_001	ingeniera técnica de mecatrónica
C003369_es_002	ingeniera técnica en electrónica, robótica y mecatrónica
C003369_es_003	ingeniera técnica industrial
C003369_es_004	ingeniera técnica industrial (especialista en mecatrónica)
C003369_es_005	ingeniero técnico de mecatrónica
C003369_es_006	ingeniero técnico en electrónica, robótica y mecatrónica
C003369_es_007	ingeniero técnico industrial
C003369_es_008	ingeniero técnico industrial (especialista en mecatrónica)
C003369_es_009	técnica en mecatrónica
C003369_es_010	técnico en mecatrónica
C003370_es_000	mezclador de explosivos iniciadores/mezcladora de explosivos iniciadores
C003370_es_001	mezclador de explosivos iniciadores
C003370_es_002	mezclador de sustancias químicas inflamables
C003370_es_003	mezcladora de explosivos iniciadores
C003370_es_004	mezcladora de sustancias químicas inflamables
C003371_es_000	director de distribución de carne y productos cárnicos/directora de distribución de carne y productos cárnicos
C003371_es_001	director de distribución de carne y productos cárnicos
C003371_es_002	directora de distribución de carne y productos cárnicos
C003371_es_003	responsable de distribución de carne y productos cárnicos
C003372_es_000	capitán de barco en el transporte fluvial/capitana de barco en el transporte fluvial
C003372_es_001	capitana
C003372_es_002	capitana de barco en el transporte fluvial
C003372_es_003	capitana de yate
C003372_es_004	capitán
C003372_es_005	capitán de barco en el transporte fluvial
C003372_es_006	capitán de yate
C003372_es_007	patrona de embarcaciones de recreo
C003372_es_008	patrona de yate
C003372_es_009	patrón de embarcaciones de recreo
C003372_es_010	patrón de yate
C003373_es_000	director de residencia de personas mayores/directora de residencia de personas mayores
C003373_es_001	director de residencia de la tercera edad
C003373_es_002	director de residencia de personas mayores
C003373_es_003	directora de residencia de la tercera edad
C003373_es_004	directora de residencia de personas mayores
C003374_es_000	operador de carretilla elevadora/operadora de carretilla elevadora
C003374_es_001	operador de carretilla elevadora
C003374_es_002	operador de carretilla elevadora de horquilla
C003374_es_003	operador de carro elevador
C003374_es_004	operador de vehículo elevador
C003374_es_005	operadora de carretilla elevadora
C003374_es_006	operadora de carretilla elevadora de horquilla
C003374_es_007	operadora de carro elevador
C003374_es_008	operadora de vehículo elevador
C003374_es_009	operaria de carretilla elevadora
C003374_es_010	operario de carretilla elevadora
C003375_es_000	operador de excavadora/operadora de excavadora
C003375_es_001	operador de excavadora
C003375_es_002	operador de retroexcavadora
C003375_es_003	operadora de excavadora
C003375_es_004	operadora de retroexcavadora
C003376_es_000	biólogo/bióloga
C003376_es_001	bióloga
C003376_es_002	biólogo
C003377_es_000	instalador de sistemas de riego agrícola/instaladora de sistemas de riego agrícola
C003377_es_001	instalador de sistemas de riego
C003377_es_002	instalador de sistemas de riego agrícola
C003377_es_003	instaladora de sistemas de riego
C003377_es_004	instaladora de sistemas de riego agrícola
C003378_es_000	director del departamento de desarrollo de productos de calzado/directora del departamento de desarrollo de productos de calzado
C003378_es_001	director de desarrollo de productos de calzado
C003378_es_002	director del departamento de desarrollo de productos de calzado
C003378_es_003	directora de desarrollo de productos de calzado
C003378_es_004	directora del departamento de desarrollo de productos de calzado
C003379_es_000	responsable de servicios informáticos en centros de salud
C003379_es_001	director de informática clínica
C003379_es_002	director de informática médica
C003379_es_003	directora de informática clínica
C003379_es_004	directora de informática médica
C003379_es_005	reponsable de informática clínica
C003379_es_006	responsable de la explotacion informatica de datos de los servicios de salud
C003380_es_000	especialista en importación y exportación de máquinas herramientas
C003380_es_001	administrador de importación y exportación
C003380_es_002	administradora de importación y exportación
C003380_es_003	especialista en logística de máquinas herramientas
C003380_es_004	técnica superior en comercio internacional
C003380_es_005	técnico superior en comercio internacional
C003381_es_000	inspector de motores de aeronaves/inspectora de motores de aeronaves
C003381_es_001	inspector de motores de aeronaves
C003381_es_002	inspectora de motores de aeronaves
C003382_es_000	interiorista
C003383_es_000	ingeniero geotécnico/ingeniera geotécnica
C003383_es_001	ingeniera de minas
C003383_es_002	ingeniera geotécnica
C003383_es_003	ingeniero de minas
C003383_es_004	ingeniero geotécnico
C003384_es_000	peón de minas/peona de minas
C003384_es_001	peona de canteras
C003384_es_002	peona de minas
C003384_es_003	peón de canteras
C003384_es_004	peón de minas
C003385_es_000	recepcionista veterinario /recepcionista veterinaria
C003385_es_001	recepcionista de consulta veterinaria
C003385_es_002	veterinaria recepcionista
C003385_es_003	veterinario recepcionista
C003386_es_000	director de producción y conservación de explotaciones forestales/directora de producción y conservación de explotaciones forestales
C003386_es_001	director de produccion forestal
C003386_es_002	director de produccion y conservación de explotaciones forestales
C003386_es_003	directora de produccion forestal
C003386_es_004	directora de produccion y conservación de explotaciones forestales
C003386_es_005	forestal
C003386_es_006	responsable de los bosques
C003386_es_007	responsable del bosque
C003386_es_008	responsable forestal
C003386_es_009	responsables de silvicultura
C003387_es_000	gerente de gasolinera
C003387_es_001	gerente de estación de servicio
C003387_es_002	responsable de estación de servicio
C003387_es_003	responsable de gasolinera
C003388_es_000	inspector de calidad de la construcción/inspectora de calidad de la construcción
C003388_es_001	inspector de calidad de la construcción
C003388_es_002	inspector de control de calidad
C003388_es_003	inspectora de calidad de la construcción
C003388_es_004	inspectora de control de calidad
C003389_es_000	técnico de artes escénicas/técnica de artes escénicas
C003389_es_001	tramoyista
C003389_es_002	técnica de artes escénicas
C003389_es_003	técnica de luces y sonido
C003389_es_004	técnica de sonido
C003389_es_005	técnica en tecnologías emergentes aplicadas a la escena
C003389_es_006	técnica teatral
C003389_es_007	técnico de artes escénicas
C003389_es_008	técnico de luces y sonido
C003389_es_009	técnico de sonido
C003389_es_010	técnico en tecnologías emergentes aplicadas a la escena
C003389_es_011	técnico teatral
C003390_es_000	gestor de operaciones de TIC/gestora de operaciones de TIC
C003390_es_001	administrador e operaciones de TI
C003390_es_002	administradora de operaciones de TIC
C003390_es_003	gestor de operaciones de TI
C003390_es_004	gestor de operaciones de TIC
C003390_es_005	gestor e operaciones de TICs
C003390_es_006	gestora de operaciones de TI
C003390_es_007	gestora de operaciones de TIC
C003390_es_008	gestora de operaciones de TICs
C003390_es_009	responsable de operaciones de TIC
C003391_es_000	profesor de matemáticas en educación secundaria/profesora de matemáticas en educación secundaria
C003391_es_001	profesor de matemáticas en educación secundaria
C003391_es_002	profesora de matemáticas en educación secundaria
C003392_es_000	inspector técnico de edificios/inspectora técnica de edificios
C003392_es_001	inspector de edificaciones
C003392_es_002	inspector técnico de edificios
C003392_es_003	inspectora de edificaciones
C003392_es_004	inspectora técnica de edificios
C003393_es_000	técnico reparador de telefonía móvil/técnica reparadora de telefonía móvil
C003393_es_001	técnica de telefonía móvil
C003393_es_002	técnico de telefonía móvil
C003394_es_000	ingeniero nuclear/ingeniera nuclear
C003394_es_001	ingeniera nuclear
C003394_es_002	ingeniero nuclear
C003395_es_000	matarife halal
C003396_es_000	ingeniero de subestaciones/ingeniera de subestaciones
C003396_es_001	ingeniera de subestaciones
C003396_es_002	ingeniero de subestaciones
C003397_es_000	operador de instalación de gas/operadora de instalación de gas
C003397_es_001	operador de estación de compresión de gas
C003397_es_002	operador de estación de compresión y bombeo de gas
C003397_es_003	operador de instalación de gas
C003397_es_004	operadora de estación de compresión de gas
C003397_es_005	operadora de estación de compresión y bombeo de gas
C003397_es_006	operadora de instalación de gas
C003398_es_000	subastador/subastadora
C003398_es_001	subastador
C003398_es_002	subastadora
C003398_es_003	subastera
C003398_es_004	subastero
C003398_es_005	tasador de obras de arte
C003398_es_006	tasadora de obras de arte
C003399_es_000	técnico en posicionamiento y presentación de productos en el punto de venta/técnica en posicionamiento y presentación de productos en el punto de venta
C003399_es_001	encargada de la presentación de productos en el punto de venta
C003399_es_002	encargado de la presentación de productos en el punto de venta
C003399_es_003	merchandiser
C003399_es_004	técnica en posicionamiento y presentación de productos en el punto de venta
C003399_es_005	técnico en posicionamiento y presentación de productos en el punto de venta
C003400_es_000	tripulante de cabina de pasajeros
C003400_es_001	azafata
C003400_es_002	azafato
C003400_es_003	miembro de la tripulación
C003400_es_004	tripulante de cabina
C003401_es_000	au pair
C003402_es_000	profesor de música/profesora de música
C003402_es_001	profesor de música
C003402_es_002	profesora de música
C003403_es_000	jefe de bomberos/jefa de bomberos
C003403_es_001	jefa de bombero
C003403_es_002	jefa de servicio contra incendios
C003403_es_003	jefe de bomberos
C003403_es_004	jefe de servicio contra incendios
