C000001_de_000	Angehörige der regulären Streitkräfte
C003083_de_004	Kostümbildnerin
C003083_de_005	Kostümdesigner
C003083_de_006	Kostümdesignerin
C003083_de_007	Kostümentwerfer
C003083_de_008	Kostümentwerferin
C003083_de_009	Kostümzeichner
C003083_de_010	Kostümzeichnerin
C003084_de_000	Psychologischer Assistent/Psychologische Assistentin
C003084_de_001	Psychologisch-technische Assistentin
C003084_de_002	Psychologisch-technischer Assistent
C003084_de_003	Psychologische Assistentin
C003084_de_004	Psychologischer Assistent
C003085_de_000	Gästebetreuer Club/Gästebetreuerin Club
C003085_de_001	Animierdame
C003085_de_002	Club-Hostess
C003085_de_003	Empfangskraft Club
C003085_de_004	Gästebetreuer Club
C003085_de_005	Gästebetreuerin Club
C003086_de_000	Tierhäutesortierer/Tierhäutesortiererin
C003086_de_001	Fellsortierer
C003086_de_002	Fellsortiererin
C003086_de_003	Tierhäutesortierer
C003086_de_004	Tierhäutesortiererin
C003087_de_000	Geflügelzüchter/Geflügelzüchterin
C003087_de_001	Geflügelzüchter
C003087_de_002	Geflügelzüchterin
C003087_de_003	Hühnerzüchter
C003087_de_004	Hühnerzüchterin
C003087_de_005	Putenzüchter
C003087_de_006	Putenzüchterin
C003087_de_007	Spezialist für Geflügelzucht
C003087_de_008	Spezialistin für Geflügelzucht
C003088_de_000	Notar/Notarin
C003088_de_001	Notar
C003088_de_002	Notarin
C003089_de_000	Koordinator von Bildungsprogrammen/Koordinatorin von Bildungsprogrammen
C003089_de_001	Koordinator von Bildungsprogrammen
C003089_de_002	Koordinatorin von Bildungsprogrammen
C003090_de_000	Korrepetitor/Korrepetitorin
C003090_de_001	Korrepetitor
C003090_de_002	Korrepetitorin
C003091_de_000	Vermietungsmakler/Vermietungsmaklerin
C003091_de_001	Vermietungsmakler
C003091_de_002	Vermietungsmaklerin
C003092_de_000	Steuerer von Gasaufbereitungsanlagen/Steuerin von Gasaufbereitungsanlagen
C003092_de_001	Steuerer von Gasaufbereitungsanlagen
C003092_de_002	Steuerin von Gasaufbereitungsanlagen
C003093_de_000	Feinmechaniker Optomechanik/Feinmechanikerin Optomechanik
C003093_de_001	Feinmechaniker Optomechanik
C003093_de_002	Feinmechanikerin Optomechanik
C003093_de_003	Optomechaniker
C003093_de_004	Optomechanikerin
C003094_de_000	Geschäftskundenberater/Geschäftskundenberaterin
C003094_de_001	FirmenkundenberaterIn
C003094_de_002	Geschäftskundenberater
C003094_de_003	GeschäftskundenberaterIn
C003094_de_004	Geschäftskundenberaterin
C003095_de_000	künstlerischer Leiter/künstlerische Leiterin
C003095_de_001	Creative Director
C003095_de_002	künstlerische Leiterin
C003095_de_003	künstlerischer Leiter
C003096_de_000	Apfelweinmeister/Apfelweinmeisterin
C003096_de_001	Apfelweinkelterer
C003096_de_002	Apfelweinkelterin
C003096_de_003	Apfelweinmeister
C003096_de_004	Apfelweinmeisterin
C003097_de_000	Statistischer Assistent/Statistische Assistentin
C003097_de_001	Statistischer Assistent
C003097_de_002	Teamassistent - Statistik
C003097_de_003	Teamassistentin - Statistik
C003097_de_004	statistische Assistentin
C003098_de_000	Leiter eines Büros für Rechtsdienstleistungen/Leiterin eines Büros für Rechtsdienstleistungen
C003098_de_001	Leiter eines Büros für Rechtsdienstleistungen
C003098_de_002	Leiterin eines Büros für Rechtsdienstleistungen
C003099_de_000	Pharmatechnologe/Pharmatechnologin
C003099_de_001	Chemikant
C003099_de_002	Chemikantin
C003099_de_003	Pharmakant
C003099_de_004	Pharmakantin
C003099_de_005	Pharmatechnologe
C003099_de_006	Pharmatechnologin
C003100_de_000	Unterhaltungsjournalist/Unterhaltungsjournalistin
C003100_de_001	Entertainment-Journalist
C003100_de_002	Entertainment-Journalistin
C003100_de_003	Unterhaltungsjournalist
C003100_de_004	Unterhaltungsjournalistin
C003101_de_000	Regalauffüller/Regalauffüllerin
C003101_de_001	Ladengehilfe
C003101_de_002	Ladengehilfin
C003101_de_003	Ladenhilfe
C003101_de_004	Lagerhelfer
C003101_de_005	Lagerhelferin
C003101_de_006	Mitarbeiter in der Warenverräumung
C003101_de_007	Mitarbeiterin in der Warenverräumung
C003101_de_008	Regalauffüller
C003101_de_009	Regalauffüllerin
C003101_de_010	Regalbefüller
C003101_de_011	Regalbefüllerin
C003101_de_012	Regalbetreuer
C003101_de_013	Regalbetreuerin
C003101_de_014	Regaleinräumer
C003101_de_015	Regaleinräumerin
C003102_de_000	Produktionsleiter im Bereich Gartenbau/Produktionsleiterin im Bereich Gartenbau
C003102_de_001	Fertigungsleiter im Bereich Gartenbau
C003102_de_002	Fertigungsleiterin im Bereich Gartenbau
C003102_de_003	Leiter der Produktion im Bereich Gartenbau
C003102_de_004	Leiterin der Produktion im Bereich Gartenbau
C003102_de_005	Produktionsleiter im Bereich Gartenbau
C003102_de_006	Produktionsleiterin im Bereich Gartenbau
C003102_de_007	Produktionsmanager im Bereich Gartenbau
C003102_de_008	Produktionsmanagerin im Bereich Gartenbau
C003103_de_000	Gerichtsreporter/Gerichtsreporterin
C003103_de_001	Gerichtsreporter
C003103_de_002	Gerichtsreporterin
C003103_de_003	Kriminalreporter
C003103_de_004	Kriminalreporterin
C003104_de_000	Großhändler für Holz und Baustoffe/Großhändlerin für Holz und Baustoffe
C003104_de_001	Großhändler für Holz und Baustoffe
C003104_de_002	Großhändlerin für Holz und Baustoffe
C003104_de_003	Holz- und Baustoffhändler im Großhandel
C003104_de_004	Holz- und Baustoffhändlerin im Großhandel
C003105_de_000	Fachleiter an einer Sekundarschule/Fachleiterin an einer Sekundarschule
C003105_de_001	Fachleiter an einer Sekundarschule
C003105_de_002	Fachleiter an einer weiterführenden Schule
C003105_de_003	Fachleiterin an einer Sekundarschule
C003105_de_004	Fachleiterin an einer weiterführenden Schule
C003106_de_000	Pflegehelfer/Pflegehelferin
C003106_de_001	Pflegehelfer
C003106_de_002	Pflegehelferin
C003106_de_003	Schwesternhelfer
C003106_de_004	Schwesternhelferin
C003107_de_000	Import-/Exportsachbearbeiter für Müll und Schrott/Import-/Exportsachbearbeiterin für Müll und Schrott
C003107_de_001	Import-/Exportsachbearbeiter für Müll und Schrott
C003107_de_002	Import-/Exportsachbearbeiterin für Müll und Schrott
C003108_de_000	Maschinenführer auf Ölbohrinseln/Maschinenführerin auf Ölbohrinseln
C003108_de_001	Maschinenbauingenieur
C003108_de_002	Maschinenbauingenieurin
C003108_de_003	Maschinenführer auf Ölbohrinseln
C003108_de_004	Maschinenführerin auf Ölbohrinseln
C003108_de_005	Maschinenmechaniker
C003108_de_006	Maschinenmechanikerin
C003108_de_007	Maschinenmeister
C003108_de_008	Maschinenmeisterin
C003108_de_009	Maschinist
C003108_de_010	Maschinistin
C003109_de_000	Zigarrenprüfer/Zigarrenprüferin
C003109_de_001	Zigarreninspektor
C003109_de_002	Zigarreninspektorin
C003109_de_003	Zigarrenprüfer
C003109_de_004	Zigarrenprüferin
C003109_de_005	Zigarrentester
C003109_de_006	Zigarrentesterin
C003110_de_000	Personalberater/Personalberaterin
C003110_de_001	HR-ManagerIn
C003110_de_002	HR-Verantwortliche
C003110_de_003	HR-Verantwortlicher
C003110_de_004	Human-Resource-Manager/in
C003110_de_005	Human-Resource-ManagerIn
C003110_de_006	Personalberater
C003110_de_007	PersonalberaterIn
C003110_de_008	Personalberaterin
C003111_de_000	Datenanalytiker/Datenanalytikerin
C003111_de_001	Daten-Analytiker
C003111_de_002	Daten-Analytikerin
C003111_de_003	Datenanalyst
C003111_de_004	Datenanalytiker
C003111_de_005	Datenanalytikerin
C003112_de_000	Mitarbeiter Kosmetikstudio/Mitarbeiterin Kosmetikstudio
C003112_de_001	Empfangsmitarbeiter Wellness
C003112_de_002	Empfangsmitarbeiterin Wellness
C003112_de_003	Hilfskraft Kosmetikstudio
C003112_de_004	Mitarbeiter Kosmetikstudio
C003112_de_005	Mitarbeiter Schönheitssalon
C003112_de_006	Mitarbeiterin Kosmetikstudio
C003112_de_007	Mitarbeiterin Schönheitssalon
C003112_de_008	Rezeptionist Kosmetikinstitut
C003112_de_009	Rezeptionistin Kosmetikinstitut
C003113_de_000	Schokoladenformmaschinenbediener/Schokoladenformmaschinenbedienerin
C003113_de_001	Schokoladenformmaschinenbediener
C003113_de_002	Schokoladenformmaschinenbedienerin
C003113_de_003	Schokoladenspritzgießmaschinenbediener
C003113_de_004	Schokoladenspritzgießmaschinenbedienerin
C003114_de_000	Steuerer von Abwasseraufbereitungsanlagen/Steuerin von Abwasseraufbereitungsanlagen
C003114_de_001	Anlagenführer von Abwasseraufbereitungsanlagen
C003114_de_002	Anlagenführerin von Abwasseraufbereitungsanlagen
C003114_de_003	Steuerer Abwasseranlage
C003114_de_004	Steuerer von Abwasseraufbereitungsanlagen
C003114_de_005	Steuerer von Kläranlagen
C003114_de_006	Steuerer von Wasserbehandlungsanlagen
C003114_de_007	Steuerin Abwasseranlage
C003114_de_008	Steuerin von Abwasseraufbereitungsanlagen
C003114_de_009	Steuerin von Kläranlagen
C003114_de_010	Steuerin von Wasserbehandlungsanlagen
C003115_de_000	Elektroanlageninstallateur/Elektroanlageninstallateurin
C003115_de_001	Anlagenelektriker
C003115_de_002	Anlagenelektrikerin
C003115_de_003	Beleuchtungsmonteur
C003115_de_004	Beleuchtungsmonteurin
C003115_de_005	Elektroanalgeninstallateurin
C003115_de_006	Elektroanlageninstallateur
C003116_de_000	Vertriebsleiter für Eisenwaren, Sanitär- und Heizungsanlagen/Vertriebsleiterin für Eisenwaren, Sanitär- und Heizungsanlagen
C003116_de_001	Vertriebsleiter für Eisenwaren, Sanitär- und Heizungsanlagen
C003116_de_002	Vertriebsleiterin für Eisenwaren, Sanitär- und Heizungsanlagen
C003117_de_000	Verankerungstechniker Aquakulturanlagen/Verankerungstechnikerin Aquakulturanlagen
C003117_de_001	Ausbringungsverantwortliche Aquakulturanlagen
C003117_de_002	Ausbringungsverantwortlicher Aquakulturanlagen
C003117_de_003	Verankerungstechniker Aquakulturanlagen
C003117_de_004	Verankerungstechnikerin Aquakulturanlagen
C003118_de_000	Schlachter mit Koscherzertifikat/Schlachterin mit Koscherzertifikat
C003118_de_001	Koscher-Schlachter
C003118_de_002	Koscher-Schlachterin
C003118_de_003	Koscher-Schlächter
C003118_de_004	Koscher-Schlächterin
C003118_de_005	Schlachter mit Koscherzertifikat
C003118_de_006	Schlachterin mit Koscherzertifikat
C003118_de_007	Schächter
C003118_de_008	Schächterin
C003118_de_009	koschere Schlachterin
C003118_de_010	koschere Schlächterin
C003118_de_011	koscherer Schlachter
C003118_de_012	koscherer Schlächter
C003119_de_000	Flugingenieur/Flugingenieurin
C003119_de_001	Bordingenieur
C003119_de_002	Bordingenieurin
C003119_de_003	Flugingenieur
C003119_de_004	Flugingenieurin
C003120_de_000	Fleischer mit Koscherzertifikat/Fleischerin mit Koscherzertifikat
C003120_de_001	Fleischer für koschere Waren
C003120_de_002	Fleischer mit Koscherzertifikat
C003120_de_003	Fleischerin für koschere Waren
C003120_de_004	Fleischerin mit Koscherzertifikat
C003120_de_005	Koscher-Fleischer
C003120_de_006	Koscher-Fleischerin
C003120_de_007	Koscher-Metzger
C003120_de_008	Koscher-Metzgerin
C003120_de_009	Metzger für koschere Waren
C003120_de_010	Metzgerin für koschere Waren
C003120_de_011	koschere Fleischerin
C003120_de_012	koschere Metzgerin
C003120_de_013	koscherer Fleischer
C003120_de_014	koscherer Metzger
C003121_de_000	Bergwerksretter/Bergwerksretterin
C003121_de_001	Bergwerksretter
C003121_de_002	Bergwerksretterin
C003122_de_000	Referent für Public Health/Referentin für Public Health
C003122_de_001	Public-Health-ReferentIn
C003122_de_002	Referent für Public Health
C003122_de_003	ReferentIn für Public Health
C003122_de_004	Referentin für Public Health
C003123_de_000	Leiter eines Kosmetik- und Parfümgeschäftes/Leiterin eines Kosmetik- und Parfümgeschäftes
C003123_de_001	Leiter eines Kosmetik- und Parfümgeschäftes
C003123_de_002	Leiterin eines Kosmetik- und Parfümgeschäftes
C003124_de_000	Astronaut/Astronautin
C003124_de_001	Astronaut
C003124_de_002	Astronautin
C003124_de_003	Kosmonaut
C003124_de_004	Kosmonautin
C003124_de_005	Weltraumfahrer
C003124_de_006	Weltraumfahrerin
C003125_de_000	Kerampresser/Kerampresserin
C003125_de_001	Keramikpresser
C003125_de_002	Keramikpresserin
C003125_de_003	Kerampresser
C003125_de_004	Kerampresserin
C003126_de_000	Lederwarenentwickler/Lederwarenentwicklerin
C003126_de_001	Lederwarenentwickler
C003126_de_002	Lederwarenentwicklerin
C003126_de_003	Produktentwickler Lederwaren
C003126_de_004	Produktentwicklerin Lederwaren
C003127_de_000	Bühnenhelfer/Bühnenhelferin
C003127_de_001	Aufbauhelfer
C003127_de_002	Aufbauhelferin
C003127_de_003	Bühnenhelfer
C003127_de_004	Bühnenhelferin
C003127_de_005	Stagehand
C003128_de_000	Gesellschafter/Gesellschafterin
C003128_de_001	Ankleider
C003128_de_002	Ankleiderin
C003128_de_003	Au-pair-Junge
C003128_de_004	Au-pair-Mädchen
C003128_de_005	Diener
C003128_de_006	Dienerin
C003128_de_007	Gesellschafter
C003128_de_008	Gesellschafterin
C003128_de_009	Hausangestellte
C003128_de_010	Hausangestellter
C003128_de_011	Haushaltshilfe
C003128_de_012	Hauswirtschaftsassistent
C003128_de_013	Hauswirtschaftsassistentin
C003128_de_014	Hauswirtschaftsgehilfe
C003128_de_015	Hauswirtschaftsgehilfin
C003128_de_016	Helfer Hauswirtschaft
C003128_de_017	Helferin Hauswirtschaft
C003128_de_018	Kammerdiener
C003128_de_019	Kammerdienerin
C003128_de_020	Zofe
C003129_de_000	Entwickler Digitale Medien/Entwicklerin Digitale Medien
C003129_de_001	Digital Media Entwickler
C003129_de_002	Digital Media Entwicklerin
C003129_de_003	Entwickler Digitale Medien
C003129_de_004	Entwicklerin Digitale Medien
C003130_de_000	Bediener von Maschinen zur Parfümherstellung/Bedienerin von Maschinen zur Parfümherstellung
C003130_de_001	Bediener von Maschinen zur Parfümherstellung
C003130_de_002	Bedienerin von Maschinen zur Parfümherstellung
C003131_de_000	Digitalkünstler/Digitalkünstlerin
C003131_de_001	Digitalkünstler
C003131_de_002	Digitalkünstlerin
C003132_de_000	Farb-, Stil- und Imageberater/Farb-, Stil- und Imageberaterin
C003132_de_001	Farb-, Stil- und Imageberater
C003132_de_002	Farb-, Stil- und Imageberaterin
C003132_de_003	Farbberater
C003132_de_004	Farbberaterin
C003132_de_005	Imageberater
C003132_de_006	Imageberaterin
C003132_de_007	Stilberater
C003132_de_008	Stilberaterin
C003133_de_000	Kellner/Kellnerin
C003133_de_001	Bedienung
C003133_de_002	Kellner
C003133_de_003	Kellnerin
C003133_de_004	Servierer
C003133_de_005	Serviererin
C003134_de_000	Restaurantmanager/Restaurantmanagerin
C003134_de_001	F&B Manager
C003134_de_002	F&B Managerin
C003134_de_003	Restaurantmanager
C003134_de_004	Restaurantmanagerin
C003134_de_005	Restaurateur
C003134_de_006	Restaurateurin
C003134_de_007	Wirtschaftsdirektor
C003134_de_008	Wirtschaftsdirektorin
C003135_de_000	Landrat/Landrätin
C003135_de_001	Landrat
C003135_de_002	Landrätin
C003136_de_000	Holzfräsmaschinenführer/Holzfräsmaschinenführerin
C003136_de_001	Holzfräser
C003136_de_002	Holzfräserin
C003136_de_003	Holzfräsmaschinenführer
C003136_de_004	Holzfräsmaschinenführerin
C003137_de_000	Game-Designer/Game-Designerin
C003137_de_001	Game-Designer
C003137_de_002	Game-Designerin
C003137_de_003	Spieledesigner
C003137_de_004	Spieledesignerin
C003137_de_005	Spieleentwickler
C003137_de_006	Spieleentwicklerin
C003138_de_000	Import-/Exportsachbearbeiter für elektronische Geräte, Telekommunikationsgeräte und Teile davon/Import-/Exportsachbearbeiterin für elektronische Geräte, Telekommunikationsgeräte und Teile davon
C003138_de_001	Import-/Exportsachbearbeiter für elektronische Geräte, Telekommunikationsgeräte und Teile davon
C003138_de_002	Import-/Exportsachbearbeiterin für elektronische Geräte, Telekommunikationsgeräte und Teile davon
C003139_de_000	Bühnenkampfmeister/Bühnenkampfmeisterin
C003139_de_001	Bühnenfechtmeister
C003139_de_002	Bühnenfechtmeisterin
C003139_de_003	Bühnenkampfchoreograph
C003139_de_004	Bühnenkampfchoreographin
C003139_de_005	Bühnenkampfmeister
C003139_de_006	Bühnenkampfmeisterin
C003140_de_000	Mitarbeiter Verleih von bespielten Ton- und Bildträgern/Mitarbeiterin Verleih von bespielten Ton- und Bildträgern
C003140_de_001	Mitarbeiter Verleih von bespielten Ton- und Bildträgern
C003140_de_002	Mitarbeiterin Verleih von bespielten Ton- und Bildträgern
C003141_de_000	Sozialarbeiter im Bereich Suchtmittelmissbrauch/Sozialarbeiterin im Bereich Suchtmittelmissbrauch
C003141_de_001	Sozialarbeiter im Bereich Suchtmittelmissbrauch
C003141_de_002	Sozialarbeiterin im Bereich Suchtmittelmissbrauch
C003141_de_003	Sucht- und Drogenberater
C003141_de_004	Sucht- und Drogenberaterin
C003142_de_000	Ingenieur Arbeitsschutz im Bergbau/Ingenieurin Arbeitsschutz im Bergbau
C003142_de_001	Ingenieur Arbeitsschutz im Bergbau
C003142_de_002	Ingenieurin Arbeitsschutz im Bergbau
C003143_de_000	Referent für Sozialfragen/Referentin für Sozialfragen
C003143_de_001	Referent für Sozialfragen
C003143_de_002	ReferentIn für Sozialfragen
C003143_de_003	Referentin für Sozialfragen
C003143_de_004	Sozialreferent/in
C003143_de_005	SozialreferentIn
C003144_de_000	Verfolgerfahrer/Verfolgerfahrerin
C003144_de_001	Verfolgerfahrer
C003144_de_002	Verfolgerfahrerin
C003145_de_000	Produktionsingenieur/Produktionsingenieurin
C003145_de_001	Produktionsingenieur
C003145_de_002	Produktionsingenieurin
C003146_de_000	Bestattunggehilfe/Bestattungsgehilfin
C003146_de_001	Aufbahrungsgehilfe
C003146_de_002	Aufbahrungsgehilfin
C003146_de_003	Beerdigunggehilfe
C003146_de_004	Beerdigungsgehilfin
C003146_de_005	Bestattunghelfer
C003146_de_006	Bestattunghelferin
C003146_de_007	Bestattungsassistent
C003146_de_008	Bestattungsassistentin
C003146_de_009	Bestattungsfachkraft
C003146_de_010	Bestattungsgehilfe
C003146_de_011	Bestattungsgehilfin
C003146_de_012	Leichenträger
C003146_de_013	Leichenträgerin
C003146_de_014	Sargträger
C003146_de_015	Sargträgerin
C003147_de_000	Maschinenbediener für Gesenkschmiedeanlage/Maschinenbedienerin für Gesenkschmiedeanlage
C003147_de_001	Maschinenbediener für Gesenkschmiedeanlage
C003147_de_002	Maschinenbedienerin für Gesenkschmiedeanlage
C003148_de_000	Import-/Exportmanager für Felle, Häute und Lederwaren/Import-/Exportmanagerin für Felle, Häute und Lederwaren
C003148_de_001	Import-/Exportmanager für Felle, Häute und Lederwaren
C003148_de_002	Import-/Exportmanagerin für Felle, Häute und Lederwaren
C003149_de_000	Warenlagerverwalter/Warenlagerverwalterin
C003149_de_001	Inventarverwalter
C003149_de_002	Inventarverwalterin
C003149_de_003	Lagerdisponent
C003149_de_004	Lagerdisponentin
C003149_de_005	Lagerist
C003149_de_006	Lageristin
C003149_de_007	Lagerverwalter
C003149_de_008	Lagerverwalterin
C003149_de_009	Lagerwirtschafter
C003149_de_010	Lagerwirtschafterin
C003149_de_011	Magazineur
C003149_de_012	Magazineurin
C003149_de_013	Magazinverwalter
C003149_de_014	Magazinverwalterin
C003149_de_015	Warenlagerverwalter
C003149_de_016	Warenlagerverwalterin
C003150_de_000	Bauingenieur/Bauingenieurin
C003150_de_001	Bauingenieur
C003150_de_002	Bauingenieurin
C003150_de_003	Bautechniker
C003150_de_004	Bautechnikerin
C003150_de_005	Zivilingenieur Bau
C003150_de_006	Zivilingenieurin Bau
C003151_de_000	Ingenieur Luft- und Raumfahrttechnik/Ingenieurin Luft- und Raumfahrttechnik
C003151_de_001	Ingenieur Luft- und Raumfahrttechnik
C003151_de_002	Ingenieurin Luft- und Raumfahrttechnik
C003151_de_003	Luft- und Raumfahrtingenieur
C003151_de_004	Luft- und Raumfahrtingenieurin
C003151_de_005	Luftfahrtingenieur/in, akademisch
C003152_de_000	Möbelmonteur/Möbelmonteurin
C003152_de_001	Möbelmonteur
C003152_de_002	Möbelmonteurin
C003152_de_003	Möbelmontierer
C003152_de_004	Möbelmontiererin
C003153_de_000	Koordinator der Gepäckabfertigung/Koordinatorin der Gepäckabfertigung
C003153_de_001	Abfertigungsmanager
C003153_de_002	Abfertigungsmanagerin
C003153_de_003	Gepäckmanager
C003153_de_004	Gepäckmanagerin
C003153_de_005	Koordinator der Gepäckabfertigung
C003153_de_006	Koordinatorin der Gepäckabfertigung
C003154_de_000	Zeichner Elektronik/Zeichnerin Elektronik
C003154_de_001	Elektronikzeichner
C003154_de_002	Elektronikzeichnerin
C003154_de_003	Zeichner Elektronik
C003154_de_004	Zeichnerin Elektronik
C003155_de_000	Maschinenbautechniker im Bereich Telekommunikation/Maschinenbautechnikerin im Bereich Telekommunikation
C003155_de_001	Telekommunikationsadministrator
C003155_de_002	Telekommunikationsadministratorin
C003156_de_000	Fischerntetechniker Aquakultur/Fischerntetechnikerin Aquakultur
C003156_de_001	Fischentnahmetechniker
C003156_de_002	Fischentnahmetechnikerin
C003156_de_003	Fischerntetechniker Aquakultur
C003156_de_004	Fischerntetechnikerin Aquakultur
C003157_de_000	Leiter einer Drogerie oder Apotheke/Leiterin einer Drogerie oder Apotheke
C003157_de_001	Leiter einer Drogerie oder Apotheke
C003157_de_002	Leiterin einer Drogerie oder Apotheke
C003158_de_000	Egreniermaschinenbediener/Egreniermaschinenbedienerin
C003158_de_001	Baumwoll-Entkörnungsmaschinenbediener
C003158_de_002	Baumwoll-Entkörnungsmaschinenbedienerin
C003158_de_003	Egreniermaschinenbediener
C003158_de_004	Egreniermaschinenbedienerin
C003159_de_000	Lehrplanforscher/Lehrplanforscherin
C003159_de_001	LehrplanadministratorIn
C003159_de_002	Lehrplanentwickler/in
C003159_de_003	Lehrplanforscher
C003159_de_004	Lehrplanforscherin
C003160_de_000	Vermessungsingenieur/Vermessungsingenieurin
C003160_de_001	Feldmesser
C003160_de_002	Feldvermesserin
C003160_de_003	Geodäsieingenieur
C003160_de_004	Geodäsieingenieurin
C003160_de_005	Geodät
C003160_de_006	Geodätin
C003160_de_007	Geomatiker
C003160_de_008	Geomatikerin
C003160_de_009	Land- und Feldvermesser
C003160_de_010	Land- und Feldvermesserin
C003160_de_011	Landvermesser
C003160_de_012	Landvermesserin
C003160_de_013	Vermesser
C003160_de_014	Vermesserin
C003160_de_015	Vermessungsfachtechniker
C003160_de_016	Vermessungsfachtechnikerin
C003160_de_017	Vermessungsingenieur
C003160_de_018	Vermessungsingenieurin
C003160_de_019	Vermessungstechniker
C003160_de_020	Vermessungstechnikerin
C003161_de_000	Leiter eines Computergeschäftes/Leiterin eines Computergeschäftes
C003161_de_001	Leiter eines Computergeschäftes
C003161_de_002	Leiter eines Computerladens
C003161_de_003	Leiterin eines Computergeschäftes
C003161_de_004	Leiterin eines Computerladens
C003162_de_000	Personalsachbearbeiter/Personalsachbearbeiterin
C003162_de_001	Personalsachbearbeiter
C003162_de_002	Personalsachbearbeiterin
C003162_de_003	Personalsekretär
C003162_de_004	Personalsekretärin
C003162_de_005	Sachbearbeiter im Personalbüro
C003162_de_006	Sachbearbeiterin im Personalbüro
C003163_de_000	Analytiker Bohrspülung/Analytikerin Bohrspülung
C003163_de_001	Analytiker Bohrspülung
C003163_de_002	Analytikerin Bohrspülung
C003163_de_003	Fachkraft Bohrschlammanalyse
C003163_de_004	Mudlogger
C003164_de_000	Parlamentarischer Assistent/Parlamentarische Assistentin
C003164_de_001	Parlamentarischer Assistent
C003164_de_002	Parlamentarischer Assistentin
C003165_de_000	Import-/Exportsachbearbeiter für Tabakerzeugnisse/Import-/Exportsachbearbeiterin für Tabakerzeugnisse
C003165_de_001	Import-/Exportsachbearbeiter für Tabakerzeugnisse
C003165_de_002	Import-/Exportsachbearbeiterin für Tabakerzeugnisse
C003166_de_000	Werbeleiter/Werbeleiterin
C003166_de_001	Leiter der Verkaufsförderung
C003166_de_002	Leiterin der Verkaufsförderung
C003166_de_003	Werbeleiter
C003166_de_004	Werbeleiterin
C003167_de_000	Business Coach
C003167_de_001	Businesscoach
C003167_de_002	Coach for Professional Development
C003167_de_003	Karriere-Coach
C003167_de_004	Karrierecoach
C003168_de_000	Import-/Exportmanager für pharmazeutische Produkte/Import-/Exportmanagerin für pharmazeutische Produkte
C003168_de_001	Import-/Exportmanager für pharmazeutische Produkte
C003168_de_002	Import-/Exportmanagerin für pharmazeutische Produkte
C003169_de_000	Kundenbeziehungsmanager/Kundenbeziehungsmanagerin
C003169_de_001	Kundenbeziehungsmanager
C003169_de_002	KundenbeziehungsmanagerIn
C003169_de_003	Kundenbeziehungsmanagerin
C003170_de_000	Insolvenzverwalter/Insolvenzverwalterin
C003170_de_001	Insolvenzverwalter
C003170_de_002	Insolvenzverwalterin
C003170_de_003	KonkursverwalterIn
C003170_de_004	Masseverwalter/in
C003171_de_000	Gleisbauerhelfer/Gleisbauerhelferin
C003171_de_001	Gleisbauarbeiter
C003171_de_002	Gleisbauarbeiterin
C003171_de_003	Gleisbauer
C003171_de_004	Gleisbauerhelfer
C003171_de_005	Gleisbauerhelferin
C003171_de_006	Gleisbauerin
C003171_de_007	Gleisbaufacharbeiter
C003171_de_008	Gleisbaufacharbeiterin
C003171_de_009	Oberbauschweißer
C003171_de_010	Oberbauschweißerin
C003172_de_000	Abwasseraufbereitungstechniker/Abwasseraufbereitungstechnikerin
C003172_de_001	Abwasseraufbereitungstechniker
C003172_de_002	Abwasseraufbereitungstechnikerin
C003173_de_000	Avioniker/Avionikerin
C003173_de_001	Avioniker
C003173_de_002	Avionikerin
C003173_de_003	Servicetechniker für Bordelektronik
C003173_de_004	Servicetechnikerin für Bordelektronik
C003174_de_000	Schuhverpacker/Schuhverpackerin
C003174_de_001	Appreteur - Schuhwarenherstellung
C003174_de_002	Appreteurin - Schuhwarenherstellung
C003174_de_003	Schuhverpacker
C003174_de_004	Schuhverpackerin
C003175_de_000	Gewichte- und Maßekontrolleur/Gewichte- und Maßekontrolleurin
C003175_de_001	Gewichte- und Maßekontrolleur
C003175_de_002	Gewichte- und Maßekontrolleurin
C003176_de_000	Fachverkäufer für Wandverkleidungen und Bodenbeläge/Fachverkäuferin für Wandverkleidungen und Bodenbeläge
C003176_de_001	Bodenbelagsverkäufer
C003176_de_002	Bodenbelagsverkäuferin
C003176_de_003	Fachverkäufer für Wand- und Bodenverkleidung
C003176_de_004	Fachverkäuferin für Wandverkleidungen und Bodenbeläge
C003176_de_005	Fliesenfachverkäufer
C003176_de_006	Fliesenfachverkäuferin
C003176_de_007	Fliesenverkäufer
C003176_de_008	Fliesenverkäuferin
C003176_de_009	Orientteppichverkäufer
C003176_de_010	Orientteppichverkäuferin
C003176_de_011	Tapetenverkäufer
C003176_de_012	Tapetenverkäuferin
C003176_de_013	Teppichverkäufer
C003176_de_014	Teppichverkäuferin
C003176_de_015	Verkäufer für Farben und Tapeten
C003176_de_016	Verkäuferin für Farben und Tapeten
C003177_de_000	Leiterplattenbestücker/Leiterplattenbestückerin
C003177_de_001	Leiterplattenbestücker
C003177_de_002	Leiterplattenbestückerin
C003177_de_003	Leiterplattenfertiger
C003177_de_004	Leiterplattenfertigerin
C003178_de_000	Lokalisierer/Lokalisiererin
C003178_de_001	Localisation Specialist
C003178_de_002	Localization Specialist
C003178_de_003	Localizer
C003178_de_004	Lokalisierer
C003178_de_005	Lokalisiererin
C003179_de_000	Schiffsmotoreninspektor/Schiffsmotoreninspektorin
C003179_de_001	Schiffsmaschineninspektor
C003179_de_002	Schiffsmaschineninspektorin
