Q000001	Offizier im militärfachlichen Dienst
Q001270	Beamter/Beamtin bei Behörden des Bundes (gehobener technischer Dienst)
Q001271	Beamter/Beamtin in der Kommunalverwaltung (gehobener technischer Dienst)
Q001272	Beamter/Beamtin bei Behörden der Länder (gehobener technischer Dienst)
Q001273	Verwaltungsangestellter/Verwaltungsangestellte im höheren Dienst
Q001274	Beamter/Beamtin bei Behörden des Bundes (höherer Dienst)
Q001275	Beamter/Beamtin bei Behörden der Länder (höherer Dienst)
Q001276	Beamter/Beamtin in der Kommunalverwaltung (höherer Dienst)
Q001277	Beamter/Beamtin bei Behörden des Bundes (höherer technischer Dienst)
Q001278	Sozialversicherungsfachangestellter/Sozialversicherungsfachangestellte Fachrichtung gesetzliche Rentenversicherung
Q001279	Sozialversicherungsfachangestellter/Sozialversicherungsfachangestellte Fachrichtung knappschaftliche Sozialversicherung
Q001280	Sozialversicherungsfachangestellter/Sozialversicherungsfachangestellte Fachrichtung landwirtschaftliche Sozialversicherung
Q001281	Beamter/Beamtin für den gehobenen technischen Dienst bei der Eisenbahn-Unfallkasse
Q001282	Betriebswirt/Betriebswirtin (Fachschule) für Krankenkassen
Q001283	Krankenkassenfachwirt/Krankenkassenfachwirtin
Q001284	Geprüfter Sozialversicherungsfachwirt/Geprüfte Sozialversicherungsfachwirtin Fachrichtung gesetzliche Renten- und knappschaftliche Sozialversicherung
Q001285	Beamter/Beamtin in der Versorgungsverwaltung (gehobener nichttechnischer Dienst)
Q001286	Beamter/Beamtin für den höheren technischen Dienst bei der Eisenbahn-Unfallkasse
Q001287	Arztsekretär/Arztsekretärin
Q001288	Sekretär/Sekretärin im Gesundheitswesen
Q001289	Zahnmedizinischer Verwaltungsassistent/Zahnmedizinische Verwaltungsassistentin
Q001290	Betriebswirt/Betriebswirtin (Fachschule) für Sozialwesen
Q001291	Praxismanager/Praxismanagerin
Q001292	Betriebswirt/Betriebswirtin (Fachschule) für Management im Gesundheitswesen
Q001293	Beamter/Beamtin in der Steuerverwaltung (einfacher Dienst)
Q001294	Beamter/Beamtin im mittleren Zolldienst
Q001295	Beamter/Beamtin im Justizdienst (mittlerer nichttechnischer Dienst)
Q001296	Justizfachangestellter/Justizfachangestellte
Q001297	Beamter/Beamtin in der Justizverwaltung (höherer Dienst)
Q001298	Beamter/Beamtin in der Allgemeinen Inneren Verwaltung (mittlerer nichttechnischer Dienst)
Q001299	Beamter/Beamtin in der Allgemeinen Inneren Verwaltung (gehobener nichttechnischer Dienst)
Q001300	Beamter/Beamtin in der Digitalen Verwaltung (gehobener nichttechnischer Dienst)
Q001301	Dienststellenleiter/Dienststellenleiterin
Q001302	Registrator/Registratorin
Q001303	Beamter/Beamtin im Archivdienst (höherer Dienst)
Q001304	Archivar/Archivarin
Q001305	Fachangestellter/Fachangestellte für Medien- und Informationsdienste Fachrichtung Bibliothek
Q001306	Assistent/Assistentin an Bibliotheken
Q001307	Bibliothekar/Bibliothekarin
Q001308	Fachangestellter/Fachangestellte für Medien- und Informationsdienste Fachrichtung Information und Dokumentation
Q001309	Informationswissenschaftler/Informationswissenschaftlerin
Q001310	Medizinischer Dokumentar/Medizinische Dokumentarin
Q001311	Medizinischer Dokumentationsassistent/Medizinische Dokumentationsassistentin
Q001312	Fachangestellter/Fachangestellte für Medien- und Informationsdienste Fachrichtung Medizinische Dokumentation
Q001313	Klinische Kodierfachkraft
Q001314	Bibliotheksleiter/Bibliotheksleiterin
Q001315	Arzthelfer/Arzthelferin
Q001316	Medizinischer Fachangestellter/Medizinische Fachangestellte
Q001317	Fachwirt/Fachwirtin für ambulante medizinische Versorgung
Q001318	Zahnmedizinischer Fachangestellter/Zahnmedizinische Fachangestellte
Q001319	Zahnmedizinischer Fachassistent/Zahnmedizinische Fachassistentin
Q001320	Dentalhygieniker/Dentalhygienikerin
Q001321	Zahnmedizinischer Prophylaxeassistent/Zahnmedizinische Prophylaxeassistentin
Q001322	Orthoptist/Orthoptistin
Q001323	Tierarzthelfer/Tierarzthelferin
Q001324	Tiermedizinischer Fachangestellter/Tiermedizinische Fachangestellte
Q001325	Fachagrarwirt/Fachagrarwirtin - Besamungswesen
Q001326	Fachkraft für Medizinprodukteaufbereitung
Q001327	Coronatester/Coronatesterin
Q001328	Staatlich geprüfter Medizin Laborant/Staatlich geprüfte Medizin Laborantin
Q001329	Medizinisch-technischer Laboratoriumsassistent/Medizinisch-technische Laboratoriumsassistentin
Q001330	Zytologieassistent/Zytologieassistentin
Q001331	Medizinischer Technologe/Medizinische Technologin für Laboratoriumsanalytik
Q001332	Fachassistent/Fachassistentin für Mikrobiologie
Q001333	Biomedizinischer Fachanalytiker/Biomedizinische Fachanalytikerin für medizinische Mikrobiologie, Virologie und Hygiene
Q001334	Facharzt/Fachärztin Fachrichtung Rechtsmedizin
Q001335	EEG-Assistent/EEG-Assistentin
Q001336	Medizinisch-technischer Assistent/Medizinisch-technische Assistentin für Funktionsdiagnostik
Q001337	Medizinischer Technologe/Medizinische Technologin für Funktionsdiagnostik
Q001338	Staatlich geprüfter Kardiotechniker/Staatlich geprüfte Kardiotechnikerin
Q001339	Medizinisch-technischer Assistent/Medizinisch-technische Assistentin für Nuklearmedizin
Q001340	Medizinisch-technischer Radiologieassistent/Medizinisch-technische Radiologieassistentin
Q001341	Röntgenhelfer/Röntgenhelferin
Q001342	Medizinischer Technologe/Medizinische Technologin für Radiologie
Q001343	Fachassistent/Fachassistentin für Nuklearmedizin
Q001344	Fachradiologietechnologe/Fachradiologietechnologin für radiologische Diagnostik und Interventionen
Q001345	Pflegeassistent/Pflegeassistentin
Q001346	Krankenpfleger/Krankenschwester
Q001347	Gesundheits- und Krankenpfleger/Gesundheits- und Krankenpflegerin
Q001348	Pflegefachmann/Pflegefachfrau
Q001349	Fachkraft - Frühe Hilfen
Q001350	Anästhesietechnischer Assistent/Anästhesietechnische Assistentin
Q001351	Rettungsassistent/Rettungsassistentin
Q001352	Notfallsanitäter/Notfallsanitäterin
Q001353	Hebamme/Entbindungspfleger
Q001354	Pflegewissenschaftler/Pflegewissenschaftlerin
Q001355	Einsatzleiter/Einsatzleiterin (Rettungsdienst)
Q001356	Facharzt/Fachärztin Fachrichtung Allgemeinmedizin (Hausarzt/Hausärztin)
Q001357	Arzt/Ärztin
Q001358	Facharzt/Fachärztin Fachrichtung Hals-Nasen-Ohrenheilkunde
Q001359	Fachzahnarzt/Fachzahnärztin
Q001360	Zahnarzt/Zahnärztin
Q001361	Tierarzt/Tierärztin
Q001362	Fachtierarzt/Fachtierärztin
Q001363	Tierheilpraktiker/Tierheilpraktikerin
Q001364	Tierpsychologe/Tierpsychologin
Q001365	Pädagogischer Psychologe/Pädagogische Psychologin
Q001366	Psychologisch-technischer Assistent/Psychologisch-technische Assistentin
Q001367	Klinischer Psychologe/Klinische Psychologin
Q001368	Psychologe/Psychologin
Q001369	Gesundheits- und Rehabilitationspsychologe/Gesundheits- und Rehabilitationspsychologin
Q001370	Mediator/Mediatorin
Q001371	Psychologischer Psychotherapeut/Psychologische Psychotherapeutin
Q001372	Familientherapeut und Paartherapeut/Familientherapeutin und Paartherapeutin
Q001373	Psychotherapeut/Psychotherapeutin
Q001374	Physiotherapeut/Physiotherapeutin
Q001375	Chiropraktiker/Chiropraktikerin
Q001376	Fachassistent/Fachassistentin für Hirnleistungstraining
Q001377	Ergotherapeut/Ergotherapeutin
Q001378	Sprachtherapeut/Sprachtherapeutin
Q001379	Staatlich geprüfter Atem-, Sprech- und Stimmlehrer/Staatlich geprüfte Atem-, Sprech- und Stimmlehrerin
Q001380	Klinischer Linguist/Klinische Linguistin
Q001381	Sprechwissenschaftler/Sprechwissenschaftlerin
Q001382	Kunsttherapeut/Kunsttherapeutin
Q001383	Musiktherapeut/Musiktherapeutin
Q001384	Heilpraktiker/Heilpraktikerin
Q001385	Homöopath/Homöopathin
Q001386	Osteopath/Osteopathin
Q001387	Diätassistent/Diätassistentin
Q001388	Staatlich geprüfter Podologe/Staatlich geprüfte Podologin
Q001389	Tanz- und Bewegungstherapeut/Tanz- und Bewegungstherapeutin
Q001390	Sporttherapeut/Sporttherapeutin
Q001391	Staatlich geprüfter Gymnastik- und Tanzpädagoge/Staatlich geprüfte Gymnastik- und Tanzpädagogin Schwerpunkt Bewegungstherapie
Q001392	Krankenhausapotheker/Krankenhausapothekerin
Q001393	Pharmazeut/Pharmazeutin
Q001394	Apotheker/Apothekerin
Q001395	Fachapotheker/Fachapothekerin
Q001396	Pharmazeutisch-technischer Assistent/Pharmazeutisch-technische Assistentin
Q001397	Apothekerassistent/Apothekerassistentin
Q001398	Pharmareferent/Pharmareferentin
Q001399	Regulatory-Affairs-Manager/Regulatory-Affairs-Managerin
Q001400	Medical Advisor
Q001401	Pflegeassistent/Pflegeassistentin (Altenpflege)
Q001402	Leiter/Leiterin einer Altenpflegeeinrichtung
Q001403	Gesundheitstrainer/Gesundheitstrainerin
Q001404	Sozialmedizinischer Assistent/Sozialmedizinische Assistentin
Q001405	Leiter/Leiterin - Medizincontrolling
Q001406	Assistent/Assistentin für Gesundheitstourismus/-prophylaxe
Q001407	Wellnessberater/Wellnessberaterin
Q001408	Wellnessmanager/Wellnessmanagerin
Q001409	Fachwirt/Fachwirtin für Kosmetik und Wellness
Q001410	Ernährungsassistent/Ernährungsassistentin
Q001411	Ernährungs- und Fitnessberater/Ernährungs- und Fitnessberaterin (Gesundheit/Sport)
Q001412	Pflegesachverständiger/Pflegesachverständige
Q001413	Helfer/Helferin im Friseurgewerbe
Q001414	Friseur/Friseurin
Q001415	Herrenfriseur/Herrenfriseurin
Q001416	Meisterassistent/Meisterassistentin - Kosmetik im Friseurhandwerk
Q001417	Visagist/Visagistin
Q001418	Geprüfter Nageldesigner/Geprüfte Nageldesignerin
Q001419	Solariumfachberater/Solariumfachberaterin
Q001420	Farb-, Stil- und Imageberater/Farb-, Stil- und Imageberaterin
Q001421	Kosmetiker/Kosmetikerin
Q001422	Fußpfleger/Fußpflegerin (kosmetisch)
Q001423	Maskenbildner/Maskenbildnerin
Q001424	Maskenbildner/Maskenbildnerin (Hochschule)
Q001425	Kosmetikermeister/Kosmetikermeisterin
Q001426	Bestattungsgehilfe/Bestattungsgehilfin
Q001427	Bestattungsfachkraft
Q001428	Bestattungsfachwirt/Bestattungsfachwirtin
Q001429	Funeralmaster
Q001430	Bestattermeister/Bestattermeisterin
Q001431	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Medizintechnik
Q001432	Ingenieur/Ingenieurin für Medizintechnik
Q001433	Orthopädiemechaniker und Bandagist/Orthopädiemechanikerin und Bandagistin
Q001434	Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
Q001435	Augenoptiker/Augenoptikerin
Q001436	Optometrist/Optometristin
Q001437	Ingenieur/Ingenieurin für Augenoptik/Optometrie
Q001438	Hörgeräteakustiker/Hörgeräteakustikerin
Q001439	Hörgerätetechniker/Hörgerätetechnikerin
Q001440	Ingenieur/Ingenieurin für Hörtechnik und Audiologie
Q001441	Zahntechniker/Zahntechnikerin
Q001442	Au-pair/Au-pair
Q001443	Kinderbetreuer/Kinderbetreuerin
Q001444	Staatlich anerkannter Erzieher/Staatlich anerkannte Erzieherin
Q001445	Erzieher/Erzieherin Fachrichtung Jugend- und Heimerziehung
Q001446	Fachkraft für Sozialarbeit
Q001447	Sozialarbeiter/Sozialarbeiterin im Strafvollzug
Q001448	Streetworker/Streetworkerin
Q001449	Bewährungshelfer/Bewährungshelferin
Q001450	Staatlich anerkannter Sonderpädagoge/Staatlich anerkannte Sonderpädagogin
Q001451	Fachkraft für Arbeits- und Berufsförderung
Q001452	Staatlich anerkannter Heilerziehungspfleger/Staatlich anerkannte Heilerziehungspflegerin
Q001453	Sozialassistent/Sozialassistentin
Q001454	Fachkraft für Pflegeassistenz
Q001455	Staatlich anerkannter Haus- und Familienpfleger/Staatlich anerkannte Haus- und Familienpflegerin
Q001456	Suchtberater/Drogenberater / Suchtberaterin/Drogenberaterin
Q001457	Sozialtherapeut/Sozialtherapeutin
Q001458	Kindergartenleiter/Kindergartenleiterin
Q001459	Erwachsenenheimleiter/Erwachsenenheimleiterin
Q001460	Hauswirtschafter/Hauswirtschafterin (ohne Schwerpunkte)
Q001461	Haushälter/Haushälterin (Privathaushalt)
Q001462	Staatlich geprüfter Hauswirtschaftsassistent/Staatlich geprüfte Hauswirtschaftsassistentin
Q001463	Hauswirtschafter/Hauswirtschafterin
Q001464	Hauswirtschafter/Hauswirtschafterin Schwerpunkt Ländlich-agrarische Dienstleistungen
Q001465	Hauswirtschafter/Hauswirtschafterin Schwerpunkt Personenbetreuende Dienstleistungen
Q001466	Hauswirtschafter/Hauswirtschafterin Schwerpunkt Serviceorientierte Dienstleistungen
Q001467	Geprüfter Fachhauswirtschafter/Geprüfte Fachhauswirtschafterin
Q001468	Staatlich geprüfter Fachwirt/Staatlich geprüfte Fachwirtin für Organisation und Führung Schwerpunkt Ernährung und Hauswirtschaft
Q001469	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Ernährungs- und Versorgungsmanagement
Q001470	Betriebswirt/Betriebswirtin (Fachschule) für Hauswirtschaft
Q001471	Fachkraft für landwirtschaftlichen Haushalt
Q001472	Verbraucherberater/Verbraucherberaterin
Q001473	Meister/Meisterin der Hauswirtschaft
Q001474	Pastoralreferent/Pastoralreferentin
Q001475	Theologe/Theologin - evangelisch
Q001476	Theologe/Theologin - katholisch
Q001477	Diakon/Diakonin (Sozialarbeit)
Q001478	Diakon/Diakonin (evangelisch)
Q001479	Angehöriger geistlicher Orden und Mutterhäuser/Angehörige geistlicher Orden und Mutterhäuser
Q001480	Küster/Küsterin
Q001481	Missionar/Missionarin
Q001482	Lehrer/Lehrerin an Grundschulen
Q001483	Lehrer/Lehrerin an Waldorfschulen
Q001484	Lehrer/Lehrerin für Begabtenförderung
Q001485	Lehrer/Lehrerin für Stützunterricht
Q001486	Lehrer/Lehrerin - Förderschulen
Q001487	Dozent/Dozentin am Waldorflehrerseminar
Q001488	Lernbetreuer/Lernbetreuerin
Q001489	Beratungslehrer/Beratungslehrerin
Q001490	Fachleiter/Fachleiterin an allgemeinbildenden Schulen
Q001491	Lehrer/Lehrerin an Fachschulen für die Seefahrt
Q001492	Pflegepädagoge/Pflegepädagogin
Q001493	Kosmetologe/Kosmetologin
Q001494	Ausbildungsmeister/Ausbildungsmeisterin
Q001495	Berufspädagoge/Berufspädagogin
Q001496	Dozent/Dozentin an Hochschulen und Akademien
Q001497	Professor/Professorin an Hochschulen
Q001498	Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin an Hochschulen
Q001499	Dozent/Dozentin für Musikberufe
Q001500	Lehrer/Dozent/Lehrerin/Dozentin in der Erwachsenenbildung
Q001501	Musiklehrer/Musiklehrerin
Q001502	Musikpädagoge/Musikpädagogin
Q001503	Rhythmiklehrer/Rhythmiklehrerin
Q001504	Katechet/Katechetin (evangelisch)
Q001505	Religionspädagoge/Religionspädagogin - evangelisch
Q001506	Theaterpädagoge/Theaterpädagogin
Q001507	Kreativitätspädagoge/Kreativitätspädagogin
Q001508	Fachlehrer/Fachlehrerin für Informationsverarbeitung/Textverarbeitung/Bürowirtschaft
Q001509	IT-Trainer/IT-Trainerin
Q001510	Fremdsprachenlehrer/Fremdsprachenlehrerin
Q001511	Ausbilder/Ausbilderin für Erste Hilfe
Q001512	Nachhilfelehrer/Nachhilfelehrerin
Q001513	Schulleiter in der Erwachsenenbildung/Schulleiterin in der Erwachsenenbildung
Q001514	Staatlich geprüfter Sportlehrer/Staatlich geprüfte Sportlehrerin
Q001515	Berufstrainer/Berufstrainerin im Sport
Q001516	Sportpädagoge/Sportpädagogin
Q001517	Fahrlehrer/Fahrlehrerin
Q001518	Fluglehrer/Fluglehrerin
Q001519	Tanzpädagoge/Tanzpädagogin
Q001520	Staatlich geprüfter Tennislehrer/Staatlich geprüfte Tennislehrerin
Q001521	Fußballtrainer/Fußballtrainerin (staatlich geprüft)
Q001522	Fitnesstrainer/Fitnesstrainerin
Q001523	Snowboardlehrer/Snowboardlehrerin
Q001524	Skilehrer/Skilehrerin
Q001525	Reitlehrer/Reitlehrerin
Q001526	Reit- und Fahrlehrer/Reit- und Fahrlehrerin (Pferdesport)
Q001527	Boxlehrer/Boxlehrerin
Q001528	Eislauflehrer/Eislauflehrerin
Q001529	Golflehrer/Golflehrerin
Q001530	Schwimmlehrer/Schwimmlehrerin
Q001531	Literaturwissenschaftler/Literaturwissenschaftlerin
Q001532	Sprachwissenschaftler/Sprachwissenschaftlerin
Q001533	Computerlinguist/Computerlinguistin
Q001534	Philosoph/Philosophin
Q001535	Religionswissenschaftler/Religionswissenschaftlerin
Q001536	Historiker/Historikerin
Q001537	Archäologe/Archäologin
Q001538	Kommunikationswissenschaftler/Kommunikationswissenschaftlerin
Q001539	Medienwissenschaftler/Medienwissenschaftlerin
Q001540	Anthropologe/Anthropologin
Q001541	Politologe/Politologin
Q001542	Sozialwissenschaftler/Sozialwissenschaftlerin
Q001543	Soziologe/Soziologin
Q001544	Bildungsforscher/Bildungsforscherin
Q001545	Kulturpädagoge/Kulturpädagogin
Q001546	Fachwirt/Fachwirtin für Marktforschung
Q001547	Meinungsforscher/Meinungsforscherin
Q001548	Marktforscher/Marktforscherin
Q001549	Demograf/Demografin
Q001550	Arbeitswissenschaftler/Arbeitswissenschaftlerin
Q001551	Kriminologe/Kriminologin
Q001552	Kulturwissenschaftler/Kulturwissenschaftlerin
Q001553	Interkultureller Kommunikationsberater/Interkulturelle Kommunikationsberaterin
Q001554	Volkswirt/Volkswirtin
Q001555	Werbekaufmann/Werbekauffrau
Q001556	Marketingfachkraft / Marketingassistent/Marketingassistentin
Q001557	Kaufmann/Kauffrau für Marketingkommunikation
Q001558	Fachkaufmann/Fachkauffrau für Werbung und Kommunikation
Q001559	Mediaplaner/Mediaplanerin
Q001560	Werbetexter/Werbetexterin
Q001561	Produktmanager/Produktmanagerin
Q001562	Absatz- und Werbewirtschaftler/Absatz- und Werbewirtschaftlerin
Q001563	Fachwirt/Fachwirtin für Werbung
Q001564	Merchandiser/Merchandiserin
Q001565	Onlinemarketing-Manager/Onlinemarketing-Managerin
Q001566	Betriebswirt/Betriebswirtin (Fachschule) für Marketingkommunikation
Q001567	Betriebswirt/Betriebswirtin (Fachschule) für Absatz/Marketing
Q001568	Geprüfter Fachwirt/Geprüfte Fachwirtin für Marketing
Q001569	Social-Media-Manager/Social-Media-Managerin
Q001570	SEO-Manager/SEO-Managerin
Q001571	Customer-Experience-Manager/Customer-Experience-Managerin
Q001572	Category-Manager/Category-Managerin
Q001573	Betriebswirt/Betriebswirtin (Hochschule) für Marketing
Q001574	Brand-Manager/Brand-Managerin
Q001575	Callcenteragent/Callcenteragentin
Q001576	Servicefachkraft für Dialogmarketing
Q001577	Trainer/Trainerin, Supervisor/Supervisorin im Callcenter
Q001578	Relationship-Manager/Relationship-Managerin
Q001579	Werbeleiter/Werbeleiterin
Q001580	Leiter/Leiterin - Marketing
Q001581	Investor-Relations-Manager/Investor-Relations-Managerin
Q001582	PR-Fachkraft
Q001583	Fundraiser/Fundraiserin
Q001584	Politischer Berater/Politische Beraterin
Q001585	Campaigner/Campaignerin
Q001586	Pressesprecher/Pressesprecherin
Q001587	Public-Affairs-Manager/Public-Affairs-Managerin
Q001588	Leiter/Leiterin - Presse- und Öffentlichkeitsarbeit
Q001589	Staatlich geprüfter kaufmännischer Medienassistent/Staatlich geprüfte kaufmännische Medienassistentin
Q001590	Kaufmann/Kauffrau für audiovisuelle Medien
Q001591	Verlagskaufmann/Verlagskauffrau
Q001592	Medienkaufmann/Medienkauffrau Digital und Print
Q001593	Anzeigenverkäufer/Anzeigenverkäuferin
Q001594	Listbroker/in
Q001595	Verleger/Verlegerin (Medien, Musik)
Q001596	Redaktionsassistent/Redaktionsassistentin
Q001597	E-Learning-Autor/E-Learning-Autorin
Q001598	Content-Manager/Content-Managerin
Q001599	Community-Manager/Community-Managerin
Q001600	Bildredakteur/Bildredakteurin
Q001601	Technischer Redakteur/Technische Redakteurin
Q001602	Journalist/Journalistin
Q001603	Auslandskorrespondent/Auslandskorrespondentin
Q001604	Lektor/Lektorin in Verlagen
Q001605	Autor/Schriftsteller / Autorin/Schriftstellerin
Q001606	Drehbuchautor/Drehbuchautorin
Q001607	Redenschreiber/Redenschreiberin
Q001608	Chefredakteur/Chefredakteurin
Q001609	Staatlich geprüfter Assistent/Staatlich geprüfte Assistentin für Produktdesign
Q001610	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Produktdesign
Q001611	Industrie-, Produktdesigner/Industrie-, Produktdesignerin
Q001612	Ingenieur/Ingenieurin für Innenarchitektur
Q001613	Innenarchitekt/Innenarchitektin
Q001614	Schauwerbegestalter/Schauwerbegestalterin
Q001615	Gestalter/Gestalterin für visuelles Marketing
Q001616	Raumausstatter/Raumausstatterin
Q001617	Geprüfter Restaurator im Raumausstatterhandwerk/Geprüfte Restauratorin im Raumausstatterhandwerk - Master Professional für Restaurierung im Handwerk
Q001618	Raumausstatter/Raumausstatterin für Restaurierungsarbeiten
Q001619	Geprüfter Gestaltungsberater/Geprüfte Gestaltungsberaterin im Raumausstatterhandwerk
Q001620	Restaurator/Restauratorin (Hochschule)
Q001621	Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin Fachrichtung Steinbildhauerarbeiten
Q001622	Holzbildhauer/Holzbildhauerin
Q001623	Bildhauer/Bildhauerin
Q001624	Geprüfter Restaurator im Holzbildhauerhandwerk/Geprüfte Restauratorin im Holzbildhauerhandwerk - Master Professional für Restaurierung im Handwerk
Q001625	Kunstmaler/Kunstmalerin
Q001626	Karikaturist/Karikaturistin
Q001627	Comic-Zeichner/Comic-Zeichnerin
Q001628	Trickfilmzeichner/Trickfilmzeichnerin
Q001629	Scherenschneider/Scherenschneiderin
Q001630	Drechsler (Elfenbeinschnitzer)/Drechslerin (Elfenbeinschnitzerin) Fachrichtung Drechseln
Q001631	Holzspielzeugmacher/Holzspielzeugmacherin
Q001632	Spielzeughersteller/Spielzeugherstellerin
Q001633	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Spielzeug
Q001634	Vergolder/Vergolderin
Q001635	Wachszieher/Wachszieherin Fachrichtung Kerzenherstellung
Q001636	Kerzenhersteller und Wachsbildner/Kerzenherstellerin und Wachsbildnerin Schwerpunkt Kerzenherstellung
Q001637	Vergoldermeister/Vergoldermeisterin
Q001638	Keramiker/Keramikerin Fachrichtung Baukeramik
Q001639	Töpfer/Töpferin
Q001640	Keramiker/Keramikerin
Q001641	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Keramik
Q001642	Keramiker/Keramikerin Fachrichtung Dekoration
Q001643	Glas- und Kerammaler/Glas- und Kerammalerin Fachrichtung Kerammalerei
Q001644	Glas- und Kerammaler/Glas- und Kerammalerin Fachrichtung Glasmalerei
Q001645	Glas- und Porzellanmaler/Glas- und Porzellanmalerin
Q001646	Kerammaler/Kerammalerin
Q001647	Manufakturporzellanmaler/Manufakturporzellanmalerin
Q001648	Industriekeramiker/Industriekeramikerin Dekorationstechnik
Q001649	Staatlich geprüfter Glasbildner/Staatlich geprüfte Glasbildnerin
Q001650	Edelsteinschleifer/Edelsteinschleiferin (ohne Fachrichtungen)
Q001651	Edelsteingraveur/Edelsteingraveurin
Q001652	Goldschmied/Goldschmiedin Fachrichtung Juwelen
Q001653	Goldschmied/Goldschmiedin Fachrichtung Ketten
Q001654	Edelsteinfasser/Edelsteinfasserin
Q001655	Metallbildner/Metallbildnerin Fachrichtung Goldschlagtechnik
Q001656	Silberschmied/Silberschmiedin
Q001657	Staatlich geprüfter Designer/Staatlich geprüfte Designerin - angewandte Formgebung, Schmuck und Gerät
Q001658	Gold-, Silber- und Aluminiumschläger/Gold-, Silber- und Aluminiumschlägerin
Q001659	Edelsteinschleifer/Edelsteinschleiferin Fachrichtung Edelsteingravieren
Q001660	Edelsteinschleifer/Edelsteinschleiferin Fachrichtung Edelsteinschleifen
Q001661	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Edelstein, Schmuck und Gerät
Q001662	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Edelmetall
Q001663	Schmuckdesigner/Schmuckdesignerin
Q001664	Graveur/Graveurin (mit Schwerpunkten)
Q001665	Flachgraveur/Flachgraveurin
Q001666	Graveur/Graveurin
Q001667	Maler/Malerin in der Herstellung von Beschriftungen, Schildern, Werbeobjekten
Q001668	Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin
Q001669	Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin Schwerpunkt Technik, Montage, Werbeelektrik/-elektronik
Q001670	Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin Schwerpunkt Grafik, Druck, Applikation
Q001671	Gold- und Silberschmiedemeister/Gold- und Silberschmiedemeisterin
Q001672	Musikinstrumentenbauer/Musikinstrumentenbauerin
Q001673	Geigenbauer/Geigenbauerin
Q001674	Zupfinstrumentenmacher/Zupfinstrumentenmacherin Fachrichtung Gitarrenbau
Q001675	Zupfinstrumentenmacher/Zupfinstrumentenmacherin Fachrichtung Harfenbau
Q001676	Klavier- und Cembalobauer/Klavier- und Cembalobauerin Fachrichtung Cembalobau
Q001677	Klavier- und Cembalobauer/Klavier- und Cembalobauerin Fachrichtung Klavierbau
Q001678	Klavierbauer/Klavierbauerin
Q001679	Orgel- und Harmoniumbauer/Orgel- und Harmoniumbauerin Fachrichtung Orgelbau
Q001680	Orgelbauer/Orgelbauerin Fachrichtung Orgelbau
Q001681	Musikwissenschaftler/Musikwissenschaftlerin
Q001682	Sänger/Sängerin
Q001683	Liedermacher/Liedermacherin
Q001684	Staatlich geprüfter Ensembleleiter/Staatlich geprüfte Ensembleleiterin
Q001685	Chordirektor/Chordirektorin
Q001686	Dirigent/Dirigentin
Q001687	Musikalischer Oberleiter/Musikalische Oberleiterin
Q001688	Musikdirektor/Musikdirektorin
Q001689	Chefdirigent/Chefdirigentin
Q001690	Arrangeur/Arrangeurin
Q001691	Komponist/Komponistin
Q001692	Audiodesigner/Audiodesignerin - Musik
Q001693	Ballettrepetitor/Ballettrepititorin
Q001694	Korrepetitor/Korrepetitorin
Q001695	Studienleiter/Studienleiterin für Musik
Q001696	Schauspieler/Schauspielerin
Q001697	Synchronsprecher/Synchronsprecherin
Q001698	Trainingsleiter/Trainingsleiter (Ballett)
Q001699	Ballettmeister/Ballettmeisterin
Q001700	Bühnentänzer/Bühnentänzerin
Q001701	Choreograf/Choreografin
Q001702	Mannequin/Dressman
Q001703	Berufssportler/Berufssportlerin
Q001704	Stuntman/Stuntwoman
Q001705	Komparse/Komparsin
Q001706	Statist/Statistin
Q001707	Kleindarsteller/Kleindarstellerin
Q001708	Puppenspieler (Hochschule)/Puppenspielerin (Hochschule)
Q001709	Komiker/Komikerin
Q001710	Humorist/Humoristin
Q001711	Hörfunk- und Fernsehsprecher/Hörfunk- und Fernsehsprecherin
Q001712	Sprecher/Sprecherin (Fernsehen/Film/Rundfunk)
Q001713	Moderator/Moderatorin (Funk, Fernsehen)
Q001714	Schausteller/Schaustellerin
Q001715	Croupier/Croupière
Q001716	Wahrsager/Wahrsager
Q001717	Diskjockey
Q001718	Astrologe/Astrologin
Q001719	Script Supervisor
Q001720	Dramaturg/Dramaturgin
Q001721	Producer/Producerin
Q001722	Regieassistent/Regieassistentin
Q001723	Inspizient/Inspizientin
Q001724	Regie-Anfänger/Regie-Anfängerin
Q001725	Erster Regieassistent/Erste Regieassistentin
