C000001_pt_000	Profissões militares
C002612_pt_002	Consultora química
C002612_pt_003	Especialista em metalurgia
C002612_pt_004	Técnica especialista em ensaios químicos
C002612_pt_005	Técnico especialista em ensaios químicos
C002613_pt_000	Cônsul
C002613_pt_001	Adida
C002613_pt_002	Adida cultural
C002613_pt_003	Adida militar
C002613_pt_004	Adido
C002613_pt_005	Adido cultural
C002613_pt_006	Adido militar
C002613_pt_007	Conselheira
C002613_pt_008	Conselheiro
C002613_pt_009	Consul
C002613_pt_010	Cônsul honorária
C002613_pt_011	Cônsul honorário
C002613_pt_012	Cônsul-geral
C002613_pt_013	Ministra Plenipotenciária
C002613_pt_014	Ministro Plenipotenciário
C002613_pt_015	Secretária
C002613_pt_016	Secretário
C002614_pt_000	Cimenteiro/Cimenteira
C002614_pt_001	Cimenteira
C002614_pt_002	Cimenteiro
C002615_pt_000	Geofísico/Geofísica
C002615_pt_001	Geocientista
C002615_pt_002	Geofísico
C002616_pt_000	Escriturário de registos notariais/Escriturária de registos notariais
C002616_pt_001	Escriturária de registos notariais
C002616_pt_002	Escriturário de registos notariais
C002617_pt_000	Operador de serras de fita/ Operadora de serras de fita
C002617_pt_001	Operador de serras de fita
C002617_pt_002	Operadora de serras de fita
C002618_pt_000	Engenheiro de verificação de conformidade/Engenheira de verificação de conformidade
C002618_pt_001	Engenheira de verificação de conformidade
C002618_pt_002	Engenheiro de verificação de conformidade
C002619_pt_000	Serigrafista
C002619_pt_001	Operador de serigrafia
C002619_pt_002	Operadora de serigrafia
C002620_pt_000	Gestor de resiliência informática/Gestora de resiliência informática
C002620_pt_001	Gestor de resiliência informática
C002620_pt_002	Gestor de segurança das TI
C002620_pt_003	Gestor de segurança das TIC
C002620_pt_004	Gestor de segurança das tecnologias da informação
C002620_pt_005	Gestor de segurança das tecnologias de informação e comunicação
C002620_pt_006	Gestor de vulnerabilidades
C002620_pt_007	Gestora de resiliência informática
C002620_pt_008	Gestora de segurança das TI
C002620_pt_009	Gestora de segurança das TIC
C002620_pt_010	Gestora de segurança das tecnologias da informação
C002620_pt_011	Gestora de segurança das tecnologias de informação e comunicação
C002620_pt_012	Gestora de vulnerabilidades
C002621_pt_000	Assistente social de apoio à inserção de refugiados e migrantes
C002622_pt_000	Supervisor de manutenção industrial/Supervisora de manutenção industrial
C002622_pt_001	Supervisor de manutenção industrial
C002622_pt_002	Supervisora de manutenção industrial
C002623_pt_000	Técnico de física/Técnica de física
C002623_pt_001	Técnica de física
C002623_pt_002	Técnico de física
C002624_pt_000	Designer instrucional
C002624_pt_001	Engenheira pedagógica
C002624_pt_002	Engenheiro pedagógico
C002625_pt_000	Linguista
C002625_pt_001	Filóloga
C002625_pt_002	Filólogo
C002626_pt_000	Técnico de radiologia terapéutica/Técnica de radiologia terapêutica
C002626_pt_001	Técnica de radiologia terapêutica
C002626_pt_002	Técnico de radiologia terapêutica
C002627_pt_000	Trabalhador em infraestruturas flutuantes ou submersas de aquicultura/Trabalhadora em infraestruturas flutuantes ou submersas de aquicultura
C002627_pt_001	Trabalhador em infraestruturas flutuantes ou submersas de aquicultura
C002627_pt_002	Trabalhadora em infraestruturas flutuantes ou submersas de aquicultura
C002628_pt_000	Operador de furadora/Operadora de furadora
C002628_pt_001	Operador de furadora
C002628_pt_002	Operadora de furadora
C002629_pt_000	Técnico de estúdio de gravação/Técnica de estúdio de gravação
C002629_pt_001	Técnica de estúdio de gravação
C002629_pt_002	Técnico de estúdio de gravação
C002630_pt_000	Especialista em import-export de vestuário e calçado
C002631_pt_000	Vendedor de produtos farmacêuticos/Vendedora de produtos farmacêuticos
C002631_pt_001	Vendedor de produtos farmacêuticos
C002631_pt_002	Vendedora de produtos farmacêuticos
C002632_pt_000	Serralheiro/Serralheira
C002632_pt_001	Serralheira
C002632_pt_002	Serralheiro
C002633_pt_000	Coordenador editorial/Coordenadora editorial
C002633_pt_001	Coordenador de publicações técnicas
C002633_pt_002	Coordenador editorial
C002633_pt_003	Coordenadora de publicações técnicas
C002633_pt_004	Coordenadora editorial
C002633_pt_005	Diretor de publicações
C002633_pt_006	Diretora de publicações
C002634_pt_000	Auxiliar de cemitério
C002634_pt_001	Coveira
C002634_pt_002	Coveiro
C002635_pt_000	Operador de turbina a vapor/Operadora de turbina a vapor
C002635_pt_001	Operador de turbina a vapor
C002635_pt_002	Operadora de turbina a vapor
C002636_pt_000	Gestor da cadeia logística/Gestora da cadeia logística
C002636_pt_001	Gestor da cadeia de abastecimento
C002636_pt_002	Gestor da cadeia logística
C002636_pt_003	Gestor de canais
C002636_pt_004	Gestora da cadeia de abastecimento
C002636_pt_005	Gestora da cadeia logística
C002636_pt_006	Gestora de canais
C002637_pt_000	Engenheiro de transportes/Engenheira de transportes
C002637_pt_001	Engenheira civil especialista em construção de estradas
C002637_pt_002	Engenheira de transportes
C002637_pt_003	Engenheiro civil especialista em construção de aeródromos e pontes
C002637_pt_004	Engenheiro civil especialista em construção de estradas
C002637_pt_005	Engenheiro de transportes
C002638_pt_000	Comerciante grossista de máquinas para a indústria extractiva, construção e engenharia civil
C002639_pt_000	Operador do serviço de assistência informática/Operadora do serviço de assistência informática
C002639_pt_001	Operador de assistência técnica informática
C002639_pt_002	Operador do serviço de apoio informático
C002639_pt_003	Operador do serviço de assistência informática
C002639_pt_004	Operador do serviço de suporte informático
C002639_pt_005	Operadora de assistência técnica informática
C002639_pt_006	Operadora do serviço de apoio informático
C002639_pt_007	Operadora do serviço de assistência informática
C002639_pt_008	Operadora do serviço de suporte informático
C002640_pt_000	Agente de emissão de passaportes
C002641_pt_000	Supervisor de máquinas de tricotagem/ Supervisora de máquinas de tricotagem
C002641_pt_001	Supervisor de máquinas de tricotagem
C002641_pt_002	Supervisora de máquinas de tricotagem
C002642_pt_000	Engenheiro especialista em mecatrónica/Engenheira especialista em mecatrónica
C002642_pt_001	Engenheira especialista em mecatrónica
C002642_pt_002	Engenheira mecatrónica
C002642_pt_003	Engenheiro especialista em mecatrónica
C002642_pt_004	Engenheiro mecatrónico
C002643_pt_000	Engenheiro ótico/Engenheira ótica
C002643_pt_001	Engenheira ótica
C002643_pt_002	Engenheiro ótico
C002644_pt_000	Litógrafo/Litógrafa
C002644_pt_001	Litógrafa
C002644_pt_002	Litógrafo
C002645_pt_000	Engenheiro especialista em tratamento de resíduos/Engenheira especialista em tratamento de resíduos
C002645_pt_001	Engenheira especialista em tratamento de resíduos
C002645_pt_002	Engenheiro especialista em tratamento de resíduos sólidos
C002646_pt_000	Segurador de crédito hipotecário/Seguradora de crédito hipotecário
C002646_pt_001	Segurador de crédito hipotecário
C002646_pt_002	Seguradora de crédito hipotecário
C002647_pt_000	Delegado de informação médica/Delegada de informação médica
C002647_pt_001	Delegada de informação médica
C002647_pt_002	Delegado de informação médica
C002648_pt_000	Designer industrial
C002648_pt_001	Designer 3D CAD
C002648_pt_002	Designer CAD
C002648_pt_003	Designer de brinquedos
C002648_pt_004	Designer de produto
C002648_pt_005	Designer ergonómica
C002648_pt_006	Designer ergonómico
C002649_pt_000	Operador de germinação/Operadora de germinação
C002649_pt_001	Operador de sistema de germinação
C002649_pt_002	Operador de tanque de germinação
C002649_pt_003	Operadora de sistema de germinação
C002649_pt_004	Operadora de tanque de germinação
C002650_pt_000	Tutor académico/Tutora académica
C002650_pt_001	Tutor académico
C002650_pt_002	Tutora académica
C002651_pt_000	Controlador de leite da exploração agrícola/Controladora de leite da exploração agrícola
C002651_pt_001	Controlador de leite da exploração agrícola
C002651_pt_002	Controladora de leite da exploração agrícola
C002651_pt_003	Especialista na supervisão de leite de exploração agrícola
C002651_pt_004	Supervisor de leite da exploração agrícola
C002651_pt_005	Supervisora de leite da exploração agrícola
C002652_pt_000	Supervisor de instalações de aquicultura/Supervisora de instalações de aquicultura
C002652_pt_001	Supervisor de instalações de aquicultura
C002652_pt_002	Supervisora de instalações de aquicultura
C002653_pt_000	Torneiro de madeiras/Torneira de madeiras
C002653_pt_001	Torneira de madeiras
C002653_pt_002	Torneiro de madeiras
C002654_pt_000	Engenheiro ambiental/Engenheira ambiental
C002654_pt_001	Engenheira ambiental
C002654_pt_002	Engenheiro ambiental
C002655_pt_000	Engenheiro especialista em distribuição de energia/Engenheira especialista em distribuição de energia
C002655_pt_001	Engenheira especialista em distribuição de energia
C002655_pt_002	Engenheiro especialista em distribuição de energia
C002656_pt_000	Operador de máquinas de fibras/ Operadora de máquinas de fibras
C002656_pt_001	Operador de máquinas de conformação
C002656_pt_002	Operador de máquinas de extrusão
C002656_pt_003	Operador de máquinas de fibras
C002656_pt_004	Operadora de máquinas de conformação
C002656_pt_005	Operadora de máquinas de extrusão
C002656_pt_006	Operadora de máquinas de fibras
C002657_pt_000	Escrivão de direito/Escrivã de direito
C002657_pt_001	Escrivã de direito
C002657_pt_002	Escrivão de direito
C002658_pt_000	Montador de filmes e vídeos/Montadora de filmes e vídeos
C002658_pt_001	Montador de filmes e vídeos
C002658_pt_002	Montadora de filmes e vídeos
C002659_pt_000	Alpinista industrial
C002659_pt_001	Trabalhador em altura
C002659_pt_002	Trabalhadora em altura
C002660_pt_000	Blogger
C002661_pt_000	Estaticista
C002661_pt_001	Analista de estatísticas
C002661_pt_002	Analista estatístico
C002661_pt_003	Especialista em estatística
C002662_pt_000	Técnico de palco/Técnica de palco
C002662_pt_001	Técnica de palco
C002662_pt_002	Técnico de palco
C002663_pt_000	Especialista em ciências biomédicas
C002663_pt_001	Especialista em biomedecina
C002663_pt_002	Investigador em ciências biomédicas
C002663_pt_003	Investigadora em ciências biomédicas
C002664_pt_000	Gerente de loja gourmet
C002664_pt_001	Gerente de charcutaria gourmet
C002665_pt_000	Procurador-geral da República/Procuradora-geral da República
C002665_pt_001	Procurador da República
C002665_pt_002	Procurador-adjunto
C002665_pt_003	Procurador-geral adjunta
C002665_pt_004	Procurador-geral adjunto
C002665_pt_005	Procurador-geral da República
C002665_pt_006	Procuradora-adjunta
C002665_pt_007	Procuradora-geral da República
C002665_pt_008	VIce Procuradora-geral da República
C002665_pt_009	Vice Procurador-geral da República
C002666_pt_000	Antropólogo/Antropóloga
C002666_pt_001	Antropóloga
C002666_pt_002	Antropólogo
C002667_pt_000	Geólogo de exploração/Geóloga de exploração
C002667_pt_001	Consultor em geologia
C002667_pt_002	Consultora em geologia
C002667_pt_003	Geóloga de exploração
C002667_pt_004	Geóloga de minas
C002667_pt_005	Geólogo de exploração
C002667_pt_006	Geólogo de minas
C002668_pt_000	Diretor de distribuição maquinaria minas construção civil/Diretora de distribuição maquinaria minas construção civil
C002668_pt_001	Diretor de distribuição maquinaria minas construção civil
C002668_pt_002	Diretor de logística maquinaria minas construção civil
C002668_pt_003	Diretora de distribuição maquinaria minas construção civil
C002668_pt_004	Diretora de logística maquinaria minas construção civil
C002669_pt_000	Operador de estampagem a quente/Operadora de estampagem a quente
C002669_pt_001	Operador de estampagem a quente
C002669_pt_002	Operadora de estampagem a quente
C002670_pt_000	Calibrador de madeira de construção/Calibradora de madeira de construção
C002670_pt_001	Calibrador de madeira de construção
C002670_pt_002	Calibradora de madeira de construção
C002671_pt_000	Montador de aeronoves/Montadora de aeronoves
C002671_pt_001	Montador de aeronoves
C002671_pt_002	Montador de estruturas de aeronaves
C002671_pt_003	Montador de sistemas mecânicos de aeronaves
C002671_pt_004	Montadora de aeronoves
C002671_pt_005	Montadora de estruturas de aeronaves
C002671_pt_006	Montadora de sistemas mecânicos de aeronaves
C002672_pt_000	Cartógrafo/Cartógrafa
C002672_pt_001	Cartógrafa
C002672_pt_002	Cartógrafo
C002673_pt_000	Diretor de desenvolvimento de produtos de couro/Diretora de desenvolvimento de produtos de couro
C002673_pt_001	Coordenador de desenvolvimento de produtos de couro
C002673_pt_002	Coordenadora de desenvolvimento de produtos de couro
C002673_pt_003	Diretor de desenvolvimento de produtos de couro
C002673_pt_004	Diretora de desenvolvimento de produtos de couro
C002674_pt_000	Operador de processamento de pagamento de salários/Operadora de processamento de pagamento de salários
C002674_pt_001	Operador de processamento de pagamento de salários
C002674_pt_002	Operadora de processamento de pagamento de salários
C002675_pt_000	Técnico de realização de ensaios de equipamento de segurança contra incêndios/Técnica de realização de ensaios de equipamento de segurança contra incêndios
C002675_pt_001	Técnica de realização de ensaios de equipamento de segurança contra incêndios
C002675_pt_002	Técnico de realização de ensaios de equipamento de segurança contra incêndios
C002676_pt_000	Professor de Filosofia/Professor de Filosofia
C002676_pt_001	Professor de Filosofia
C002676_pt_002	Professor universitário de Filosofia
C002676_pt_003	Professora de Filosofia
C002676_pt_004	Professora universitária de Filosofia
C002677_pt_000	Operador de prensas de discos de vinil/ Operadora de prensas de discos de vinil
C002677_pt_001	Operador de prensas de discos de vinil
C002677_pt_002	Operadora de prensas de discos de vinil
C002678_pt_000	Guionista gráfico/ Guionista gráfica
C002678_pt_001	Artista de guião gráfico
C002678_pt_002	Artista de storyboard
C002678_pt_003	Guionista gráfica
C002678_pt_004	Guionista gráfico
C002679_pt_000	Vendedor porta a porta/Vendedora porta a porta
C002679_pt_001	Vendedor
C002679_pt_002	Vendedor porta a porta
C002679_pt_003	Vendedora
C002679_pt_004	Vendedora porta a porta
C002680_pt_000	Engenheiro mecânico especialista em optomecânica/Engenheira mecânica especialista em optomecânica
C002680_pt_001	Engenheira mecânica especialista em optomecânica
C002680_pt_002	Engenheiro mecânico especialista em optomecânica
C002681_pt_000	Supervisor de produção de equipamento elétrico/Supervisora de produção de equipamento elétrico
C002681_pt_001	Supervisor de produção de equipamento elétrico
C002681_pt_002	Supervisora de produção de equipamento elétrico
C002682_pt_000	Gestor de previsões/Gestora de previsões
C002682_pt_001	Analista de previsões
C002682_pt_002	Gestor de previsões
C002682_pt_003	Gestora de previsões
C002683_pt_000	Supervisor de revestimento de interiores/Supervisora de revestimento de interiores
C002683_pt_001	Supervisor de revestimento com gesso
C002683_pt_002	Supervisor de revestimento de interiores
C002683_pt_003	Supervisora de revestimento com gesso
C002683_pt_004	Supervisora de revestimento de interiores
C002684_pt_000	Montador de produtos metálicos/ Montadora de produtos metálicos
C002684_pt_001	Montador de produtos metálicos
C002684_pt_002	Montadora de produtos metálicos
C002685_pt_000	Supervisor de registo de dados/Supervisora de registo de dados
C002685_pt_001	Supervisora de registo de dados
C002686_pt_000	Motorista de carro funerário
C002687_pt_000	Psicoterapeuta
C002688_pt_000	Engenheiro térmico/Engenheira térmica
C002688_pt_001	Engenheira térmico
C002688_pt_002	Engenheiro térmico
C002689_pt_000	Avaliador de património/Avaliadora de património
C002689_pt_001	Avaliador de património
C002689_pt_002	Avaliadora de património
C002690_pt_000	Diretor de importação e exportação de açúcar, chocolate e produtos de confeitaria/Diretora de importação e exportação de açúcar, chocolate e produtos de confeitaria
C002690_pt_001	Diretor de importação e exportação de açúcar, chocolate e produtos de confeitaria
C002690_pt_002	Diretor de vendas de açúcar, chocolate e produtos de confeitaria
C002690_pt_003	Diretora de importação e exportação de açúcar, chocolate e produtos de confeitaria
C002690_pt_004	Diretora de vendas de açúcar, chocolate e produtos de confeitaria
C002691_pt_000	Barbeleiro/Barbeleira
C002691_pt_001	Barbeleira
C002691_pt_002	Barbeleiro
C002692_pt_000	Técnico de produção alimentar/Técnica de produção alimentar
C002692_pt_001	Encarregada de produção alimentar
C002692_pt_002	Encarregado de produção alimentar
C002692_pt_003	Técnica de produção alimentar
C002692_pt_004	Técnico de produção alimentar
C002693_pt_000	Assistente social em empresas
C002694_pt_000	Agente de segurança aeroportuária
C002695_pt_000	Terapeuta de shiatsu
C002696_pt_000	Inspetor de aviação civil/Inspetora de aviação civil
C002696_pt_001	Inspetor de aviação civil
C002696_pt_002	Inspetora de aviação civil
C002697_pt_000	Técnico de equipamento de construção/Técnica de equipamento de construção
C002697_pt_001	Técnica de equipamento de construção
C002697_pt_002	Técnico de equipamento de construção
C002698_pt_000	Vendedor ambulante/Vendedora ambulante
C002698_pt_001	Vendedor ambulante
C002698_pt_002	Vendedor de mercado
C002698_pt_003	Vendedor de rua
C002698_pt_004	Vendedora ambulante
C002698_pt_005	Vendedora de mercado
C002698_pt_006	Vendedora de rua
C002699_pt_000	Aparelhador/Aparelhadora
C002699_pt_001	Aparelhador
C002699_pt_002	Aparelhadora
C002700_pt_000	Engenheiro especialista em acústica/Engenheira especialista em acústica
C002700_pt_001	Engenheira especialista em acústica
C002700_pt_002	Engenheiro especialista em acústica
C002701_pt_000	Escritor/Escritora
C002701_pt_001	Escritor
C002701_pt_002	Escritora
C002701_pt_003	Poeta
C002701_pt_004	Poetisa
C002701_pt_005	Romancista
C002702_pt_000	Cesteiro/Cesteira
C002702_pt_001	Cesteira
C002702_pt_002	Cesteiro
C002703_pt_000	Analista e gestor de risco/Analista e gestora de risco
C002703_pt_001	Analista e gestor de risco
C002703_pt_002	Analista e gestora de risco
C002704_pt_000	Tipógrafo/Tipógrafa
C002704_pt_001	Tipógrafa
C002704_pt_002	Tipógrafo
C002705_pt_000	Controlador de qualidade de produtos/Controladora de qualidade de produtos
C002705_pt_001	Controlador de qualidade de produtos
C002705_pt_002	Controladora de qualidade de produtos
C002706_pt_000	Operador de máquinas de fabrico de produtos de borracha/ Operadora de máquinas de fabrico de produtos de borracha
C002706_pt_001	Operador de máquinas de fabrico de produtos de borracha
C002706_pt_002	Operadora de máquinas de fabrico de produtos de borracha
C002707_pt_000	Tratador de madeira/Tratadora de madeira
C002707_pt_001	Tratador de madeira
C002707_pt_002	Tratadora de madeira
C002708_pt_000	Técnico de biometria/Técnica de biometria
C002708_pt_001	Biometrista
C002708_pt_002	Especialista em biometria
C002708_pt_003	Investigador em biometria
C002708_pt_004	Investigadora em biometria
C002708_pt_005	Técnica de biometria
C002708_pt_006	Técnico de biometria
C002709_pt_000	Operador de máquina de embalagem e enchimento/Operadora de máquina de embalagem e enchimento
C002709_pt_001	Operador de embalagem e enchimento
C002709_pt_002	Operador de máquina de embalagem e enchimento
C002709_pt_003	Operadora de embalagem e enchimento
C002709_pt_004	Operadora de máquina de embalagem e enchimento
C002710_pt_000	Inspetor de montagem de aeronaves/Inspetora de montagem de aeronaves
C002710_pt_001	Inspetor de montagem de aeronaves
C002710_pt_002	Inspetora de montagem de aeronaves
C002711_pt_000	Pasteleiro-chefe/Pasteleira-chefe
C002711_pt_001	Chefe de pastelaria
C002711_pt_002	Pasteleira chefe
C002711_pt_003	Pasteleira-chefe
C002711_pt_004	Pasteleiro chefe
C002711_pt_005	Pasteleiro-chefe
C002712_pt_000	Programador de bases de dados/Programadora de bases de dados
C002712_pt_001	Codificador de bases de dados
C002712_pt_002	Codificadora de bases de dados
C002712_pt_003	Criador de bases de dados
C002712_pt_004	Criadora de bases de dados
C002712_pt_005	Programador de bases de dados
C002712_pt_006	Programadora de bases de dados
C002713_pt_000	Supervisor da indústria de montagem/Supervisora da indústria de montagem
C002713_pt_001	Supervisor da indústria de montagem
C002713_pt_002	Supervisora da indústria de montagem
C002714_pt_000	Diretor de importação e exportação de bens de consumo doméstico/Diretora de importação e exportação de bens de consumo doméstico
C002714_pt_001	Diretor de importação e exportação de bens de consumo doméstico
C002714_pt_002	Diretor de vendas de bens de consumo doméstico
C002714_pt_003	Diretora de importação e exportação de bens de consumo doméstico
C002714_pt_004	Diretora de vendas de bens de consumo doméstico
C002715_pt_000	Diretor de pedreira/Diretora de pedreira
C002715_pt_001	Diretor de pedreira
C002715_pt_002	Diretora de pedreira
C002716_pt_000	Técnico de teledeteção/Técnica de teledeteção
C002716_pt_001	Técnica de teledeteção
C002716_pt_002	Técnico de teledeteção
C002717_pt_000	Copywriter de publicidade
C002717_pt_001	Copywriter
C002718_pt_000	Especialista em efeitos especiais
C002718_pt_001	Técnica de efeitos especiais
C002718_pt_002	Técnico de efeitos especiais
C002719_pt_000	Consultor de TIC/Consultora de TIC
C002719_pt_001	Consultor de TIC
C002719_pt_002	Consultor de informática
C002719_pt_003	Consultor de tecnologias de informação e comunicação
C002719_pt_004	Consultora de TIC
C002719_pt_005	Consultora de informática
C002719_pt_006	Consultora de tecnologias de informação e comunicação
C002719_pt_007	Especialista em informática
C002719_pt_008	Perita em informática
C002719_pt_009	Perito em informática
C002720_pt_000	Supervisor de grua/Supervisora de grua
C002720_pt_001	Supervisor de grua
C002720_pt_002	Supervisora de grua
C002721_pt_000	Operador de sala de controlo de instalações da indústria química/Operadora de sala de controlo de instalações da indústria química
C002721_pt_001	Operador de sala de controlo de instalações da indústria química
C002721_pt_002	Operadora de sala de controlo de instalações da indústria química
C002722_pt_000	Gerente de stand de automóveis
C002722_pt_001	Gerente de showroom de autocaravanas
C002722_pt_002	Gerente de showroom de automóveis
C002722_pt_003	Gestor de vendas automóveis
C002722_pt_004	Gestora de vendas automóveis
C002723_pt_000	Tenente
C002723_pt_001	Tenente das Forças Armadas
C002724_pt_000	Produtor de ovinos e caprinos/Produtora de ovinos e caprinos
C002724_pt_001	Ccriador de ovelhas
C002724_pt_002	Criador de ovelhas e cabras
C002724_pt_003	Criadora de ovelhas
C002724_pt_004	Criadora de ovelhas e cabras
C002724_pt_005	Ovinicultor
C002724_pt_006	Ovinicultora
C002724_pt_007	Ovinocultor
C002724_pt_008	Ovinocultora
C002724_pt_009	Produtor de ovinos e caprinos
C002724_pt_010	Produtora de ovinos e caprinos
C002725_pt_000	Coordenador de manutenção aeronáutica/Coordenadora de manutenção aeronáutica
C002725_pt_001	Coordenador de manutenção aeronáutica
C002725_pt_002	Coordenadora de manutenção aeronáutica
C002726_pt_000	Diretor de importação e exportação de peixes e mariscos/Diretora de importação e exportação de peixes e mariscos
C002726_pt_001	Diretor de importação e exportação de peixes e mariscos
C002726_pt_002	Diretor de vendas de peixes e mariscos
C002726_pt_003	Diretora de importação e exportação de peixes e mariscos
C002726_pt_004	Diretora de vendas de peixes e mariscos
C002727_pt_000	Controlador de painéis de controlo/Controladora de painéis de controlo
C002727_pt_001	Controlador de painéis de controlo
C002727_pt_002	Controladora de painéis de controlo
C002728_pt_000	Engenheiro de energia/Engenheira de energia
C002728_pt_001	Engenheira de energia
C002728_pt_002	Engenheiro de energia
C002729_pt_000	Trabalhador em isolamentos acústicos e térmicos/Trabalhadora em isolamentos acústicos e térmicos
C002729_pt_001	Instalador de isolamentos
C002729_pt_002	Instaladora de isolamentos
C002729_pt_003	Trabalhador em isolamentos acústicos
C002729_pt_004	Trabalhador em isolamentos acústicos e térmicos
C002729_pt_005	Trabalhador em isolamentos térmicos
C002729_pt_006	Trabalhadora em isolamentos acústicos
C002729_pt_007	Trabalhadora em isolamentos acústicos e térmicos
C002729_pt_008	Trabalhadora em isolamentos térmicos
C002730_pt_000	Especialista de back office
C002731_pt_000	Operador de reator nuclear/Operadora de reator nuclear
C002731_pt_001	Operador de reator nuclear
C002731_pt_002	Operadora de reator nuclear
C002732_pt_000	Vitralista
C002733_pt_000	Instrutor de ténis/Instrutora de ténis
C002733_pt_001	Instrutor de ténis
C002733_pt_002	Instrutora de ténis
C002734_pt_000	Técnico de engenharia mecânica/Técnica de engenharia mecânica
C002734_pt_001	Técnica de engenharia mecânica
C002734_pt_002	Técnico de engenharia mecânica
C002735_pt_000	Operador de tratamento anticorrosivo/ Operadora de tratamento anticorrosivo
C002735_pt_001	Operador de proteção anticorrosiva
C002735_pt_002	Operador de tratamento anticorrosivo
C002735_pt_003	Operadora de proteção anticorrosiva
C002735_pt_004	Operadora de tratamento anticorrosivo
C002736_pt_000	Técnico de ensaios de motores de aeronaves/Técnica de ensaios de motores de aeronaves
C002736_pt_001	Técnica de ensaios de motores de aeronaves
C002736_pt_002	Técnica de manutenção
C002736_pt_003	Técnico de ensaios de motores de aeronaves
C002736_pt_004	Técnico de manutenção
C002737_pt_000	Técnico de dispositivos móveis/Técnica de dispositivos móveis
C002737_pt_001	Técnica de aparelhos móveis
C002737_pt_002	Técnica de dispositivos móveis
C002737_pt_003	Técnico de aparelhos móveis
C002737_pt_004	Técnico de dispositivos móveis
C002738_pt_000	Engenheiro de minas especialista em sistemas de ventilação/Engenheira de minas especialista em sistemas de ventilação
C002738_pt_001	Engenheira de minas
C002738_pt_002	Engenheira de minas especialista em sistemas de ventilação
C002738_pt_003	Engenheiro de minas
C002738_pt_004	Engenheiro de minas especialista em sistemas de ventilação
C002739_pt_000	Inspetor de materiais perigosos/Inspetora de materiais perigosos
C002739_pt_001	Inspetor de resíduos perigosos
C002739_pt_002	Inspetora de resíduos perigosos
C002740_pt_000	Diretor de estação ferroviária/Diretora de estação ferroviária
C002740_pt_001	Diretor de estação ferroviária
C002740_pt_002	Diretora de estação ferroviária
C002741_pt_000	Instrutor de voo/Instrutora de voo
C002741_pt_001	Instrutor de voo
C002741_pt_002	Instrutora de voo
C002742_pt_000	Costureiro de guarda-roupa/Costureira de guarda-roupa
C002742_pt_001	Costureira de guarda-roupa
C002742_pt_002	Costureiro de guarda-roupa
C002743_pt_000	Tecelão de tapetes/Tecelã de tapetes
C002743_pt_001	Tecelã de tapetes
C002743_pt_002	Tecelão de tapetes
C002744_pt_000	Analista de risco de crédito
C002745_pt_000	Analista de política fiscal
C002745_pt_001	Analista fiscal
C002745_pt_002	Consultor fiscal
C002745_pt_003	Consultora fiscal
C002746_pt_000	Professor de Ciências Médicas/Professora de Ciências Médicas
C002746_pt_001	Professor de Ciências Médicas
C002746_pt_002	Professor de Geriatria
C002746_pt_003	Professor de Histologia e Embriologia
C002746_pt_004	Professor de Patologia
C002746_pt_005	Professor de Pediatria
C002746_pt_006	Professor universitário de Ciências Médicas
C002746_pt_007	Professora de Ciências Médicas
C002746_pt_008	Professora de Geriatria
C002746_pt_009	Professora de Histologia e Embriologia
C002746_pt_010	Professora de Patologia
C002746_pt_011	Professora de Pediatria
C002746_pt_012	Professora universitária de Ciências Médicas
C002747_pt_000	Diretor de instalações/Diretora de instalações
C002747_pt_001	Coordenador de instalações
C002747_pt_002	Coordenadora de instalações
C002747_pt_003	Diretor de instalações
C002747_pt_004	Diretora de instalações
C002747_pt_005	Supervisor de instalações
C002747_pt_006	Supervisor de manutenção de edifício
C002747_pt_007	Supervisora de instalações
C002747_pt_008	Supervisora de manutenção de edifício
C002748_pt_000	Agente de transações imobiliárias
C002748_pt_001	Title closer
C002749_pt_000	Classificador de produtos alimentares/Classificadora de produtos alimentares
C002749_pt_001	Classificador de produtos alimentares
C002749_pt_002	Classificadora de produtos alimentares
C002750_pt_000	Funcionário de tribunal com poderes coercivos/Funcionária de tribunal com poderes coercivos
C002750_pt_001	Funcionária de tribunal com poderes coercivos
C002750_pt_002	Funcionário de tribunal com poderes coercivos
C002751_pt_000	Guia
C002751_pt_001	Guia de turismo
C002751_pt_002	Guia turística
C002751_pt_003	Guia turístico
C002751_pt_004	Técnica em guia de tursimo
C002751_pt_005	Técnico em guia de turismo
C002752_pt_000	Técnico de reparações de equipamento de escritório/Técnica de reparações de equipamento de escritório
C002752_pt_001	Técnica de reparações de equipamento de escritório
C002752_pt_002	Técnico de reparações de equipamento de escritório
C002753_pt_000	Diretor de importação e exportação de animais vivos/Diretora de importação e exportação de animais vivos
C002753_pt_001	Diretor de importação e exportação de animais vivos
C002753_pt_002	Diretor de vendas animais vivos
C002753_pt_003	Diretora de importação e exportação de animais vivos
C002753_pt_004	Diretora de vendas animais vivos
C002754_pt_000	Empregado de confeção e venda de refeições em companhia aérea/Empregada de confeção e venda de refeições em companhia aérea
C002754_pt_001	Assistente de venda
C002754_pt_002	Empregada de confeção e venda de refeições em companhia aérea
C002754_pt_003	Empregado de confeção e venda de refeições em companhia aérea
C002755_pt_000	Colocador de telhados/Colocadora de telhados
C002755_pt_001	Carpinteira de telhados
C002755_pt_002	Carpinteiro de telhados
C002755_pt_003	Colocador de telhados
C002755_pt_004	Colocadora de telhados
C002755_pt_005	Latoeira
C002755_pt_006	Latoeiro
