Q000001	Vojni namještenik/vojna namještenica
Q001536	zidar šamoter, specijalizirani/zidarica šamoterica, specijalizirana
Q001537	zidar/zidarica kamenom
Q001538	zidar kamenom, specijalizirani/zidarica kamenom, specijalizirana
Q001539	zidar/zidarica dimnjaka
Q001540	zidar dimnjaka, specijalizirani/zidarica dimnjaka, specijalizirana
Q001541	betonirac/betonirka
Q001542	teracer/teracerka
Q001543	tesar/tesarica
Q001544	građevinski stolar, majstor/građevinska stolarka, majstorica
Q001545	roletar/roletarka
Q001546	roletar, majstor/roletarka, majstorica
Q001547	stolar/stolarka za scensku opremu, specijalizirani/specijalizirana
Q001548	graditelj/graditeljica drvenih brodova
Q001549	graditelj/graditeljica drvenih brodova, majstor/majstorica
Q001550	brodostolar/brodostolarka
Q001551	graditejl/graditeljica lakih letjelica
Q001552	građevinar/građevinarka za održavanje
Q001553	asfalter/asfalterka
Q001554	cestar/cestarica
Q001555	monter/monterka građevinskih skela
Q001556	pomoćni brodoskelar/pomoćna brodoskelarica
Q001557	pružni radnik/pružna radnica
Q001558	figurant/figurantica
Q001559	nažigač/nažigačica
Q001560	krovopokrivač/krovopokrivačica
Q001561	krovopokrivač, majstor/krovopokrivačica, majstorica
Q001562	polagač/polagačica keramičkih pločica
Q001563	gipsar/gipsarica
Q001564	hidroizolater/hidroizolaterka
Q001565	termoizolater/termoizolaterka
Q001566	izolater/izolaterka
Q001567	vodoinstalater/vodoinstalaterka
Q001568	plinoinstalater/plinoinstalaterka
Q001569	vodoinstalater i plinoinstalater/vodoinstalaterka i plinoinstalaterka
Q001570	brodocjevar/brodocjevarica
Q001571	brodocjevar, specijalizirani/brodocjevarica, specijalizirana
Q001572	monter/monterka cjevovoda
Q001573	elektroinstalater, majstor/elektroinstalaterka, majstorica
Q001574	električar/električarka održavanja
Q001575	električar održavanja, specijalizirani/električarka održavanja, specijalizirana
Q001576	električar/električarka pozornice i studija
Q001577	električar/električarka pozornice i studija, specijalizirani/specijalizirana
Q001578	kućni majstor/kućna majstorica
Q001579	ličilac/ličiteljica
Q001580	brusač i ličilac/brusačica i ličiteljica konstrukcija
Q001581	autolakirer/autolakirerica
Q001582	polagač/polagačica zidnih tapeta
Q001583	dimnjačar/dimnjačarka
Q001584	ljevački kalupar/ljevačka kaluparica
Q001585	jezgrar/jezgrarica ljevačkih kalupa
Q001586	strojni ljevački kalupar/strojna ljevačka kaluparica
Q001587	ljevač/ljevačica kovina
Q001588	zavarivač/zavarivačica plinom
Q001589	elektrozavarivač/elektrozavarivačica
Q001590	zavarivač/zavarivačica
Q001591	lemitelj/lemiteljica
Q001592	limar/limarica
Q001593	autolimar/autolimarica
Q001594	autolimar, majstor/autolimarica, majstorica
Q001595	aviolimar/aviolimarica
Q001596	aviolimar, specijalizirani/aviolimarica, specijalizirana
Q001597	ocrtavač/ocrtavačica limova
Q001598	kotlar/kotlarica
Q001599	monter/monterka metalnih konstrukcija
Q001600	elektrolučni žljebač i brusač/elektrolučna žljebačica i brusačica
Q001601	obrađivač/obrađivačica konstrukcijskog željeza
Q001602	brodotraser/brodotraserica
Q001603	brodotraser, specijalizirani/brodotraserica, specijalizirana
Q001604	brodolimar/brodolimarica
Q001605	brodolimar, specijalizirani/brodolimarica, specijalizirana
Q001606	brodomonter/brodomonterka
Q001607	brodomonter, specijalizirani/brodomonterka, specijalizirana
Q001608	graditelj/graditeljica metalnih brodova
Q001609	graditelj/graditeljica metalnih brodova, majstor/majstorica
Q001610	monter/monterka čelične užadi
Q001611	strojni kovač/strojna kovačica
Q001612	kalilac
Q001613	kalilac, specijalizirani
Q001614	potkivač/potkivačica
Q001615	alatničar/alatničarka za mjerne pribore, specijalizirani/specijalizirana
Q001616	alatničar/alatničarka za stezne pribore, specijalizirani/specijalizirana
Q001617	puškar/puškarica
Q001618	bravar/bravarica
Q001619	kovinomodelar/kovinomodelarka
Q001620	namještač/namještačica sastavljenih reznih alata, specijalizirani/specijalizirana
Q001621	namještač/namještačica specijalnih alatnih strojeva, specijalizirani/specijalizirana
Q001622	kovinotokar/kovinotokarica
Q001623	kovinoglodač/kovinoglodačica
Q001624	kovinoglodač, specijalizirani/kovinoglodačica, specijalizirana
Q001625	horizontalni kovinobušač/horizontalna kovinobušačica
Q001626	horizontalni kovinobušač, specijalizirani/horizontalna kovinobušačica, specijalizirana
Q001627	blanjač/blanjačica kovina
Q001628	kovinobrusač/kovinobrusačica
Q001629	kovinobrusač, specijalizirani/kovinobrusačica, specijalizirana
Q001630	prešač/prešačica kovina
Q001631	lepač/lepačica
Q001632	serviser/serviserka dijamantnih pila
Q001633	mehaničar/mehaničarka motocikla
Q001634	mehaničar motocikla, majstor/mehaničarka motocikla, majstorica
Q001635	automehaničar/automehaničarka
Q001636	automehaničar, majstor/automehaničarka, majstorica
Q001637	mehaničar/mehaničarka zrakoplova i motora, specijalizirani/specijalizirana
Q001638	monter/monterka procesne opreme
Q001639	monter/monterka procesne opreme, specijalizirani/specijalizirana
Q001640	monter/monterka energetske opreme, specijalizirani/specijalizirana
Q001641	monter/monterka industrijskih transportnih sredstava
Q001642	monter/monterka industrijskih transportnih sredstava, specijalizirani/specijalizirana
Q001643	monter/monterka dizala
Q001644	monter/monterka alatnih strojeva
Q001645	pomoćni monter/pomoćna monterka strojeva
Q001646	mehaničar/mehaničarka procesne opreme
Q001647	mehaničar/mehaničarka procesne opreme, specijalizirani/specijalizirana
Q001648	mehaničar/mehaničarka opreme za grijanje
Q001649	mehaničar/mehaničarka opreme za grijanje, specijalizirani/specijalizirana
Q001650	mehaničar/mehaničarka za rashladne i klimatizacijske uređaje
Q001651	mehaničar/mehaničarka alatnih strojeva
Q001652	mehaničar/mehaničarka brodskih strojeva
Q001653	mehaničar/mehaničarka strojeva za preradu nemetala
Q001654	mehaničar/mehaničarka strojeva za preradu nemetala, specijalizirani/specijalizirana
Q001655	mehaničar/mehaničarka za hidrauliku i pneumatiku
Q001656	mehaničar/mehaničarka tekstilnih strojeva
Q001657	mehaničar/mehaničarka građevinskih strojeva
Q001658	mehaničar/mehaničarka rudarskih strojeva
Q001659	mehaničar/mehaničarka poljoprivredne mehanizacije
Q001660	mehaničar/mehaničarka prekrcajne mehanizacije
Q001661	mehaničar/mehaničarka industrijske opreme
Q001662	pomoćni strojobravar/pomoćna strojobravarica
Q001663	strojobravar, majstor/strojobravarica, majstorica
Q001664	serviser/serviserka uređaja za natakanje goriva
Q001665	serviser/serviserka uređaja za natakanje goriva, specijalizirani/specijalizirana
Q001666	serviser/serviserka vatrogasnih aparata
Q001667	elektromonter/elektromonterka energetskih strojeva i uređaja
Q001668	elektromonter/elektromonterka energetskih strojeva i uređaja, specijalizirani/specijalizirana
Q001669	monter/monterka električnih strojeva i opreme
Q001670	elektromonter/elektromonterka dizala
Q001671	elektromehaničar/elektromehaničarka za elektroenergetiku
Q001672	elektromehaničar/elektromehaničarka za elektroenergetiku, specijalizirani/specijalizirana
Q001673	elektromehaničar/elektromehaničarka željezničke vuče i vozila
Q001674	elektromehaničar/elektromehaničarka za mjerne instrumente i sklopove
Q001675	elektromehaničar/elektromehaničarka za mjerne instrumente i sklopove, specijalizirani/specijalizirana
Q001676	elektromehaničar/elektromehaničarka za kućanske aparate
Q001677	elektromehaničar/elektromehaničarka proizvodnih strojeva
Q001678	elektromehaničar/elektromehaničarka proizvodnih strojeva, specijalizirani/specijalizirana
Q001679	elektromonter/elektromonterka
Q001680	elektromehaničar/elektromehaničarka
Q001681	elektromehaničar, specijalizirani/elektromehaničarka, specijalizirana
Q001682	monter/monterka elektronike instrumenata, specijalizirani/specijalizirana
Q001683	monter/monterka medicinske elektronike, specijalizirani/specijalizirana
Q001684	monter/monterka audiovizualne elektronike, specijalizirani/specijalizirana
Q001685	monter/monterka računalne elektronike, specijalizirani/specijalizirana
Q001686	monter/monterka elektroničke opreme
Q001687	mehaničar/mehaničarka za elektroničke mjerne i upravljačke uređaje, specijalizirani/specijalizirana
Q001688	mehaničar/mehaničarka elektronike proizvodnih strojeva
Q001689	mehaničar/mehaničarka elektronike proizvodnih strojeva, specijalizirani/specijalizirana
Q001690	mehaničar/mehaničarka medicinske elektronike
Q001691	mehaničar/mehaničarka elektronike uredskih strojeva
Q001692	mehaničar/mehaničarka zrakoplovne elektronike, specijalizirani/specijalizirana
Q001693	mehaničar/mehaničarka audiotehnike i videotehnike
Q001694	mehaničar/mehaničarka studijskih tonskih i videouređaja
Q001695	monter/monterka električnih mreža
Q001696	urar/urarica
Q001697	mehaničar/mehaničarka za baždarenje mjernih instrumenata
Q001698	izrađivač/izrađivačica kirurških instrumenata
Q001699	izrađivač/izrađivačica ortopedskih pomagala, majstor/majstorica
Q001700	instrumentalni optičar, majstor/instrumentalna optičarka, majstorica
Q001701	finomehaničar/finomehaničarka
Q001702	pomoćni glazbalar/pomoćna glazbalarka
Q001703	glazbalar, majstor/glazbalarka, majstorica za tambure
Q001704	glazbalar, majstor/glazbalarka, majstorica za gudaća glazbala
Q001705	glazbalar, majstor/glazbalarka, majstorica za harmonike
Q001706	glazbalar, majstor/glazbalarka, majstorica za puhaća glazbala
Q001707	glazbalar, majstor/glazbalarka, majstorica za udaraća glazbala
Q001708	glazbalar, majstor/glazbalarka, majstorica za orgulje
Q001709	zlatar/zlatarica
Q001710	draguljar/draguljarka
Q001711	bižuterist/bižuteristica
Q001712	filigranist/filigranistica
Q001713	valjač/valjačica plemenitih kovina
Q001714	modelar gipsa/modelarka gipsa
Q001715	modelar gipsa, specijalizirani/modelarka gipsa, specijalizirana
Q001716	lončar/lončarica
Q001717	ljevač/ljevačica keramičkih proizvoda
Q001718	razvrstavač/razvrstavačica keramičkih proizvoda
Q001719	keramičar/keramičarka
Q001720	izrađivač/izrađivačica sredstava za poliranje i brušenje
Q001721	staklopuhač/staklopuhačica
Q001722	izrađivač/izrađivačica leća
Q001723	brusač/brusačica kristalnog stakla
Q001724	brusač/brusačica kristalnog stakla, specijalizirani/specijalizirana
Q001725	dekorater/dekoraterka stakla
Q001726	posrebrivač/posrebrivačica ogledala
Q001727	dekorater/dekoraterka drva
Q001728	dekorativni ličilac/dekorativna ličiteljica
Q001729	graver pečatorezac/graverka pečatoreskinja
Q001730	ručni slagar/ručna slagarica
Q001731	izrađivač/izrađivačica ploče za Brailleovo pismo
Q001732	knjigotiskar/knjigotiskarica
Q001733	fleksografski tiskar/fleksografska tiskarica
Q001734	ofset tiskar/tiskarica
Q001735	tiskar/tiskarica višebojnih otisaka u fleksotisku
Q001736	tiskar/tiskarica višebojnih otisaka u bakrotisku
Q001737	grafičar slagar/monter // grafičarka slagarka/monterka
Q001738	ručni graver/ručna graverka tiskarskih uzoraka u nemetalu
Q001739	tiskarski graver, specijalizirani/tiskarska graverka, specijalizirana
Q001740	kemigraf/kemigrafkinja
Q001741	reprofotograf/reprofotografkinja
Q001742	fotograf/fotografkinja
Q001743	fotograf, majstor/fotografkinja, majstorica
Q001744	knjigoveža mekog uveza
Q001745	knjigoveža tvrdog uveza
Q001746	knjigoveža za ručni uvez
Q001747	knjigoveža
Q001748	grafičar/grafičarka završne proizvodnje, specijalizirani/specijalizirana
Q001749	ručni izrađivač/ručna izrađivačica proizvoda od papira
Q001750	tiskar/tiskarica na tekstilu
Q001751	tehnički crtač/tehnička crtačica
Q001752	kemijski laborant/kemijska laborantica
Q001753	mesar/mesarica
Q001754	pekar/pekarica
Q001755	pekar, majstor/pekarica, majstorica
Q001756	slastičar/slastičarka
Q001757	slastičar, majstor/slastičarka, majstorica
Q001758	licitar/licitarka
Q001759	tjesteninar/tjesteninarka
Q001760	proizvođač/proizvođačica jestivih ulja
Q001761	proizvođač/proizvođačica alkoholnih pića
Q001762	proizvođač/proizvođačica bezalkoholnih pića
Q001763	ocjenjivač/ocjenjivačica hrane
Q001764	paritelj/pariteljica drva
Q001765	pomoćni kuhar/pomoćna kuharica šibe
Q001766	kuhar/kuharica šibe
Q001767	sušitelj/sušiteljica drva
Q001768	impregnator/impregnatorica drva
Q001769	pomoćni stolar/pomoćna stolarica
Q001770	stolar/stolarica stilskog pokućstva
Q001771	majstor/majstorica stilskog pokućstva
Q001772	stolar, dekorni i umjetnički/stolarica, dekorna i umjetnička
Q001773	stolar, dekorni i umjetnički, majstor/stolarica, dekorna i umjetnička, majstorica
Q001774	restaurator/restauratorica drvenih predmeta, specijalizirani/specijalizirana
Q001775	stolar/stolarica za šablone
Q001776	drvorezbar/drvorezbarica
Q001777	izrađivač/izrađivačica drvene sportske opreme
Q001778	izrađivač/izrađivačica alata za grafičku ambalažu
Q001779	izrađivač/izrađivačica okvira za slike
Q001780	bojadisar/bojadisarka drvenih proizvoda
Q001781	bačvar/bačvarica
Q001782	kolar/kolarica
Q001783	kolar, majstor/kolarica, majstorica
Q001784	namještač/namještačica drvoobrađivačkih strojeva
Q001785	drvotokar/drvotokarica
Q001786	pletač/pletačica košara
Q001787	pletač/pletačica pokućstva
Q001788	pletač/pletačica košaračkih uzoraka
Q001789	četkar/četkarica
Q001790	metlar/metlarica
Q001791	tkalac/tkalja
Q001792	pletač/pletačica
Q001793	čipkar/čipkarica
Q001794	izrađivač/izrađivačica tapiserija
Q001795	izrađivač/izrađivačica narodnih nošnji
Q001796	užar i izrađivač/užarica i izrađivačica vrpca
Q001797	krojač/krojačica ženske odjeće, majstor/majstorica
Q001798	krojač/krojačica muške odjeće, majstor/majstorica
Q001799	krojač rublja, majstor/krojačica rublja, majstorica
Q001800	krojač/krojačica u scenografiji, specijalizirani/specijalizirana
Q001801	klobučar/klobučarka
Q001802	izrađivač/izrađivačica šablona za odjeću, specijalizirani/specijalizirana
Q001803	krojitelj/krojiteljica lake odjeće
Q001804	krojitelj/krojiteljica teške odjeće
Q001805	krojitelj/krojiteljica trikotažne odjeće
Q001806	krojitelj/krojiteljica materijala za tapeciranje
Q001807	krojitelj/krojiteljica tekstila
Q001808	pomoćni krojitelj/pomoćna krojiteljica podstave obuće
Q001809	šivač/šivačica tekstila
Q001810	šivač/šivačica krzna
Q001811	šivač/šivačica
Q001812	kišobranar/kišobranarka
Q001813	vezilja
Q001814	pomoćni šivač/pomoćna šivačica podstave obuće
Q001815	šivač/šivačica gornjišta obuće
Q001816	tapetar/tapetarka
Q001817	tapetar/tapetarka vozila
Q001818	izrađivač/izrađivačica posteljine
Q001819	izrađivač/izrađivačica krzna
Q001820	obućar, majstor/obućarka, majstorica
Q001821	izrađivač/izrađivačica gornjišta obuće
Q001822	ortopedski obućar/ortopedska obućarka
Q001823	izrađivač/izrađivačica gornjišta ortopedske obuće
Q001824	pomoćni izrađivač/pomoćna izrađivačica donjišta obuće
Q001825	graditelj/graditeljica plastičnih plovila
Q001826	graditelj/graditeljica plastičnih plovila, majstor/majstorica
Q001827	rukovatelj/rukovateljica jamskom utovarnom mehanizacijom
Q001828	pomoćni rukovatelj/pomoćna rukovateljica postrojenjem za separaciju
Q001829	rukovatelj/rukovateljica postrojenjem za separaciju
Q001830	rukovatelj/rukovateljica postrojenjem za oplemenjivanje mineralnih sirovina
Q001831	klinaš/klinašica
Q001832	tornjaš/tornjašica
Q001833	rukovatelj/rukovateljica proizvodnim postrojenjem za naftu i plin, specijalizirani/specijalizirana
Q001834	bušač/bušačica pri geomehaničkim istraživanjima
Q001835	bušač/bušačica geoloških istražnih bušotina
Q001836	rukovatelj/rukovateljica uređajima peći za ferolegure
Q001837	pomoćni bušač/pomoćna bušačica otvora metalurške peći
Q001838	bušač/bušačica otvora metalurške peći
Q001839	pomoćni rukovatelj/pomoćna rukovateljica postrojenjima za lijevanje čelika
Q001840	rukovatelj/rukovateljica valjaoničkim uređajima za toplo valjanje
Q001841	rukovatelj/rukovateljica valjaoničkim uređajima za toplo valjanje, specijalizirani/specijalizirana
Q001842	rukovatelj/rukovateljica valjaoničkim uređajima za hladno valjanje
Q001843	rukovatelj/rukovateljica uređajem za toplinsku obradu kovina
Q001844	rukovatelj/rukovateljica uređajima za vučenje čelika
Q001845	rukovatelj/rukovateljica uređajima za izvlačenje žice
Q001846	rukovatelj/rukovateljica pećima za staklo
Q001847	rukovatelj/rukovateljica pećima za keramiku
Q001848	rukovatelj/rukovateljica uređajem za staklene proizvode
Q001849	pomoćni rukovatelj/pomoćna rukovateljica uređajem za proizvodnju abraziva
Q001850	rukovatelj/rukovateljica uređajem za proizvodnju abraziva
Q001851	poslužitelj/poslužiteljica peći za fritu
Q001852	rukovatelj/rukovateljica peći za fritu
Q001853	rukovatelj/rukovateljica uređajem za pripremu glazure
Q001854	rukovatelj/rukovateljica postrojenjem za izradu staklenih vlakana
Q001855	rukovatelj/rukovateljica strojem za miješanje abrazivne smjese
Q001856	rukovatelj/rukovateljica strojem za dijeljenje drva bez iverja
Q001857	pomoćni priprematelj/pomoćna pripremateljica oblovine
Q001858	rukovatelj/rukovateljica strojem za otkoravanje
Q001859	pomoćni radnik/pomoćna radnica primarne prerade drva
Q001860	rukovatelj/rukovateljica višelisnom kružnom pilom
Q001861	rukovatelj/rukovateljica strojem za iveranje drva
Q001862	pomoćni razvrstavač/pomoćna razvrstavačica drvene građe
Q001863	rukovatelj/rukovateljica prešom za sljepljivanje drvenih vlakana
Q001864	rukovatelj/rukovateljica uređajem za sljepljivanje rubova drva
Q001865	poslužitelj/poslužiteljica postrojenja za izradu parketa
Q001866	rukovatelj/rukovateljica strojem za izradu pragova
Q001867	rukovatelj/rukovateljica strojem za obradu pluta
Q001868	rukovatelj/rukovateljica brojčano upravljanim strojevima za primarnu preradu drva
Q001869	rukovatelj/rukovateljica postrojenjem za razvlaknjivanje drva
Q001870	rukovatelj/rukovateljica uređajem za iskuhavanje drva
Q001871	rukovatelj/rukovateljica autoklavom za sječku
Q001872	rukovatelj/rukovateljica uređajem za izbjeljivanje celuloze
Q001873	rukovatelj/rukovateljica digestorom za pulpu
Q001874	rukovatelj/rukovateljica mlinom za papirnu smjesu
Q001875	rukovatelj/rukovateljica uređajem za preradu otpadnog luga
Q001876	pomoćni rukovatelj/pomoćna rukovateljica strojem za proizvodnju papira
Q001877	rukovatelj/rukovateljica strojem za proizvodnju papira
Q001878	rukovatelj/rukovateljica strojem za proizvodnju papira, specijalizirani/specijalizirana
Q001879	pomoćni rukovatelj/pomoćna rukovateljica strojem za doradu papira
Q001880	rukovatelj/rukovateljica strojem za doradu papira
Q001881	pomoćni rukovatelj/pomoćna rukovateljica drobilicom za kemikalije
Q001882	rukovatelj/rukovateljica drobilicom za kemikalije
Q001883	pomoćni rukovatelj/pomoćna rukovateljica mlinom za kemikalije
Q001884	rukovatelj/rukovateljica mlinom za kemikalije
Q001885	pomoćni rukovatelj/pomoćna rukovateljica dispergatorom kemikalija
Q001886	rukovatelj/rukovateljica dispergatorom kemikalija
Q001887	rukovatelj/rukovateljica uređajem za otapanje kemikalija
Q001888	rukovatelj/rukovateljica uređajem za zamješavanje kemikalija
Q001889	pomoćni rukovatelj/pomoćna rukovateljica uređajem za granuliranje kemikalija
Q001890	rukovatelj/rukovateljica uređajem za granuliranje kemikalija
Q001891	rukovatelj/rukovateljica uređajem za kuhanje kemikalija
Q001892	pomoćni rukovatelj/pomoćna rukovateljica sušarom za kemikalije
Q001893	rukovatelj/rukovateljica sušarom za kemikalije
Q001894	pomoćni rukovatelj/pomoćna rukovateljica ekstruderom za kemikalije
Q001895	rukovatelj/rukovateljica ekstruderom za kemikalije
Q001896	rukovatelj/rukovateljica uređajem za kalciniranje
Q001897	pomoćni rukovatelj/pomoćna rukovateljica sterilizatorom
Q001898	pomoćni rukovatelj/pomoćna rukovateljica peći za vapno
Q001899	rukovatelj/rukovateljica peći za vapno
Q001900	pomoćni rukovatelj/pomoćna rukovateljica peći za gips
Q001901	rukovatelj/rukovateljica peći za gips
Q001902	pomoćni rukovatelj/pomoćna rukovateljica uređajima za proizvodnju elektroda
Q001903	rukovatelj/rukovateljica uređajima za proizvodnju elektroda
Q001904	pomoćni rukovatelj/pomoćna rukovateljica strojem za bitumensko-katranske proizvode
Q001905	rukovatelj/rukovateljica uređajem za bitumensko-katranske proizvode
Q001906	rukovatelj/rukovateljica strojevima za toplinsku obradu kemikalija
Q001907	pomoćni rukovatelj/pomoćna rukovateljica filtrima za kemikalije
Q001908	rukovatelj/rukovateljica filtrima za kemikalije
Q001909	pomoćni rukovatelj/pomoćna rukovateljica sitima za kemikalije
Q001910	rukovatelj/rukovateljica sitima za kemikalije
Q001911	pomoćni rukovatelj/pomoćna rukovateljica ekstraktorom kemikalija
Q001912	rukovatelj/rukovateljica ekstraktorom kemikalija
Q001913	rukovatelj/rukovateljica destilatorom
Q001914	rukovatelj/rukovateljica uređajem za frakcijsku destilaciju drva
Q001915	rukovatelj/rukovateljica uređajem za suhu destilaciju drva
Q001916	pomoćni rukovatelj/pomoćna rukovateljica uređajem za sintezu kemikalija
Q001917	rukovatelj/rukovateljica uređajem za sintezu kemikalija
Q001918	pomoćni rukovatelj/pomoćna rukovateljica reaktorskim postrojenjem za proizvodnju kemikalija
Q001919	rukovatelj/rukovateljica reaktorskim postrojenjem za proizvodnju kemikalija
Q001920	rukovatelj/rukovateljica cjevovodnotransportnim uređajima
Q001921	rukovatelj/rukovateljica postrojenjima u preradi nafte
Q001922	rafinerijski punitelj/rafinerijska puniteljica
Q001923	rukovatelj/rukovateljica uređajima za oplemenjivanje plina
Q001924	rukovatelj/rukovateljica postrojenjem za oplemenjivanje plina, specijalizirani/specijalizirana
Q001925	pomoćni rukovatelj/pomoćna rukovateljica uređajem za proizvodnju sintetičkih vlakana
Q001926	poslužitelj/poslužiteljica uređaja na petrokemijskim postrojenjima
Q001927	rukovatelj/rukovateljica uređajima na petrokemijskim postrojenjima
Q001928	rukovatelj/rukovateljica petrokemijskim postrojenjem, specijalizirani/specijalizirana
Q001929	rukovatelj/rukovateljica uređajem za elektrolizu vode
Q001930	rukovatelj/rukovateljica uređajem za bijeljenje kemikalija
Q001931	pomoćni rukovatelj/pomoćna rukovateljica prešama za kemikalije
Q001932	rukovatelj/rukovateljica prešama za kemikalije
Q001933	rukovatelj/rukovateljica pećima za sagorijevanje kemikalija
Q001934	rukovatelj/rukovateljica opremom za preradu radioaktivnog materijala
Q001935	rukovatelj/rukovateljica parnim turbinama
Q001936	rukovatelj/rukovateljica vodnim turbinama
Q001937	strojar/strojarka motora s unutrašnjim izgaranjem, specijalizirani/specijalizirana
Q001938	rukovatelj/rukovateljica uklopnim postrojenjem
Q001939	rukovatelj/rukovateljica uklopnim postrojenjem, specijalizirani/specijalizirana
Q001940	rukovatelj/rukovateljica parnim kotlovima s ručnim loženjem
Q001941	rukovatelj/rukovateljica parnim kotlovima s mehaniziranim loženjem
Q001942	strojar/strojarka parnih kotlova s mehaniziranim loženjem, specijalizirani/specijalizirana
Q001943	strojar/strojarka parnih kotlova s automatskom komandom, specijalizirani/specijalizirana
Q001944	strojar/strojarka parnih strojeva
Q001945	rukovatelj/rukovateljica pokretnim parnim kotlovima
Q001946	strojar/strojarka pokretnih parnih kotlova, specijalizirani/specijalizirana
Q001947	rukovatelj/rukovateljica spalioničkim postrojenjem
Q001948	rukovatelj/rukovateljica postrojenjem za pripremu vode
Q001949	rukovatelj/rukovateljica postrojenjem za pročišćavanje vode
Q001950	rukovatelj/rukovateljica crpkama
Q001951	strojar/strojarka crpnih stanica, specijalizirani/specijalizirana (osim nafte i prirodnog plina)
Q001952	higijeničar/higijeničarka vodoopskrbe
Q001953	strojar/strojarka kompresorskih stanica, specijalizirani/specijalizirana
Q001954	rukovatelj/rukovateljica rashladnim postrojenjem
Q001955	strojar/strojarka rashladnog postrojenja, specijalizirani/specijalizirana
Q001956	rukovatelj/rukovateljica postrojenjem za ventilaciju i klimatizaciju
Q001957	rukovatelj/rukovateljica filtrom za pročišćavanje plinova
Q001958	rukovatelj/rukovateljica robotom, specijalizirani/specijalizirana
Q001959	rukovatelj/rukovateljica automatiziranom montažnom linijom, specijalizirani/specijalizirana
Q001960	rukovatelj/rukovateljica strojem za piljenje kovina
Q001961	rukovatelj/rukovateljica strojnim škarama za rezanje kovina
Q001962	rukovatelj/rukovateljica tokarilicom kovina
Q001963	rukovatelj/rukovateljica glodalicom kovina
Q001964	rukovatelj/rukovateljica strojem za graviranje kovina
Q001965	rukovatelj/rukovateljica strojem za glodanje žljebova
Q001966	rukovatelj/rukovateljica blanjalicom kovina
Q001967	rukovatelj/rukovateljica strojem za brušenje kovina
Q001968	rukovatelj/rukovateljica uređajem za poliranje kovina
Q001969	rukovatelj/rukovateljica strojem za honanje
Q001970	rukovatelj/rukovateljica oštrilicom alata
Q001971	rukovatelj/rukovateljica uređajem za zavarivanje plamenom
Q001972	rukovatelj/rukovateljica uređajem za rezanje plamenom
Q001973	rukovatelj/rukovateljica strojem za jetkanje kovina
Q001974	rukovatelj/rukovateljica strojem za proizvodnju kotlova
Q001975	rukovatelj/rukovateljica uređajem za izradu metalne galanterije
Q001976	rukovatelj/rukovateljica uređajem za izradu žičanih mreža i tkanina
Q001977	rukovatelj/rukovateljica strojem za proizvodnju nakita
Q001978	rukovatelj/rukovateljica strojem za elektroerodiranje
Q001979	rukovatelj/rukovateljica brojčano upravljanim strojem za obradu kovina
Q001980	rukovatelj/rukovateljica uređajem za zamješavanje betona
Q001981	rukovatelj/rukovateljica strojem za lijevanje betona
Q001982	rukovatelj/rukovateljica uređajem za izradu betonskih proizvoda
Q001983	rukovatelj/rukovateljica uređajem za izradu proizvoda od porobetona
Q001984	rukovatelj/rukovateljica uređajem za azbestnocementne proizvode
Q001985	rukovatelj/rukovateljica uređajem za gipsane ploče
Q001986	rukovatelj/rukovateljica uređajem za proizvode od polimernog betona
Q001987	rukovatelj/rukovateljica linijom za proizvodnju kamene vune
Q001988	pomoćni rukovatelj/pomoćna rukovateljica strojevima za obradu kamena
Q001989	rukovatelj/rukovateljica strojevima za obradu kamena
Q001990	rukovatelj/rukovateljica strojem za farmaceutske proizvode
Q001991	rukovatelj/rukovateljica strojem za kozmetičke proizvode
Q001992	rukovatelj/rukovateljica postrojenjem za kozmetičke proizvode, specijalizirani/specijalizirana
Q001993	pomoćni rukovatelj/pomoćna rukovateljica strojem za peraća sredstva
Q001994	rukovatelj/rukovateljica postrojenjem za peraća sredstva, specijalizirani/specijalizirana
Q001995	rukovatelj/rukovateljica destilatorom aroma i parfema
Q001996	rukovatelj/rukovateljica uređajem za eksploziv
Q001997	pomoćni rukovatelj/pomoćna rukovateljica uređajem za streljivo
Q001998	rukovatelj/rukovateljica uređajem za streljivo, specijalizirani/specijalizirana
Q001999	sastavljač streljiva, specijalizirani/sastavljačica streljiva, specijalizirana
Q002000	rukovatelj/rukovateljica uređajem za pirotehničke proizvode
Q002001	rukovatelj/rukovateljica uređajem za pripremu smjese za šibice
Q002002	rukovatelj/rukovateljica uređajem za izradu šibica
Q002003	rukovatelj/rukovateljica uređajem za pjeskarenje kovina
Q002004	rukovatelj/rukovateljica uređajem za odmašćivanje kovina
Q002005	rukovatelj/rukovateljica uređajem za uranjanje kovina
Q002006	galvanizer/galvanizerka
Q002007	rukovatelj/rukovateljica uređajem za eloksiranje
Q002008	rukovatelj/rukovateljica uređajem za fosfatiziranje kovina
Q002009	rukovatelj/rukovateljica uređajem za elektrolizu
Q002010	rukovatelj/rukovateljica uređajem za emajliranje
Q002011	rukovatelj/rukovateljica uređajem za razvijanje filmova
Q002012	rukovatelj/rukovateljica uređajem za izradu fotografija
Q002013	rukovatelj/rukovateljica uređajem za proizvodnju olovaka
Q002014	rukovatelj/rukovateljica uređajem za proizvodnju školskog pribora
Q002015	pomoćni rukovatelj/pomoćna rukovateljica strojevima za proizvodnju soli
Q002016	rukovatelj/rukovateljica strojevima za proizvodnju soli
Q002017	pomoćni rukovatelj/pomoćna rukovateljica uređajem za vulkaniziranje
