C000001_sk_000	Príslušníci ozbrojených síl
C003013_sk_000	riaditeľ/riaditeľka základnej školy
C003013_sk_001	riaditeľ základnej školy
C003013_sk_002	riaditeľka základnej školy
C003014_sk_000	remeselník/remeselníčka konečnej úpravy skla
C003014_sk_001	fazetovač skla
C003014_sk_002	fazetovačka skla
C003014_sk_003	remeselník konečnej úpravy skla
C003014_sk_004	remeselníčka konečnej úpravy skla
C003015_sk_000	pracovník/pracovníčka výroby vermútu
C003015_sk_001	pracovník prípravy vermútu
C003015_sk_002	pracovník výroby vermútu
C003015_sk_003	pracovníčka prípravy vermútu
C003015_sk_004	pracovníčka výroby vermútu
C003015_sk_005	výrobca vermútu
C003015_sk_006	výrobkyňa vermútu
C003016_sk_000	koordinátor/koordinátorka zelenej kávy
C003016_sk_001	koordinátor nespracovanej kávy
C003016_sk_002	koordinátor neupraženej kávy
C003016_sk_003	koordinátor surovej kávy
C003016_sk_004	koordinátor zelenej kávy
C003016_sk_005	koordinátorka nespracovanej kávy
C003016_sk_006	koordinátorka neupraženej kávy
C003016_sk_007	koordinátorka surovej kávy
C003016_sk_008	koordinátorka zelenej kávy
C003017_sk_000	účtovný analytik/účtovná analytička
C003017_sk_001	účtovná analytička
C003017_sk_002	účtovný analytik
C003018_sk_000	pracovník/pracovníčka obsluhy zdvíhacích zariadení zo zeme
C003018_sk_001	pracovník obsluhy zdvíhacích zariadení zo zeme
C003018_sk_002	pracovníčka obsluhy zdvíhacích zariadení zo zeme
C003019_sk_000	operátor/operátorka buldozéra
C003019_sk_001	operátor buldozéra
C003019_sk_002	operátorka buldozéra
C003020_sk_000	odborný referent/odborná referentka
C003020_sk_001	odborná referentka
C003020_sk_002	odborný referent
C003021_sk_000	pracovník kovošrotu/pracovníčka kovošotu
C003021_sk_001	pracovník kovošotu
C003021_sk_002	pracovníčka kovošotu
C003022_sk_000	čatár/čatárka
C003022_sk_001	rotná
C003022_sk_002	rotný
C003022_sk_003	čatár
C003022_sk_004	čatárka
C003023_sk_000	operátor/operátorka zhrnovača
C003023_sk_001	operátor skrejpera
C003023_sk_002	operátor zhrnovača
C003023_sk_003	operátorka skrejpera
C003023_sk_004	operátorka zhrnovača
C003024_sk_000	riaditeľ/riaditeľka elektrárne
C003024_sk_001	manažér elektrárne
C003024_sk_002	manažérka elektrárne
C003024_sk_003	riaditeľ elektrárne
C003024_sk_004	riaditeľka elektrárne
C003025_sk_000	poradca/poradkyňa v oblasti ochrany spotrebiteľa
C003025_sk_001	poradca v oblasti ochrany spotrebiteľa
C003025_sk_002	poradkyňa v oblasti ochrany spotrebiteľa
C003026_sk_000	montážnik/montážnička káblových zväzkov
C003026_sk_001	montážnik káblových zväzkov
C003026_sk_002	montážnička káblových zväzkov
C003027_sk_000	upratovač/upratovačka vagónov
C003027_sk_001	upratovač vagónov
C003027_sk_002	upratovač vo vlaku
C003027_sk_003	upratovačka vagónov
C003027_sk_004	upratovačka vo vlaku
C003028_sk_000	špecialista/špecialistka na estetickú stránku produktov
C003028_sk_001	art director
C003028_sk_002	art directorka
C003028_sk_003	filmová architektka
C003028_sk_004	filmový architekt
C003028_sk_005	scénická výtvarníčka
C003028_sk_006	scénický výtvarník
C003028_sk_007	špecialista na estetickú stránku produktov
C003028_sk_008	špecialistka na estetickú stránku produktov
C003029_sk_000	upratovač/upratovačka v domácnosti
C003029_sk_001	upratovač v domácnosti
C003029_sk_002	upratovačka v domácnosti
C003030_sk_000	šéfredaktor/šéfredaktorka
C003030_sk_001	šéfredaktor
C003030_sk_002	šéfredaktorka
C003031_sk_000	supervízor/supervízorka v zariadení na spracovanie plynu
C003031_sk_001	supervízor v zariadení na spracovanie plynu
C003031_sk_002	supervízorka v zariadení na spracovanie plynu
C003032_sk_000	energetický analytik/energetická analytička
C003032_sk_001	energetická analytička
C003032_sk_002	energetický analytik
C003033_sk_000	učiteľ/učiteľka dramatického prejavu
C003033_sk_001	učiteľ dramatického prejavu
C003033_sk_002	učiteľka dramatického prejavu
C003034_sk_000	nákupca/nákupkyňa kostýmov a materiálov na kostýmy
C003034_sk_001	nákupca kostýmov a materiálov na kostýmy
C003034_sk_002	nákupkyňa kostýmov a materiálov na kostýmy
C003035_sk_000	kvalitár/kvalitárka vo výrobe
C003035_sk_001	kvalitár vo výrobe
C003035_sk_002	kvalitárka vo výrobe
C003036_sk_000	riaditeľ/riaditeľka múzea
C003036_sk_001	riaditeľ múzea
C003036_sk_002	riaditeľka múzea
C003037_sk_000	kurátor/kurátorka v botanickej záhrade
C003037_sk_001	kurátor v botanickej záhrade
C003037_sk_002	kurátorka v botanickej záhrade
C003038_sk_000	manažér/manažérka dovozu a vývozu odevov a obuvi
C003038_sk_001	manažér dovozu a vývozu odevov a obuvi
C003038_sk_002	manažérka dovozu a vývozu odevov a obuvi
C003039_sk_000	predavač/predavačka tlače a papiernického tovaru
C003039_sk_001	predavač tlače a papiernického tovaru
C003039_sk_002	predavačka tlače a papiernického tovaru
C003040_sk_000	hlavný lodný technik/hlavná lodná technička
C003040_sk_001	hlavná lodná technička
C003040_sk_002	hlavný lodný technik
C003041_sk_000	čalúnnik/čalúnnička nábytku
C003041_sk_001	čalúnnik nábytku
C003041_sk_002	čalúnnička nábytku
C003042_sk_000	hlavný audítor/hlavná audítorka
C003042_sk_001	hlavná audítorka
C003042_sk_002	hlavný audítor
C003043_sk_000	manažér/manažérka komunikácie
C003043_sk_001	komunikačná manažérka
C003043_sk_002	komunikačný manažér
C003043_sk_003	manažér komunikácie
C003043_sk_004	manažérka komunikácie
C003044_sk_000	skladník kompletár/skladníčka kompletárka
C003044_sk_001	asistent prípravy tovaru na rozvoz
C003044_sk_002	asistentka prípravy tovaru na rozvoz
C003044_sk_003	picker
C003044_sk_004	skladník kompletár
C003044_sk_005	skladníčka kompletárka
C003045_sk_000	IT audítor/IT audítorka
C003045_sk_001	IT audítor
C003045_sk_002	IT audítorka
C003046_sk_000	koordinátor/koordinátorka zvárania
C003046_sk_001	koordinátor zvárania
C003046_sk_002	koordinátorka zvárania
C003047_sk_000	veliteľ/veliteľka útvaru policajného zboru
C003047_sk_001	veliteľ útvaru policajného zboru
C003047_sk_002	veliteľka útvaru policajného zboru
C003048_sk_000	komunitný sociálny pracovník/komunitná sociálna pracovníčka
C003048_sk_001	komunitná sociálna pracovníčka
C003048_sk_002	komunitný sociálny pracovník
C003049_sk_000	ručný šič/ručná šička obuvi
C003049_sk_001	manuálna šička obuvi
C003049_sk_002	manuálny šič obuvi
C003049_sk_003	ručná šička obuvi
C003049_sk_004	ručný šič obuvi
C003050_sk_000	operátor/operátorka máčacej vane
C003050_sk_001	operátor máčacej vane
C003050_sk_002	operátorka máčacej vane
C003051_sk_000	riaditeľ/riaditeľka kultúrneho strediska
C003051_sk_001	riaditeľ kultúrneho strediska
C003051_sk_002	riaditeľka kultúrneho strediska
C003052_sk_000	produkčný/produkčná v rozhlasovej tvorbe
C003052_sk_001	produkčná v rozhlasovej tvorbe
C003052_sk_002	produkčný v rozhlasovej tvorbe
C003053_sk_000	zvukový umelec/zvuková umelkyňa
C003053_sk_001	zvuková umelkyňa
C003053_sk_002	zvukový umelec
C003054_sk_000	skenerista/skeneristka
C003054_sk_001	operátor zariadení na skenovanie
C003054_sk_002	operátorka zariadení na skenovanie
C003054_sk_003	skenerista
C003054_sk_004	skeneristka
C003055_sk_000	veľkoobchodný sprostredkovateľ/veľkoobchodná sprostredkovateľka v oblasti odevov a obuvi
C003055_sk_001	veľkoobchodná sprostredkovateľka v oblasti odevov a obuvi
C003055_sk_002	veľkoobchodný sprostredkovateľ v oblasti odevov a obuvi
C003056_sk_000	operátor/operátorka klincovej zbíjačky
C003056_sk_001	obsluhovač klincovej zbíjačky
C003056_sk_002	obsluhovačka klincovej zbíjačky
C003056_sk_003	operátor klincovej zbíjačky
C003056_sk_004	operátorka klincovej zbíjačky
C003057_sk_000	supervízor/supervízorka montáže tabuľového skla
C003057_sk_001	supervízor montáže tabuľového skla
C003057_sk_002	supervízorka montáže tabuľového skla
C003058_sk_000	manažér/manažérka v oblasti dôchodkového sporenia
C003058_sk_001	manažér v oblasti dôchodkového sporenia
C003058_sk_002	manažérka v oblasti dôchodkového sporenia
C003059_sk_000	relaxačný terapeut/relaxačná terapeutka
C003059_sk_001	relaxačná terapeutka
C003059_sk_002	relaxačný terapeut
C003060_sk_000	realitný lízingový manažér/realitná lízingová manažérka
C003060_sk_001	manažér pre prenájom alebo lízing nehnuteľnosti
C003060_sk_002	manažérka pre prenájom alebo lízing nehnuteľnosti
C003060_sk_003	realitná lízingová manažérka
C003060_sk_004	realitný lízingový manažér
C003061_sk_000	špecialista/špecialistka v oblasti sietí IKT
C003061_sk_001	konfigurátor siete
C003061_sk_002	konfigurátorka siete
C003061_sk_003	odborník na konfiguráciu siete
C003061_sk_004	odborníčka na konfiguráciu siete
C003061_sk_005	sieťová vývojárka
C003061_sk_006	sieťový vývojár
C003061_sk_007	špecialista v oblasti sietí
C003061_sk_008	špecialistka v oblasti sietí
C003062_sk_000	operátor/operátorka prípravy tlače
C003062_sk_001	operátor prípravy tlače
C003062_sk_002	operátorka prípravy tlače
C003062_sk_003	pracovník prípravy tlače
C003062_sk_004	pracovníčka prípravy tlače
C003063_sk_000	operátor/operátorka stroja na výrobu matracov
C003063_sk_001	operátor stroja na výrobu matracov
C003063_sk_002	operátorka stroja na výrobu matracov
C003064_sk_000	zbormajster/zbormajsterka
C003064_sk_001	zbormajster
C003064_sk_002	zbormajsterka
C003065_sk_000	podiater/podiatrička
C003065_sk_001	podiater
C003065_sk_002	podiatrička
C003065_sk_003	podologička
C003065_sk_004	podológ
C003066_sk_000	manažér/manažérka v oblasti riadenia vzdušného priestoru
C003066_sk_001	manažér v oblasti riadenia vzdušného priestoru
C003066_sk_002	manažérka v oblasti riadenia vzdušného priestoru
C003067_sk_000	riadiaci pracovník/riadiaca pracovníčka v oblasti sociálneho zabezpečenia
C003067_sk_001	riadiaca pracovníčka v oblasti sociálneho zabezpečenia
C003067_sk_002	riadiaci pracovník v oblasti sociálneho zabezpečenia
C003068_sk_000	umelecký model/umelecká modelka
C003068_sk_001	umelecká modelka
C003068_sk_002	umelecký model
C003069_sk_000	mechanik žeriavov/mechanička žeriavov
C003069_sk_001	mechanik žeriavov
C003069_sk_002	mechanička žeriavov
C003070_sk_000	brusič/brusička kovov
C003070_sk_001	brusič a leštič kovov
C003070_sk_002	brusič kovov
C003070_sk_003	brusička a leštička kovov
C003070_sk_004	brusička kovov
C003071_sk_000	údržbár/údržbárka telekomunikačných zariadení
C003071_sk_001	technik telekomunikačných zariadení
C003071_sk_002	technička telekomunikačných zariadení
C003071_sk_003	telekomunikačná údržbárka
C003071_sk_004	telekomunikačný údržbár
C003071_sk_005	údržbár telekomunikačného vybavenia
C003071_sk_006	údržbár telekomunikačných zariadení
C003071_sk_007	údržbárka telekomunikačného vybavenia
C003071_sk_008	údržbárka telekomunikačných zariadení
C003072_sk_000	softvérový architekt/softvérová architektka
C003072_sk_001	architekt aplikácií
C003072_sk_002	architektka aplikácií
C003072_sk_003	programová architektka
C003072_sk_004	programový architekt
C003072_sk_005	softvérová architektka
C003072_sk_006	softvérová dizajnérka
C003072_sk_007	softvérový architekt
C003072_sk_008	softvérový dizajnér
C003073_sk_000	výrobca/výrobkyňa huslí
C003073_sk_001	výrobca huslí
C003073_sk_002	výrobkyňa huslí
C003074_sk_000	dispečer/dispečerka v celulózo-papierenskej výrobe
C003074_sk_001	dispečer celulózky
C003074_sk_002	dispečer v celulózo-papierenskej výrobe
C003074_sk_003	dispečerka celulózky
C003074_sk_004	dispečerka v celulózo-papierenskej výrobe
C003075_sk_000	riaditeľ/riaditeľka maklérskej firmy
C003075_sk_001	obchodník s cennými papiermi
C003075_sk_002	obchodníčka s cennými papiermi
C003075_sk_003	riaditeľ maklérskej firmy
C003075_sk_004	riaditeľka maklérskej firmy
C003076_sk_000	laborant cytológ/laborantka cytologička
C003076_sk_001	laborant cytológ
C003076_sk_002	laborantka cytologička
C003077_sk_000	inštruktor/inštruktorka palubných sprievodcov
C003077_sk_001	inštruktor palubných sprievodcov
C003077_sk_002	inštruktorka palubných sprievodcov
C003078_sk_000	prevádzkovateľ /prevádzkovateľka lotérie
C003078_sk_001	prevádzkovateľka lotérie
C003078_sk_002	prevázkovateľ lotérie
C003079_sk_000	dentálny hygienik/dentálna hygienička
C003079_sk_001	dentálna hygienička
C003079_sk_002	dentálny hygienik
C003080_sk_000	mechanik/mechanička v presnej strojárskej výrobe
C003080_sk_001	jemná mechanička
C003080_sk_002	jemný mechanik
C003080_sk_003	mechanik presných prístrojov
C003080_sk_004	mechanik v presnej strojárskej výrobe
C003080_sk_005	mechanička presných prístrojov
C003080_sk_006	mechanička v presnej strojárskej výrobe
C003080_sk_007	výrobca súčiastok do presných prístrojov
C003080_sk_008	výrobkyňa súčiastok do presných prístrojov
C003081_sk_000	špecialista/špecialistka predaja v odvetví textilných strojov
C003081_sk_001	špecialista predaja v odvetví textilných strojov
C003081_sk_002	špecialistka predaja v odvetví textilných strojov
C003082_sk_000	návrhár/návrhárka odevov
C003082_sk_001	návrhár odevov
C003082_sk_002	návrhárka odevov
C003083_sk_000	návrhár/návrhárka kostýmov
C003083_sk_001	kostýmová návrhárka
C003083_sk_002	kostýmový návrhár
C003083_sk_003	návrhár kostýmov
C003083_sk_004	návrhárka kostýmov
C003084_sk_000	psychologický asistent/psychologická asistentka
C003084_sk_001	psychologická asistentka
C003084_sk_002	psychologický asistent
C003085_sk_000	klubový hostes/klubová hosteska
C003085_sk_001	hostes v nočnom podniku
C003085_sk_002	hosteska v nočnom podniku
C003085_sk_003	klubová hosteska
C003085_sk_004	klubový hostes
C003086_sk_000	triedič/triedička koží, usní a kožiek
C003086_sk_001	triedič koží, usní a kožiek
C003086_sk_002	triedička koží, usní a kožiek
C003087_sk_000	chovateľ/chovateľka hydiny
C003087_sk_001	chovateľ hrabavej a vodnej hydiny
C003087_sk_002	chovateľ husí
C003087_sk_003	chovateľ hydiny
C003087_sk_004	chovateľ sliepok
C003087_sk_005	chovateľka hrabavej a vodnej hydiny
C003087_sk_006	chovateľka husí
C003087_sk_007	chovateľka hydiny
C003087_sk_008	chovateľka sliepok
C003087_sk_009	hydinár
C003087_sk_010	hydinárka
C003087_sk_011	majiteľ hydinárskej farmy
C003087_sk_012	majiteľka hydinárskej farmy
C003087_sk_013	odborník v chove hydiny
C003087_sk_014	odborníčka v chove hydiny
C003088_sk_000	notár/notárka
C003088_sk_001	notár
C003088_sk_002	notárka
C003089_sk_000	koordinátor/koordinátorka vzdelávacích programov
C003089_sk_001	koordinátor vzdelávacích programov
C003089_sk_002	koordinátorka vzdelávacích programov
C003090_sk_000	korepetítor/korepetítorka
C003090_sk_001	korepetítor
C003090_sk_002	korepetítorka
C003091_sk_000	realitný agent špecializovaný na prenájom/realitná agentka špecializovaná na prenájom
C003091_sk_001	realitná agentka špecializovaná na prenájom
C003091_sk_002	realitný agent špecializovaný na prenájom
C003091_sk_003	sprostredkovateľ prenájmu nehnuteľností
C003091_sk_004	sprostredkovateľka prenájmu nehnuteľností
C003092_sk_000	operátor/operátorka zariadenia na spracovanie zemného plynu
C003092_sk_001	operátor zariadenia na spracovanie zemného plynu
C003092_sk_002	operátorka zariadenia na spracovanie zemného plynu
C003093_sk_000	technik v oblasti optomechaniky/technička v oblasti optomechaniky
C003093_sk_001	technik v oblasti optomechaniky
C003093_sk_002	technička v oblasti optomechaniky
C003094_sk_000	manažér/manažérka firemného bankovníctva
C003094_sk_001	manažér firemného bankovníctva
C003094_sk_002	manažér korporátneho bankovníctva
C003094_sk_003	manažér podnikového bankovníctva
C003094_sk_004	manažérka firemného bankovníctva
C003094_sk_005	manažérka korporátneho bankovníctva
C003094_sk_006	manažérka podnikového bankovníctva
C003095_sk_000	kreatívny riaditeľ/kreatívna riaditeľka
C003095_sk_001	kreatívna riaditeľka
C003095_sk_002	kreatívny riaditeľ
C003096_sk_000	odborník/odborníčka na jablčné víno
C003096_sk_001	expert na jablčný mušt
C003096_sk_002	expertka na jablčný mušt
C003096_sk_003	odborník na jablčné víno
C003096_sk_004	odborníčka na jablčné víno
C003096_sk_005	znalec cidra
C003096_sk_006	znalkyňa cidra
C003097_sk_000	štatistik referent/štatistička referentka
C003097_sk_001	štatistik referent
C003097_sk_002	štatistička referentka
C003098_sk_000	manažér/manažérka v oblasti právnych služieb
C003098_sk_001	manažér v oblasti právnych služieb
C003098_sk_002	manažér v právnych službách
C003098_sk_003	manažérka v oblasti právnych služieb
C003098_sk_004	manažérka v právnych službách
C003098_sk_005	vedúca oddelenia právnych služieb
C003098_sk_006	vedúca právneho servisu
C003098_sk_007	vedúci oddelenia právnych služieb
C003098_sk_008	vedúci právneho servisu
C003099_sk_000	operátor/operátorka kvasných procesov
C003099_sk_001	operátor kvasných procesov
C003099_sk_002	operátorka kvasných procesov
C003100_sk_000	novinár/novinárka kultúrno-spoločenskej rubriky
C003100_sk_001	novinár kultúrno-spoločenskej rubriky
C003100_sk_002	novinárka kultúrno-spoločenskej rubriky
C003101_sk_000	dokladač/dokladačka tovaru
C003101_sk_001	dokladač tovaru
C003101_sk_002	dokladačka tovaru
C003102_sk_000	riadiaci pracovník/riadiaca pracovníčka záhradnej výroby
C003102_sk_001	koordinátor rastlinnej výroby
C003102_sk_002	koordinátorka rastlinnej výroby
C003102_sk_003	manažér záhradníckej výroby
C003102_sk_004	manažérka záhradníckej výroby
C003102_sk_005	riadiaca pracovníčka záhradnej výroby
C003102_sk_006	riadiaci pracovník záhradnej výroby
C003102_sk_007	špecialista v oblasti záhradníctva
C003102_sk_008	špecialistka v oblasti záhradníctva
C003103_sk_000	kriminovinár/kriminovinárka
C003103_sk_001	kriminovinár
C003103_sk_002	kriminovinárka
C003104_sk_000	veľkoobchodný sprostredkovateľ/veľkoobchodná sprostredkovateľka v oblasti dreva a stavebných materiálov
C003104_sk_001	veľkoobchodná sprostredkovateľka v oblasti dreva a stavebných materiálov
C003104_sk_002	veľkoobchodný sprostredkovateľ v oblasti dreva a stavebných materiálov
C003105_sk_000	vedúci/vedúca sekcie na strednej škole
C003105_sk_001	vedúca sekcie na strednej škole
C003106_sk_000	asistent/asistentka zdravotnej starostlivosti
C003106_sk_001	asistent zdravotnej starostlivosti
C003106_sk_002	asistentka zdravotnej starostlivosti
C003107_sk_000	špecialista/špecialistka v oblasti dovozu a vývozu odpadu a šrotu
C003107_sk_001	špecialista v oblasti dovozu a vývozu odpadu a šrotu
C003107_sk_002	špecialistka v oblasti dovozu a vývozu odpadu a šrotu
C003108_sk_000	strojník/strojníčka na vrtnej plošine
C003108_sk_001	strojník na vrtnej plošine
C003108_sk_002	strojníčka na vrtnej plošine
C003109_sk_000	inšpektor/inšpektorka cigár
C003109_sk_001	cigarová inšpektorka
C003109_sk_002	cigarový inšpektor
C003109_sk_003	inšpektor cigár
C003109_sk_004	inšpektorka cigár
C003109_sk_005	kontrolór cigár
C003109_sk_006	kontrolórka cigár
C003110_sk_000	špecialista v oblasti ľudských zdrojov/špecialistka v oblasti ľudských zdrojov
C003110_sk_001	špecialista v oblasti ľudských zdrojov
C003110_sk_002	špecialistka v oblasti ľudských zdrojov
C003111_sk_000	dátový analytik/dátová analytička
C003111_sk_001	analytik dátovej kvality
C003111_sk_002	analytik údajov
C003111_sk_003	analytička dátovej kvality
C003111_sk_004	analytička údajov
C003111_sk_005	dátová analytička
C003111_sk_006	dátová špecialistka
C003111_sk_007	dátový analytik
C003111_sk_008	dátový špecialista
C003112_sk_000	asistent /asistentka v salóne kráse
C003112_sk_001	asistent v kozmetickom salóne
C003112_sk_002	asistent v salóne krásy
C003112_sk_003	asistentka v kozmetickom salóne
C003112_sk_004	asistentka v salóne krásy
C003113_sk_000	obslužný pracovník/obslužná pracovníčka zariadenia na tvarovanie čokolády
C003113_sk_001	obsluha zariadenia na formovanie čokolády
C003113_sk_002	obslužná pracovníčka zariadenia na tvarovanie čokolády
C003113_sk_003	obslužný pracovník zariadenia na tvarovanie čokolády
C003113_sk_004	pracovník pri formovaní čokolády
C003113_sk_005	pracovníčka pri formovaní čokolády
C003114_sk_000	operátor/operátorka čistiarne odpadových vôd
C003114_sk_001	operátor čistiarne odpadových vôd
C003114_sk_002	operátorka čistiarne odpadových vôd
C003115_sk_000	montážnik/montážnička elektromechanických zariadení
C003115_sk_001	montážnik elektromechanických zariadení
C003115_sk_002	montážnička elektromechanických zariadení
C003116_sk_000	manažér/manažérka distribúcie železiarskeho tovaru, inštalatérskych a vykurovacích zariadení a potrieb
C003116_sk_001	manažér distribúcie železiarskeho tovaru, inštalatérskych a vykurovacích zariadení a potrieb
C003116_sk_002	manažérka distribúcie železiarskeho tovaru, inštalatérskych a vykurovacích zariadení a potrieb
C003117_sk_000	vedúci/vedúca prevádzky kotvenia klietok v akvakultúre
C003117_sk_001	vedúca prevádzky kotvenia klietok v akvakultúre
C003117_sk_002	vedúci prevádzky kotvenia klietok v akvakultúre
C003118_sk_000	kóšer porážač a vykosťovač/kóšer porážačka a vykosťovačka
C003118_sk_001	kóšer porážač a vykosťovač
C003118_sk_002	kóšer porážačka a vykosťovačka
C003119_sk_000	druhý dôstojník/druhá dôstojníčka
C003119_sk_001	druhá dôstojníčka
C003119_sk_002	druhý dôstojník
C003120_sk_000	kóšer mäsiar/kóšer mäsiarka
C003120_sk_001	kóšer mäsiar
C003120_sk_002	kóšer mäsiarka
C003121_sk_000	banský záchranár/banská záchranárka
C003121_sk_001	banská záchranárka
C003121_sk_002	banský záchranár
C003122_sk_000	odborný referent/odborná referentka pre pre ochranu verejného zdravia
C003122_sk_001	odborná referentka pre pre ochranu verejného zdravia
C003122_sk_002	odborný referent pre pre ochranu verejného zdravia
C003123_sk_000	vedúci/vedúca predajne kozmetiky a parfumov
C003123_sk_001	vedúca parfumérie
C003123_sk_002	vedúca predajne kozmetiky a parfumov
C003123_sk_003	vedúci parfumérie
C003123_sk_004	vedúci predajne kozmetiky a parfumov
C003124_sk_000	kozmonaut/kozmonautka
C003124_sk_001	kozmonaut
C003124_sk_002	kozmonautka
C003125_sk_000	operátor/operátorka lisu na lisovanie za sucha
C003125_sk_001	operátor lisu na lisovanie za sucha
C003125_sk_002	operátorka lisu na lisovanie za sucha
C003126_sk_000	vývojár kožiarskych výrobkov/vývojárka kožiarskych výrobkov
C003126_sk_001	vývojár kožiarskych výrobkov
C003126_sk_002	vývojárka kožiarskych výrobkov
C003127_sk_000	pomocný pódiový technik/pomocná pódiová technička
C003127_sk_001	pomocná pódiová technička
C003127_sk_002	pomocný pódiový technik
C003128_sk_000	pomocník/pomocnica v domácnosti
C003128_sk_001	pomocnica v domácnosti
C003128_sk_002	pomocník v domácnosti
C003128_sk_003	spoločník
C003128_sk_004	spoločníčka
C003129_sk_000	dizajnér/dizajnérka digitálnych médií
C003129_sk_001	architekt digitálnych médií
C003129_sk_002	architektka digitálnych médií
C003129_sk_003	dizajnér digitálnych multimédií
C003129_sk_004	dizajnér digitálnych médií
C003129_sk_005	dizajnér nových médií
C003129_sk_006	dizajnérka digitálnych multimédií
C003129_sk_007	dizajnérka digitálnych médií
C003129_sk_008	dizajnérka nových médií
C003130_sk_000	operátor/operátorka stroja na výrobu parfumov
C003130_sk_001	operátor stroja na výrobu parfémov
C003130_sk_002	operátorka stroja na výrobu parfémov
C003131_sk_000	digitálny umelec/digitálna umelkyňa
C003131_sk_001	digitálna umelkyňa
C003131_sk_002	digitálny umelec
C003132_sk_000	módny poradca/módna poradkyňa
C003132_sk_001	módna poradkyňa
C003132_sk_002	módny poradca
C003132_sk_003	osobná štylistka
C003132_sk_004	osobný štylista
C003133_sk_000	čašník/čašníčka
C003133_sk_001	obsluha
C003133_sk_002	servírka
C003133_sk_003	čašník
C003133_sk_004	čašníčka
C003134_sk_000	riaditeľ/riaditeľka reštaurácie
C003134_sk_001	manažér gastronomického úseku
C003134_sk_002	manažérka gastronomického úseku
C003134_sk_003	riaditeľ reštaurácie
C003134_sk_004	riaditeľ stravovacieho úseku
C003134_sk_005	riaditeľka reštaurácie
C003134_sk_006	riaditeľka stravovacieho úseku
C003135_sk_000	vedúci/vedúca predstaviteľka územného celku
C003135_sk_001	guvernérka provincie
C003135_sk_002	guverér provincie
C003135_sk_003	vedúca predstaviteľka územného celku
C003135_sk_004	vedúci predstaviteľ územného celku
C003136_sk_000	operátor/operátorka frézy na drevo
C003136_sk_001	operátor frézy na drevo
C003136_sk_002	operátorka frézy na drevo
C003137_sk_000	tvorca/tvorkyňa digitálnych hier
C003137_sk_001	dizajnér počítačových hier
C003137_sk_002	dizajnérka počítačových hier
C003137_sk_003	tvorca digitálnych hier
C003137_sk_004	tvorca počítačových hier
C003137_sk_005	tvorca virtuálnych hier
C003137_sk_006	tvorkyňa digitálnych hier
C003137_sk_007	tvorkyňa počítačových hier
C003137_sk_008	tvorkyňa virtuálnych hier
C003138_sk_000	špecialista/špecialistka v oblasti dovozu a vývozu elektronických a telekomunikačných zariadení
C003138_sk_001	špecialista v oblasti dovozu a vývozu elektronických a telekomunikačných zariadení
C003138_sk_002	špecialistka v oblasti dovozu a vývozu elektronických a telekomunikačných zariadení
C003139_sk_000	choreograf/choreografka bojových scén
C003139_sk_001	choreograf bojových scén
C003139_sk_002	choreografka bojových scén
C003139_sk_003	koordinátor bojových scén
C003139_sk_004	koordinátorka bojových scén
C003140_sk_000	pracovník/pracovníčka videopožičovne
C003140_sk_001	pracovník videopožičovne
C003140_sk_002	pracovníčka videopožičovne
C003141_sk_000	sociálny pracovník/pracovníčka v oblasti závislosti od návykových látok
C003141_sk_001	pracovník v oblasti závislosti od návykových látok
C003141_sk_002	pracovníčka v oblasti závislosti od návykových látok
C003142_sk_000	špecialista/špecialistka na BOZP v baniach
C003142_sk_001	špecialista na BOZP v baniach
C003142_sk_002	špecialista na zdravie a bezpečnosť v baniach
C003142_sk_003	špecialistka na BOZP v baniach
C003142_sk_004	špecialistka na zdravie a bezpečnosť v baniach
C003143_sk_000	odborný referent/odborná referentka pre sociálne služby
C003143_sk_001	odborná referentka pre sociálne služby
C003143_sk_002	odborný referent pre sociálne služby
C003144_sk_000	operátor/operátorka sledovacieho reflektora
C003144_sk_001	operátor bodového reflektora
C003144_sk_002	operátor sledovacieho reflektora
C003144_sk_003	operátorka bodového reflektora
C003144_sk_004	operátorka sledovacieho reflektora
C003145_sk_000	špecialista/špecialistka v oblasti výroby
C003145_sk_001	špecialista v oblasti výroby
C003145_sk_002	špecialistka v oblasti výroby
C003146_sk_000	pomocný pracovník/pomocná pracovníčka pri pohreboch
C003146_sk_001	pomocná pracovníčka pri pohreboch
C003146_sk_002	pomocný pracovník pri pohreboch
C003147_sk_000	operátor/operátorka zápustkového kovacieho stroja
C003147_sk_001	operátor zápustkového kovacieho stroja
C003147_sk_002	operátorka zápustkového kovacieho stroja
C003148_sk_000	manažér/manažérka dovozu a vývozu usní, koží a kožiarskych výrobkov
C003148_sk_001	manažér dovozu a vývozu usní, koží a kožiarskych výrobkov
C003148_sk_002	manažérka dovozu a vývozu usní, koží a kožiarskych výrobkov
C003149_sk_000	koordinátor/koordinátorka skladových zásob
C003149_sk_001	koordinátor skladových zásob
C003149_sk_002	koordinátorka skladových zásob
C003150_sk_000	stavebný špecialista/stavebná špecialistka výstavby
C003150_sk_001	stavebná špecialistka výstavby
C003150_sk_002	stavebný špecialista výstavby
C003151_sk_000	letecký inžinier/letecká inžinierka
C003151_sk_001	letecká inžinierka
C003151_sk_002	letecký inžinier
C003152_sk_000	montážnik/montážnička nábytku
C003152_sk_001	dokončovač nábytku
C003152_sk_002	dokončovačka nábytku
C003152_sk_003	montážnik nábytku
C003152_sk_004	montážnička nábytku
